ia_geo_id	ia_vote_id	fips	county	vap	statefp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	logrecno	pop100	ia_agg	fraction	precinct	pres_tot	pres_d_08	pres_r_08	uss_d_08	uss_r_08	ush_d_08	ush_r_08	cong_other	ssen_dem	ssen_rep	ssen_other	sh_dem	sh_rep	gov_d_06	gov_r_06	gov_other	ush_d_06	ush_r_06	sh_other	precinct06	x_merge	t_08	p_08	us_08	uh_08	g_06	uh_06	av	ndv	nrv	precinct08
21	"1"	1	"Adair"	154	19	1002	19001001002	"P"	"SUMMIT TWP W/O ADAIR"	"SUMMIT TWP W/O ADAIR Voting District"	"V2"	"G5240"	"S"	88267501	99196	41.4577	-94.64086	19963	205	"1081"	"0.142460685"	"ADAIR COMMUNITY CENTRE"	81.48751	33.05088	48.436634	48.00925	34.902866	53.9926	24.788158	1.4246068				22.50879	59.69103	31.911194	35.04533	1.2821462	26.782608	37.03978		"ADAIR COMMUNITY CENTRE"	"3"	81.48751	0.4055944	0.5790378	0.6853526	0.47659576	0.41964287	0.5132447	41.82303	39.66448	"ADAIR COMMUNITY CENTRE"
22	"1"	1	"Adair"	587	19	1001	19001001001	"P"	"ADAIR IN ADAIR COUNTY"	"ADAIR IN ADAIR COUNTY Voting District"	"V2"	"G5240"	"S"	3776087	43131	41.496403	-94.64421	19848	762	"1081"	"0.543015726"	"ADAIR COMMUNITY CENTRE"	310.60498	125.979645	184.62535	182.99629	133.03885	205.80296	94.48473	5.430157				85.796486	227.52359	121.63552	133.58186	4.8871417	102.08696	141.18408		"ADAIR COMMUNITY CENTRE"	"3"	310.60498	0.4055944	0.5790378	0.6853526	0.47659576	0.41964287	0.5132447	159.4164	151.1886	"ADAIR COMMUNITY CENTRE"
23	"1783"	3	"Adams"	154	19	3014	19003003014	"P"	"GRANT TWP W/O LENOX"	"GRANT TWP W/O LENOX Voting District"	"V2"	"G5240"	"S"	92300699	260453	40.935593	-94.53723	23041	201	"506"	"0.304347826"	"SE ADAMS"	0.0							3.9565217					47.173912	30.73913	32.869564	0.9130435	30.130434	29.52174		"SE Adams"	"2"					0.4832536	0.50510204	0.4941778			
24	"1783"	3	"Adams"	113	19	3013	19003003013	"P"	"MERCER TWP"	"MERCER TWP Voting District"	"V2"	"G5240"	"S"	92587945	146368	40.93241	-94.65271	22951	153	"506"	"0.223320158"	"SE ADAMS"	0.0							2.903162					34.614624	22.555336	24.118578	0.6699605	22.108696	21.662056		"SE Adams"	"2"					0.4832536	0.50510204	0.4941778			
25	"1773"	3	"Adams"	269	19	3012	19003003012	"P"	"JASPER TWP W/O CORNING"	"JASPER TWP W/O CORNING Voting District"	"V2"	"G5240"	"S"	91190597	251625	40.939526	-94.760925	22845	312	"1736"	"0.154953917"	"CORNING 1A, 1B, 2A, 2B, 3A and 3B, American Legion CG1a and Community Center and Redeemer Lutheran Church"	143.64229	132.4856	128.61176	133.88019	127.372116	128.4568	131.24597	118.384796	131.09102	129.23157	118.07488	128.4568	132.17569	117.45507	117.45507	117.45507	117.45507	117.45507		"CORNING 1A"	"2"	143.64229	0.5074184	0.5124555	0.49463007	0.5	0.5	0.5029008	72.23782	71.40447	
26	"1779"	3	"Adams"	180	19	3011	19003003011	"P"	"NODAWAY TWP"	"NODAWAY TWP Voting District"	"V2"	"G5240"	"S"	91123822	34386	40.935474	-94.861496	22718	235	"180"	"1"	"NODAWAY & Nodaway Community Building"	121.0	43.0	78.0	64.0	57.0	34.0	79.0	11.0	42.0	71.0	4.0	54.0	138.0	49.0	49.0	1.0	38.0	52.0		"NODAWAY"	"2"	121.0	0.3553719	0.5289256	0.30088496	0.5	0.42222223	0.4214809	50.99919	70.00081	
27	"1772"	3	"Adams"	28	19	3010	19003003010	"P"	"CARBON"	"CARBON Voting District"	"V2"	"G5240"	"S"	1828417	0	41.04966	-94.824005	22692	34	"429"	"0.065268065"	"CARBON & Carbon United Methodist hall"	13.314685	6.787879	6.5268064	7.4405594	5.74359	5.613054	6.918415	0.9137529	6.331002	6.200466	0.5221445	5.090909	16.969696	5.417249	6.265734	0.32634032	4.5687647	6.6573424		"CARBON"	"2"	13.314685	0.50980395	0.56435645	0.44791666	0.46368715	0.40697673	0.4785482	6.371718	6.942966	
28	"1772"	3	"Adams"	102	19	3009	19003003009	"P"	"DOUGLAS TWP W/O CARBON"	"DOUGLAS TWP W/O CARBON Voting District"	"V2"	"G5240"	"S"	88283562	181188	41.023964	-94.87739	22620	124	"429"	"0.237762238"	"CARBON & Carbon United Methodist hall"	48.503498	24.727272	23.776224	27.104895	20.923077	20.447552	25.202797	3.3286712	23.062937	22.587412	1.902098	18.545454	61.81818	19.734266	22.825174	1.1888112	16.643356	24.251749		"CARBON"	"2"	48.503498	0.50980395	0.56435645	0.44791666	0.46368715	0.40697673	0.4785482	23.21126	25.29224	
29	"1773"	3	"Adams"	1289	19	3008	19003003008	"P"	"CORNING W/QUINCY TWP PART"	"CORNING W/QUINCY TWP PART Voting District"	"V2"	"G5240"	"S"	4120329	9352	40.992794	-94.73972	22418	1635	"1736"	"0.742511521"	"CORNING 1A, 1B, 2A, 2B, 3A and 3B, American Legion CG1a and Community Center and Redeemer Lutheran Church"	688.30817	634.84735	616.28455	641.52997	610.3445	615.54205	628.9073	567.2788	628.16473	619.25464	565.79376	615.54205	633.3623	562.8237	562.8237	562.8237	562.8237	562.8237		"CORNING 1A"	"2"	688.30817	0.5074184	0.5124555	0.49463007	0.5	0.5	0.5029008	346.1507	342.1574	
30	"1773"	3	"Adams"	178	19	3007	19003003007	"P"	"QUINCY TWP PART W/O CORNING"	"QUINCY TWP PART W/O CORNING Voting District"	"V2"	"G5240"	"S"	84674963	3631177	41.034283	-94.76262	22324	230	"1736"	"0.102534562"	"CORNING 1A, 1B, 2A, 2B, 3A and 3B, American Legion CG1a and Community Center and Redeemer Lutheran Church"	95.04954	87.66705	85.10368	88.58986	84.28341	85.00115	86.84677	78.3364	86.74424	85.513824	78.13134	85.00115	87.46198	77.7212	77.7212	77.7212	77.7212	77.7212		"CORNING 1A"	"2"	95.04954	0.5074184	0.5124555	0.49463007	0.5	0.5	0.5029008	47.80049	47.24905	
31	"1780"	3	"Adams"	329	19	3006	19003003006	"P"	"PRESCOTT TWP"	"PRESCOTT TWP Voting District"	"V2"	"G5240"	"S"	91976854	162943	41.02475	-94.64611	22188	424	"329"	"1"	"PRESCOTT & Prescott City Hall"	162.0	88.0	74.0	107.0	59.0	69.0	82.0	22.0	87.0	65.0	12.0	86.0	194.0	78.0	67.0	7.0	72.0	62.0		"PRESCOTT"	"2"	162.0	0.54320985	0.64457834	0.45695364	0.537931	0.53731346	0.5439973	88.12756	73.87244	
32	"1783"	3	"Adams"	104	19	3005	19003003005	"P"	"UNION TWP"	"UNION TWP Voting District"	"V2"	"G5240"	"S"	91115844	58904	41.02682	-94.52771	22102	144	"506"	"0.205533597"	"SE ADAMS"	0.0							2.6719368					31.857708	20.758894	22.197628	0.6166008	20.347826	19.936758		"SE Adams"	"2"					0.4832536	0.50510204	0.4941778			
33	"1783"	3	"Adams"	135	19	3004	19003003004	"P"	"COLONY TWP"	"COLONY TWP Voting District"	"V2"	"G5240"	"S"	92214759	13434	41.109573	-94.52857	22020	174	"506"	"0.266798419"	"SE ADAMS"	0.0							3.4683795					41.353756	26.94664	28.81423	0.80039525	26.413044	25.879446		"SE Adams"	"2"					0.4832536	0.50510204	0.4941778			
34	"1772"	3	"Adams"	124	19	3003	19003003003	"P"	"CARL TWP"	"CARL TWP Voting District"	"V2"	"G5240"	"S"	92219163	473026	41.1093	-94.64926	21944	149	"429"	"0.289044289"	"CARBON & Carbon United Methodist hall"	58.965034	30.060606	28.904428	32.95105	25.435898	24.85781	30.638695	4.04662	28.037296	27.459208	2.3123543	22.545454	75.15151	23.990677	27.748251	1.4452214	20.2331	29.482517		"CARBON"	"2"	58.965034	0.50980395	0.56435645	0.44791666	0.46368715	0.40697673	0.4785482	28.21761	30.74742	
35	"1772"	3	"Adams"	109	19	3002	19003003002	"P"	"WASHINGTON TWP"	"WASHINGTON TWP Voting District"	"V2"	"G5240"	"S"	92103970	60338	41.111126	-94.75516	21883	135	"429"	"0.254079254"	"CARBON & Carbon United Methodist hall"	51.83217	26.424242	25.407925	28.965034	22.358974	21.850817	26.932402	3.5571096	24.645687	24.13753	2.032634	19.818182	66.06061	21.088577	24.39161	1.2703962	17.785547	25.916084		"CARBON"	"2"	51.83217	0.50980395	0.56435645	0.44791666	0.46368715	0.40697673	0.4785482	24.80419	27.02798	
36	"1772"	3	"Adams"	66	19	3001	19003003001	"P"	"LINCOLN TWP"	"LINCOLN TWP Voting District"	"V2"	"G5240"	"S"	90709774	0	41.11533	-94.87116	21823	79	"429"	"0.153846154"	"CARBON & Carbon United Methodist hall"	31.384615	16.0	15.384615	17.538462	13.538462	13.230769	16.307692	2.1538463	14.923077	14.615385	1.2307693	12.0	40.0	12.769231	14.769231	0.7692308	10.769231	15.692307		"CARBON"	"2"	31.384615	0.50980395	0.56435645	0.44791666	0.46368715	0.40697673	0.4785482	15.01905	16.36556	
37	"NA"	3	"Adams"	0	19	3015	19003003015	"P"	"LENOX IN ADAMS COUNTY"	"LENOX IN ADAMS COUNTY Voting District"	"V2"	"G5240"	"S"	250035	70229	40.90052	-94.551186	23110	0	"NA"	"NA"	"NA"																				"NA"	"NA"										"NA"
38	"13"	5	"Allamakee"	208	19	5020	19005005020	"P"	"FAIRVIEW TWP"	"FAIRVIEW TWP Voting District"	"V2"	"G5240"	"S"	62907308	3327989	43.108982	-91.212036	24875	240	"781"	"0.266325224"	"FV/TL/HF CITY"	87.621	57.52625	30.09475	62.320103	23.170294	45.541615	38.350834		50.33547	36.486557		52.199745	32.758003	48.737514	19.441742	1.3316262	40.481434	26.632523		"FV/TL/HF CITY"	"3"	87.621	0.65653497	0.72897196	0.54285717	0.71484375	0.6031746	0.6492765	56.89026	30.73075	"FV/TL/HF CITY"
39	"15"	5	"Allamakee"	232	19	5019	19005005019	"P"	"LINTON TWP"	"LINTON TWP Voting District"	"V2"	"G5240"	"S"	81660162	0	43.127834	-91.317	24820	305	"620"	"0.374193548"	"PC/LT/WV CITY"	106.645164	48.64516	58.0	64.36129	41.535484	31.058065	71.84516		42.28387	63.23871		42.28387	61.36774	40.412903	43.780643	1.1225806	29.935484	52.76129		"PC/LT/WV CITY"	"3"	106.645164	0.45614034	0.60777384	0.3018182	0.48	0.36199096	0.4415447	47.0886	59.55656	"PC/LT/WV CITY"
40	"16"	5	"Allamakee"	298	19	5018	19005005018	"P"	"FRANKLIN TWP"	"FRANKLIN TWP Voting District"	"V2"	"G5240"	"S"	92311664	0	43.1246	-91.42958	24733	408	"523"	"0.569789675"	"PO/FK TWP"	131.05162	56.978966	74.072655	67.23518	63.246655	25.070745	104.8413		38.745697	92.30593		40.455067	88.88719	43.304016	61.537285	2.8489485	29.629063	73.50287		"PO/FK TWP"	"3"	131.05162	0.4347826	0.5152838	0.19298245	0.41304347	0.2872928	0.368677	48.31572	82.7359	"PO/FK TWP"
41	"17"	5	"Allamakee"	1327	19	5017	19005005017	"P"	"POSTVILLE IN ALLAMAKEE COUNTY"	"POSTVILLE IN ALLAMAKEE COUNTY Voting District"	"V2"	"G5240"	"S"	3479660	0	43.087574	-91.56941	24653	1947	"1327"	"1"	"PV CITY"	401.0	182.0	219.0	220.0	166.0	127.0	255.0		152.0	243.0		146.0	242.0	165.0	193.0	5.0	111.0	229.0		"PV CITY"	"3"	401.0	0.45386535	0.5699482	0.33246073	0.46089387	0.32647058	0.4287277	171.9198	229.0802	"PV CITY"
42	"16"	5	"Allamakee"	225	19	5016	19005005016	"P"	"POST TWP W/O POSTVILLE"	"POST TWP W/O POSTVILLE Voting District"	"V2"	"G5240"	"S"	87563151	0	43.126347	-91.54597	24591	274	"523"	"0.430210325"	"PO/FK TWP"	98.94837	43.021034	55.92734	50.76482	47.753345	18.929255	79.1587		29.254303	69.69407		30.544933	67.11281	32.695984	46.462715	2.1510515	22.370937	55.49713		"PO/FK TWP"	"3"	98.94837	0.4347826	0.5152838	0.19298245	0.41304347	0.2872928	0.368677	36.47999	62.46838	"PO/FK TWP"
43	"20"	5	"Allamakee"	3112	19	5015	19005005015	"P"	"WAUKON W/LUDLOW TWP & MAKEE TWP PARTS"	"WAUKON W/LUDLOW TWP & MAKEE TWP PARTS Voting District"	"V2"	"G5240"	"S"	7486901	0	43.268326	-91.47806	24397	3906	"3112"	"1"	"WK 1,2,3 CITY"	1124.0	617.0	507.0	706.0	412.0	402.0	713.0		538.0	590.0		545.0	567.0	533.0	419.0	13.0	392.0	498.0		"WK 1 CITY"	"3"	395.0	0.5489324	0.6314848	0.36053813	0.55987394	0.44044945	0.5082557	200.761	194.239	"WK 1 CITY"
44	"19"	5	"Allamakee"	411	19	5014	19005005014	"P"	"LUDLOW TWP PART W/O WAUKON"	"LUDLOW TWP PART W/O WAUKON Voting District"	"V2"	"G5240"	"S"	90760510	0	43.21148	-91.54641	24323	546	"1786"	"0.23012318"	"UP/MK/FC/JF/LL"	164.99832	79.16238	85.835945	98.262596	64.20437	49.476482	111.60974		76.17078	88.13718		69.267075	91.58903	68.576706	65.35498	1.8409854	50.627098	81.23348		"UP/MK/FC/JF/LL"	"3"	164.99832	0.47977686	0.60481584	0.30714285	0.5120275	0.38394415	0.4575414	75.49357	89.50475	"UP/MK/FC/JF/LL"
45	"19"	5	"Allamakee"	417	19	5013	19005005013	"P"	"JEFFERSON TWP W/O WAUKON"	"JEFFERSON TWP W/O WAUKON Voting District"	"V2"	"G5240"	"S"	91950490	0	43.211033	-91.42891	24249	606	"1786"	"0.233482643"	"UP/MK/FC/JF/LL"	167.40706	80.31803	87.08903	99.69709	65.141655	50.19877	113.23908		77.28275	89.42385		70.278275	92.926094	69.57783	66.30907	1.8678612	51.36618	82.41937		"UP/MK/FC/JF/LL"	"3"	167.40706	0.47977686	0.60481584	0.30714285	0.5120275	0.38394415	0.4575414	76.59566	90.81139	"UP/MK/FC/JF/LL"
46	"15"	5	"Allamakee"	388	19	5012	19005005012	"P"	"PAINT CREEK TWP"	"PAINT CREEK TWP Voting District"	"V2"	"G5240"	"S"	93901576	0	43.210876	-91.310394	24174	544	"620"	"0.625806452"	"PC/LT/WV CITY"	178.35484	81.354836	97.0	107.63871	69.464516	51.941936	120.15484		70.716125	105.76129		70.716125	102.632256	67.5871	73.21935	1.8774194	50.064518	88.23871		"PC/LT/WV CITY"	"3"	178.35484	0.45614034	0.60777384	0.3018182	0.48	0.36199096	0.4415447	78.75163	99.60322	"PC/LT/WV CITY"
