state	year	precinct	precinct_code	cd	ld_name	ld_code	sd	mcd	mcd_code	fips	county	g2008_BALL_tv	g2008_USP_rv	g2008_USP_dv	g2008_USP_tv	g2008_USS_rv	g2008_USS_dv	g2008_USS_tv	g2008_USH_rv	g2008_USH_dv	g2008_USH_tv	g2008_STH_rv	g2008_STH_dv	g2008_STH_tv
"MN"	2008	"LIBBY TWP E"	100	8	"03B"	6	3	"Libby Twp"	100	36908	1	18	8	10	18	6	8	18	5	13	18	6	12	18
"MN"	2008	"LIBBY TWP W"	105	8	"03B"	6	3	"Libby Twp"	100	36908	1	9	1	6	9	0	7	9	0	9	9	0	9	9
"MN"	2008	"LOGAN TWP"	110	8	"03B"	6	3	"Logan Twp"	105	37844	1	98	51	47	98	30	42	98	32	60	92	38	54	92
"MN"	2008	"MCGRATH"	115	8	"03B"	6	3	"Mcgrath"	110	38996	1	67	41	25	66	31	24	66	29	34	63	18	37	55
"MN"	2008	"MCGREGOR"	120	8	"03B"	6	3	"Mcgregor"	114	39014	1	150	64	78	146	48	72	146	46	99	145	60	85	145
"MN"	2008	"MCGREGOR TWP"	125	8	"03B"	6	3	"Mcgregor Twp"	115	39032	1	54	28	24	53	25	22	54	19	35	54	20	33	54
"MN"	2008	"MACVILLE TWP"	130	8	"03B"	6	3	"Macville Twp"	125	39212	1	108	43	55	108	32	50	108	33	73	106	36	70	106
"MN"	2008	"MILLWARD TWP"	132	8	"03B"	6	3	"Millward Twp"	132	42300	1	31	12	17	31	10	14	31	10	18	28	11	17	28
"MN"	2008	"MALMO TWP"	135	8	"03B"	6	3	"Malmo Twp"	130	39590	1	236	109	122	236	71	107	231	62	162	224	70	150	220
"MN"	2008	"MORRISON TWP"	140	8	"03B"	6	3	"Morrison Twp"	135	44278	1	109	60	43	109	47	37	109	50	56	106	55	48	103
"MN"	2008	"NORDLAND TWP"	145	8	"03B"	6	3	"Nordland Twp"	140	46546	1	669	348	308	667	284	250	664	258	395	653	297	353	651
"MN"	2008	"PALISADE"	150	8	"03B"	6	3	"Palisade"	145	49498	1	105	45	57	103	39	43	101	29	72	101	27	72	99
"MN"	2008	"PLINY TWP"	155	8	"03B"	6	3	"Pliny Twp"	150	51694	1	39	27	11	39	26	11	39	23	15	38	23	13	37
"MN"	2008	"RICE RIVER TWP"	160	8	"03B"	6	3	"Rice River Twp"	155	54106	1	89	50	38	89	44	26	89	35	53	88	36	51	87
"MN"	2008	"SALO TWP"	165	8	"03B"	6	3	"Salo Twp"	160	58270	1	59	18	37	59	16	31	58	15	40	55	16	38	54
"MN"	2008	"SEAVEY TWP"	170	8	"03B"	6	3	"Seavey Twp"	165	59134	1	38	22	12	38	20	11	37	15	20	35	17	19	36
"MN"	2008	"SHAMROCK TWP"	175	8	"03B"	6	3	"Shamrock Twp"	170	59368	1	750	359	373	746	269	323	740	250	474	725	273	437	711
"MN"	2008	"SPALDING TWP"	180	8	"03B"	6	3	"Spalding Twp"	175	61546	1	115	37	76	114	25	78	112	18	91	109	25	85	110
"MN"	2008	"SPENCER TWP"	185	8	"03B"	6	3	"Spencer Twp"	180	61654	1	331	169	153	330	136	112	327	121	198	320	144	179	324
"MN"	2008	"TAMARACK"	190	8	"03B"	6	3	"Tamarack"	185	64156	1	35	9	25	34	5	20	34	8	26	34	9	24	33
"MN"	2008	"TURNER TWP"	195	8	"03B"	6	3	"Turner Twp"	190	65722	1	115	55	56	113	52	47	113	44	69	113	42	67	109
"MN"	2008	"VERDON TWP"	200	8	"03B"	6	3	"Verdon Twp"	195	66748	1	34	17	15	34	14	11	34	15	18	33	14	19	33
"MN"	2008	"WAGNER TWP"	205	8	"03B"	6	3	"Wagner Twp"	200	67540	1	207	96	103	207	73	93	207	65	138	203	81	115	196
"MN"	2008	"WAUKENABO TWP"	210	8	"03B"	6	3	"Waukenabo Twp"	205	68692	1	199	91	103	199	74	87	198	82	114	197	76	120	196
"MN"	2008	"WEALTHWOOD TWP"	215	8	"03B"	6	3	"Wealthwood Twp"	210	68872	1	200	77	121	200	58	100	198	64	130	194	59	134	193
"MN"	2008	"WHITE PINE TWP"	220	8	"03B"	6	3	"White Pine Twp"	215	70132	1	24	18	6	24	14	6	24	10	14	24	10	12	22
"MN"	2008	"WILLIAMS TWP"	225	8	"03B"	6	3	"Williams Twp"	220	70384	1	70	30	37	70	24	29	68	23	43	66	24	41	65
"MN"	2008	"WORKMAN TWP"	230	8	"03B"	6	3	"Workman Twp"	225	71716	1	122	68	51	120	40	57	122	31	88	119	40	77	117
"MN"	2008	"NORTHEAST UNORG TOWNS"	240	8	"03B"	6	3	"Northeast Aitkin Unorganized"	142	46890	1	31	24	5	31	20	5	31	19	12	31	19	11	30
"MN"	2008	"UNORG TOWN 48-27 (BLIND LAKE UNORG)"	255	8	"03B"	6	3	"Northwest Aitkin Unorganized"	143	47342	1	24	11	12	24	8	13	24	5	19	24	8	16	24
"MN"	2008	"UNORG NW AITKIN P2"	260	8	"03B"	6	3	"Northwest Aitkin Unorganized"	143	47342	1	79	44	35	79	25	35	79	26	51	77	34	44	78
"MN"	2008	"UNORG TOWN 51-27 (LEMAY UNORG)"	285	8	"03B"	6	3	"Northwest Aitkin Unorganized"	143	47342	1	22	8	14	22	5	14	22	8	14	22	5	17	22
"MN"	2008	"UNORG NW AITKIN P1"	290	8	"03B"	6	3	"Northwest Aitkin Unorganized"	143	47342	1	50	28	16	50	21	13	50	20	29	49	23	26	49
"MN"	2008	"ANDOVER P-01"	1010	6	"49A"	97	49	"Andover"	4	1486	2	1975	1236	699	1970	1068	551	1957	1067	673	1932	1152	684	1837
"MN"	2008	"ANDOVER P-02"	1020	6	"49A"	97	49	"Andover"	4	1486	2	1910	1098	774	1909	999	569	1899	967	724	1868	1010	752	1762
"MN"	2008	"ANDOVER P-03"	1030	6	"49B"	98	49	"Andover"	4	1486	2	1464	841	590	1463	784	438	1454	745	563	1443	729	621	1353
"MN"	2008	"ANDOVER P-04"	1040	6	"49A"	97	49	"Andover"	4	1486	2	966	562	382	964	520	273	953	505	363	950	531	370	901
"MN"	2008	"ANDOVER P-05"	1050	6	"49A"	97	49	"Andover"	4	1486	2	1405	744	629	1405	657	510	1399	649	589	1379	697	635	1336
"MN"	2008	"ANDOVER P-06"	1060	6	"49A"	97	49	"Andover"	4	1486	2	1622	984	625	1621	945	418	1613	844	619	1600	943	600	1544
"MN"	2008	"ANDOVER P-07"	1070	6	"49A"	97	49	"Andover"	4	1486	2	2650	1586	1024	2648	1525	715	2638	1407	996	2615	1519	993	2514
"MN"	2008	"ANDOVER P-08"	1080	6	"49A"	97	49	"Andover"	4	1486	2	2085	1235	824	2083	1173	582	2075	1069	796	2046	1134	808	1943
"MN"	2008	"ANDOVER P-09"	1090	6	"49A"	97	49	"Andover"	4	1486	2	1641	962	629	1631	875	465	1630	839	607	1609	937	604	1543
"MN"	2008	"ANDOVER P-10"	1100	6	"49A"	97	49	"Andover"	4	1486	2	1905	1090	793	1904	1015	591	1890	953	744	1858	997	765	1768
"MN"	2008	"ANOKA P-1"	1210	6	"48B"	96	48	"Anoka"	5	1720	2	922	406	482	920	364	389	904	358	410	882	510	333	848
"MN"	2008	"ANOKA P-2"	1220	6	"48B"	96	48	"Anoka"	5	1720	2	1177	541	609	1175	501	478	1166	463	555	1146	666	419	1086
"MN"	2008	"ANOKA P-3"	1230	6	"48B"	96	48	"Anoka"	5	1720	2	1224	603	599	1224	543	465	1214	512	564	1201	767	382	1153
"MN"	2008	"ANOKA P-4"	1240	6	"48B"	96	48	"Anoka"	5	1720	2	1183	549	602	1179	503	461	1178	480	562	1150	703	381	1091
"MN"	2008	"ANOKA P-5"	1250	6	"48B"	96	48	"Anoka"	5	1720	2	1094	524	531	1089	467	431	1091	453	476	1076	653	377	1037
"MN"	2008	"ANOKA P-6"	1260	6	"48B"	96	48	"Anoka"	5	1720	2	984	405	561	982	372	424	970	359	457	945	471	422	903
"MN"	2008	"ANOKA P-7"	1270	6	"48B"	96	48	"Anoka"	5	1720	2	1204	548	614	1202	481	490	1194	485	540	1178	681	433	1116
"MN"	2008	"ANOKA P-8"	1280	6	"48B"	96	48	"Anoka"	5	1720	2	1134	591	520	1134	506	392	1127	507	470	1113	689	350	1057
"MN"	2008	"BETHEL P-1"	1410	6	"48A"	95	48	"Bethel"	15	5554	2	275	153	114	273	122	88	271	131	101	267	142	111	253
"MN"	2008	"BLAINE D-1 P-1"	1610	6	"53A"	105	53	"Blaine"	20	6382	2	1063	536	502	1062	454	405	1047	446	483	1034	443	532	978
"MN"	2008	"BLAINE D-1 P-2"	1630	6	"51A"	101	51	"Blaine"	20	6382	2	1919	908	970	1917	857	749	1909	788	903	1882	812	789	1784
"MN"	2008	"BLAINE D-1 P-3"	1640	6	"51B"	102	51	"Blaine"	20	6382	2	975	407	541	971	343	439	963	345	511	949	303	576	883
"MN"	2008	"BLAINE D-1 P-4"	1650	6	"51B"	102	51	"Blaine"	20	6382	2	1028	446	547	1024	414	435	1022	364	541	1007	359	563	927
"MN"	2008	"BLAINE D-1 P-5"	1660	6	"51B"	102	51	"Blaine"	20	6382	2	1390	595	763	1389	543	602	1383	505	749	1375	469	803	1278
"MN"	2008	"BLAINE D-1 P-6"	1670	6	"51A"	101	51	"Blaine"	20	6382	2	1185	494	658	1179	447	544	1179	405	638	1161	417	562	1098
"MN"	2008	"BLAINE D-1 P-7"	1680	6	"51A"	101	51	"Blaine"	20	6382	2	1095	509	548	1095	438	410	1085	432	507	1067	455	451	1000
"MN"	2008	"BLAINE D-2 P-1"	1810	6	"51A"	101	51	"Blaine"	20	6382	2	1341	681	634	1334	611	488	1334	569	610	1312	601	507	1238
"MN"	2008	"BLAINE D-2 P-2"	1820	6	"51A"	101	51	"Blaine"	20	6382	2	1503	670	819	1502	657	596	1490	552	803	1475	690	605	1402
"MN"	2008	"BLAINE D-2 P-3"	1840	6	"51A"	101	51	"Blaine"	20	6382	2	1697	765	879	1694	677	690	1686	625	863	1670	645	794	1606
"MN"	2008	"BLAINE D-2 P-4"	1850	6	"51A"	101	51	"Blaine"	20	6382	2	1564	722	807	1563	667	613	1553	628	745	1522	678	641	1462
"MN"	2008	"BLAINE D-2 P-5"	1860	6	"51A"	101	51	"Blaine"	20	6382	2	933	407	505	931	352	401	926	318	496	918	316	480	883
"MN"	2008	"BLAINE D-2 P-6"	1870	6	"51A"	101	51	"Blaine"	20	6382	2	1106	458	627	1105	375	494	1093	340	607	1083	374	550	1028
"MN"	2008	"BLAINE D-2 P-7"	1872	6	"51A"	101	51	"Blaine"	20	6382	2	1282	674	582	1282	660	412	1276	582	564	1257	671	423	1189
"MN"	2008	"BLAINE D-2 P-8"	1875	6	"51A"	101	51	"Blaine"	20	6382	2	1537	816	697	1536	809	503	1529	685	704	1513	830	544	1458
"MN"	2008	"BLAINE D-2 P-9"	1880	6	"51A"	101	51	"Blaine"	20	6382	2	2392	1284	1072	2390	1297	731	2370	1101	1088	2351	1342	732	2229
"MN"	2008	"BLAINE D-3 P-1"	2010	6	"51A"	101	51	"Blaine"	20	6382	2	1531	769	729	1526	707	574	1519	638	730	1505	713	617	1444
"MN"	2008	"BLAINE D-3 P-2"	2020	6	"51A"	101	51	"Blaine"	20	6382	2	2611	1392	1160	2606	1350	843	2601	1162	1162	2556	1353	908	2443
"MN"	2008	"BLAINE D-3 P-3"	2040	6	"51A"	101	51	"Blaine"	20	6382	2	1936	943	949	1933	802	752	1926	783	916	1896	801	805	1773
"MN"	2008	"BLAINE D-3 P-4"	2050	6	"51A"	101	51	"Blaine"	20	6382	2	1405	635	736	1402	574	558	1392	532	715	1380	577	627	1321
"MN"	2008	"BLAINE D-3 P-5"	2060	6	"51A"	101	51	"Blaine"	20	6382	2	771	305	444	770	275	329	762	254	418	757	253	373	718
"MN"	2008	"BLAINE D-3 P-6"	2070	6	"51A"	101	51	"Blaine"	20	6382	2	667	322	324	666	283	252	664	274	305	657	285	271	619
"MN"	2008	"CENTERVILLE P-1"	2410	6	"52A"	103	52	"Centerville"	30	10648	2	2197	1219	930	2192	1112	678	2184	1051	857	2146	1236	728	1968
"MN"	2008	"CIRCLE PINES P-1"	2610	6	"53A"	105	53	"Circle Pines"	35	11494	2	1167	531	594	1167	437	505	1159	445	537	1138	437	646	1085
"MN"	2008	"CIRCLE PINES P-2"	2620	6	"53A"	105	53	"Circle Pines"	35	11494	2	1960	917	1001	1956	899	737	1950	810	943	1929	823	1013	1839
"MN"	2008	"COLUMBIA HEIGHTS P-1"	2810	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1436	475	909	1433	421	770	1420	405	801	1346	450	878	1331
"MN"	2008	"COLUMBIA HEIGHTS P-2"	2820	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1289	415	825	1288	361	688	1273	337	726	1195	410	743	1156
"MN"	2008	"COLUMBIA HEIGHTS P-3"	2830	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1263	393	835	1260	345	671	1244	309	747	1177	344	781	1129
"MN"	2008	"COLUMBIA HEIGHTS P-4"	2840	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1197	400	769	1192	343	664	1190	318	686	1118	356	734	1095
"MN"	2008	"COLUMBIA HEIGHTS P-5"	2850	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1209	443	726	1202	407	594	1198	373	651	1139	385	715	1107
"MN"	2008	"COLUMBIA HEIGHTS P-6"	2860	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1182	478	671	1176	443	516	1166	400	629	1119	409	681	1091
"MN"	2008	"COLUMBIA HEIGHTS P-7"	2870	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1164	445	681	1160	365	574	1150	341	627	1090	376	683	1062
"MN"	2008	"COLUMBIA HEIGHTS P-8"	2880	5	"50A"	99	50	"Columbia Heights"	40	12700	2	1198	414	755	1198	331	634	1183	315	692	1137	376	727	1108
"MN"	2008	"COLUMBUS P-1"	3010	6	"52A"	103	52	"Columbus"	45	12718	2	2488	1401	1028	2483	1180	825	2475	1211	981	2444	1626	687	2316
"MN"	2008	"COON RAPIDS W-1 P-1"	3210	3	"47A"	93	47	"Coon Rapids"	50	13114	2	1575	816	723	1572	750	534	1559	765	562	1514	637	805	1449
"MN"	2008	"COON RAPIDS W-1 P-2"	3220	3	"47A"	93	47	"Coon Rapids"	50	13114	2	1625	758	813	1619	672	621	1610	697	613	1569	582	939	1523
"MN"	2008	"COON RAPIDS W-1 P-3"	3230	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1925	994	889	1922	931	670	1913	950	708	1862	864	916	1782
"MN"	2008	"COON RAPIDS W-1 P-4"	3240	3	"49B"	98	49	"Coon Rapids"	50	13114	2	2048	1135	887	2047	1091	617	2034	1110	635	1971	992	918	1913
"MN"	2008	"COON RAPIDS W-2 P-1"	3410	3	"49B"	98	49	"Coon Rapids"	50	13114	2	2340	1153	1150	2337	1036	873	2323	1056	900	2262	952	1232	2186
"MN"	2008	"COON RAPIDS W-2 P-2"	3420	6	"49B"	98	49	"Coon Rapids"	50	13114	2	1937	980	920	1937	905	709	1927	831	904	1909	780	1059	1842
"MN"	2008	"COON RAPIDS W-2 P-3"	3430	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1983	948	995	1978	862	774	1966	897	779	1923	755	1094	1850
"MN"	2008	"COON RAPIDS W-2 P-4"	3440	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1702	757	901	1700	671	696	1692	707	698	1652	586	1006	1597
"MN"	2008	"COON RAPIDS W-3 P-1"	3610	3	"47B"	94	47	"Coon Rapids"	50	13114	2	1453	645	778	1451	590	612	1425	591	590	1363	577	731	1315
"MN"	2008	"COON RAPIDS W-3 P-2"	3620	3	"47B"	94	47	"Coon Rapids"	50	13114	2	2037	965	1025	2033	875	810	2026	879	813	1972	896	1059	1958
"MN"	2008	"COON RAPIDS W-3 P-3"	3630	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1383	630	717	1382	560	573	1373	581	556	1329	508	766	1279
"MN"	2008	"COON RAPIDS W-3 P-4"	3640	3	"47B"	94	47	"Coon Rapids"	50	13114	2	1689	747	904	1686	669	710	1673	698	686	1616	644	931	1575
"MN"	2008	"COON RAPIDS W-4 P-1"	3810	3	"47B"	94	47	"Coon Rapids"	50	13114	2	634	264	349	631	253	274	624	247	298	608	248	354	603
"MN"	2008	"COON RAPIDS W-4 P-2"	3820	3	"47A"	93	47	"Coon Rapids"	50	13114	2	1754	802	912	1749	733	694	1736	741	713	1677	610	1014	1627
"MN"	2008	"COON RAPIDS W-4 P-3"	3830	3	"47A"	93	47	"Coon Rapids"	50	13114	2	1376	661	686	1376	596	531	1369	590	545	1338	502	781	1286
"MN"	2008	"COON RAPIDS W-4 P-4"	3840	3	"47B"	94	47	"Coon Rapids"	50	13114	2	1304	575	687	1303	474	562	1290	521	524	1250	502	721	1226
"MN"	2008	"COON RAPIDS W-4 P-5"	3850	3	"47A"	93	47	"Coon Rapids"	50	13114	2	1436	653	745	1433	616	530	1418	617	581	1382	518	809	1328
"MN"	2008	"COON RAPIDS W-5 P-1"	4010	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1197	552	619	1193	499	491	1184	526	464	1151	473	622	1100
"MN"	2008	"COON RAPIDS W-5 P-2"	4020	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1139	501	609	1139	436	478	1129	446	429	1072	403	606	1010
"MN"	2008	"COON RAPIDS W-5 P-3"	4030	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1488	653	790	1485	543	636	1479	571	646	1451	526	864	1395
"MN"	2008	"COON RAPIDS W-5 P-4"	4040	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1157	517	605	1153	428	506	1145	446	492	1115	395	680	1079
"MN"	2008	"COON RAPIDS W-5 P-5"	4050	3	"49B"	98	49	"Coon Rapids"	50	13114	2	1330	611	695	1326	563	511	1304	548	518	1229	450	635	1089
"MN"	2008	"EAST BETHEL P-1"	4210	6	"48A"	95	48	"East Bethel"	51	17486	2	2116	1208	869	2112	1003	676	2100	1025	783	2075	1188	802	1993
"MN"	2008	"EAST BETHEL P-2"	4220	6	"48A"	95	48	"East Bethel"	51	17486	2	2252	1265	933	2248	1038	746	2239	1092	850	2211	1224	879	2104
"MN"	2008	"EAST BETHEL P-3"	4230	6	"48A"	95	48	"East Bethel"	51	17486	2	1986	1108	825	1985	920	653	1972	942	778	1961	1088	771	1862
"MN"	2008	"FRIDLEY W-1 P-1"	4410	5	"51B"	102	51	"Fridley"	55	22814	2	1237	539	665	1234	484	525	1226	445	639	1175	450	704	1159
"MN"	2008	"FRIDLEY W-1 P-2"	4420	5	"51B"	102	51	"Fridley"	55	22814	2	1283	543	709	1280	496	551	1276	449	667	1232	403	795	1200
"MN"	2008	"FRIDLEY W-1 P-3"	4430	5	"50A"	99	50	"Fridley"	55	22814	2	1324	493	796	1319	422	660	1309	386	734	1253	453	746	1202
"MN"	2008	"FRIDLEY W-1 P-4"	4440	5	"50A"	99	50	"Fridley"	55	22814	2	1150	435	694	1149	396	557	1139	349	650	1099	414	643	1060
"MN"	2008	"FRIDLEY W-2 P-1"	4610	5	"51B"	102	51	"Fridley"	55	22814	2	1089	448	619	1087	391	459	1071	351	538	1019	388	605	996
"MN"	2008	"FRIDLEY W-2 P-2"	4620	5	"51B"	102	51	"Fridley"	55	22814	2	939	331	587	936	312	454	928	257	540	892	258	617	877
"MN"	2008	"FRIDLEY W-2 P-3"	4630	5	"51B"	102	51	"Fridley"	55	22814	2	1393	599	759	1391	580	578	1383	502	680	1323	485	793	1279
"MN"	2008	"FRIDLEY W-2 P-4"	4640	5	"50A"	99	50	"Fridley"	55	22814	2	710	271	424	706	288	313	705	257	374	684	270	385	658
"MN"	2008	"FRIDLEY W-2 P-5"	4650	5	"50B"	100	50	"Fridley"	55	22814	2	706	266	421	704	260	325	701	229	379	667	250	397	648
"MN"	2008	"FRIDLEY W-3 P-1"	4810	5	"50A"	99	50	"Fridley"	55	22814	2	1160	447	677	1160	407	547	1147	370	617	1090	437	614	1055
"MN"	2008	"FRIDLEY W-3 P-2"	4820	5	"50A"	99	50	"Fridley"	55	22814	2	1578	633	914	1576	575	710	1566	542	805	1503	623	842	1469
"MN"	2008	"FRIDLEY W-3 P-3"	4830	5	"50A"	99	50	"Fridley"	55	22814	2	801	250	521	801	231	417	786	209	451	742	250	457	709
"MN"	2008	"FRIDLEY W-3 P-4"	4840	5	"50A"	99	50	"Fridley"	55	22814	2	981	357	588	980	297	498	973	292	543	920	341	550	893
"MN"	2008	"HAM LAKE P-1"	5010	6	"49A"	97	49	"Ham Lake"	65	26738	2	1072	612	436	1071	541	344	1067	544	398	1055	577	423	1001
"MN"	2008	"HAM LAKE P-2"	5020	6	"49A"	97	49	"Ham Lake"	65	26738	2	1498	916	557	1493	850	396	1491	797	536	1472	852	549	1404
"MN"	2008	"HAM LAKE P-3"	5030	6	"49A"	97	49	"Ham Lake"	65	26738	2	1208	686	486	1206	606	360	1199	594	463	1188	657	465	1122
"MN"	2008	"HAM LAKE P-4"	5040	6	"49A"	97	49	"Ham Lake"	65	26738	2	1675	999	634	1674	904	489	1668	863	651	1656	959	609	1568
"MN"	2008	"HAM LAKE P-5"	5050	6	"49A"	97	49	"Ham Lake"	65	26738	2	1881	1131	714	1877	1029	531	1865	970	705	1837	1033	704	1738
"MN"	2008	"HAM LAKE P-6"	5060	6	"49A"	97	49	"Ham Lake"	65	26738	2	1626	981	615	1623	895	437	1615	874	571	1584	936	562	1499
"MN"	2008	"HILLTOP P-1"	5210	5	"50A"	99	50	"Hilltop"	70	29258	2	325	86	226	325	67	189	318	62	191	301	88	201	290
"MN"	2008	"LEXINGTON P-1"	5410	6	"53A"	105	53	"Lexington"	75	36836	2	966	437	492	965	350	401	957	386	422	947	350	533	886
"MN"	2008	"LINO LAKES P-1"	5610	6	"52A"	103	52	"Lino Lakes"	80	37322	2	1158	566	556	1155	511	398	1145	481	505	1130	669	373	1043
"MN"	2008	"LINO LAKES P-2"	5620	6	"52A"	103	52	"Lino Lakes"	80	37322	2	1740	862	839	1736	823	588	1725	767	733	1689	888	579	1467
"MN"	2008	"LINO LAKES P-3"	5630	6	"53A"	105	53	"Lino Lakes"	80	37322	2	1451	691	730	1449	648	505	1438	599	638	1403	554	740	1296
"MN"	2008	"LINO LAKES P-4"	5640	6	"53A"	105	53	"Lino Lakes"	80	37322	2	2035	1191	819	2032	1177	548	2020	1030	795	1991	1048	827	1878
"MN"	2008	"LINO LAKES P-5"	5650	6	"53A"	105	53	"Lino Lakes"	80	37322	2	1075	512	545	1071	487	383	1065	448	498	1042	449	512	962
"MN"	2008	"LINO LAKES P-6"	5660	6	"53A"	105	53	"Lino Lakes"	80	37322	2	1744	1036	687	1742	1025	444	1728	888	655	1702	940	663	1603
"MN"	2008	"LINO LAKES P-7"	5670	6	"53A"	105	53	"Lino Lakes"	80	37322	2	1848	1004	816	1844	1006	544	1838	858	787	1808	881	819	1703
"MN"	2008	"LINWOOD P-1"	5810	6	"52A"	103	52	"Linwood Twp"	85	37376	2	3051	1702	1275	3043	1460	983	3027	1508	1156	2993	1830	963	2798
"MN"	2008	"NOWTHEN P-1"	5910	6	"48A"	95	48	"Nowthen"	86	47536	2	2609	1689	857	2606	1452	676	2599	1472	825	2562	1606	852	2463
"MN"	2008	"OAK GROVE P-1"	6010	6	"48A"	95	48	"Oak Grove"	90	47690	2	1671	992	641	1667	823	501	1646	833	625	1631	925	626	1552
"MN"	2008	"OAK GROVE P-2"	6020	6	"48A"	95	48	"Oak Grove"	90	47690	2	1642	992	608	1641	884	468	1626	888	550	1606	1017	509	1530
"MN"	2008	"OAK GROVE P-3"	6030	6	"48A"	95	48	"Oak Grove"	90	47690	2	1414	877	485	1407	734	379	1401	732	471	1388	876	446	1324
"MN"	2008	"RAMSEY W-1 P-1"	6210	6	"48B"	96	48	"Ramsey"	95	53026	2	2466	1401	1002	2460	1270	757	2454	1242	905	2423	1539	747	2295
"MN"	2008	"RAMSEY W-1 P-2"	6220	6	"48B"	96	48	"Ramsey"	95	53026	2	1362	814	524	1362	728	388	1357	699	500	1334	890	353	1246
