state	year	precinct	g2004_USP_tv	g2004_USP_dv	g2004_USP_rv	g2004_USH_tv	g2004_USH_dv	g2004_USH_rv	g2004_GOV_tv	g2004_GOV_dv	g2004_GOV_rv	g2004_LTG_tv	g2004_LTG_dv	g2004_LTG_rv	g2004_INS_tv	g2004_INS_dv	g2004_INS_rv	g2004_STS_tv	g2004_STS_dv	g2004_STS_rv	sd	g2004_STH_tv	g2004_STH_dv	g2004_STH_rv	ld
"DE"	2004	"02-37"	1907	821	1071	1849	425	1407	1893	893	941	1836	1037	773	1799	787	1012	1825	711	1114	18	1822	615	1207	37
"DE"	2004	"02-38"	1537	571	958	1463	363	1082	1498	686	769	1442	795	641	1425	613	812					1516	597	919	38
"DE"	2004	"02-39"	1395	523	856	1342	234	1090	1370	599	731	1319	716	590	1295	539	756	1357	630	727	21	1352	600	752	39
"DE"	2004	"02-40"	1749	491	1240	1699	282	1395	1723	661	950	1688	878	773	1665	655	1010	1714	1162	552	21	1460		1460	40
"DE"	2004	"02-41"	909	296	608	886	164	713	902	357	494	878	442	418	873	331	542					891	185	706	41
"DE"	2004	"03-01"	753	703	43	668	437	222	708	533	154	663	607	46	660	601	59					669	669		1
"DE"	2004	"03-02"	172	161	10	144	104	38	151	117	34	144	131	9	144	131	13	126	126		3	139	139		2
"DE"	2004	"03-03"	184	139	45	173	87	86	177	110	66	162	123	39	166	125	41					147	147		3
"DE"	2004	"03-04"	1336	755	573	1305	248	1048	1322	680	629	1285	787	491	1254	646	608					1284	430	854	4
"DE"	2004	"03-05"	420	296	120	387	189	194	400	239	149	385	288	91	383	274	109					333	333		5
"DE"	2004	"03-06"	878	630	240	838	381	451	862	521	313	827	605	206	838	487	351					847	517	330	6
"DE"	2004	"03-07"	1090	560	513	1055	243	795	1068	552	492	1048	607	422	1033	473	560					1069	368	691	7
"DE"	2004	"03-08"	1224	647	566	1154	360	787	1196	516	650	1142	642	483	1132	600	532					902	902		8
"DE"	2004	"03-09"	1685	890	788	1600	488	1095	1658	794	832	1599	946	638	1569	802	767					1598	627	971	9
"DE"	2004	"03-10"	1089	548	535	1049	237	803	1066	518	531	1027	576	438	1014	480	534					1029	365	638	10
"DE"	2004	"03-11"	1081	547	522	1040	211	816	1062	534	507	1026	584	426	1004	450	554	727		727	4	745		745	11
"DE"	2004	"03-12"	998	641	345	921	378	531	948	528	382	919	632	267	911	586	325					900	513	387	12
"DE"	2004	"03-13"	265	200	63	241	129	111	242	144	93	214	160	52	231	187	44	206	206		3	197	197		13
"DE"	2004	"03-14"	1500	811	676	1443	400	1030	1476	765	686	1430	835	576	1397	706	691					1457	1011	426	14
"DE"	2004	"03-15"	922	566	347	871	354	505	899	487	384	869	592	267	849	532	317					878	464	414	15
"DE"	2004	"03-16"	988	920	63	891	687	199	916	740	159	884	836	42	874	809	65					912	856	56	16
"DE"	2004	"03-17"	740	485	245	683	271	406	712	382	304	681	506	165	669	487	182					689	582	107	17
"DE"	2004	"03-18"	931	612	307	876	377	481	899	468	397	859	555	286	856	556	300					540		540	18
"DE"	2004	"03-19"	854	467	382	830	192	627	836	430	396	819	521	286	793	423	370					677	677		19
"DE"	2004	"03-20"	796	469	324	749	218	523	772	420	340	737	474	253	724	399	325					504		504	20
"DE"	2004	"03-21"	915	512	393	877	219	644	891	449	422	872	539	316	845	467	378					861	278	583	21
"DE"	2004	"03-22"	495	198	292	477	65	409	481	216	259	461	242	214	445	159	286	382		382	6	387		387	22
"DE"	2004	"03-23"	1004	603	398	967	218	729	985	570	400	953	610	326	923	488	435	648		648	6	979	500	479	23
"DE"	2004	"03-24"	641	434	202	585	266	305	613	359	234	581	415	152	568	388	180					318		318	24
"DE"	2004	"03-25"	966	593	353	908	359	537	938	486	419	895	585	293	877	535	342	711	711		11	925	419	506	25
"DE"	2004	"03-26"	569	384	180	540	228	305	546	332	205	526	386	134	511	346	165	477	477		11	453	453		26
"DE"	2004	"03-27"	839	510	324	797	310	473	806	442	342	779	517	249	772	478	294	789	395	394	10	517		517	27
"DE"	2004	"03-28"	128	70	57	121	36	83	126	45	60	116	73	37	119	49	70					107	107		28
"DE"	2004	"03-29"	1176	436	724	1132	245	870	1174	394	694	1119	545	551	1118	416	702					1161	438	723	29
"DE"	2004	"03-30"	1416	427	981	1362	255	1093	1393	501	777	1300	626	630	1284	503	781					1385	522	863	30
"DE"	2004	"03-31"	1978	914	1049	1905	424	1460	1945	859	1033	1897	1052	811	1865	812	1053	1923	875	1026	17	1387		1387	31
"DE"	2004	"03-32"	1312	558	741	1258	308	941	1289	545	691	1251	739	496	1234	539	695	1261	567	685	17	1285	490	795	32
"DE"	2004	"03-33"	1034	390	636	990	195	785	1011	364	594	987	500	467	970	368	602	1003	259	744	16	803		803	33
"DE"	2004	"03-34"	1463	581	863	1386	327	1039	1427	518	804	1366	720	611	1374	589	785					1077		1077	34
"DE"	2004	"03-35"	373	117	254	359	56	299	369	143	201	354	178	166	351	122	229					326		308	35
"DE"	2004	"03-36"	1177	510	657	1119	259	851	1157	570	555	1131	684	436	1104	516	588	1095	384	711	18	1142	412	730	36
"DE"	2004	"03-37"	1326	494	815	1278	286	976	1296	482	753	1265	655	587	1251	540	711	1252	476	776	18	1268	335	933	37
"DE"	2004	"03-38"	2240	857	1367	2144	528	1591	2202	1073	1076	2108	1158	923	2067	865	1202					2216	852	1364	38
"DE"	2004	"03-39"	1045	391	651	1010	188	815	1032	459	541	998	542	445	967	360	607					1027	430	597	39
"DE"	2004	"03-40"	840	431	404	817	265	541	826	444	349	803	546	247	802	472	330	822	614	208	21	605		605	40
"DE"	2004	"03-41"	797	352	439	779	193	573	790	391	367	772	489	266	757	362	395					773	259	514	41
"DE"	2004	"04-01"	994	905	84	834	536	292	903	731	162	841	770	64	814	730	84	841	841		2	826	826		1
"DE"	2004	"04-02"	23	10	12	22	3	19	23	10	13	23	13	10	23	9	14	14	14		2	13	13		2
"DE"	2004	"04-03"	338	318	18	306	234	68	315	244	66	305	284	18	299	279	20	289	289		3	234	234		3
"DE"	2004	"04-04"	1073	699	363	983	359	612	1036	625	400	969	649	311	945	587	358	737	737		2	942	473	469	4
"DE"	2004	"04-05"	522	399	119	494	269	218	498	324	164	484	384	93	469	368	101					424	424		5
"DE"	2004	"04-06"	989	576	402	965	255	698	979	535	412	948	598	329	959	377	582					959	474	485	6
"DE"	2004	"04-07"	658	426	223	618	256	357	638	373	254	612	431	172	613	367	246					625	341	281	7
"DE"	2004	"04-08"	929	641	280	880	416	449	886	490	366	861	611	231	845	562	283					763	763		8
"DE"	2004	"04-09"	928	582	342	787	228	548	804	349	421	758	488	258	735	421	314					760	297	463	9
"DE"	2004	"04-10"	766	573	189	729	373	345	742	477	245	721	538	173	709	507	202					718	462	234	10
"DE"	2004	"04-11"	948	498	434	915	232	672	923	475	431	884	522	344	876	438	438	622		622	4	644		644	11
"DE"	2004	"04-12"	686	307	371	667	77	586	672	281	385	659	309	346	650	246	404	521		521	4	654	126	528	12
"DE"	2004	"04-13"	654	405	242	627	199	427	643	351	279	618	439	176	612	383	229					530	530		13
"DE"	2004	"04-14"	2032	948	1070	1959	507	1435	2012	965	1005	1929	1046	866	1884	894	990	1889	805	1084	18	1985	1424	549	14
"DE"	2004	"04-15"	675	360	307	646	169	471	661	321	336	624	387	235	627	332	295					643	207	436	15
"DE"	2004	"04-16"	511	338	168	472	210	258	490	269	200	466	337	117	463	327	136					478	332	146	16
"DE"	2004	"04-17"	1211	744	455	1148	339	790	1180	693	465	1140	828	297	1122	719	403					1140	885	255	17
"DE"	2004	"04-18"	1121	718	393	1066	385	666	1087	649	420	1062	760	288	1037	659	378					713		713	18
"DE"	2004	"04-19"	909	558	340	876	295	569	896	440	425	861	574	264	838	496	342					715	715		19
"DE"	2004	"04-20"	826	429	391	802	154	636	815	432	373	794	460	326	762	366	396					599		599	20
"DE"	2004	"04-21"	703	369	324	680	146	528	692	360	319	672	397	270	658	312	346					671	171	500	21
"DE"	2004	"04-22"	1100	503	591	1074	160	902	1087	574	503	1050	617	424	1032	417	615					864		864	22
"DE"	2004	"04-23"	1066	668	386	1032	289	730	1042	639	388	1006	691	302	988	573	415	651		651	6	1037	599	438	23
"DE"	2004	"04-24"	965	592	366	911	286	618	940	496	424	889	605	276	875	513	362	676	676		11	703		703	24
"DE"	2004	"04-25"	777	464	301	721	248	468	739	377	335	715	452	251	703	421	282	528	528		11	737	324	413	25
"DE"	2004	"04-26"	1010	630	371	938	385	541	979	570	393	940	641	286	925	564	361	774	774		11	774	774		26
"DE"	2004	"04-27"	570	303	265	540	168	368	557	300	251	526	312	214	516	262	254	535	247	288	10	365		365	27
"DE"	2004	"04-28"	12	5	7	12		12	12	4	7	12	8	3	12	9	3					12	12		28
"DE"	2004	"04-29"	325	156	164	317	102	212	324	130	172	317	182	124	311	153	158					321	144	177	29
"DE"	2004	"04-30"	561	179	374	540	111	420	551	220	280	533	296	214	530	240	290	540	205	335	16	553	227	326	30
"DE"	2004	"04-31"	1140	621	510	1061	313	738	1107	543	508	1065	643	406	1029	505	524	1082	549	519	17	762		762	31
"DE"	2004	"04-32"	463	229	229	439	128	306	449	189	234	435	253	168	429	198	231	439	190	244	17	454	182	272	32
"DE"	2004	"04-33"	1529	594	928	1447	312	1104	1515	616	807	1443	793	612	1416	584	832	1478	468	1010	16	1124		1124	33
"DE"	2004	"04-34"	2233	889	1327	2123	484	1607	2190	872	1199	2119	1091	986	2090	897	1193	2153	914	1209	17	1616		1616	34
"DE"	2004	"04-35"	1293	542	733	1233	322	892	1271	518	667	1225	704	485	1202	565	637					961		858	35
"DE"	2004	"04-36"	1325	496	818	1274	286	967	1300	556	644	1278	731	512	1253	575	678					1291	488	803	36
"DE"	2004	"04-37"	337	112	219	332	56	269	335	113	204	331	142	182	325	126	199					326	83	243	37
"DE"	2004	"04-38"	1672	656	1009	1613	365	1232	1650	822	809	1592	869	716	1519	600	919					1651	634	1017	38
"DE"	2004	"04-39"	1182	518	655	1142	263	865	1159	537	583	1126	665	446	1085	489	596	1145	559	586	21	1140	492	648	39
"DE"	2004	"04-40"	1151	348	791	1118	206	901	1141	490	580	1116	624	472	1095	473	622	1122	743	379	21	918		918	40
"DE"	2004	"04-41"	1030	341	676	999	190	792	1009	397	558	983	500	458	963	376	587					993	221	772	41
"DE"	2004	"05-01"	998	757	232	892	356	528	947	625	311	911	730	173	896	660	236					766	766		1
"DE"	2004	"05-02"	645	531	108	574	320	250	605	373	213	577	468	98	571	470	101	525	525		3	500	500		2
"DE"	2004	"05-03"	616	552	60	501	359	136	545	424	111	508	468	35	512	463	49	488	488		3	493	493		3
"DE"	2004	"05-04"	522	423	91	469	248	215	490	330	152	456	367	86	453	373	80	408	408		3	450	297	153	4
"DE"	2004	"05-05"	776	606	168	734	423	303	755	515	220	722	583	132	713	547	166					668	668		5
"DE"	2004	"05-06"	798	568	226	739	343	383	773	476	274	734	508	206	729	444	285	583	583		2	737	479	258	6
"DE"	2004	"05-07"	653	488	153	621	249	357	637	449	172	597	464	123	592	400	192					621	385	227	7
"DE"	2004	"05-08"	1352	760	586	1308	406	897	1336	681	639	1286	784	495	1230	686	544					1079	1079		8
"DE"	2004	"05-09"	1316	598	713	1269	263	991	1293	549	714	1251	693	542	1236	563	673					1264	342	922	9
"DE"	2004	"05-10"	519	274	243	495	124	364	506	283	214	490	319	161	482	239	243					486	217	254	10
"DE"	2004	"05-11"	679	441	235	658	225	426	668	407	250	653	447	197	638	380	258					386		386	11
"DE"	2004	"05-12"	856	424	421	816	181	624	831	371	447	808	459	342	787	403	384					786	294	492	12
"DE"	2004	"05-13"	1027	680	332	981	357	618	989	481	475	955	654	284	930	615	315					807	807		13
"DE"	2004	"05-14"	1799	808	980	1682	401	1263	1774	894	813	1699	1002	675	1688	762	926	1696	745	951	18	1754	1154	585	14
"DE"	2004	"05-15"	1131	654	467	1054	373	673	1093	562	509	1055	656	386	1031	618	413					1065	495	570	15
"DE"	2004	"05-16"	1086	970	109	981	702	271	1010	792	203	965	896	65	970	887	83	931	931		2	1000	929	71	16
"DE"	2004	"05-17"	781	459	314	737	222	511	755	415	328	728	515	207	718	465	253					758	621	137	17
"DE"	2004	"05-18"	531	349	178	509	208	294	516	287	217	498	347	145	494	318	176					323		323	18
"DE"	2004	"05-19"	1002	560	431	948	291	650	966	512	432	934	630	294	914	563	351					761	761		19
"DE"	2004	"05-20"	370	185	182	353	91	258	363	175	179	355	218	135	348	182	166					252		252	20
"DE"	2004	"05-21"	648	359	279	606	154	447	621	335	279	596	376	212	589	315	274					598	190	408	21
"DE"	2004	"05-22"	1192	485	696	1148	156	980	1175	580	590	1128	583	540	1105	435	670	910		910	6	936		936	22
"DE"	2004	"05-23"	1057	649	386	1021	294	710	1027	614	398	983	654	316	976	557	419	654		654	6	1022	545	477	23
"DE"	2004	"05-24"	781	462	308	739	232	494	748	366	360	717	469	231	705	404	301	573	573		11	585		585	24
"DE"	2004	"05-25"	818	406	402	782	211	560	802	438	353	763	454	296	747	367	380	786	306	480	10	791	274	517	25
"DE"	2004	"05-26"	1118	711	399	1040	474	550	1069	630	409	1016	667	329	993	638	355	839	839		11	836	836		26
"DE"	2004	"05-27"	1361	748	602	1307	377	916	1329	699	608	1296	793	493	1270	728	542					925		925	27
"DE"	2004	"05-28"	1685	853	822	1599	502	1074	1654	710	780	1589	976	539	1582	736	846					1353	1353		28
"DE"	2004	"05-29"	1052	339	696	988	195	778	1029	293	580	973	472	455	979	363	616					1006	333	673	29
"DE"	2004	"05-30"	1617	597	1003	1541	323	1190	1610	636	830	1527	862	609	1513	659	854	1558	586	972	16	1576	606	970	30
"DE"	2004	"05-31"	1275	696	563	1179	366	801	1244	641	561	1178	721	433	1155	592	563	1225	613	597	17	783		783	31
"DE"	2004	"05-32"	528	231	293	513	143	363	522	210	273	517	291	210	504	206	298	520	176	344	16	525	203	322	32
"DE"	2004	"05-33"	1046	403	633	995	233	752	1033	397	529	993	564	395	987	429	558	1005	283	722	16	781		781	33
"DE"	2004	"05-34"	929	326	592	914	129	776	926	344	535	901	435	450	889	298	591	916	229	687	16	770		770	34
"DE"	2004	"05-35"	421	116	299	405	73	322	418	162	233	401	207	183	374	150	224	412	222	190	21	359		337	35
"DE"	2004	"05-36"	380	121	256	370	60	307	378	124	232	370	195	169	370	152	218					373	143	230	36
"DE"	2004	"05-37"	996	287	702	978	140	825	989	364	598	977	471	499	967	361	606					988	156	832	37
"DE"	2004	"05-38"	1167	441	720	1117	254	855	1151	561	570	1090	561	519	1077	419	658					1148	404	744	38
"DE"	2004	"05-39"	1061	352	700	1028	154	863	1048	465	534	1011	577	423	988	370	618	1032	485	547	21	1040	422	618	39
"DE"	2004	"05-40"	726	274	446	713	150	559	715	345	337	692	427	255	674	329	345	714	526	188	21	576		576	40
"DE"	2004	"05-41"	1321	492	814	1288	267	1005	1294	576	657	1269	735	516	1252	510	742					1283	286	997	41
"DE"	2004	"06-01"	555	484	70	478	287	190	493	370	120	478	413	59	469	403	66					456	456		1
"DE"	2004	"06-02"	507	391	108	473	211	257	486	328	152	464	363	94	452	340	112	404	404		2	382	382		2
"DE"	2004	"06-03"	496	434	55	382	242	133	405	315	80	381	347	26	378	334	44	360	360		3	374	374		3
"DE"	2004	"06-04"	1080	697	365	1014	275	726	1045	588	437	1005	634	355	966	590	376					960	430	530	4
"DE"	2004	"06-05"	836	707	127	773	467	302	802	570	212	758	644	99	745	629	116	702	702		11	695	695		5
"DE"	2004	"06-06"	1138	562	569	1100	236	854	1114	563	544	1091	635	451	1079	473	606	769		769	4	1089	484	605	6
"DE"	2004	"06-07"	1217	650	555	1166	307	838	1198	653	526	1158	694	450	1129	542	587					1168	447	707	7
"DE"	2004	"06-08"	1413	709	693	1342	371	954	1381	599	712	1305	751	532	1291	636	655					1062	1062		8
"DE"	2004	"06-09"	1778	999	771	1690	550	1125	1737	973	744	1662	1047	598	1641	939	702	1670	802	868	10	1652	739	913	9
"DE"	2004	"06-10"	647	269	375	626	85	541	638	299	336	621	304	315	600	212	388	503		503	4	603	163	437	10
"DE"	2004	"06-11"	975	512	452	953	214	731	965	501	454	946	545	392	920	434	486	680		680	4	705		705	11
"DE"	2004	"06-12"	1433	689	734	1387	227	1155	1411	714	685	1364	725	630	1341	535	806					1356	360	996	12
"DE"	2004	"06-13"	1001	611	380	946	271	667	976	505	450	932	628	289	928	562	366					777	777		13
"DE"	2004	"06-14"	1763	769	986	1700	485	1202	1737	831	843	1686	929	730	1659	770	889	1660	710	950	18	1726	1145	570	14
"DE"	2004	"06-15"	1197	744	442	1122	452	654	1163	640	496	1115	755	334	1106	674	432	1105	635	470	10	1125	649	476	15
"DE"	2004	"06-16"	492	471	20	404	298	102	432	343	82	412	391	19	405	370	35	418	418		2	429	401	28	16
"DE"	2004	"06-17"	733	560	170	690	345	335	715	477	225	692	547	138	679	523	156					693	589	104	17
"DE"	2004	"06-18"	878	580	288	827	370	447	842	478	348	823	585	224	808	538	270					522		522	18
"DE"	2004	"06-19"	573	334	231	537	207	324	548	283	253	524	337	179	515	315	200					406	406		19
"DE"	2004	"06-20"	942	493	441	913	186	718	927	490	427	895	520	370	874	450	424					658		658	20
"DE"	2004	"06-21"	1006	473	522	977	193	772	995	499	482	962	556	399	941	402	539					962	230	732	21
"DE"	2004	"06-22"	1458	646	801	1417	261	1144	1437	720	702	1396	766	618	1370	587	783					1146		1146	22
"DE"	2004	"06-23"	603	380	217	570	229	318	573	314	230	555	356	171	543	330	213	354		354	6	558	341	217	23
"DE"	2004	"06-24"	882	581	290	820	346	450	843	463	357	813	562	231	800	527	273	672	672		11	555		555	24
"DE"	2004	"06-25"	996	561	425	957	255	687	979	557	406	940	582	349	922	471	451	944	292	652	10	960	300	660	25
"DE"	2004	"06-26"	864	525	333	820	304	510	841	443	370	802	525	259	795	486	309					674	674		26
"DE"	2004	"06-27"	840	533	301	782	323	447	815	460	340	780	526	241	763	486	277					486		486	27
"DE"	2004	"06-28"	229	98	131	217	63	152	230	89	109	216	137	71	216	104	112					199	199		28
"DE"	2004	"06-29"	1217	357	848	1174	213	939	1204	355	684	1144	507	589	1148	372	776					1187	388	799	29
"DE"	2004	"06-30"	1070	355	700	1035	205	822	1055	437	535	1011	537	444	1006	410	596	1035	340	695	16	1037	442	595	30
"DE"	2004	"06-31"	887	508	374	843	297	538	869	432	397	829	555	257	832	467	365	855	472	361	17	627		627	31
