state	year	county	precinct	cd	cd2	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2
"AL"	2008	"BALDWIN"	"FAIRHOPE CIVIC CTR #4"	1		673	1864	2553	541	1984	2529	0	2087	2117			
"AL"	2008	"BALDWIN"	"FAIRHOPE CIVIC CTR #5"	1		745	2153	2931	591	2301	2896	0	2390	2422			
"AL"	2008	"BALDWIN"	"FERGUSON STORE-LITTLE RIVER"	1		53	101	155	48	106	154	0	109	110			
"AL"	2008	"BALDWIN"	"FOLEY CIVIC CTR #1"	1		324	654	985	277	680	960	0	742	757			
"AL"	2008	"BALDWIN"	"FOLEY CIVIC CTR #2"	1		500	1134	1645	431	1191	1622	0	1298	1309			
"AL"	2008	"BALDWIN"	"FOLEY CIVIC CTR #3"	1		532	1104	1646	465	1147	1615	0	1275	1297			
"AL"	2008	"BALDWIN"	"FORT MORGAN VFD STA #2"	1		89	295	389	67	318	385	0	328	330			
"AL"	2008	"BALDWIN"	"GATESWOOD FIRE STA"	1		27	168	198	23	175	198	0	182	183			
"AL"	2008	"BALDWIN"	"GULF SHORES ACTIVITY #1"	1		508	1784	2322	416	1868	2290	0	1977	2005			
"AL"	2008	"BALDWIN"	"GULF SHORES ACTIVITY #2"	1		460	1687	2169	374	1769	2150	0	1858	1873			
"AL"	2008	"BALDWIN"	"GULF SHORES ACTIVITY #3"			0	0	0	0	0	0						
"AL"	2008	"BALDWIN"	"JOSEPHINE FIRE HOUSE"	1		87	377	469	72	391	467	0	408	411			
"AL"	2008	"BALDWIN"	"LILLIAN COMM #1"	1		367	1066	1454	296	1137	1435	0	1169	1186			
"AL"	2008	"BALDWIN"	"LILLIAN COMM #2"	1		376	1070	1473	320	1125	1446	0	1158	1178			
"AL"	2008	"BALDWIN"	"LOTTIE FIRE DEPT"	1		18	120	141	14	128	142	0	129	130			
"AL"	2008	"BALDWIN"	"LOXLEY TOWN HALL"	1		155	828	994	142	841	985	0	869	880			
"AL"	2008	"BALDWIN"	"LXLEY ELLISVILLE COMM CTR"	1		202	233	439	200	234	434	0	248	252			
"AL"	2008	"BALDWIN"	"MAGNOLIA SPRGS WESLEYAN #1"	1		630	1539	2184	544	1610	2156	0	1742	1762			
"AL"	2008	"BALDWIN"	"MAGNOLIA SPRGS WESLEYAN #2"	1		99	208	307	93	210	303	0	237	244			
"AL"	2008	"BALDWIN"	"MARLOW VOL FIRE"	1		398	1301	1718	308	1381	1689	0	1414	1439			
"AL"	2008	"BALDWIN"	"MIFLIN COMM CTR"	1		318	1370	1700	251	1427	1682	0	1492	1502			
"AL"	2008	"BALDWIN"	"ORANGE BEACH COMM CTR #1"	1		352	1771	2142	260	1844	2111	0	1877	1899			
"AL"	2008	"BALDWIN"	"ORANGE BEACH COMM CTR #2"	1		267	1322	1602	205	1376	1583	0	1432	1440			
"AL"	2008	"BALDWIN"	"ORANGE BEACH COMM CTR #3"			0	0	0	0	0	0						
"AL"	2008	"BALDWIN"	"PERDIDO BCH FIRE HSE"	1		124	423	551	107	437	544	0	454	463			
"AL"	2008	"BALDWIN"	"PINE GROVE VOL FIRE DEPT #1"	1		197	667	875	183	680	864	0	704	712			
"AL"	2008	"BALDWIN"	"PRDIDO ELEM SCH"	1		105	459	571	104	451	555	0	469	474			
"AL"	2008	"BALDWIN"	"Provisional"	1		24	79	104	20	80	100	0	88	88			
"AL"	2008	"BALDWIN"	"PT. CLEAR ST FRANCIS"	1		310	548	867	280	578	859	0	608	614			
"AL"	2008	"BALDWIN"	"RABUN FIRE HOUSE"	1		59	420	484	58	418	477	0	425	431			
"AL"	2008	"BALDWIN"	"ROBERTSDALE CITY HALL #1"	1		283	1092	1384	231	1132	1364	0	1191	1203			
"AL"	2008	"BALDWIN"	"ROBERTSDALE CITY HALL #2"	1		200	862	1070	180	875	1056	0	924	937			
"AL"	2008	"BALDWIN"	"ROCKWELL ELEM SCH"	1		546	1802	2371	472	1871	2347	0	1954	1978			
"AL"	2008	"BALDWIN"	"SEMINOLE FIRE HOUSE"	1		83	420	506	67	416	483	0	416	421			
"AL"	2008	"BALDWIN"	"SILVERHILL TOWN HALL"	1		319	1516	1855	276	1544	1827	0	1621	1638			
"AL"	2008	"BALDWIN"	"SPANISH FORT FIRE DEPT"	1		252	1432	1695	216	1462	1682	0	1499	1515			
"AL"	2008	"BALDWIN"	"STAPLETON COMM CTR"	1		110	760	874	94	770	866	0	778	791			
"AL"	2008	"BALDWIN"	"STOCKTON FIRE HOUSE"	1		38	379	417	31	381	413	0	376	379			
"AL"	2008	"BALDWIN"	"SUMMERDALE COMM CTR"	1		239	1243	1495	200	1278	1478	0	1304	1322			
"AL"	2008	"BALDWIN"	"TENSAW VOL FIRE DEPT"	1		120	29	149	115	30	145	0	43	44			
"AL"	2008	"BALDWIN"	"VAUGHN COMM CTR"	1		243	143	387	230	149	379	0	183	188			
"AL"	2008	"BALDWIN"	"WHITE HOUSE VOL FIRE"	1		129	645	775	112	654	767	0	665	668			
"AL"	2008	"BARBOUR"	"ABSENTEE VOTERS"	2		416	463	882	391	461	852	504	352	856			
"AL"	2008	"BARBOUR"	"BAKERHILL TOWN HALL"	2		295	316	615	287	298	585	366	230	596			
"AL"	2008	"BARBOUR"	"BEVILL CENTER"	2		98	477	579	100	465	565	183	383	566			
"AL"	2008	"BARBOUR"	"BLUE SPRINGS CITY HALL"	2		94	277	379	95	267	362	195	177	372			
"AL"	2008	"BARBOUR"	"CHATT CTS COMM_ CENTER"	2		838	364	1203	802	368	1170	880	301	1181			
"AL"	2008	"BARBOUR"	"CLAYTON COURTHOUSE"	2		591	278	874	542	294	836	650	198	848			
"AL"	2008	"BARBOUR"	"CLIO CITY HALL"	2		286	305	592	261	298	559	378	202	580			
"AL"	2008	"BARBOUR"	"COWIKEE VOLUNTEER FIRE"	2		197	77	275	198	69	267	211	59	270			
"AL"	2008	"BARBOUR"	"ELAMVILLE VOLUNTEER FIRE"	2		28	85	113	34	79	113	58	55	113			
"AL"	2008	"BARBOUR"	"EUFAULA COMMUNITY CTR"	2		335	583	927	343	565	908	439	473	912			
"AL"	2008	"BARBOUR"	"EUFAULA WATER BOARD"	2		611	374	989	571	381	952	649	313	962			
"AL"	2008	"BARBOUR"	"FELLOWSHIP BAPTIST CHURCH"	2		269	762	1035	284	720	1004	399	620	1019			
"AL"	2008	"BARBOUR"	"GREENS CROSS ROADS"	2		62	111	174	55	106	161	113	58	171			
"AL"	2008	"BARBOUR"	"LOUISVILLE CITY HALL"	2		377	339	721	342	339	681	506	190	696			
"AL"	2008	"BARBOUR"	"MT_ ANDREWS COMMUNITY CENTER"	2		173	16	189	165	19	184	176	12	188			
"AL"	2008	"BARBOUR"	"PROVISIONAL"	2		12	4	16	11	5	16	12	4	16			
"AL"	2008	"BARBOUR"	"SANFORD AVE GYM"	2		494	514	1013	463	531	994	574	418	992			
"AL"	2008	"BARBOUR"	"SPRINGHILL VOLUNTEER FIRE"	2		208	81	289	196	80	276	208	68	276			
"AL"	2008	"BARBOUR"	"SUTTONS RESTAURANT"	2		67	62	129	59	64	123	77	48	125			
"AL"	2008	"BARBOUR"	"TEXASVILLE COMM_ CTR_"	2		48	62	111	45	56	101	67	41	108			
"AL"	2008	"BARBOUR"	"WHITE OAK METHODIST CHURCH"	2		198	316	516	191	307	498	256	245	501			
"AL"	2008	"BIBB"	"ABSENTEE"	6		67	181	249	59	186	246	0	198	200			
"AL"	2008	"BIBB"	"ALTERNATIVE SCHOOL"	6		475	1162	1662	488	1167	1655	0	1227	1246			
"AL"	2008	"BIBB"	"BRENT CITY HALL"	6		703	329	1037	668	345	1013	0	389	408			
"AL"	2008	"BIBB"	"BRENT NORTH LIBRARY"	6		285	944	1236	260	965	1225	0	987	994			
"AL"	2008	"BIBB"	"BRIERFIELD FIRE DEPT_"	6		178	588	775	180	584	764	0	623	637			
"AL"	2008	"BIBB"	"CENTREVILLE ROCK BLDG_"	6		270	827	1106	262	831	1094	0	848	858			
"AL"	2008	"BIBB"	"EOLINE FIRE DEPARTMENT"	6		74	568	647	75	560	636	0	559	568			
"AL"	2008	"BIBB"	"GREENPOND FIRE DEPT_"	6		155	1293	1466	183	1266	1450	0	1317	1347			
"AL"	2008	"BIBB"	"LAWLEY COMMUNITY CTR_"	6		82	355	440	82	356	439	0	365	372			
"AL"	2008	"BIBB"	"PROVISIONAL"	6		10	15	26	10	16	26	0	16	17			
"AL"	2008	"BLOUNT"	"Absentee"	4		116	581	709	105	590	696	125	566	691			
"AL"	2008	"BLOUNT"	"Allgood Town Hall"	4		45	450	500	52	442	494	72	415	488			
"AL"	2008	"BLOUNT"	"Blount Springs"	4		42	244	292	45	242	287	55	227	282			
"AL"	2008	"BLOUNT"	"Blountsville"	4		295	1270	1583	269	1281	1554	305	1227	1538			
"AL"	2008	"BLOUNT"	"Brooksville"	4		76	317	400	63	325	391	79	302	383			
"AL"	2008	"BLOUNT"	"Cleveland"	4		211	942	1181	226	919	1145	265	855	1123			
"AL"	2008	"BLOUNT"	"Dallas - Selfville"	4		184	1100	1297	196	1072	1272	253	1000	1256			
"AL"	2008	"BLOUNT"	"Hayden #1"	4		150	1001	1165	164	982	1148	196	947	1144			
"AL"	2008	"BLOUNT"	"Hayden #2"	4		136	1004	1155	141	1004	1146	167	965	1132			
"AL"	2008	"BLOUNT"	"Holly Springs"	4		22	287	315	32	275	307	33	268	302			
"AL"	2008	"BLOUNT"	"Locust Fork"	4		182	1205	1403	186	1190	1378	239	1124	1364			
"AL"	2008	"BLOUNT"	"Mt. High"	4		160	1368	1548	191	1335	1531	223	1291	1517			
"AL"	2008	"BLOUNT"	"Murphree Valley"	4		72	526	603	86	510	597	95	491	586			
"AL"	2008	"BLOUNT"	"Nectar"	4		146	860	1025	147	867	1014	174	826	1001			
"AL"	2008	"BLOUNT"	"Oneonta #1"	4		301	882	1202	266	916	1184	290	881	1174			
"AL"	2008	"BLOUNT"	"Oneonta #2"	4		262	1065	1346	244	1083	1329	284	1031	1316			
"AL"	2008	"BLOUNT"	"Pine Mountain"	4		49	356	411	49	354	403	48	352	400			
"AL"	2008	"BLOUNT"	"Provisional"	4		4	27	31	6	23	29	7	24	31			
"AL"	2008	"BLOUNT"	"Remlap Baptist Church"	4		107	894	1020	102	905	1011	138	863	1004			
"AL"	2008	"BLOUNT"	"Rock Springs"	4		70	405	484	77	397	475	88	383	471			
"AL"	2008	"BLOUNT"	"Rosa"	4		109	620	740	103	625	730	117	597	717			
"AL"	2008	"BLOUNT"	"Royal"	4		58	327	393	75	315	391	85	298	385			
"AL"	2008	"BLOUNT"	"Smoke Rise"	4		148	1021	1191	137	1035	1174	170	997	1167			
"AL"	2008	"BLOUNT"	"Snead"	4		168	857	1046	148	889	1038	174	858	1034			
"AL"	2008	"BLOUNT"	"St. Mountain"	4		124	1388	1526	149	1342	1494	166	1312	1480			
"AL"	2008	"BLOUNT"	"Sugar Creek - Bangor"	4		49	410	461	67	385	454	77	370	449			
"AL"	2008	"BLOUNT"	"Summit"	4		101	258	370	102	260	363	109	256	365			
"AL"	2008	"BLOUNT"	"Susan Moore"	4		135	724	870	130	723	855	161	681	845			
"AL"	2008	"BULLOCK"	"Aberfoil"	2		117	65	182	111	62	173	129	52	181			
"AL"	2008	"BULLOCK"	"Absentee"	2		319	74	393	302	77	379	339	46	385			
"AL"	2008	"BULLOCK"	"Corinth"	2		15	38	54	17	38	55	28	26	54			
"AL"	2008	"BULLOCK"	"Cornerstone Fire"	2		189	57	246	178	55	233	192	43	235			
"AL"	2008	"BULLOCK"	"Fitzpatrick Fire"	2		123	194	320	106	200	306	139	178	317			
"AL"	2008	"BULLOCK"	"Guerryton"	2		73	3	76	68	7	75	74	2	76			
"AL"	2008	"BULLOCK"	"Indian Creek"	2		89	44	133	81	47	128	95	35	130			
"AL"	2008	"BULLOCK"	"Inverness"	2		32	70	102	30	63	93	62	37	99			
"AL"	2008	"BULLOCK"	"Midway"	2		593	28	622	554	40	594	583	24	607			
"AL"	2008	"BULLOCK"	"Peachburg"	2		94	21	116	88	26	114	97	19	116			
"AL"	2008	"BULLOCK"	"Perote"	2		75	82	157	67	83	150	81	70	151			
"AL"	2008	"BULLOCK"	"Post Oak"	2		68	208	276	73	197	270	117	153	271			
"AL"	2008	"BULLOCK"	"Provisional"	2		10	2	12	10	2	12	10	2	12			
"AL"	2008	"BULLOCK"	"Sardis"	2		157	26	183	138	35	173	151	28	179			
"AL"	2008	"BULLOCK"	"Thompson New Mt. Pleasant"	2		73	47	120	63	49	112	85	33	118			
"AL"	2008	"BULLOCK"	"Three Notch"	2		70	15	85	64	16	80	70	14	84			
"AL"	2008	"BULLOCK"	"Union Spgs.-Armory #1"	2		888	166	1056	824	183	1009	896	132	1031			
"AL"	2008	"BULLOCK"	"Union Spgs.-Armory #2"	2		1026	251	1282	960	286	1247	1065	193	1259			
"AL"	2008	"BUTERL"	"ABSENTEE VOTERS"	2		237	289	526	229	287	516	309	209	518			
"AL"	2008	"BUTERL"	"BOLLING VOTING HOUSE"	2		42	76	118	42	77	119	61	58	119			
"AL"	2008	"BUTERL"	"CENTER HILL - VOTING HOUSE"	2		90	46	136	80	56	136	100	35	135			
"AL"	2008	"BUTERL"	"CENTRAL VOL_ FIRE DEPT_"	2		249	233	483	230	243	473	312	160	472			
"AL"	2008	"BUTERL"	"CHAPMAN POST OFFICE"	2		45	125	173	45	125	170	90	81	171			
"AL"	2008	"BUTERL"	"DUNBAR COMMUNITY CENTER #1"	2		410	105	516	386	120	506	433	75	508			
"AL"	2008	"BUTERL"	"DUNBAR COMMUNITY CENTER #2"	2		370	105	477	349	117	466	386	83	469			
"AL"	2008	"BUTERL"	"FOREST HOME - VOTING HOUSE"	2		46	109	155	45	108	153	81	73	154			
"AL"	2008	"BUTERL"	"FRIENDSHIP"	2		7	145	152	9	141	150	48	101	149			
"AL"	2008	"BUTERL"	"GARLAND - VOTING HOUSE"	2		99	179	278	80	187	267	132	141	273			
"AL"	2008	"BUTERL"	"GEORGIANA ARMORY #1"	2		198	182	381	184	188	372	243	131	374			
"AL"	2008	"BUTERL"	"GEORGIANA ARMORY #2"	2		410	169	579	382	178	560	449	120	569			
"AL"	2008	"BUTERL"	"HARRISON - VOTING HOUSE"	2		39	186	228	37	186	223	100	123	223			
"AL"	2008	"BUTERL"	"HEALTH DEPARTMENT #1"	2		204	508	714	179	525	704	324	379	703			
"AL"	2008	"BUTERL"	"HEALTH DEPARTMENT #2"	2		184	410	597	161	424	585	293	291	584			
"AL"	2008	"BUTERL"	"INDUSTRY"	2		13	121	134	19	113	132	47	84	131			
"AL"	2008	"BUTERL"	"MANNINGHAM - VOTING HOUSE"	2		132	111	245	118	117	235	154	79	233			
"AL"	2008	"BUTERL"	"MCKENZIE TOWN HALL"	2		125	267	396	117	258	375	230	151	381			
"AL"	2008	"BUTERL"	"MCLAINS - VOTING HOUSE"	2		122	397	522	117	398	515	240	269	509			
"AL"	2008	"BUTERL"	"MIDWAY - VOTING HOUSE"	2		83	171	255	75	169	244	122	124	246			
"AL"	2008	"BUTERL"	"MONTEREY-OLD SCHOOL HOUSE"	2		48	18	66	40	24	64	48	18	66			
"AL"	2008	"BUTERL"	"NEW ARMORY #1"	2		522	375	898	491	396	887	602	284	886			
"AL"	2008	"BUTERL"	"NEW ARMORY #2"	2		220	288	509	207	288	495	287	212	499			
"AL"	2008	"BUTERL"	"PROVIDENCE - VOTING HOUSE"	2		126	317	445	121	312	433	199	237	436			
"AL"	2008	"BUTERL"	"PROVISIONAL VOTERS"	2		11	9	20	11	9	20	14	5	19			
"AL"	2008	"BUTERL"	"ROCKY CREEK - VOTING HOUSE"	2		65	263	329	66	265	331	147	183	330			
"AL"	2008	"BUTERL"	"SEARCY - VOLUNTEER FIRE DEPT_"	2		61	144	205	56	145	201	94	110	204			
"AL"	2008	"BUTERL"	"STEINERS STORE"	2		30	137	169	19	144	163	78	87	165			
"AL"	2008	"CALHOUN"	"1ST UNITED METHODIST-WEAVER #1"	3		338	1055	1413	341	1042	1384	429	954	1386			
"AL"	2008	"CALHOUN"	"1ST UNITED METHODIST-WEAVER #2"	3		196	638	847	198	632	832	242	593	835			
"AL"	2008	"CALHOUN"	"ABSENTEE VOTERS"	3		667	1066	1751	602	1095	1698	681	1027	1710			
"AL"	2008	"CALHOUN"	"ALEXANDRIA-CIVITAN CLUB CNTR"	3		428	1731	2179	422	1688	2113	552	1588	2146			
"AL"	2008	"CALHOUN"	"ANGEL FIRE STATION"	3		107	511	623	103	508	611	162	448	610			
"AL"	2008	"CALHOUN"	"ANNISTON - CARVER CENTER"	3		428	1	430	405	15	420	402	24	426			
"AL"	2008	"CALHOUN"	"ANNISTON - FIRST PRESBYTERIAN"	3		547	401	963	507	439	947	561	392	954			
"AL"	2008	"CALHOUN"	"ANNISTON - MEETING CENTER"	3		696	77	774	662	92	754	658	100	758			
"AL"	2008	"CALHOUN"	"ANNISTON - MENTAL HEALTH CNTR"	3		168	295	466	134	322	457	166	293	460			
"AL"	2008	"CALHOUN"	"ANNISTON - THANKFUL BAPTIST"	3		401	41	443	382	47	429	367	69	436			
"AL"	2008	"CALHOUN"	"ANNISTON-GOLDEN SPRINGS COMM 1"	3		325	991	1335	297	1002	1304	386	926	1315			
"AL"	2008	"CALHOUN"	"ANNISTON-GOLDEN SPRINGS COMM 2"	3		563	1108	1682	512	1138	1651	617	1037	1654			
"AL"	2008	"CALHOUN"	"ASBERRY BAPTIST CHURCH"	3		156	828	1001	171	799	972	238	745	984			
"AL"	2008	"CALHOUN"	"BETHEL UNITED METHODIST CHURCH"	3		53	217	273	71	197	269	83	186	269			
"AL"	2008	"CALHOUN"	"BETTA VIEW CHURCH OF CHRIST #1"	3		233	883	1128	265	844	1112	315	798	1117			
"AL"	2008	"CALHOUN"	"BETTA VIEW CHURCH OF CHRIST #2"	3		216	877	1109	222	863	1087	293	799	1093			
"AL"	2008	"CALHOUN"	"BOILING SPRINGS BAPTIST"	3		73	421	498	78	407	488	126	364	491			
"AL"	2008	"CALHOUN"	"BYNUM SCHOOL"	3		385	1505	1911	420	1455	1876	527	1353	1882			
"AL"	2008	"CALHOUN"	"CALHOUN COUNTY HEALTH DEPT_"	3		476	269	754	439	301	740	465	277	742			
"AL"	2008	"CALHOUN"	"CHOCCOLOCCO COMMUNITY CENTER"	3		213	854	1077	218	840	1060	272	787	1061			
"AL"	2008	"CALHOUN"	"CHURCH OF THE COVENANT"	3		332	256	596	315	276	591	333	261	595			
"AL"	2008	"CALHOUN"	"DEARMANVILLE UNITED METHODIST"	3		165	603	777	166	599	766	208	562	773			
"AL"	2008	"CALHOUN"	"EULATON-UNITED METHODIST"	3		169	554	726	178	538	717	213	506	722			
"AL"	2008	"CALHOUN"	"FOUR MILE - METHODIST CHURCH"	3		87	325	420	86	328	414	117	297	414			
"AL"	2008	"CALHOUN"	"FRIENDSHIP BAPTIST CHURCH"	3		129	668	815	137	664	801	191	608	801			
"AL"	2008	"CALHOUN"	"FRIENDSHIP COMMUNITY CENTER"	3		229	1149	1400	216	1154	1373	315	1060	1380			
"AL"	2008	"CALHOUN"	"GLENWOOD MEADOWS MEETING ROOM"	3		536	670	1218	465	735	1202	532	670	1206			
"AL"	2008	"CALHOUN"	"GODS COVENANT MINISTRY"	3		205	413	621	228	383	611	256	360	617			
"AL"	2008	"CALHOUN"	"HOBSON CITY - CITY HALL"	3		382	21	404	339	53	392	322	69	391			
"AL"	2008	"CALHOUN"	"JACKSONVILLE NATL GUARD ARMORY"	3		493	879	1402	465	918	1384	534	850	1385			
"AL"	2008	"CALHOUN"	"JACKSONVILLE-FIRST BAPTIST"	3		436	1013	1471	388	1056	1446	459	988	1449			
"AL"	2008	"CALHOUN"	"JACKSONVILLE-WESTSIDE BAPTIST"	3		680	340	1030	605	398	1005	628	383	1013			
"AL"	2008	"CALHOUN"	"LEATHERWOOD RD CIVIL DEFENSE"	3		281	971	1264	268	980	1248	343	914	1257			
"AL"	2008	"CALHOUN"	"MOORE AVENUE CHURCH OF CHRIST"	3		952	113	1067	892	142	1036	888	162	1052			
"AL"	2008	"CALHOUN"	"OAK GROVE BAPT_ CHURCH"	3		80	579	668	98	563	662	140	521	662			
"AL"	2008	"CALHOUN"	"OHATCHEE FIRST BAPTIST CHURCH"	3		297	1092	1405	335	1030	1369	451	934	1385			
"AL"	2008	"CALHOUN"	"OXFORD - CHEAHA CLUBHOUSE C_C_"	3		138	514	659	151	495	646	188	465	653			
"AL"	2008	"CALHOUN"	"OXFORD - OXFORD LAKE PARK C_C_"	3		223	426	655	228	419	648	273	373	647			
"AL"	2008	"CALHOUN"	"OXFORD POLICE DEPT_"	3		234	397	641	227	398	625	265	364	629			
"AL"	2008	"CALHOUN"	"PIEDMONT COMMUNITY BUILDING"	3		130	263	398	122	269	391	147	242	390			
"AL"	2008	"CALHOUN"	"PIEDMONT FIRE STATION"	3		160	544	713	172	521	694	231	470	702			
"AL"	2008	"CALHOUN"	"PIEDMONT NATIONAL GUARD ARMORY"	3		166	502	679	177	486	664	222	446	668			
