state	year	cd	county	precinct	vtd	g2002_ATG_dv	g2002_ATG_rv	g2002_TRE_dv	g2002_TRE_rv	g2002_GOV_dv	g2002_GOV_rv	g2002_USS_rv	g2002_SOS_dv	g2002_SOS_rv	g2002_USH_dv	g2002_USH_rv
"KS"	2002	2	"ANDERSON"	"PROVISIONAL"	"999999"	6	12	10	7	9	9	12	6	11	4	14
"KS"	2002	2	"ANDERSON"	"Putnam Township"	"000170"	54	48	54	47	51	45	80	38	59	40	57
"KS"	2002	2	"ANDERSON"	"Reeder Township"	"000180"	39	31	42	29	39	31	52	26	42	28	40
"KS"	2002	2	"ANDERSON"	"Rich Township"	"000190"	22	36	29	26	44	14	47	17	46	9	52
"KS"	2002	2	"ANDERSON"	"Walker Township"	"000200"	65	42	70	32	59	40	74	51	39	54	48
"KS"	2002	2	"ANDERSON"	"Washington Township"	"000210"	23	41	29	37	36	33	59	15	48	11	56
"KS"	2002	2	"ANDERSON"	"Welda Township"	"000220"	53	49	42	55	66	32	83	31	70	31	70
"KS"	2002	2	"ANDERSON"	"Westphalia City"	"000230"	20	15	21	14	18	16	27	12	20	12	22
"KS"	2002	2	"ANDERSON"	"Westphalia Township"	"000240"	32	44	31	40	37	40	59	24	47	20	58
"KS"	2002	2	"ATCHISON"	"ADVANCE"	"999998"	402	262	446	226	492	186	406	377	272	462	218
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 1"	"000010"	93	92	100	83	106	75	124	89	93	113	66
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 2 East"	"000020"	94	86	93	88	105	79	135	72	107	108	74
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 2 West"	"000030"	100	94	116	79	121	86	136	85	110	129	77
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 3 East"	"000040"	180	207	191	187	207	180	275	145	222	210	179
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 3 West Exclave"	"00005B"	0	0	0	0			0			0	0
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 3 West"	"00005A"	220	166	244	141	268	125	229	208	164	246	148
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 4 Exclave A"	"00006B"	0	0	0	0			0			0	0
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 4 Exclave B"	"00006C"	0	0	0	0			0			0	0
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 4"	"00006A"	194	132	219	118	231	109	199	176	144	244	97
"KS"	2002		"ATCHISON"	"Atchison Precinct 5 North Exclave A"	"00007B"	0	0					0				
"KS"	2002		"ATCHISON"	"Atchison Precinct 5 North Exclave B"	"00007C"	0	0					0				
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 5 North"	"00007A"	214	202	232	181	251	159	288	183	213	258	159
"KS"	2002		"ATCHISON"	"Atchison Precinct 5 South Exclave A"	"00008B"							0				
"KS"	2002	2	"ATCHISON"	"Atchison Precinct 5 South"	"00008A"	103	99	116	90	119	88	145	91	111	117	88
"KS"	2002	2	"ATCHISON"	"Benton Township"	"000090"	176	176	158	192	219	132	280	96	248	170	182
"KS"	2002	2	"ATCHISON"	"Center Township"	"000100"	68	130	59	141	86	116	177	34	158	70	132
"KS"	2002	2	"ATCHISON"	"Grasshopper Township"	"000110"	77	121	54	142	92	106	168	41	150	72	123
"KS"	2002	2	"ATCHISON"	"Huron Township"	"000120"	30	26	30	21	33	22	42	21	33	38	17
"KS"	2002	2	"ATCHISON"	"Kapioma Township"	"000130"	57	47	45	61	66	37	78	30	68	41	61
"KS"	2002	2	"ATCHISON"	"Lancaster Township"	"000140"	91	108	102	98	146	57	154	63	125	108	94
"KS"	2002	2	"ATCHISON"	"Mount Pleasant Township"	"000150"	80	117	86	111	99	95	147	71	120	96	101
"KS"	2002	2	"ATCHISON"	"PROVISIONAL"	"999999"	78	64	81	57	79	36	89	66	64	89	53
"KS"	2002	2	"ATCHISON"	"Shannon Township"	"00016A"	203	240	221	229	246	196	330	166	270	252	200
"KS"	2002	2	"ATCHISON"	"Walnut Township Enclave"	"00017B"	1		1		1		0	1	0	1	
"KS"	2002	2	"ATCHISON"	"Walnut Township"	"00017A"	69	55	75	48	70	52	78	57	66	79	47
"KS"	2002	1	"BARBER"	"ADVANCE"	"999998"	59	59	58	62	68	55	109	37	79		103
"KS"	2002	1	"BARBER"	"Aetna Township"	"000010"	3	0	3	0		3	3	2	1		3
"KS"	2002	1	"BARBER"	"Deerhead Township"	"000020"	1	2	1	2	2	1	3	0	3		2
"KS"	2002	1	"BARBER"	"Eagle Township"	"000030"	5	13	4	13	5	14	18	0	14		18
"KS"	2002	1	"BARBER"	"Elm Mills Township"	"000040"	17	26	16	26	17	25	36	13	29		38
"KS"	2002	1	"BARBER"	"Elwood Township"	"000050"	46	49	52	42	57	36	74	37	52		72
"KS"	2002	1	"BARBER"	"Hazelton Township"	"000060"	34	37	35	35	40	29	62	23	44		58
"KS"	2002	1	"BARBER"	"Kiowa East Township"	"000070"	96	164	86	161	103	156	240	49	197		243
"KS"	2002	1	"BARBER"	"Kiowa West Township"	"000080"	66	107	73	97	92	82	159	38	124		157
"KS"	2002	1	"BARBER"	"Lake City Township"	"000090"	15	15	17	12	13	14	23	12	15		21
"KS"	2002	1	"BARBER"	"McAdoo Township"	"000100"	6	6	3	9	4	8	10	3	9		11
"KS"	2002	1	"BARBER"	"Medicine Lodge Precinct 1"	"000110"	112	132	98	138	129	115	215	64	169		213
"KS"	2002		"BARBER"	"Medicine Lodge Precinct 2 Exclave"	"00012B"			0	0							
"KS"	2002	1	"BARBER"	"Medicine Lodge Precinct 2"	"00012A"	89	115	66	129	95	106	185	44	149		179
"KS"	2002	1	"BARBER"	"Medicine Lodge Precinct 3"	"000130"	59	85	56	85	72	72	133	34	98		132
"KS"	2002	1	"BARBER"	"Medicine Lodge Precinct 4"	"000140"	37	64	41	59	40	62	93	25	73		91
"KS"	2002	1	"BARBER"	"Medicine Lodge Precinct 5"	"000150"	7	11	5	13	7	11	17	5	12		16
"KS"	2002	1	"BARBER"	"Mingona Township"	"000160"	10	8	6	11	11	8	14	7	10		17
"KS"	2002	1	"BARBER"	"Moore Township"	"000170"	1	5	3	4	4	3	6	1	6		7
"KS"	2002	1	"BARBER"	"Nippawalla Township"	"000180"	4	4	3	5	2	5	8	1	6		7
"KS"	2002	1	"BARBER"	"PROVISIONAL"	"999999"	6	20	8	18	11	16	23	6	19		23
"KS"	2002		"BARBER"	"Ridge Township"	"000190"			0	0							
"KS"	2002	1	"BARBER"	"Sharon Township"	"000200"	61	75	44	85	43	95	123	31	90		122
"KS"	2002	1	"BARBER"	"Sun City Township"	"000210"	6	21	17	8	7	17	21	7	16		23
"KS"	2002	1	"BARBER"	"Turkey Creek Township"	"000220"	2	8	2	6	2	8	9	1	8		9
"KS"	2002	1	"BARBER"	"Valley Township"	"000230"	26	25	31	20	24	27	44	12	38		44
"KS"	2002	1	"BARTON"	"ADVANCE"	"999998"	601	622	572	653	756	485	1075	388	809		1131
"KS"	2002	1	"BARTON"	"Albion Township"	"000010"	7	13	9	11	10	10	21	5	15		22
"KS"	2002	1	"BARTON"	"Beaver Township"	"000020"	25	14	19	25	23	20	44	7	31		45
"KS"	2002	1	"BARTON"	"Buffalo Township"	"000030"	80	93	56	116	82	88	164	23	139		162
"KS"	2002	1	"BARTON"	"Cheyenne Township"	"000040"	44	58	41	62	32	67	95	26	67		98
"KS"	2002	1	"BARTON"	"Clarence Township"	"000050"	16	29	12	32	21	25	39	5	38		42
"KS"	2002	1	"BARTON"	"Cleveland Township"	"000060"	12	13	10	17	9	15	23	7	17		26
"KS"	2002	1	"BARTON"	"Comanche Township"	"000070"	50	90	38	99	53	89	137	22	111		136
"KS"	2002	1	"BARTON"	"Eureka Township"	"000080"	22	18	21	19	19	19	36	6	29		40
"KS"	2002	1	"BARTON"	"Fairview Township"	"000090"	16	35	12	39	26	25	49	8	38		50
"KS"	2002	1	"BARTON"	"Grant Township"	"000100"	15	12	14	13	12	16	28	3	22		27
"KS"	2002	1	"BARTON"	"Great Bend City Ward 1 Precinct 1"	"00011A"	115	115	102	127	132	92	196	74	144		203
"KS"	2002	1	"BARTON"	"Great Bend City Ward 1 Precinct 2"	"000120"	138	131	101	162	157	111	253	71	191		256
"KS"	2002	1	"BARTON"	"Great Bend City Ward 1 Precinct 3"	"000130"	118	147	97	165	120	142	251	53	209		255
"KS"	2002	1	"BARTON"	"Great Bend City Ward 2 Precinct 1"	"000140"	215	204	155	263	233	193	394	101	318		401
"KS"	2002	1	"BARTON"	"Great Bend City Ward 2 Precinct 2"	"000150"	221	224	166	276	214	231	408	96	332		422
"KS"	2002	1	"BARTON"	"Great Bend City Ward 2 Precinct 3"	"000160"	225	224	135	306	199	243	425	81	356		427
"KS"	2002	1	"BARTON"	"Great Bend City Ward 3 Precinct 1"	"000170"	152	158	125	179	146	160	284	70	232		290
"KS"	2002	1	"BARTON"	"Great Bend City Ward 3 Precinct 2"	"000180"	135	173	121	182	153	155	291	58	239		301
"KS"	2002	1	"BARTON"	"Great Bend City Ward 3 Precinct 3"	"00019A"	173	173	137	202	181	168	324	61	271		328
"KS"	2002	1	"BARTON"	"Great Bend City Ward 4 Precinct 1"	"000200"	95	103	95	98	101	92	175	55	135		172
"KS"	2002	1	"BARTON"	"Great Bend City Ward 4 Precinct 2"	"000210"	93	123	91	121	110	101	191	52	153		193
"KS"	2002	1	"BARTON"	"Great Bend City Ward 4 Precinct 3"	"00022A"	41	23	48	17	51	15	54	23	40		53
"KS"	2002	1	"BARTON"	"Great Bend Township Part A"	"00023A"	164	215	124	253	160	220	358	60	303		369
"KS"	2002	1	"BARTON"	"Great Bend Township Part B"	"00023B"	24	38	25	38	21	39	56	14	44		55
"KS"	2002	1	"BARTON"	"Hoisington Ward 1"	"000240"	121	102	113	102	140	84	204	62	154		214
"KS"	2002	1	"BARTON"	"Hoisington Ward 2"	"000250"	121	102	101	117	121	103	199	61	152		206
"KS"	2002	1	"BARTON"	"Hoisington Ward 3"	"000260"	102	125	112	112	136	88	208	56	165		212
"KS"	2002		"BARTON"	"Hoisington Ward 4 Exclave"	"00027B"				0							
"KS"	2002	1	"BARTON"	"Hoisington Ward 4"	"00027A"	104	107	100	105	119	85	188	50	145		198
"KS"	2002	1	"BARTON"	"Independent Township"	"000280"	144	171	112	196	148	166	301	60	244		312
"KS"	2002	1	"BARTON"	"Lakin Township"	"000290"	358	427	286	486	384	400	714	177	574		734
"KS"	2002	1	"BARTON"	"Liberty Township"	"000300"	34	49	24	57	37	45	77	7	66		81
"KS"	2002	1	"BARTON"	"Logan Township"	"000310"	28	36	18	43	22	42	58	16	44		60
"KS"	2002	1	"BARTON"	"North Homestead Township"	"000320"	22	24	17	29	25	22	44	9	38		44
"KS"	2002	1	"BARTON"	"PROVISIONAL"	"999999"	11	42	13	41	21	32	48	10	42		47
"KS"	2002	1	"BARTON"	"Pawnee Rock Township"	"000330"	68	56	53	70	78	39	108	29	82		106
"KS"	2002	1	"BARTON"	"South Bend Township"	"000340"	98	139	81	156	122	113	213	47	184		214
"KS"	2002	1	"BARTON"	"South Homestead Township"	"000350"	61	65	42	82	64	59	119	28	90		118
"KS"	2002	1	"BARTON"	"Union Township"	"000360"	21	26	20	27	26	23	45	9	35		45
"KS"	2002	1	"BARTON"	"Walnut Township Albert"	"000370"	46	53	44	54	52	47	93	27	70		98
"KS"	2002	1	"BARTON"	"Walnut Township Olmitz"	"000380"	44	32	48	31	39	43	70	27	42		74
"KS"	2002	1	"BARTON"	"Wheatland Township"	"000390"	14	18	12	18	15	19	30	6	23		34
"KS"	2002	2	"BOURBON"	"ADVANCE"	"999998"	195	202	214	189	230	170	300	163	221	147	253
"KS"	2002	2	"BOURBON"	"Drywood Township"	"000010"	37	77	42	73	39	72	94	31	75	27	88
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 1"	"00002A"	118	134	125	131	128	119	181	100	146	84	165
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 2"	"00003A"	96	134	127	102	130	96	150	99	114	74	149
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 3"	"000040"	42	52	48	46	51	41	69	42	47	34	61
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 4"	"00005A"	119	168	135	151	151	138	228	105	176	86	194
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 5"	"000060"	102	165	112	152	123	142	217	85	178	67	200
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 6"	"000070"	134	233	149	220	169	203	302	107	251	96	272
"KS"	2002	2	"BOURBON"	"Fort Scott Ward 7"	"000080"	128	223	147	197	164	183	266	120	222	96	250
"KS"	2002	2	"BOURBON"	"Franklin Township"	"000090"	31	42	35	41	39	35	54	28	42	25	51
"KS"	2002	2	"BOURBON"	"Freedom Township"	"000100"	54	71	59	62	65	62	90	43	71	36	92
"KS"	2002	2	"BOURBON"	"Marion Township"	"000110"	141	207	140	201	176	181	280	92	233	76	275
"KS"	2002	2	"BOURBON"	"Marmaton Township"	"000120"	92	101	101	93	99	99	152	70	117	55	142
"KS"	2002	2	"BOURBON"	"Mill Creek Township"	"000130"	72	71	78	65	79	70	112	60	80	51	94
"KS"	2002	2	"BOURBON"	"North Scott Township"	"000140"	105	149	117	140	123	131	206	85	155	57	198
"KS"	2002	2	"BOURBON"	"Osage Township"	"000150"	48	67	51	64	51	62	79	51	63	43	70
"KS"	2002	2	"BOURBON"	"PROVISIONAL"	"999999"	62	57	68	48	47	50	81	54	57	39	79
"KS"	2002	2	"BOURBON"	"Pawnee Township"	"000160"	45	48	43	48	47	44	77	31	54	22	68
"KS"	2002	2	"BOURBON"	"South Scott Township"	"000170"	160	284	161	282	193	249	358	122	307	96	345
"KS"	2002	2	"BOURBON"	"Timberhill Township"	"000180"	32	47	32	43	36	43	55	24	48	26	54
"KS"	2002	2	"BOURBON"	"Walnut Township"	"000190"	20	26	18	30	19	30	42	15	30	14	34
"KS"	2002	2	"BROWN"	"ADVANCE"	"999998"	134	170	124	181	187	120	253	94	208	102	208
"KS"	2002	2	"BROWN"	"Hamlin Township"	"000010"	23	54	26	51	39	38	67	15	63	26	53
"KS"	2002	2	"BROWN"	"Hiawatha City Ward 1"	"000020"	76	78	63	90	105	49	129	40	111	71	84
"KS"	2002	2	"BROWN"	"Hiawatha City Ward 2"	"000030"	190	256	126	322	277	167	392	86	356	151	296
"KS"	2002	2	"BROWN"	"Hiawatha City Ward 3"	"00004A"	133	191	96	230	195	129	278	65	248	112	208
"KS"	2002	2	"BROWN"	"Hiawatha City Ward 4"	"00005A"	18	40	17	42	27	27	45	9	45	16	40
"KS"	2002	2	"BROWN"	"Hiawatha Township"	"000060"	78	156	61	172	109	119	209	35	192	61	174
"KS"	2002	2	"BROWN"	"Horton Ward 1"	"000070"	90	117	74	134	121	80	171	53	138	78	128
"KS"	2002	2	"BROWN"	"Horton Ward 2"	"000080"	76	79	60	92	94	60	127	44	103	71	82
"KS"	2002	2	"BROWN"	"Horton Ward 3"	"00009A"	46	39	40	47	52	35	66	26	55	35	50
"KS"	2002	2	"BROWN"	"Irving Township"	"000100"	16	68	18	66	30	53	80	11	73	20	64
"KS"	2002	2	"BROWN"	"Mission Township"	"000110"	83	124	57	150	117	92	190	42	166	71	142
"KS"	2002	2	"BROWN"	"Morrill Township"	"000120"	57	135	49	139	70	117	173	31	159	57	139
"KS"	2002	2	"BROWN"	"PROVISIONAL"	"999999"	19	24	12	31	22	17	32	15	27	18	24
"KS"	2002	2	"BROWN"	"Padonia Township"	"000130"	33	43	34	45	38	31	62	22	53	28	49
"KS"	2002	2	"BROWN"	"Powhattan Township"	"000140"	90	101	68	122	91	90	147	46	140	74	117
"KS"	2002	2	"BROWN"	"Reserve Township"	"000150"	11	27	7	31	14	24	31	6	32	8	29
"KS"	2002	2	"BROWN"	"Robinson Township"	"000160"	64	94	60	101	89	74	125	42	118	61	99
"KS"	2002	2	"BROWN"	"Walnut Township"	"000200"	97	160	90	161	114	135	223	45	200	81	175
"KS"	2002	2	"BROWN"	"Washington Township"	"000210"	57	128	63	123	105	83	163	33	149	62	126
"KS"	2002	4	"BUTLER"	"ADVANCE"	"999998"	105	125	100	132	114	121	190	70	153	84	152
"KS"	2002	4	"BUTLER"	"Andover Part A"	"00001A"	373	488	276	575	381	474	717	200	612	257	599
"KS"	2002	4	"BUTLER"	"Andover Part B"	"00001B"	568	727	441	833	563	739	1096	323	906	397	894
"KS"	2002	4	"BUTLER"	"Augusta City Ward 1 Exclave A"	"00002B"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"Augusta City Ward 1 Exclave B"	"00002C"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"Augusta City Ward 1"	"00002A"	238	302	245	289	240	300	430	170	344	192	347
"KS"	2002	4	"BUTLER"	"Augusta City Ward 2"	"000030"	227	219	221	224	242	211	364	155	274	171	280
"KS"	2002	4	"BUTLER"	"Augusta City Ward 3 Exclave"	"00004B"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"Augusta City Ward 3"	"00004A"	392	359	349	390	399	353	611	217	490	262	484
"KS"	2002	4	"BUTLER"	"Augusta City Ward 4"	"000050"	442	466	394	515	445	467	783	254	618	269	654
"KS"	2002	4	"BUTLER"	"Augusta Township Enclave"	"00006B"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"Augusta Township"	"00006A"	174	193	167	197	174	193	279	113	234	130	240
"KS"	2002	4	"BUTLER"	"Benton Township"	"000070"	312	418	232	491	294	432	620	171	502	216	497
"KS"	2002	4	"BUTLER"	"Bloomington Township"	"000080"	56	95	52	100	53	97	120	37	101	42	106
"KS"	2002		"BUTLER"	"Bruno Township Enclave A"	"00009B"			0	0							
"KS"	2002		"BUTLER"	"Bruno Township Enclave B"	"00009C"			0	0							
"KS"	2002	4	"BUTLER"	"Bruno Township"	"00009A"	293	481	269	495	299	463	651	178	552	210	554
"KS"	2002	4	"BUTLER"	"Chelsea Township"	"000100"	107	100	84	121	102	101	179	56	135	75	128
"KS"	2002	4	"BUTLER"	"Clay Township"	"000110"	25	12	16	20	22	15	24	16	14	16	21
"KS"	2002	4	"BUTLER"	"Clifford Township"	"000120"	24	47	22	46	17	52	65	9	56	11	57
"KS"	2002	4	"BUTLER"	"Douglass Township"	"000130"	305	270	273	296	316	256	443	214	325	223	341
"KS"	2002	4	"BUTLER"	"El Dorado Ward 1 Precinct 1 Exclave"	"00014B"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"El Dorado Ward 1 Precinct 1"	"00014A"	93	71	95	65	102	58	105	73	74	80	78
"KS"	2002		"BUTLER"	"El Dorado Ward 1 Precinct 2 Exclave"	"00015B"	0	0	0	0							
"KS"	2002	4	"BUTLER"	"El Dorado Ward 1 Precinct 2"	"00015A"	446	447	350	541	473	417	766	214	647	333	550
"KS"	2002	4	"BUTLER"	"El Dorado Ward 2 Precinct 1 Exclave A"	"00016B"	0	0	0	0	0	0		0	0	0	0
"KS"	2002	4	"BUTLER"	"El Dorado Ward 2 Precinct 1 Exclave B"	"00016C"	0	0	0	0	0	0		0	0	0	0
"KS"	2002	4	"BUTLER"	"El Dorado Ward 2 Precinct 1"	"00016A"	154	108	135	125	150	108	206	98	147	115	144
"KS"	2002	4	"BUTLER"	"El Dorado Ward 2 Precinct 2"	"000170"	104	65	96	76	121	53	120	73	85	97	79
"KS"	2002	4	"BUTLER"	"El Dorado Ward 2 Precinct 3"	"000180"	139	123	154	113	142	125	197	105	143	118	146
"KS"	2002	4	"BUTLER"	"El Dorado Ward 3 Precinct 1"	"000190"	182	152	173	155	175	157	258	115	203	141	190
"KS"	2002	4	"BUTLER"	"El Dorado Ward 3 Precinct 2"	"000200"	139	119	141	108	157	96	196	102	142	114	134
"KS"	2002	4	"BUTLER"	"El Dorado Ward 3 Precinct 3"	"000210"	107	66	110	59	106	63	116	75	85	82	84
"KS"	2002	4	"BUTLER"	"El Dorado Ward 4 Precinct 1"	"000220"	185	146	181	143	174	151	270	112	206	136	193
"KS"	2002	4	"BUTLER"	"El Dorado Ward 4 Precinct 2 Exclave"	"00023B"	0	0	0	0	0	0		0	0	0	0
"KS"	2002	4	"BUTLER"	"El Dorado Ward 4 Precinct 2"	"00023A"	189	133	182	138	185	138	252	128	181	154	168
"KS"	2002	4	"BUTLER"	"Fairmount Township"	"000240"	62	165	54	163	58	169	207	33	185	45	185
"KS"	2002	4	"BUTLER"	"Fairview Township"	"000250"	78	147	73	148	75	149	198	51	160	50	169
"KS"	2002	4	"BUTLER"	"Glencoe Township"	"000260"	61	61	56	64	63	61	104	37	77	45	81
"KS"	2002	4	"BUTLER"	"Hickory Township"	"000270"	0	0	0	0	0	0		0	0	0	0
"KS"	2002	4	"BUTLER"	"Lincoln Township"	"000280"	34	52	34	54	37	51	73	22	58	23	60
"KS"	2002	4	"BUTLER"	"Little Walnut Township"	"000290"	152	146	147	148	156	140	239	99	184	116	183
"KS"	2002	4	"BUTLER"	"Logan Township"	"000300"	32	27	20	37	24	32	39	18	33	17	32
"KS"	2002	4	"BUTLER"	"Milton Township"	"000310"	172	337	143	329	191	318	462	87	383	118	383
"KS"	2002	4	"BUTLER"	"Murdock Township"	"000320"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"North El Dorado Township"	"000330"	155	99	144	107	157	103	184	110	133	125	127
"KS"	2002	4	"BUTLER"	"PROVISIONAL"	"999999"	109	107	101	108	113	103	165	65	118	75	135
"KS"	2002	4	"BUTLER"	"Pleasant Township"	"000340"	405	547	349	590	410	539	805	246	628	242	689
"KS"	2002	4	"BUTLER"	"Plum Grove Township"	"000350"	116	77	95	97	114	76	147	74	111	91	99
"KS"	2002	4	"BUTLER"	"Prospect Township"	"000360"	170	160	186	152	173	156	249	134	177	156	174
"KS"	2002	4	"BUTLER"	"Richland Township H77"	"200010"	443	588	377	626	415	615	875	237	702	300	720
"KS"	2002	4	"BUTLER"	"Richland Township H78"	"200020"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"Rock Creek Township"	"000380"	51	64	52	62	49	65	92	35	68	39	74
"KS"	2002	4	"BUTLER"	"Rosalia Township"	"000390"	89	113	84	111	91	109	178	51	139	60	134
"KS"	2002	4	"BUTLER"	"South El Dorado Township"	"000400"	112	118	100	127	111	115	183	70	142	90	138
"KS"	2002	4	"BUTLER"	"Spring Township"	"000410"	248	231	215	259	224	243	377	156	283	173	291
"KS"	2002	4	"BUTLER"	"Sycamore Township"	"000420"	0	0	0	0	0	0	0	0	0	0	0
"KS"	2002	4	"BUTLER"	"Towanda Township"	"000430"	380	400	329	452	382	394	641	254	488	275	498
"KS"	2002	4	"BUTLER"	"Union Township"	"000440"	33	28	34	27	31	30	44	19	34	21	38
"KS"	2002	4	"BUTLER"	"Walnut Township"	"000450"	0	0	0	0	0	0	0	0	0	0	0
