state	year	county	precinct	g2002_USS_dv	g2002_USS_rv	g2002_USH_dv	g2002_USH_rv	g2002_GOV_dv	g2002_GOV_rv	g2002_SOS_lv	g2002_SOS_rv	g2002_USS_tv	g2002_USH_tv	g2002_GOV_tv	g2002_SOS_tv
"WY"	2002	"Campbell"	"Recluse School 7-1"	11	111	11	106	33	86	15	97	122	117	119	112
"WY"	2002	"Campbell"	"Little Powder School 8-1"	5	108	10	104	21	91	9	101	113	114	112	110
"WY"	2002	"Campbell"	"First United Methodist Church 9-1"	56	374	62	349	137	282	46	362	430	411	419	408
"WY"	2002	"Campbell"	"Wright Town Hall 12-1"	5	74	9	64	19	55	4	71	79	73	74	75
"WY"	2002	"Campbell"	"4-J School 13-1"	20	244	23	221	50	207	18	231	264	244	257	249
"WY"	2002	"Campbell"	"Wright Town Hall 14-1"	72	309	102	260	153	216	58	311	381	362	369	369
"WY"	2002	"Campbell"	"Wright Town Hall 14-2"	17	120	15	117	33	102	15	112	137	132	135	127
"WY"	2002	"Campbell"	"Central Pavilion Camplex 18-1"	71	441	99	395	169	338	71	418	512	494	507	489
"WY"	2002	"Campbell"	"Antelope Valley Baptist Church 19-1"	23	249	33	230	81	187	31	234	272	263	268	265
"WY"	2002	"Campbell"	"Antelope Valley Baptist Church 22-1"	69	348	102	299	165	239	69	333	417	401	404	402
"WY"	2002	"Carbon"	"Pershing Elementary School/Rawlins 1-1"	283	208	303	172	398	87	224	223	491	475	485	447
"WY"	2002	"Carbon"	"Jeffrey Center/Rawlins 1-2"	57	116	74	89	100	69	52	109	173	163	169	161
"WY"	2002	"Carbon"	"Jeffrey Center/Rawlins 2-1"	161	347	198	273	355	150	132	334	508	471	505	466
"WY"	2002	"Carbon"	"Jeffrey Center/Rawlins 2-2"	226	438	281	358	445	217	167	449	664	639	662	616
"WY"	2002	"Carbon"	"Jeffrey Center/Rawlins 3-1"	183	342	239	263	353	158	131	347	525	502	511	478
"WY"	2002	"Carbon"	"Jeffrey Center/Rawlins 3-2"	228	359	293	279	413	171	157	392	587	572	584	549
"WY"	2002	"Carbon"	"Muddy Gap Fire Station  4-1"	4	29	10	23	8	25	1	32	33	33	33	33
"WY"	2002	"Carbon"	"Sinclair Town Hall 5-1"	70	169	96	129	157	79	48	179	239	225	236	227
"WY"	2002	"Carbon"	"Hanna Town Hall 6-1"	1	35	6	29	5	30	0	34	36	35	35	34
"WY"	2002	"Carbon"	"Medicine Bow Senior Center 7-1"	45	139	63	116	97	82	38	134	184	179	179	172
"WY"	2002	"Carbon"	"Hanna Town Hall 8-1"	154	254	168	227	249	150	136	249	408	395	399	385
"WY"	2002	"Carbon"	"Elk Mountain Senior Center 9-1"	19	130	26	115	58	83	19	127	149	141	141	146
"WY"	2002	"Carbon"	"McFadden Fire Station 10-1"	1	47	3	45	7	39	1	47	48	48	46	48
"WY"	2002	"Carbon"	"Saratoga Senior Center 11-1"	196	598	270	490	424	357	146	602	794	760	781	748
"WY"	2002	"Carbon"	"Saratoga Senior Center 11-2"	59	247	69	223	118	177	40	251	306	292	295	291
"WY"	2002	"Carbon"	"Encampment Senior Center 12-1"	82	210	84	193	136	147	74	204	292	277	283	278
"WY"	2002	"Carbon"	"Riverside Town Hall 13-1"	44	163	51	147	78	119	27	160	207	198	197	187
"WY"	2002	"Carbon"	"Dixon Senior Center 14-1"	13	80	15	75	25	67	16	72	93	90	92	88
"WY"	2002	"Carbon"	"Baggs Senior Center 15-1"	34	180	37	163	67	138	26	177	214	200	205	203
"WY"	2002	"Converse"	"Lost Springs Hall 1-1"	5	67	7	61	16	55	9	64	72	68	71	73
"WY"	2002	"Converse"	"Douglas Rec Center 2-2"	40	183	55	146	95	123	36	183	223	201	218	219
"WY"	2002	"Converse"	"White School 3-1"	15	133	26	116	35	110	18	130	148	142	145	148
"WY"	2002	"Converse"	"Douglas Rec Center 4-4"	59	211	74	185	121	143	29	234	270	259	264	263
"WY"	2002	"Converse"	"Glenrock Rec Center 6-6"	34	172	66	131	77	121	28	175	206	197	198	203
"WY"	2002	"Converse"	"Douglas Rec Center 7-7"	18	144	24	131	43	114	15	143	162	155	157	158
"WY"	2002	"Converse"	"Douglas Rec Center 8-8"	24	181	45	153	75	125	16	186	205	198	200	202
"WY"	2002	"Converse"	"Glenrock Rec Center 9-1"	99	400	189	291	278	218	75	411	499	480	496	486
"WY"	2002	"Converse"	"Glenrock Rec Center 9-2"	108	250	171	173	228	129	71	268	358	344	357	339
"WY"	2002	"Converse"	"Glenrock Rec Center 10-10"	53	173	70	141	91	131	48	174	226	211	222	222
"WY"	2002	"Converse"	"Glenrock Rec Center 11-11"	39	103	58	80	77	59	32	103	142	138	136	135
"WY"	2002	"Converse"	"Dry Creek School 13-13"	3	86	4	81	13	73	2	87	89	85	86	89
"WY"	2002	"Converse"	"Douglas Rec Center 20-20"	10	62	10	60	29	42	7	63	72	70	71	70
"WY"	2002	"Converse"	"Douglas Rec Center 23-1"	52	176	68	139	100	124	42	178	228	207	224	220
"WY"	2002	"Converse"	"Douglas Rec Center 23-2"	79	264	124	202	176	161	51	272	343	326	337	323
"WY"	2002	"Converse"	"Douglas Rec Center 23-3"	67	164	77	143	136	94	39	186	231	220	230	225
"WY"	2002	"Converse"	"Douglas Rec Center 23-4"	49	140	74	101	108	77	30	151	189	175	185	181
"WY"	2002	"Converse"	"Douglas Rec Center 23-5"	86	213	132	159	164	131	47	239	299	291	295	286
"WY"	2002	"Converse"	"Douglas Rec Center 23-6"	86	398	150	312	230	251	45	417	484	462	481	462
"WY"	2002	"Crook"	"Sundance Inside North - Courthouse 1-1"	44	278	64	253	132	184	30	281	322	317	316	311
"WY"	2002	"Crook"	"Sundance Inside South - Courthouse 1-2"	51	238	67	216	147	146	25	247	289	283	293	272
"WY"	2002	"Crook"	"Sundance Outside - Courthouse 2-2"	57	300	76	276	135	215	35	305	357	352	350	340
"WY"	2002	"Crook"	"Beulah Community Bldg. 3-3"	9	95	11	91	30	73	6	94	104	102	103	100
"WY"	2002	"Crook"	"Aladdin Community Bldg  7-7"	17	144	22	134	39	117	18	133	161	156	156	151
"WY"	2002	"Crook"	"Alva Church 9-9"	3	64	3	63	13	51	8	55	67	66	64	63
"WY"	2002	"Crook"	"Tower Junction - Camp Beard 11-11"	13	147	16	132	43	111	16	136	160	148	154	152
"WY"	2002	"Crook"	"Elmore - Barton Ranch Voting Booth 12-12"	16	94	20	85	33	76	10	97	110	105	109	107
"WY"	2002	"Crook"	"Hulett Outside - Civic Center 13-13"	18	211	26	194	47	172	25	191	229	220	219	216
"WY"	2002	"Crook"	"Hulett Inside - Civic Center 14-14"	24	137	38	120	67	91	15	140	161	158	158	155
"WY"	2002	"Crook"	"Pine Haven Town Hall 15-15"	26	138	35	120	58	96	28	122	164	155	154	150
"WY"	2002	"Crook"	"Moorcroft Outside -Baptist Church 16-16"	14	184	32	162	53	142	16	170	198	194	195	186
"WY"	2002	"Crook"	"Moorcroft West Side - City Hall 18-1"	48	142	53	128	67	113	37	141	190	181	180	178
"WY"	2002	"Crook"	"Moorcroft East Side - City Hall 18-2"	26	129	33	117	50	98	28	122	155	150	148	150
"WY"	2002	"Crook"	"New Haven Community Bldg. 23-23"	1	57	2	54	8	48	2	55	58	56	56	57
"WY"	2002	"Crook"	"Colony Community Bldg. 24-24"	6	37	3	37	3	32	6	36	43	40	35	42
"WY"	2002	"Crook"	"Oshoto Community Bldg. 26-26"	6	45	4	43	6	42	6	43	51	47	48	49
"WY"	2002	"Fremont"	"Lander Community Center 1-1"	171	430	256	332	356	258	93	454	601	588	614	547
"WY"	2002	"Fremont"	"Lander Community Center 1-2"	84	214	135	159	176	124	41	227	298	294	300	268
"WY"	2002	"Fremont"	"Lander Community Center 1-3"	175	331	231	249	299	201	98	352	506	480	500	450
"WY"	2002	"Fremont"	"Lander Community Center 1-4"	147	306	205	236	285	176	70	343	453	441	461	413
"WY"	2002	"Fremont"	"Lander Community Center 1-5"	202	493	306	370	407	301	82	538	695	676	708	620
"WY"	2002	"Fremont"	"Lander Community Center 1-6"	166	383	269	265	335	221	61	437	549	534	556	498
"WY"	2002	"Fremont"	"Hudson Town Hall 2-1"	64	187	90	150	106	149	54	167	251	240	255	221
"WY"	2002	"Fremont"	"Riverton Fair Office 3-1"	133	510	210	399	206	431	87	515	643	609	637	602
"WY"	2002	"Fremont"	"Riverton Fair Office 3-2"	55	184	87	136	79	158	31	195	239	223	237	226
"WY"	2002	"Fremont"	"Riverton Fair Office 3-3"	138	536	240	414	206	461	66	579	674	654	667	645
"WY"	2002	"Fremont"	"Riverton Fair Office 3-4"	89	312	114	262	121	271	76	310	401	376	392	386
"WY"	2002	"Fremont"	"Riverton Fair Office 3-5"	161	721	257	589	243	638	73	751	882	846	881	824
"WY"	2002	"Fremont"	"Riverton Fair Office 3-6"	141	569	205	476	198	516	69	607	710	681	714	676
"WY"	2002	"Fremont"	"Ft. Washakie School Admin. 4-1"	166	126	176	110	201	88	110	152	292	286	289	262
"WY"	2002	"Fremont"	"Lander Community Center 5-1"	252	679	345	558	465	462	110	727	931	903	927	837
"WY"	2002	"Fremont"	"Lander Community Center 6-1"	88	307	128	246	183	202	57	311	395	374	385	368
"WY"	2002	"Fremont"	"Dubois Headwaters Comm. Center  7-1"	181	780	220	709	315	629	104	798	961	929	944	902
"WY"	2002	"Fremont"	"Arapahoe School 8-1"	116	145	118	136	134	130	72	143	261	254	264	215
"WY"	2002	"Fremont"	"Missouri Valley Fire Hall 9-1"	20	254	41	225	28	249	16	252	274	266	277	268
"WY"	2002	"Fremont"	"Fairgrounds/Main Hall 10-1"	102	426	126	375	152	372	67	444	528	501	524	511
"WY"	2002	"Fremont"	"Jeffrey City Fire Hall 12-1"	8	80	12	68	19	65	6	78	88	80	84	84
"WY"	2002	"Fremont"	"WY Indian High Tech Center 13-1"	223	167	233	144	240	137	123	201	390	377	377	324
"WY"	2002	"Fremont"	"Wind River Rec. Center 14-1"	74	346	90	316	128	292	59	343	420	406	420	402
"WY"	2002	"Fremont"	"Midvale Fire Hall 15-1"	23	115	31	102	36	102	20	113	138	133	138	133
"WY"	2002	"Fremont"	"Kinnear Fire Hall 16-1"	36	138	47	119	56	117	20	141	174	166	173	161
"WY"	2002	"Fremont"	"Fairgrounds/Main Hall 17-1"	82	218	99	197	102	200	31	245	300	296	302	276
"WY"	2002	"Fremont"	"Riverton Fair Office 18-1"	126	773	233	631	218	679	86	776	899	864	897	862
"WY"	2002	"Fremont"	"Crowheart School Gym 19-1"	16	69	17	61	21	60	10	64	85	78	81	74
"WY"	2002	"Fremont"	"Shoshone Senior Citizens Center 20-1"	68	227	93	182	82	212	56	226	295	275	294	282
"WY"	2002	"Fremont"	"Fairgrounds/Main Hall 21-1"	63	150	72	135	79	135	44	156	213	207	214	200
"WY"	2002	"Fremont"	"Lysite Fire Hall 22-1"	2	44	7	39	2	43	2	42	46	46	45	44
"WY"	2002	"Fremont"	"Atlantic City Fire Hall 24-1"	12	42	20	22	22	29	13	38	54	42	51	51
"WY"	2002	"Goshen"	"Prairie Center 1-1"	1	39	2	37	8	31	4	36	40	39	39	40
"WY"	2002	"Goshen"	"Jay Em 2-1"	16	40	17	35	27	27	5	45	56	52	54	50
"WY"	2002	"Goshen"	"Lingle Town Hall 8-1"	71	351	87	326	128	294	29	373	422	413	422	402
"WY"	2002	"Goshen"	"Ft. Laramie Town Hall 9-1"	64	121	66	114	88	90	32	141	185	180	178	173
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-1"	52	100	57	86	79	71	22	121	152	143	150	143
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-2"	73	213	93	183	127	150	40	225	286	276	277	265
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-3"	71	145	77	132	102	113	40	165	216	209	215	205
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-4"	124	367	175	305	234	252	38	423	491	480	486	461
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-5"	49	210	73	182	105	153	17	227	259	255	258	244
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-6"	87	282	115	238	161	205	41	302	369	353	366	343
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-7"	104	233	113	211	163	174	51	272	337	324	337	323
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-8"	122	487	147	435	234	370	74	515	609	582	604	589
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-9"	97	263	110	237	143	212	53	294	360	347	355	347
"WY"	2002	"Goshen"	"Torrington Rendezvous Ctr. 10-10"	47	57	49	50	57	44	31	62	104	99	101	93
"WY"	2002	"Goshen"	"Veteran Legion Post #56 13-1"	30	61	26	61	32	56	10	74	91	87	88	84
"WY"	2002	"Goshen"	"Yoder Community Center 15-1"	35	119	47	105	70	85	32	118	154	152	155	150
"WY"	2002	"Goshen"	"Huntley School 16-1"	26	179	40	159	49	150	15	188	205	199	199	203
"WY"	2002	"Goshen"	"Hawk Springs Comm. Hall 17-1"	18	83	20	76	32	67	10	85	101	96	99	95
"WY"	2002	"Goshen"	"La Grange Memorial Bldg. 18-1"	21	186	25	183	47	162	8	202	207	208	209	210
"WY"	2002	"Goshen"	"Iowa Center Jackson Home 20-1"	0	19	0	18	7	12	1	17	19	18	19	18
"WY"	2002	"Hot Springs"	"1 Hot Springs County Fair Building 1-1"	141	540	236	437	492	293	40	485	681	673	785	525
"WY"	2002	"Hot Springs"	"2 Hot Springs County Fair Building 1-2"	121	394	188	320	352	230	38	349	515	508	582	387
"WY"	2002	"Hot Springs"	"Hot Springs County Museum 2-4"	18	477	155	92	332	339	41	84	495	247	671	125
"WY"	2002	"Hot Springs"	"National Guard Armory 3-3"	119	92	19	424	36	80	9	464	211	443	116	473
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 2-14"	9	60	17	49	29	40	5	56	69	66	69	61
"WY"	2002	"Johnson"	"Buffalo - Catholic Rec Hall 3-1"	48	238	90	185	134	157	16	224	286	275	291	240
"WY"	2002	"Johnson"	"Buffalo - Catholic Rec Hall 3-2"	31	179	51	155	107	107	12	168	210	206	214	180
"WY"	2002	"Johnson"	"Buffalo - Catholic Rec Hall 3-3"	22	120	35	104	52	97	7	110	142	139	149	117
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 3-4"	37	202	61	170	107	138	10	191	239	231	245	201
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 3-5"	24	106	32	91	63	70	3	104	130	123	133	107
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 3-6"	27	156	38	145	83	112	6	150	183	183	195	156
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 3-7"	24	151	41	115	81	93	9	139	175	156	174	148
"WY"	2002	"Johnson"	"Buffalo - Catholic Rec Hall 3-8"	43	154	56	135	93	111	14	137	197	191	204	151
"WY"	2002	"Johnson"	"Buffalo - Catholic Rec Hall 4-7"	53	389	74	352	166	272	23	364	442	426	438	387
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 4-8"	65	311	103	359	222	259	22	376	376	462	481	398
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 5-9"	2	81	8	74	14	69	1	78	83	82	83	79
"WY"	2002	"Johnson"	"Kaycee - Harold Jarrard Park 6-10"	14	93	25	75	49	60	8	82	107	100	109	90
"WY"	2002	"Johnson"	"Kaycee - Harold Jarrard Park 8-11"	0	189	14	168	44	149	8	166	189	182	193	174
"WY"	2002	"Johnson"	"Kaycee - Harold Jarrard Park 9-12"	5	48	8	42	7	42	4	43	53	50	49	47
"WY"	2002	"Johnson"	"Kaycee - Harold Jarrard Park 9-13"	3	17	4	14	6	14	0	19	20	18	20	19
"WY"	2002	"Johnson"	"Johnson County Fairgrounds 10-15"	0	46	1	45	6	39	0	44	46	46	45	44
"WY"	2002	"Laramie"	"Holiday Inn/Cheyenne 1-1"	324	452	399	362	523	247	179	539	776	761	770	718
"WY"	2002	"Laramie"	"Holiday Inn/Cheyenne 1-2"	215	198	238	170	300	110	140	231	413	408	410	371
"WY"	2002	"Laramie"	"Laramie County Library 1-3"	277	383	362	274	460	193	175	435	660	636	653	610
"WY"	2002	"Laramie"	"Storey Gym 1-4"	193	306	267	215	325	184	102	364	499	482	509	466
"WY"	2002	"Laramie"	"Kiwanis Community House/Cheyenne 1-5"	224	468	343	319	450	244	118	524	692	662	694	642
"WY"	2002	"Laramie"	"Kiwanis Community House/Cheyenne 1-6"	264	530	427	345	518	280	138	609	794	772	798	747
"WY"	2002	"Laramie"	"Storey Gym 1-7"	126	189	172	134	228	87	53	238	315	306	315	291
"WY"	2002	"Laramie"	"Storey Gym 1-8"	295	519	398	378	520	282	157	596	814	776	802	753
"WY"	2002	"Laramie"	"Alta Vista Elementary School 1-9"	174	290	246	202	318	139	122	307	464	448	457	429
"WY"	2002	"Laramie"	"Holiday Inn/Cheyenne 1-10"	298	253	319	215	422	123	179	326	551	534	545	505
"WY"	2002	"Laramie"	"County Government Complex #1  1-11(02)"	0	1	0	1	0	0	0	1	1	1	0	1
"WY"	2002	"Laramie"	"Westgate Club House/Cheyenne 2-1"	135	475	224	357	339	267	66	507	610	581	606	573
"WY"	2002	"Laramie"	"Kiwanis Community House/Cheyenne 2-2"	156	523	302	340	406	263	79	560	679	642	669	639
"WY"	2002	"Laramie"	"Kiwanis Community House/Cheyenne 2-3"	106	471	229	323	350	234	52	507	577	552	584	559
"WY"	2002	"Laramie"	"City Fire Station #6 2-4"	118	430	232	300	312	238	52	468	548	532	550	520
"WY"	2002	"Laramie"	"Cheyenne Berean Church 2-5"	243	573	397	394	548	265	138	649	816	791	813	787
"WY"	2002	"Laramie"	"Cheyenne Berean Church 2-6"	209	467	304	347	432	245	90	543	676	651	677	633
"WY"	2002	"Laramie"	"Kiwanis Community House/Cheyenne 2-7"	172	394	252	298	369	198	90	432	566	550	567	522
"WY"	2002	"Laramie"	"Cheyenne Berean Church 2-8"	212	603	336	448	487	328	124	661	815	784	815	785
"WY"	2002	"Laramie"	"Good Shepherd Lutheran Church 2-9"	273	659	424	474	585	344	127	747	932	898	929	874
"WY"	2002	"Laramie"	"North Christian Church 2-10"	20	74	29	63	44	52	10	78	94	92	96	88
"WY"	2002	"Laramie"	"Cheyenne Housing Authority  2-11"	297	743	479	542	662	369	171	820	1040	1021	1031	991
"WY"	2002	"Laramie"	"Northwoods Presbyterian Church 2-12"	124	354	200	265	297	182	72	380	478	465	479	452
"WY"	2002	"Laramie"	"Laramie County Library 2-13"	3	10	5	8	7	5	3	9	13	13	12	12
"WY"	2002	"Laramie"	"First Baptist Church 3-1"	190	573	294	451	446	321	105	625	763	745	767	730
"WY"	2002	"Laramie"	"American Legion Post #6 3-2"	213	290	260	226	356	141	133	341	503	486	497	474
"WY"	2002	"Laramie"	"First Congregational Church/Cheyenne 3-3"	150	362	230	263	346	168	86	395	512	493	514	481
"WY"	2002	"Laramie"	"First Congregational Church/Cheyenne 3-4"	206	446	302	327	425	220	104	519	652	629	645	623
"WY"	2002	"Laramie"	"IBEW #415 3-5"	363	593	469	458	631	327	200	697	956	927	958	897
"WY"	2002	"Laramie"	"AMVETS Post #10 3-6"	233	410	311	312	404	223	148	457	643	623	627	605
"WY"	2002	"Laramie"	"AMVETS Post #10 3-7"	71	122	96	92	135	57	47	134	193	188	192	181
"WY"	2002	"Laramie"	"Dildine Elementary School  3-8"	171	479	267	363	430	219	105	501	650	630	649	606
"WY"	2002	"Laramie"	"VFW Post #1881 3-9"	229	518	350	377	493	251	137	574	747	727	744	711
"WY"	2002	"Laramie"	"VFW Post #1881 3-10"	366	847	562	616	764	448	235	913	1213	1178	1212	1148
"WY"	2002	"Laramie"	"VFW Post #1881 3-11"	2	11	2	11	6	7	1	10	13	13	13	11
"WY"	2002	"Laramie"	"Willadsen Elementary School 4-1"	21	58	26	53	38	43	12	64	79	79	81	76
"WY"	2002	"Laramie"	"Gilchrist Elementary School 4-2"	141	319	192	245	275	178	91	341	460	437	453	432
"WY"	2002	"Laramie"	"Iron Mountain Country Church 4-3"	26	103	42	81	67	63	22	102	129	123	130	124
"WY"	2002	"Laramie"	"Shrine Club 4-4"	2	25	3	24	2	25	0	27	27	27	27	27
"WY"	2002	"Laramie"	"Shrine Club 4-5"	8	57	15	47	22	41	6	57	65	62	63	63
"WY"	2002	"Laramie"	"Shrine Club 4-6"	243	988	444	748	688	536	125	1051	1231	1192	1224	1176
"WY"	2002	"Laramie"	"Taco Johns Ice and Event Center 4-7"	147	458	201	388	291	307	89	490	605	589	598	579
"WY"	2002	"Laramie"	"Laramie County Community College 4-8"	254	493	345	370	465	272	178	531	747	715	737	709
"WY"	2002	"Laramie"	"Laramie County Community College 4-9"	196	501	271	395	372	312	140	529	697	666	684	669
"WY"	2002	"Laramie"	"Laramie County Community College 5-1"	214	435	251	367	349	280	138	461	649	618	629	599
