state	year	cd	precinct	county	vtd	g2008_USP_dv	g2008_USP_rv	g2008_USS_rv	g2008_USS_dv	g2008_USH_dv	g2008_USH_rv
"KS"	2008	2	"Kapioma Township"	"ATCHISON"	"000130"	48	88	84	60	60	82
"KS"	2008	2	"Lancaster Township"	"ATCHISON"	"000140"	138	174	136	165	168	138
"KS"	2008	2	"Mount Pleasant Township"	"ATCHISON"	"000150"	167	263	219	212	192	232
"KS"	2008	2	"Shannon Township"	"ATCHISON"	"00016A"	273	379	319	320	289	334
"KS"	2008	2	"Walnut Township"	"ATCHISON"	"00017A"	114	111	95	124	121	100
"KS"	2008	1	"Aetna Township"	"BARBER"	"000010"	3	2	3	2	0	5
"KS"	2008	1	"Deerhead Township"	"BARBER"	"000020"	2	5	5	2	2	5
"KS"	2008	1	"Eagle Township"	"BARBER"	"000030"	3	23	25	1	0	25
"KS"	2008	1	"Elm Mills Township"	"BARBER"	"000040"	18	68	72	12	7	69
"KS"	2008	1	"Elwood Township"	"BARBER"	"000050"	33	71	74	27	22	77
"KS"	2008	1	"Hazelton Township"	"BARBER"	"000060"	25	69	70	21	19	63
"KS"	2008	1	"Kiowa East Township"	"BARBER"	"000070"	71	251	251	64	32	276
"KS"	2008	1	"Kiowa West Township"	"BARBER"	"000080"	55	178	187	39	24	195
"KS"	2008	1	"Lake City Township"	"BARBER"	"000090"	10	34	32	11	7	36
"KS"	2008	1	"McAdoo Township"	"BARBER"	"000100"	0	15	15		0	13
"KS"	2008	1	"Medicine Lodge Precinct 1"	"BARBER"	"000110"	117	287	314	90	58	329
"KS"	2008	1	"Medicine Lodge Precinct 2"	"BARBER"	"00012A"	81	199	210	69	34	239
"KS"	2008	1	"Medicine Lodge Precinct 3"	"BARBER"	"000130"	54	167	167	47	25	183
"KS"	2008	1	"Medicine Lodge Precinct 4"	"BARBER"	"000140"	29	125	119	28	17	126
"KS"	2008	1	"Medicine Lodge Precinct 5"	"BARBER"	"000150"	6	30	29	7	3	31
"KS"	2008	1	"Mingona Township"	"BARBER"	"000160"	13	40	36	15	8	38
"KS"	2008	1	"Moore Township"	"BARBER"	"000170"	4	11	11	2	1	11
"KS"	2008	1	"Nippawalla Township"	"BARBER"	"000180"	3	18	16	4	1	18
"KS"	2008	1	"Sharon Township"	"BARBER"	"000200"	46	144	142	44	35	136
"KS"	2008	1	"Sun City Township"	"BARBER"	"000210"	6	28	27	3	1	27
"KS"	2008	1	"Turkey Creek Township"	"BARBER"	"000220"	3	11	12	2	1	11
"KS"	2008	1	"Valley Township"	"BARBER"	"000230"	16	57	54	14	8	59
"KS"	2008	1	"Albion Township"	"BARTON"	"000010"	5	27	28	5	2	28
"KS"	2008	1	"Beaver Township"	"BARTON"	"000020"	12	32	37	8	3	41
"KS"	2008	1	"Buffalo Township"	"BARTON"	"000030"	63	171	185	49	20	210
"KS"	2008	1	"Cheyenne Township"	"BARTON"	"000040"	21	85	87	19	9	99
"KS"	2008	1	"Clarence Township"	"BARTON"	"000050"	7	42	43	7	6	45
"KS"	2008	1	"Cleveland Township"	"BARTON"	"000060"	3	20	20	2	1	22
"KS"	2008	1	"Comanche Township"	"BARTON"	"000070"	48	176	193	28	16	200
"KS"	2008	1	"Eureka Township"	"BARTON"	"000080"	7	37	35	10	2	41
"KS"	2008	1	"Fairview Township"	"BARTON"	"000090"	11	38	45	5	3	48
"KS"	2008	1	"Grant Township"	"BARTON"	"000100"	13	16	16	11	2	24
"KS"	2008	1	"Great Bend City Ward 1 Precinct 1"	"BARTON"	"00011A"	148	213	241	103	60	266
"KS"	2008	1	"Great Bend City Ward 1 Precinct 2"	"BARTON"	"000120"	137	340	375	97	51	397
"KS"	2008	1	"Great Bend City Ward 1 Precinct 3"	"BARTON"	"000130"	94	321	327	77	32	356
"KS"	2008	1	"Great Bend City Ward 2 Precinct 1"	"BARTON"	"000140"	203	480	523	152	65	597
"KS"	2008	1	"Great Bend City Ward 2 Precinct 2"	"BARTON"	"000150"	165	481	501	133	57	562
"KS"	2008	1	"Great Bend City Ward 2 Precinct 3"	"BARTON"	"000160"	208	547	591	160	68	667
"KS"	2008	1	"Great Bend City Ward 3 Precinct 1"	"BARTON"	"000170"	114	311	345	87	43	364
"KS"	2008	1	"Great Bend City Ward 3 Precinct 2"	"BARTON"	"000180"	156	369	382	129	51	446
"KS"	2008	1	"Great Bend City Ward 3 Precinct 3"	"BARTON"	"00019A"	175	426	471	123	56	515
"KS"	2008	1	"Great Bend City Ward 4 Precinct 1"	"BARTON"	"000200"	103	188	218	71	46	224
"KS"	2008	1	"Great Bend City Ward 4 Precinct 2"	"BARTON"	"000210"	141	191	215	108	62	239
"KS"	2008	1	"Great Bend City Ward 4 Precinct 3"	"BARTON"	"00022A"	45	56	62	33	25	66
"KS"	2008	1	"Great Bend Township Part A"	"BARTON"	"00023A"	151	485	515	101	44	546
"KS"	2008	1	"Great Bend Township Part B"	"BARTON"	"00023B"	26	72	77	20	13	81
"KS"	2008	1	"Hoisington Ward 1"	"BARTON"	"000240"	80	171	173	73	31	207
"KS"	2008	1	"Hoisington Ward 2"	"BARTON"	"000250"	80	183	208	51	17	235
"KS"	2008	1	"Hoisington Ward 3"	"BARTON"	"000260"	88	206	226	61	33	253
"KS"	2008	1	"Hoisington Ward 4"	"BARTON"	"00027A"	70	174	187	54	34	198
"KS"	2008	1	"Independent Township"	"BARTON"	"000280"	67	281	281	60	27	324
"KS"	2008	1	"Lakin Township"	"BARTON"	"000290"	299	787	836	225	98	947
"KS"	2008	1	"Liberty Township"	"BARTON"	"000300"	22	97	99	16	5	105
"KS"	2008	1	"Logan Township"	"BARTON"	"000310"	16	66	73	7	1	78
"KS"	2008	1	"North Homestead Township"	"BARTON"	"000320"	11	47	46	13	3	56
"KS"	2008	1	"Pawnee Rock Township"	"BARTON"	"000330"	45	113	105	45	22	129
"KS"	2008	1	"South Bend Township"	"BARTON"	"000340"	83	219	252	52	26	262
"KS"	2008	1	"South Homestead Township"	"BARTON"	"000350"	35	127	130	28	11	138
"KS"	2008	1	"Union Township"	"BARTON"	"000360"	8	41	43	9	4	49
"KS"	2008	1	"Walnut Township Albert"	"BARTON"	"000370"	27	84	78	23	9	98
"KS"	2008	1	"Walnut Township Olmitz"	"BARTON"	"000380"	32	55	61	25	11	79
"KS"	2008	1	"Wheatland Township"	"BARTON"	"000390"	8	27	32	3	1	34
"KS"	2008	2	"Drywood Township"	"BOURBON"	"000010"	52	139	138	53	59	131
"KS"	2008	2	"Fort Scott Ward 1"	"BOURBON"	"00002A"	203	260	263	190	221	224
"KS"	2008	2	"Fort Scott Ward 2"	"BOURBON"	"00003A"	233	236	226	226	237	224
"KS"	2008	2	"Fort Scott Ward 3"	"BOURBON"	"000040"	91	90	109	72	90	92
"KS"	2008	2	"Fort Scott Ward 4"	"BOURBON"	"00005A"	179	284	287	163	190	264
"KS"	2008	2	"Fort Scott Ward 5"	"BOURBON"	"000060"	157	302	302	152	175	278
"KS"	2008	2	"Fort Scott Ward 6"	"BOURBON"	"000070"	235	428	450	208	256	404
"KS"	2008	2	"Fort Scott Ward 7"	"BOURBON"	"000080"	247	334	353	222	250	322
"KS"	2008	2	"Franklin Township"	"BOURBON"	"000090"	45	99	101	41	56	86
"KS"	2008	2	"Freedom Township"	"BOURBON"	"000100"	76	138	125	80	78	137
"KS"	2008	2	"Marion Township"	"BOURBON"	"000110"	166	353	365	154	164	354
"KS"	2008	2	"Marmaton Township"	"BOURBON"	"000120"	120	244	248	117	139	213
"KS"	2008	2	"Mill Creek Township"	"BOURBON"	"000130"	82	156	147	87	90	135
"KS"	2008	2	"North Scott Township"	"BOURBON"	"000140"	139	274	274	138	154	247
"KS"	2008	2	"Osage Township"	"BOURBON"	"000150"	54	110	102	61	60	107
"KS"	2008	2	"Pawnee Township"	"BOURBON"	"000160"	41	92	91	43	53	84
"KS"	2008	2	"South Scott Township"	"BOURBON"	"000170"	234	572	559	235	257	529
"KS"	2008	2	"Timberhill Township"	"BOURBON"	"000180"	32	85	82	35	43	73
"KS"	2008	2	"Walnut Township"	"BOURBON"	"000190"	8	44	41	10	13	38
"KS"	2008	2	"Hamlin Township"	"BROWN"	"000010"	15	69	58	25	23	61
"KS"	2008	2	"Hiawatha City Ward 1"	"BROWN"	"000020"	96	106	118	83	99	101
"KS"	2008	2	"Hiawatha City Ward 2"	"BROWN"	"000030"	208	406	404	201	240	374
"KS"	2008	2	"Hiawatha City Ward 3"	"BROWN"	"00004A"	173	336	325	178	211	296
"KS"	2008	2	"Hiawatha City Ward 4"	"BROWN"	"00005A"	28	67	59	33	35	57
"KS"	2008	2	"Hiawatha Township"	"BROWN"	"000060"	73	256	234	89	104	223
"KS"	2008	2	"Horton Ward 1"	"BROWN"	"000070"	103	184	173	116	122	162
"KS"	2008	2	"Horton Ward 2"	"BROWN"	"000080"	71	146	136	74	100	116
"KS"	2008	2	"Horton Ward 3"	"BROWN"	"00009A"	45	88	74	54	57	69
"KS"	2008	2	"Irving Township"	"BROWN"	"000100"	41	93	97	37	46	90
"KS"	2008	2	"Mission Township"	"BROWN"	"000110"	64	244	239	69	106	200
"KS"	2008	2	"Morrill Township"	"BROWN"	"000120"	31	187	179	41	59	157
"KS"	2008	2	"Padonia Township"	"BROWN"	"000130"	31	68	73	24	40	53
"KS"	2008	2	"Powhattan Township"	"BROWN"	"000140"	132	128	127	119	137	120
"KS"	2008	2	"Reserve Township"	"BROWN"	"000150"	14	40	38	17	20	34
"KS"	2008	2	"Robinson Township"	"BROWN"	"000160"	53	146	134	63	64	131
"KS"	2008	2	"Walnut Township"	"BROWN"	"000200"	76	237	226	87	99	219
"KS"	2008	2	"Washington Township"	"BROWN"	"000210"	63	184	178	66	84	157
"KS"	2008	4	"Andover North"	"BUTLER"	"00001A"	614	1376	1391	528	518	1391
"KS"	2008	4	"Andover South"	"BUTLER"	"00001B"	835	1768	1828	700	645	1879
"KS"	2008	4	"Augusta City Ward 1"	"BUTLER"	"00002A"	267	411	429	223	186	463
"KS"	2008	4	"Augusta City Ward 2"	"BUTLER"	"000030"	352	522	537	307	269	589
"KS"	2008	4	"Augusta City Ward 3"	"BUTLER"	"00004A"	355	623	666	307	275	700
"KS"	2008	4	"Augusta City Ward 4"	"BUTLER"	"000050"	422	851	862	381	328	927
"KS"	2008	4	"Augusta Township"	"BUTLER"	"00006A"	197	416	428	166	156	434
"KS"	2008	4	"Benton Township / City"	"BUTLER"	"000070"	327	845	849	279	288	839
"KS"	2008	4	"Bloomington Township"	"BUTLER"	"000080"	67	155	153	65	55	165
"KS"	2008	4	"Bruno Township"	"BUTLER"	"00009A"	327	849	856	279	263	868
"KS"	2008	4	"Chelsea Township/Sycamore/Cassoday"	"BUTLER"	"000100"	81	188	200	65	58	204
"KS"	2008	4	"Clay Township"	"BUTLER"	"000110"	14	28	27	12	9	28
"KS"	2008	4	"Clifford Township"	"BUTLER"	"000120"	21	79	87	11	12	89
"KS"	2008	4	"Douglass Township/City"	"BUTLER"	"000130"	297	531	562	256	222	577
"KS"	2008	4	"El Dorado Township"	"BUTLER"	"000330"	144	245	256	123	115	263
"KS"	2008	4	"El Dorado Ward 1 Precinct 1"	"BUTLER"	"00014A"	128	173	181	109	95	198
"KS"	2008	4	"El Dorado Ward 1 Precinct 2"	"BUTLER"	"00015A"	477	924	945	420	377	982
"KS"	2008	4	"El Dorado Ward 2 Precinct 1"	"BUTLER"	"00016A"	186	193	208	152	144	212
"KS"	2008	4	"El Dorado Ward 2 Precinct 2"	"BUTLER"	"000170"	128	177	175	121	102	186
"KS"	2008	4	"El Dorado Ward 2 Precinct 3"	"BUTLER"	"000180"	186	219	207	173	150	228
"KS"	2008	4	"El Dorado Ward 3 Precinct 1"	"BUTLER"	"000190"	195	245	246	181	155	257
"KS"	2008	4	"El Dorado Ward 3 Precinct 2"	"BUTLER"	"000200"	121	172	172	112	103	174
"KS"	2008	4	"El Dorado Ward 3 Precinct 3"	"BUTLER"	"000210"	127	182	188	111	100	199
"KS"	2008	4	"El Dorado Ward 4 Precinct 1"	"BUTLER"	"000220"	180	272	288	159	126	306
"KS"	2008	4	"El Dorado Ward 4 Precinct 2"	"BUTLER"	"00023A"	179	273	261	181	161	265
"KS"	2008	4	"El Dorado Ward 4 Precinct P3"	"BUTLER"	"00023B"	176	230	225	158	145	226
"KS"	2008	4	"Fairmount Township/Elbing"	"BUTLER"	"000240"	52	229	227	51	56	222
"KS"	2008	4	"Fairview Township"	"BUTLER"	"000250"	72	202	199	66	64	200
"KS"	2008	4	"Glencoe Township"	"BUTLER"	"000260"	28	61	61	28	28	58
"KS"	2008	4	"Hickory Township"	"BUTLER"	"000270"	9	33	33	9	8	33
"KS"	2008	4	"Lincoln Township"	"BUTLER"	"000280"	34	99	103	26	20	110
"KS"	2008	4	"Little Walnut Township/Leon"	"BUTLER"	"000290"	147	267	263	135	119	263
"KS"	2008	4	"Logan Township"	"BUTLER"	"000300"	24	37	44	15	12	43
"KS"	2008	4	"Milton Township/Whitewater"	"BUTLER"	"000310"	135	410	443	106	113	432
"KS"	2008	4	"Murdock Township"	"BUTLER"	"000320"	47	169	170	38	37	172
"KS"	2008	4	"Pleasant Township/Richland"	"BUTLER"	"000340"	367	879	873	332	293	913
"KS"	2008	4	"Plum Grove Township/Potwin"	"BUTLER"	"000350"	106	193	191	93	96	190
"KS"	2008	4	"Prospect Township"	"BUTLER"	"000360"	197	314	338	170	147	344
"KS"	2008	4	"Richland Township H78"	"BUTLER"	"200020"	125	275	288	106	90	293
"KS"	2008	4	"Rock Creek Township"	"BUTLER"	"000380"	44	124	117	43	37	126
"KS"	2008	4	"Rosalia Township"	"BUTLER"	"000390"	80	210	210	77	60	218
"KS"	2008	4	"Rose Hill City"	"BUTLER"	"200010"	542	1148	1208	431	365	1268
"KS"	2008	4	"Spring Township"	"BUTLER"	"000410"	237	477	467	217	199	477
"KS"	2008	4	"Towanda Township/City"	"BUTLER"	"000430"	383	811	827	350	308	837
"KS"	2008	4	"Union Township / Latham"	"BUTLER"	"000440"	24	59	60	16	19	53
"KS"	2008	4	"Walnut Township"	"BUTLER"	"000450"	103	211	212	87	69	223
"KS"	2008	1	"Bazaar Township"	"CHASE"	"000010"	10	42	37	12	1	47
"KS"	2008	1	"Cedar Township"	"CHASE"	"000020"	11	46	40	18	9	47
"KS"	2008	1	"Cottonwood Township"	"CHASE"	"000030"	24	53	54	24	14	57
"KS"	2008	1	"Diamond Township"	"CHASE"	"000040"	21	112	112	19	11	115
"KS"	2008	1	"East Falls Township"	"CHASE"	"000050"	53	166	157	54	28	175
"KS"	2008	1	"East Strong Township"	"CHASE"	"000060"	62	160	165	55	37	176
"KS"	2008	1	"Homestead Township"	"CHASE"	"000070"	12	22	20	12	6	27
"KS"	2008	1	"Matfield Township"	"CHASE"	"000080"	22	36	37	21	17	39
"KS"	2008	1	"Toledo Township"	"CHASE"	"000090"	42	124	111	49	27	129
"KS"	2008	1	"West Falls Township"	"CHASE"	"000100"	101	178	192	81	53	211
"KS"	2008	1	"West Strong Township"	"CHASE"	"000110"	25	37	42	21	11	46
"KS"	2008	4	"Caneyville Township"	"CHAUTAUQUA"	"000010"	4	52	48	8	2	54
"KS"	2008	4	"Center Township"	"CHAUTAUQUA"	"000020"	7	39	37	5	2	41
"KS"	2008	4	"Chautauqua"	"CHAUTAUQUA"	"000030"	24	115	113	21	15	109
"KS"	2008	4	"Harrison Township"	"CHAUTAUQUA"	"000040"	5	39	38	5	3	40
"KS"	2008	4	"Hendricks Township"	"CHAUTAUQUA"	"000050"	25	40	44	20	16	44
"KS"	2008	4	"Jefferson Township"	"CHAUTAUQUA"	"000060"	69	219	206	78	60	217
"KS"	2008	4	"Lafayette Township"	"CHAUTAUQUA"	"000070"	7	23	18	10	7	22
"KS"	2008	4	"Little Caney Township"	"CHAUTAUQUA"	"000080"	26	111	108	16	11	110
"KS"	2008	4	"North Sedan"	"CHAUTAUQUA"	"000090"	90	289	290	72	58	300
"KS"	2008	4	"Peru"	"CHAUTAUQUA"	"000100"	38	139	122	33	29	119
"KS"	2008	4	"Salt Creek Township"	"CHAUTAUQUA"	"000110"	10	54	54	7	6	55
"KS"	2008	4	"South Sedan"	"CHAUTAUQUA"	"000120"	79	209	210	55	43	217
"KS"	2008	4	"Summit Township"	"CHAUTAUQUA"	"000130"	9	41	38	7	8	36
"KS"	2008	4	"Washington Township"	"CHAUTAUQUA"	"000140"	8	48	49	7	7	49
"KS"	2008	2	"ADVANCE"	"CHEROKEE"	"800010"	603	727	714	598	677	656
"KS"	2008	2	"Baxter Springs Ward 1"	"CHEROKEE"	"000010"	93	197	188	100	105	182
"KS"	2008	2	"Baxter Springs Ward 2"	"CHEROKEE"	"000020"	106	151	155	91	97	152
"KS"	2008	2	"Baxter Springs Ward 3"	"CHEROKEE"	"000030"	175	399	370	180	182	376
"KS"	2008	2	"Baxter Springs Ward 4"	"CHEROKEE"	"00004A"	142	217	198	147	150	202
"KS"	2008	2	"Cherokee Township"	"CHEROKEE"	"000050"	61	89	76	68	76	71
"KS"	2008	2	"Columbus Ward 1"	"CHEROKEE"	"000060"	54	120	111	58	66	97
"KS"	2008	2	"Columbus Ward 2"	"CHEROKEE"	"000070"	103	199	186	113	118	182
"KS"	2008	2	"Columbus Ward 3"	"CHEROKEE"	"000080"	115	185	173	122	210	171
"KS"	2008	2	"Columbus Ward 4"	"CHEROKEE"	"000090"	59	85	87	58	61	86
"KS"	2008	2	"Columbus Ward 5"	"CHEROKEE"	"00010A"	89	151	136	98	93	146
"KS"	2008	2	"Crawford Township"	"CHEROKEE"	"000110"	88	207	197	88	103	189
"KS"	2008	2	"Galena Ward 1"	"CHEROKEE"	"000120"	123	141	124	118	121	130
"KS"	2008	2	"Galena Ward 2"	"CHEROKEE"	"00013A"	99	129	127	95	84	138
"KS"	2008	2	"Galena Ward 3"	"CHEROKEE"	"000140"	153	204	203	130	141	194
"KS"	2008	2	"Galena Ward 4"	"CHEROKEE"	"00015A"	72	75	77	64	73	76
"KS"	2008	2	"Galena Ward 5"	"CHEROKEE"	"000160"					372	531
"KS"	2008	2	"Garden Township Lowell"	"CHEROKEE"	"000170"	360	566	523	379	69	179
"KS"	2008	2	"Garden Township Stanley Mine Enclave B"	"CHEROKEE"	"00018C"					0	
"KS"	2008		"Garden Township Stanley Mine"	"CHEROKEE"	"00018A"	75	183	174	68		
"KS"	2008	2	"Lola Township"	"CHEROKEE"	"000190"	40	98	92	41	36	95
"KS"	2008	2	"Lowell Township"	"CHEROKEE"	"000200"	66	177	159	80	72	176
"KS"	2008	2	"Lyon Township"	"CHEROKEE"	"000210"	35	109	103	44	47	100
"KS"	2008	2	"Mineral Township"	"CHEROKEE"	"000220"	21	61	45	32	25	50
"KS"	2008	2	"Neosho Township Faulkner"	"CHEROKEE"	"000230"	15	32	32	16	14	32
"KS"	2008	2	"Neosho Township Melrose"	"CHEROKEE"	"000240"	25	49	45	30	33	42
"KS"	2008	2	"Pleasant View Township"	"CHEROKEE"	"000250"	88	170	167	88	102	155
"KS"	2008	2	"Ross Township Belleview"	"CHEROKEE"	"000270"	42	47	41	45	42	44
"KS"	2008	2	"Ross Township Roseland"	"CHEROKEE"	"000280"	53	68	58	57	53	64
"KS"	2008	2	"Ross Township West Mineral"	"CHEROKEE"	"000290"	41	55	46	48	41	54
"KS"	2008	2	"Salamanca Township"	"CHEROKEE"	"00030A"	69	181	165	82	91	157
"KS"	2008	2	"Scammon Ward 1"	"CHEROKEE"	"000310"	27	19	15	33	31	16
"KS"	2008	2	"Scammon Ward 2"	"CHEROKEE"	"000320"	38	26	18	48	42	23
"KS"	2008	2	"Scammon Ward 3"	"CHEROKEE"	"000330"	30	41	38	30	26	42
"KS"	2008	2	"Shawnee Township"	"CHEROKEE"	"000340"	54	161	150	69	59	156
"KS"	2008	2	"Sheridan Township"	"CHEROKEE"	"000350"	44	54	59	40	41	55
"KS"	2008	2	"Spring Valley Township Neutral"	"CHEROKEE"	"000360"	83	191	166	102	98	174
"KS"	2008	2	"Spring Valley Township Spring Valley"	"CHEROKEE"	"00037A"	48	136	127	50	54	120
"KS"	2008	2	"Treece City"	"CHEROKEE"	"000380"	17	21	28	10	18	24
"KS"	2008	2	"Weir Ward 1 Exclave"	"CHEROKEE"	"00039B"					0	0
"KS"	2008	2	"Weir Ward 1"	"CHEROKEE"	"00039A"	31	27	24	32	35	22
"KS"	2008	2	"Weir Ward 2"	"CHEROKEE"	"000400"	79	49	51	82	79	54
"KS"	2008	2	"Weir Ward 3"	"CHEROKEE"	"000410"	37	34	31	36	38	31
"KS"	2008	2	"West Mineral City"	"CHEROKEE"	"00042A"	41	55	46	48	41	54
"KS"	2008	1	"Benkelman Township"	"CHEYENNE"	"000010"	5	18	20	2	1	21
"KS"	2008	1	"Bird City Township"	"CHEYENNE"	"000020"	74	275	287	53	27	297
"KS"	2008	1	"Calhoun Township"	"CHEYENNE"	"000030"	2	11	11	1	0	10
"KS"	2008	1	"Cleveland Run Township"	"CHEYENNE"	"000040"	6	29	29	3	1	28
"KS"	2008	1	"Jaqua Township"	"CHEYENNE"	"000050"	0	16	14	3	0	17
"KS"	2008	1	"Orlando Township"	"CHEYENNE"	"000060"	3	31	33	0	0	32
"KS"	2008	1	"Wano 1 Township"	"CHEYENNE"	"000070"	86	323	343	61	29	359
"KS"	2008	1	"Wano 2 Township"	"CHEYENNE"	"000080"	147	445	495	92	42	522
"KS"	2008	1	"Appleton Township"	"CLARK"	"000010"	87	363	384	67	31	392
"KS"	2008	1	"Center 1"	"CLARK"	"000020"	84	218	229	67	31	237
"KS"	2008	1	"Center 2"	"CLARK"	"000030"	45	180	190	37	20	196
"KS"	2008	1	"Englewood Township"	"CLARK"	"000040"	16	44	43	16	12	39
"KS"	2008	1	"Lexington Township"	"CLARK"	"000050"	5	26	28	4	2	28
"KS"	2008	1	"Liberty Township"	"CLARK"	"000060"	2	23	23	2	2	23
"KS"	2008	1	"Sitka Township"	"CLARK"	"000070"	6	43	43	5	1	44
"KS"	2008	1	"Athelstane Township"	"CLAY"	"000010"	6	59	61	3	1	60
"KS"	2008	1	"Blaine Township"	"CLAY"	"000020"	19	121	122	14	5	129
"KS"	2008	1	"Bloom Township"	"CLAY"	"000030"	12	53	58	6	1	62
"KS"	2008	1	"Chapman Township"	"CLAY"	"000040"	20	53	55	17	6	65
"KS"	2008	1	"Clay Center Township"	"CLAY"	"00005A"	40	138	139	33	8	156
"KS"	2008	1	"Clay Center Ward 1"	"CLAY"	"00006A"	182	451	466	153	54	539
"KS"	2008	1	"Clay Center Ward 2"	"CLAY"	"000070"	188	461	486	160	57	582
