state	year	county	precinct	g2002_GOV_tv	g2002_GOV_rv	g2002_GOV_dv	g2002_USS_tv	g2002_USS_rv	g2002_USS_dv
"GA"	2002	"Charlton County"	"HOMELAND - 4"	320	198	117	320	197	116
"GA"	2002	"Charlton County"	"RACEPOND - 5"	34	18	14	34	20	14
"GA"	2002	"Charlton County"	"ST GEORGE - 3"	237	139	94	239	161	74
"GA"	2002	"Charlton County"	"TRADERS HILL - 3"	172	137	35	172	140	32
"GA"	2002	"Charlton County"	"WINOKUR - 5"	89	64	23	86	54	32
"GA"	2002	"Chatham County"	"1-1 First Presbyterian Church"	527	278	238	525	321	198
"GA"	2002	"Chatham County"	"1-10 The Woods of Savannah"	301	135	161	297	134	160
"GA"	2002	"Chatham County"	"1-11 Chatham County Health Department"	350	209	140	351	227	122
"GA"	2002	"Chatham County"	"1-12 Goodwill Industries"	57	15	42	56	13	42
"GA"	2002	"Chatham County"	"1-13 Bartlett Middle School"	269	99	167	268	101	164
"GA"	2002	"Chatham County"	"1-14 White Bluff School"	393	195	192	393	191	200
"GA"	2002	"Chatham County"	"1-15 Cresthill Baptist Church"	630	394	223	631	390	238
"GA"	2002	"Chatham County"	"1-16 Bethesda Museum"	716	471	237	716	471	240
"GA"	2002	"Chatham County"	"1-17 SS Fire Dept. Montgomery"	645	427	213	641	434	201
"GA"	2002	"Chatham County"	"1-18 Ferguson Avenue Bapt. Church"	517	358	147	524	360	156
"GA"	2002	"Chatham County"	"1-2 Charles Ellis School"	420	215	196	420	239	177
"GA"	2002	"Chatham County"	"1-3 Whitefield Methodist Church"	565	308	242	565	342	216
"GA"	2002	"Chatham County"	"1-4 Jacob G. Smith School"	524	251	261	524	268	249
"GA"	2002	"Chatham County"	"1-5 JEA Building"	308	136	169	309	142	164
"GA"	2002	"Chatham County"	"1-6 Faith Lutheran Church"	449	248	197	449	265	180
"GA"	2002	"Chatham County"	"1-7 Virginia Heard School"	575	258	312	573	289	282
"GA"	2002	"Chatham County"	"1-8 Grace United Methodist Church"	351	195	149	349	209	135
"GA"	2002	"Chatham County"	"1-9 Immanuel Baptist Church"	392	213	176	396	221	171
"GA"	2002	"Chatham County"	"2-1 Fred Wessels Comm. Center"	377	60	307	378	81	289
"GA"	2002	"Chatham County"	"2-11 South Gardens Christian Church"	407	103	297	407	104	300
"GA"	2002	"Chatham County"	"2-12 Eli Whitney School"	143	5	137	144	7	137
"GA"	2002	"Chatham County"	"2-13 Girl Scout Cottage"	372	133	236	373	137	232
"GA"	2002	"Chatham County"	"2-14 New Generation Baptist Church"	629	56	567	631	59	562
"GA"	2002	"Chatham County"	"2-2 Spencer School"	80	0	80	80	1	78
"GA"	2002	"Chatham County"	"2-3 W. W. Law Center"	240	5	231	241	6	230
"GA"	2002	"Chatham County"	"2-4 Christ Memorial Baptist"	382	10	370	385	12	367
"GA"	2002	"Chatham County"	"2-5 Holy Spirit Lutheran Church"	642	52	580	646	56	578
"GA"	2002	"Chatham County"	"2-6 Riverside Baptist Church"	178	39	137	182	37	144
"GA"	2002	"Chatham County"	"2-7 Shuman Middle School"	272	12	255	267	6	256
"GA"	2002	"Chatham County"	"2-8 Stubbs Towers"	558	25	525	560	28	523
"GA"	2002	"Chatham County"	"2-9 #8 Fire Station"	237	95	139	238	103	132
"GA"	2002	"Chatham County"	"3-1 Old Courthouse"	166	77	82	166	89	76
"GA"	2002	"Chatham County"	"3-10 Naval ROTC Building"	594	80	512	596	64	526
"GA"	2002	"Chatham County"	"3-11 Southside Baptist Church"	429	158	267	431	152	276
"GA"	2002	"Chatham County"	"3-12 Thunderbolt Town Hall"	646	270	366	647	279	365
"GA"	2002	"Chatham County"	"3-13 Howard Jordan Building"	544	220	312	545	221	318
"GA"	2002	"Chatham County"	"3-14 Riverview Health Rehabilitation Center"	663	140	518	661	157	501
"GA"	2002	"Chatham County"	"3-2 Massie Heritage School"	619	249	355	623	304	311
"GA"	2002	"Chatham County"	"3-3 Pennsylvania Avenue School"	166	27	137	165	26	137
"GA"	2002	"Chatham County"	"3-4 First African Baptist Church"	407	28	372	404	28	370
"GA"	2002	"Chatham County"	"3-5 Aldersgate Youth Center"	711	323	383	714	324	384
"GA"	2002	"Chatham County"	"3-6 Wilmington Baptist Church"	138	40	94	137	40	97
"GA"	2002	"Chatham County"	"3-7 Myers Middle School"	319	81	233	321	75	244
"GA"	2002	"Chatham County"	"3-8 Jenkins High School"	437	211	218	440	214	223
"GA"	2002	"Chatham County"	"3-9 Cokesbury Methodist Church"	350	226	121	353	242	109
"GA"	2002	"Chatham County"	"4-1 Islands Elementary School"	1088	678	395	1092	752	326
"GA"	2002	"Chatham County"	"4-10 Tybee Island Community Center"	697	386	295	699	396	292
"GA"	2002	"Chatham County"	"4-11 Tybee Island Town Hall"	794	409	366	798	423	365
"GA"	2002	"Chatham County"	"4-12 St. Peters Episcopal Church"	1062	690	365	1074	813	257
"GA"	2002	"Chatham County"	"4-13 Skidaway Island Community Presbyterian Church"	1082	729	344	1085	873	207
"GA"	2002	"Chatham County"	"4-14 The Landing Asso. Administration Office"	1026	695	328	1028	853	175
"GA"	2002	"Chatham County"	"4-15 Skidaway Island State Park"	761	516	238	760	601	156
"GA"	2002	"Chatham County"	"4-16 Isle of Hope School"	603	389	203	605	408	190
"GA"	2002	"Chatham County"	"4-17 Isle of Hope Baptist Center"	1005	646	352	1003	750	250
"GA"	2002	"Chatham County"	"4-2 Islands Community Center"	867	529	326	867	569	289
"GA"	2002	"Chatham County"	"4-3 Lighthouse Baptist Church"	493	344	144	496	339	151
"GA"	2002	"Chatham County"	"4-4 Point Pleasant"	517	344	169	517	344	171
"GA"	2002	"Chatham County"	"4-5 St. Francis Episcopal Church"	725	493	220	723	501	212
"GA"	2002	"Chatham County"	"4-6 First Baptist Church of the Islands"	915	583	316	916	633	277
"GA"	2002	"Chatham County"	"4-7 May Howard School"	902	574	315	896	599	287
"GA"	2002	"Chatham County"	"4-8 Wilmington Island Presbyterian Church"	786	510	270	786	552	229
"GA"	2002	"Chatham County"	"4-9 Lazaretto Boat Club"	726	505	215	724	539	182
"GA"	2002	"Chatham County"	"5-1 Williams Court"	431	38	383	426	37	380
"GA"	2002	"Chatham County"	"5-10 Pulaski School"	657	38	608	657	37	617
"GA"	2002	"Chatham County"	"5-11 Largo Tibet School"	711	226	477	710	249	458
"GA"	2002	"Chatham County"	"5-2 Senior Citizens Center"	203	15	182	203	14	188
"GA"	2002	"Chatham County"	"5-3 Butler Presbyterian"	380	9	366	384	8	371
