state	year	county	precinct	cd	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"AR"	2008	"Baxter County"	"Big Flat City Hall 23"	1	10	45	60	37		48			
"AR"	2008	"Baxter County"	"Buford Cmt Ctr 20"	1	105	230	346	213		321			
"AR"	2008	"Baxter County"	"Clarkridge Fire St 03"	1	106	265	388	197		336			
"AR"	2008	"Baxter County"	"Clg And N Ch Of Christ 10"	1	140	300	456	288		426			
"AR"	2008	"Baxter County"	"Cotter City Hall 18"	1	79	178	269	172		249			
"AR"	2008	"Baxter County"	"Eastside Baptist 11"	1	178	406	600	371		557			
"AR"	2008	"Baxter County"	"Ev Paper 650"	1	3243	6091	9613	5830		8662			
"AR"	2008	"Baxter County"	"Fairgrounds 12"	1	202	446	671	409		626			
"AR"	2008	"Baxter County"	"Gamaliel Fire St 06"	1	113	216	337	202		312			
"AR"	2008	"Baxter County"	"Gasville Cmt Ctr 16"	1	208	493	724	486		684			
"AR"	2008	"Baxter County"	"Hand Cove Fire St 09"	1	59	79	143	101		137			
"AR"	2008	"Baxter County"	"Henderson Fire St 07"	1	71	148	227	141		203			
"AR"	2008	"Baxter County"	"Jordon 1st Baptist 24"	1	74	104	180	127		164			
"AR"	2008	"Baxter County"	"Lakeview Cmty Ctr 02"	1	248	506	774	446		707			
"AR"	2008	"Baxter County"	"Lonerock Cmt Ctr 21"	1	60	93	159	105		150			
"AR"	2008	"Baxter County"	"Midway Fire Station 01"	1	157	368	543	329		499			
"AR"	2008	"Baxter County"	"Ne Lakeside Fire St 08"	1	178	401	586	356		542			
"AR"	2008	"Baxter County"	"Norfork Cmt Ctr 19"	1	129	211	355	232		320			
"AR"	2008	"Baxter County"	"Redeemer Lutheran 13"	1	39	109	157	95		146			
"AR"	2008	"Baxter County"	"Salesville City Hall 17"	1	86	121	214	153		207			
"AR"	2008	"Baxter County"	"St. Andrew's Church 04"	1	178	442	640	392		585			
"AR"	2008	"Baxter County"	"Tablerock Cmt Ctr 22"	1	27	25	52	45		52			
"AR"	2008	"Baxter County"	"Tracy Fire Station 15"	1	176	353	543	356		507			
"AR"	2008	"Benton County"	"1 Maysville Community Bldg."	3	92	179	284	195		263		242	281
"AR"	2008	"Benton County"	"10 Heritage Missionary Baptist Church"	3	231	557	806	487		719		657	772
"AR"	2008	"Benton County"	"11 St. Mary's Catholic Church"	3	264	781	1067	663		970		844	1025
"AR"	2008	"Benton County"	"12 St. Mary's Catholic Church"	3	49	188	239	137		206		200	232
"AR"	2008	"Benton County"	"13 St. Mary's Catholic Church"	3	32	139	174	110		158		148	168
"AR"	2008	"Benton County"	"14 St. Mary's Catholic Church"	3	99	378	489	315		441		410	471
"AR"	2008	"Benton County"	"15 Springtown Church Of Christ"	3	83	280	374	232		333		313	364
"AR"	2008	"Benton County"	"16 Robinson Community Bldg."	3	32	147	182	118		169		154	175
"AR"	2008	"Benton County"	"17 Logan Community Bldg."	3	56	159	220	143		202		176	210
"AR"	2008	"Benton County"	"18 Cave Springs Community Bldg."	3	67	220	289	185		250		238	274
"AR"	2008	"Benton County"	"19 Highfill Community Bldg."	3	77	197	281	195		269		222	278
"AR"	2008	"Benton County"	"2 Sulphur Springs Community Bldg."	3	112	236	367	233		336		295	363
"AR"	2008	"Benton County"	"20 Vaughn Presbyterian Church"	3	87	211	302	197		276		248	292
"AR"	2008	"Benton County"	"21 Vaughn Presbyterian Church"	3	222	359	592	375		546		461	557
"AR"	2008	"Benton County"	"22 New Life Christian Center"	3	760	1826	2633	1721		2408		2153	2523
"AR"	2008	"Benton County"	"23 Hiwasse Fire Station/community Bldg."	3	124	325	459	292		425		375	447
"AR"	2008	"Benton County"	"24 Highlands Church"	3	687	1521	2251	1362		2027		1800	2170
"AR"	2008	"Benton County"	"25 Presbyterian Church Of Bella Vista"	3	717	1284	2039	1230		1826		1525	1930
"AR"	2008	"Benton County"	"26 Bella Vista 1st United Methodist Church"	3	663	1284	1984	1222		1801		1526	1882
"AR"	2008	"Benton County"	"27 Bella Vista Christian Church"	3	689	1370	2110	1294		1913		1649	2022
"AR"	2008	"Benton County"	"28 Bella Vista Baptist Church"	3	577	1015	1624	952		1468		1222	1560
"AR"	2008	"Benton County"	"29 St. Theodore's Episcopal Church"	3	587	1125	1749	1038		1571		1331	1653
"AR"	2008	"Benton County"	"3 Gravette Civic Center"	3	363	1042	1443	914		1327		1203	1413
"AR"	2008	"Benton County"	"30 Vfw Post #9063"	3	788	1647	2486	1511		2229		1921	2373
"AR"	2008	"Benton County"	"31 Bella Vista Church Of Christ"	3	173	522	707	423		627		578	678
"AR"	2008	"Benton County"	"32 Bentonville First Presbyterian Church"	3	441	1041	1517	950		1357		1234	1465
"AR"	2008	"Benton County"	"33 Bentonville Church Of Christ, Activity Center"	3	392	729	1158	760		1090		886	1119
"AR"	2008	"Benton County"	"34 Bentonville First Baptist Church"	3	562	1544	2135	1346		1893		1792	2053
"AR"	2008	"Benton County"	"35 Bentonville First Baptist Church"	3	184	552	745	473		658		617	706
"AR"	2008	"Benton County"	"36 First Assembly Of God Church"	3	812	1678	2516	1555		2228		1977	2354
"AR"	2008	"Benton County"	"37 Bentonville First Christian Church"	3	595	941	1580	999		1447		1143	1498
"AR"	2008	"Benton County"	"38 Christian Center"	3	293	560	873	574		799		653	817
"AR"	2008	"Benton County"	"39 Oakley Chapel United Methodist Church"	3	238	492	735	479		661		563	682
"AR"	2008	"Benton County"	"4 Cornerstone Baptist Church, Cherokee City"	3	43	93	143	95		130		104	134
"AR"	2008	"Benton County"	"40 Central United Methodist Church"	3	215	460	692	478		643		556	668
"AR"	2008	"Benton County"	"41 Central United Methodist Church"	3	193	460	665	423		596		534	641
"AR"	2008	"Benton County"	"42 Grace Lutheran Church"	3	251	589	850	556		771		684	805
"AR"	2008	"Benton County"	"43 First Church Of The Nazarene"	3	124	540	668	417		586		602	652
"AR"	2008	"Benton County"	"44 First Church Of The Nazarene"	3	546	1614	2180	1328		1892		1854	2104
"AR"	2008	"Benton County"	"45 Cave Springs Community Bldg."	3	260	879	1158	692		988		974	1095
"AR"	2008	"Benton County"	"46 Cave Springs Community Bldg."	3	209	779	999	654		899		843	971
"AR"	2008	"Benton County"	"47 Grace Lutheran Church"	3	148	272	433	314		408		355	421
"AR"	2008	"Benton County"	"48 Bethel Heights Fire Station/community Room"	3	456	1330	1822	1234		1639		1507	1755
"AR"	2008	"Benton County"	"49 Lowell First Baptist Church"	3	191	299	496	334		454		384	477
"AR"	2008	"Benton County"	"5 Decatur City Administration Bldg."	3	225	479	726	487		675		570	697
"AR"	2008	"Benton County"	"50 Lowell First Baptist Church"	3	163	368	541	359		488		423	523
"AR"	2008	"Benton County"	"51 War Eagle Mill"	3	199	356	567	368		530		414	541
"AR"	2008	"Benton County"	"52 First United Pentecostal Church"	3	280	552	854	554		777		647	810
"AR"	2008	"Benton County"	"53 Rogers 1st United Methodist Church"	3	153	132	299	211		280		198	283
"AR"	2008	"Benton County"	"54 First Christian Church Of Rogers"	3	234	358	617	424		560		475	588
"AR"	2008	"Benton County"	"55 Southside Church Of Christ"	3	234	400	647	443		593		501	619
"AR"	2008	"Benton County"	"56 Open Door Baptist Church"	3	362	608	995	690		919		781	950
"AR"	2008	"Benton County"	"57 Rogers Christian Church"	3	198	339	554	359		495		429	528
"AR"	2008	"Benton County"	"58 Charity Baptist Church"	3	281	483	782	512		692		586	726
"AR"	2008	"Benton County"	"59 Rogers Freewill Baptist Church"	3	108	155	266	200		258		196	250
"AR"	2008	"Benton County"	"6 Gentry Methodist Church"	3	328	871	1227	776		1128		1019	1179
"AR"	2008	"Benton County"	"60 Colonial Baptist Church"	3	232	253	502	351		464		333	471
"AR"	2008	"Benton County"	"61 Bland Chapel (rocky Branch)"	3	256	441	712	451		657		511	682
"AR"	2008	"Benton County"	"62 Holy Trinity Lutheran Church"	3	93	108	206	148		194		138	195
"AR"	2008	"Benton County"	"63 Holy Trinity Lutheran Church"	3	161	187	363	247		327		260	332
"AR"	2008	"Benton County"	"64 Charity Baptist Church"	3	568	827	1419	968		1295		1051	1340
"AR"	2008	"Benton County"	"65 Christian Center"	3	192	632	834	498		729		706	806
"AR"	2008	"Benton County"	"66 Little Flock City Hall"	3	258	616	899	594		825		713	861
"AR"	2008	"Benton County"	"67 Cornerstone Assembly Of God Church"	3	164	381	559	390		523		452	545
"AR"	2008	"Benton County"	"68 Avoca Town Hall"	3	118	183	311	192		289		230	298
"AR"	2008	"Benton County"	"69 Pea Ridge Emergency Services Bldg."	3	617	1531	2203	1460		2057		1732	2121
"AR"	2008	"Benton County"	"7 Total Life Community Center"	3	142	604	772	443		675		648	734
"AR"	2008	"Benton County"	"70 St. Bernard's Catholic Church Parish Hall"	3	297	693	1010	590		899		762	951
"AR"	2008	"Benton County"	"71 Garfield First Baptist Church"	3	238	587	843	540		794		674	819
"AR"	2008	"Benton County"	"72 Gateway Town Hall"	3	80	172	260	158		240		190	252
"AR"	2008	"Benton County"	"73 Lost Bridge Village Community Bldg."	3	234	440	693	418		638		508	664
"AR"	2008	"Benton County"	"74 Avoca Town Hall"	3	193	417	623	406		584		490	601
"AR"	2008	"Benton County"	"75 Rogers First United Methodist Church"	3	313	658	995	646		896		780	959
"AR"	2008	"Benton County"	"76 Prairie Creek Assn. Community Center"	3	453	957	1439	921		1297		1123	1367
"AR"	2008	"Benton County"	"77 Lakeside Baptist Church"	3	318	494	834	568		761		617	795
"AR"	2008	"Benton County"	"78 Monte Ne Baptist Church"	3	315	393	729	502		677		521	680
"AR"	2008	"Benton County"	"79 Faith Christian Fellowship Of Rogers"	3	403	470	903	630		841		634	840
"AR"	2008	"Benton County"	"8 First Christian Church, Siloam Springs"	3	166	618	802	445		698		674	765
"AR"	2008	"Benton County"	"80 Mountain Springs Baptist Church"	3	174	429	615	389		565		487	594
"AR"	2008	"Benton County"	"81 Lowell First Baptist Church"	3	148	379	542	377		498		429	511
"AR"	2008	"Benton County"	"82 Bethel Heights Fire Station Community Room"	3	30	67	100	73		95		76	95
"AR"	2008	"Benton County"	"83 Hickory Creek Fire Station"	3	198	422	638	444		587		455	613
"AR"	2008	"Benton County"	"9 Siloam Springs Community Bldg."	3	421	1220	1676	1022		1489		1336	1594
"AR"	2008	"Boone County"	"Absentee"	3	167	383	562	337		507		429	516
"AR"	2008	"Boone County"	"Batavia"	3	56	182	253	145		218		200	238
"AR"	2008	"Boone County"	"Bellefonte"	3	99	285	407	264		357		319	369
"AR"	2008	"Boone County"	"Blythe"	3	9	36	46	22		38		36	43
"AR"	2008	"Boone County"	"Bryan"	3	58	184	248	157		223		204	230
"AR"	2008	"Boone County"	"Carrollton"	3	78	128	210	140		196		155	191
"AR"	2008	"Boone County"	"Dubuque"	3	73	166	248	143		227		190	232
"AR"	2008	"Boone County"	"Early"	3	2518	5609	8353	5185		7355		6330	7698
"AR"	2008	"Boone County"	"Elixir / Kirk Mtn."	3	88	341	446	275		393		356	416
"AR"	2008	"Boone County"	"Ewing"	3	34	93	131	87		116		106	127
"AR"	2008	"Boone County"	"Gaither"	3	44	143	196	122		171		155	185
"AR"	2008	"Boone County"	"Jackson"	3	29	104	136	80		126		116	131
"AR"	2008	"Boone County"	"Jefferson"	3	61	237	307	197		278		253	289
"AR"	2008	"Boone County"	"Lee"	3	74	241	326	184		270		251	298
"AR"	2008	"Boone County"	"Long Creek"	3	58	188	248	154		210		195	230
"AR"	2008	"Boone County"	"N Harrison - A"	3	93	218	317	210		295		246	300
"AR"	2008	"Boone County"	"N Harrison - B"	3	55	167	234	142		204		189	218
"AR"	2008	"Boone County"	"Olvey"	3	44	77	124	74		106		88	107
"AR"	2008	"Boone County"	"Omaha"	3	204	383	599	333		527		415	546
"AR"	2008	"Boone County"	"Prairie"	3	46	77	130	92		126		91	122
"AR"	2008	"Boone County"	"Prosperity"	3	17	86	106	67		94		89	101
"AR"	2008	"Boone County"	"S Harrison - C"	3	107	279	398	251		359		314	372
"AR"	2008	"Boone County"	"S Harrison - D"	3	83	172	264	161		240		199	249
"AR"	2008	"Boone County"	"Sugarloaf"	3	135	287	443	274		381		308	403
"AR"	2008	"Boone County"	"Summit"	3	65	123	193	135		183		135	176
"AR"	2008	"Boone County"	"Sunset"	3	21	62	84	55		77		68	84
"AR"	2008	"Boone County"	"Valley View"	3	79	256	350	229		313		283	326
"AR"	2008	"Boone County"	"Zinc"	3	40	68	115	68		105		87	110
"AR"	2008	"Boone County"	"(blank)"	3	0	0	0	0		0		0	0
"AR"	2008	"Bradley County"	"Av Absentee 1 100-1"	4	61	54	116	99		110	98		109
"AR"	2008	"Bradley County"	"Av Absentee 2 100-2"	4	12	19	31	24		31	24		31
"AR"	2008	"Bradley County"	"Banks Community Rm A"	4	13	21	37	29		33	29		33
"AR"	2008	"Bradley County"	"Banks Community Rm B"	4	55	74	133	115		126	116		126
"AR"	2008	"Bradley County"	"Eagle Lake Baptist"	4	24	37	65	54		61	59		65
"AR"	2008	"Bradley County"	"Ev Paper 650"	4	835	844	1703	1409		1581	1459		1597
"AR"	2008	"Bradley County"	"Hermitage Baptist A"	4	52	53	110	85		101	89		103
"AR"	2008	"Bradley County"	"Hermitage Baptist B"	4	24	126	153	128		147	132		149
"AR"	2008	"Bradley County"	"Johnsville Grocery"	4	49	59	112	93		104	95		101
"AR"	2008	"Bradley County"	"Martin Chapel Method"	4	12	46	59	50		58	54		57
"AR"	2008	"Bradley County"	"Pv Provisional"	4	3	1	4	4		4	4		4
"AR"	2008	"Bradley County"	"Shady Grove Baptist"	4	48	41	92	72		77	76		80
"AR"	2008	"Bradley County"	"Springhill Baptist"	4	24	81	109	93		106	92		105
"AR"	2008	"Bradley County"	"Warren Housing Auth"	4	196	85	290	256		274	262		277
"AR"	2008	"Bradley County"	"Ymca-a"	4	82	168	261	228		245	232		246
"AR"	2008	"Bradley County"	"Ymca-b"	4	127	127	260	219		249	219		245
"AR"	2008	"Bradley County"	"Ymca-c"	4	46	281	339	285		327	285		323
"AR"	2008	"Bradley County"	"Ymca-d"	4	17	145	167	138		159	139		158
"AR"	2008	"Calhoun County"	"001 Thornton Fire Station"	4	80	120	207	172		198	179		200
"AR"	2008	"Calhoun County"	"002 Chambersville Fire Station"	4	40	125	171	128		156	130		153
"AR"	2008	"Calhoun County"	"003 Tinsman Community Building"	4	13	74	90	64		85	67		86
"AR"	2008	"Calhoun County"	"004 Harrell Methodist Church"	4	88	103	196	163		182	165		181
"AR"	2008	"Calhoun County"	"005 Calhoun County Fair Building"	4	32	100	141	119		137	123		138
"AR"	2008	"Calhoun County"	"006 Locust Bayou Fire Station"	4	47	173	224	167		205	166		202
"AR"	2008	"Calhoun County"	"007 Woodberry Community Building"	4	26	97	126	91		118	93		118
"AR"	2008	"Calhoun County"	"008  Calhoun County Fair Building"	4	35	93	137	107		131	112		130
"AR"	2008	"Calhoun County"	"009  Calhoun County Fair Building"	4	81	31	113	92		103	96		103
"AR"	2008	"Calhoun County"	"03c Calhoun County Fair Building"	4	17	60	78	64		76	61		75
"AR"	2008	"Calhoun County"	"07w Locust Bayou Fire Station"	4	4	22	26	18		23	18		24
"AR"	2008	"Calhoun County"	"Absentee  & Early Vote    Calhoun County Courthouse"	4	227	461	704	558		663	578		669
"AR"	2008	"Calhoun County"	"Overseas Absentees"	4	0	0	0	0		0	0		0
"AR"	2008	"Calhoun County"	"Provisional"	4	1	3	4	4		4	4		4
"AR"	2008	"Carroll County"	"Absentee"	3	172	237	415	278		384		278	392
"AR"	2008	"Carroll County"	"Beaver"	3	101	87	194	125		190		108	185
"AR"	2008	"Carroll County"	"Berryville Ward 1"	3	108	232	349	239		335		266	334
"AR"	2008	"Carroll County"	"Berryville Ward 2"	3	94	196	307	221		294		238	295
"AR"	2008	"Carroll County"	"Carrollton"	3	57	122	188	124		181		148	181
"AR"	2008	"Carroll County"	"Coin"	3	35	66	107	75		99		77	103
"AR"	2008	"Carroll County"	"Dry Fork"	3	27	68	97	68		93		78	93
"AR"	2008	"Carroll County"	"Early"	3	1952	2040	4098	2912		3927		2509	3925
"AR"	2008	"Carroll County"	"Es Ward 1"	3	110	46	164	96		159		69	161
"AR"	2008	"Carroll County"	"Es Ward 2"	3	106	34	146	91		145		56	147
"AR"	2008	"Carroll County"	"Es Ward 3"	3	94	88	188	112		176		107	179
"AR"	2008	"Carroll County"	"Green Forest Ward 1"	3	64	120	195	141		189		144	184
"AR"	2008	"Carroll County"	"Green Forest Ward 2"	3	63	151	224	164		217		189	219
"AR"	2008	"Carroll County"	"Holiday Island"	3	337	550	903	568		837		656	872
"AR"	2008	"Carroll County"	"Johnson Springs"	3	194	223	430	267		407		284	419
"AR"	2008	"Carroll County"	"Kings River"	3	41	127	170	109		161		135	165
"AR"	2008	"Carroll County"	"Liberty"	3	22	29	55	47		54		39	52
"AR"	2008	"Carroll County"	"Long Creek"	3	33	123	162	111		149		130	155
"AR"	2008	"Carroll County"	"Ne/nw Hickory"	3	93	260	365	274		356		321	364
"AR"	2008	"Carroll County"	"Ne/se Prairie/cabanal"	3	53	151	209	156		197		179	207
"AR"	2008	"Carroll County"	"North Yocum"	3	34	126	172	124		157		138	162
"AR"	2008	"Carroll County"	"Nw/sw Prairie"	3	53	238	303	223		290		260	303
"AR"	2008	"Carroll County"	"Omega"	3	35	88	134	103		129		107	134
"AR"	2008	"Carroll County"	"Osage"	3	40	61	106	80		100		82	103
"AR"	2008	"Carroll County"	"Packard Springs/winona"	3	93	116	216	137		198		136	208
"AR"	2008	"Carroll County"	"Piney"	3	25	61	88	69		81		68	87
"AR"	2008	"Carroll County"	"Polo"	3	53	237	296	215		281		259	290
"AR"	2008	"Carroll County"	"South Yocum"	3	38	90	129	95		123		104	126
"AR"	2008	"Carroll County"	"Sw/se Hickory"	3	45	116	169	131		166		137	165
"AR"	2008	"Chicot County"	"Absentee"	4	148	119	267	230		258	241		263
"AR"	2008	"Chicot County"	"Bowie"	4	666	207	877	818		861	849		880
"AR"	2008	"Chicot County"	"Carlton"	4	790	765	1567	1326		1526	1373		1547
"AR"	2008	"Chicot County"	"Early"	4	728	813	1557	1316		1520	1369		1532
"AR"	2008	"Chicot County"	"Planters"	4	711	215	940	863		919	889		934
"AR"	2008	"Clark County"	"1st Assembly Of God 16"	4	139	138	279	229		261	229		259
"AR"	2008	"Clark County"	"1st Presbyterian 05"	4	226	228	466	346		433	358		429
"AR"	2008	"Clark County"	"1st United Methodist 03"	4	88	189	283	179		240	188		240
"AR"	2008	"Clark County"	"1st United-gurdon 15"	4	141	109	267	225		247	214		238
"AR"	2008	"Clark County"	"2nd Baptist Church 04"	4	178	201	385	310		357	308		358
"AR"	2008	"Clark County"	"Alpine Community Bld 02"	4	22	51	81	65		76	73		79
"AR"	2008	"Clark County"	"Amity Municipal Bldg 01"	4	89	269	369	285		352	304		353
"AR"	2008	"Clark County"	"Arkadelphia Rec Ctr 07"	4	160	250	416	317		393	332		393
"AR"	2008	"Clark County"	"Av Absentee 100-1"	4	123	123	249	199		230	204		235
"AR"	2008	"Clark County"	"Av Absentee 100-2"	4	65	38	107	95		110	92		107
"AR"	2008	"Clark County"	"Caddo Vly City Hall 08"	4	94	126	230	172		217	186		218
"AR"	2008	"Clark County"	"Central Cmty Bldg 09"	4	94	236	340	254		322	266		328
"AR"	2008	"Clark County"	"Curtis Fire Station 10"	4	100	122	230	187		218	185		220
"AR"	2008	"Clark County"	"Degray Fire Station 11"	4	68	158	234	192		231	195		231
"AR"	2008	"Clark County"	"Ev-cnty Clrk Office Ivo"	4	1998	1633	3686	2998		3515	3048		3493
"AR"	2008	"Clark County"	"Gum Springs Cityhall 13"	4	90	116	215	189		212	190		213
"AR"	2008	"Clark County"	"Gurdon Municipal Bld 14"	4	67	162	239	193		223	199		225
"AR"	2008	"Clark County"	"Hollywood Baptis 17"	4	42	66	111	89		111	95		109
"AR"	2008	"Clark County"	"Manchester Cmty Bldg 12"	4	105	77	190	156		185	161		187
"AR"	2008	"Clark County"	"Okolona Cmty Bldg 18"	4	126	108	242	194		228	201		227
"AR"	2008	"Clark County"	"Pv Hand Count Paper 650"	4	8	8	16	8		12	9		12
"AR"	2008	"Clark County"	"St Andrew Methodist 06"	4	204	98	311	263		294	268		292
"AR"	2008	"Clark County"	"Whelen Spgs Cityhall 19"	4	40	102	148	123		143	124		143
"AR"	2008	"Clay County"	"Boydsville Community Center"	1	33	51	91	77		85			
"AR"	2008	"Clay County"	"Corning Community Center"	1	0	0	0	0		0			
"AR"	2008	"Clay County"	"Datto City Hall"	1	27	15	47	43		48			
"AR"	2008	"Clay County"	"Early & Absentee"	1	1013	1192	2281	1758		2113			
"AR"	2008	"Clay County"	"Greenway City Hall"	1	36	108	151	112		144			
"AR"	2008	"Clay County"	"Knob Community Center"	1	15	28	46	32		40			
"AR"	2008	"Clay County"	"Knobel Community Center"	1	42	60	108	95		101			
"AR"	2008	"Clay County"	"M.b. Ainley Community Center"	1	220	344	593	478		558			
"AR"	2008	"Clay County"	"Mcdougal Community Center"	1	53	59	115	95		109			
"AR"	2008	"Clay County"	"Nimmons City Hall"	1	31	59	95	66		84			
"AR"	2008	"Clay County"	"Overseas Absentees"	1	1	6	8	7		7			
"AR"	2008	"Clay County"	"Peach Orchard Community Center"	1	31	21	60	53		58			
"AR"	2008	"Clay County"	"Piggott Community Center"	1	276	442	754	587		715			
"AR"	2008	"Clay County"	"Pollard City Hall"	1	78	123	206	150		190			
"AR"	2008	"Clay County"	"Rector Community Center"	1	304	384	723	561		675			
"AR"	2008	"Clay County"	"St Francis City Hall"	1	41	80	126	93		116			
"AR"	2008	"Clay County"	"Success City Hall"	1	43	60	107	89		102			
