state	year	parish	ward	precinct	cd	cd2	cd3	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USH_dv2	g2004_USH_rv2	g2004_USH_tv2	g2004_USH_dv3	g2004_USH_rv3	g2004_USH_tv3
"LA"	2004	"Acadia"	"6"	"12"	7			219	392	615	411	195	613	279	316	595						
"LA"	2004	"Acadia"	"6"	"13"	7			90	286	379	199	169	371	123	247	370						
"LA"	2004	"Acadia"	"6"	"14"	7			137	397	538	272	258	536	192	336	528						
"LA"	2004	"Acadia"	"6"	"15"	7			60	139	202	131	73	206	76	126	202						
"LA"	2004	"Acadia"	"6"	"16"	7			67	191	261	154	110	265	93	166	259						
"LA"	2004	"Acadia"	"6"	"2"	7			97	289	391	209	178	390	118	269	387						
"LA"	2004	"Acadia"	"6"	"4"	7			103	346	456	266	187	454	144	301	445						
"LA"	2004	"Acadia"	"6"	"5"	7			144	38	185	166	18	191	149	31	180						
"LA"	2004	"Acadia"	"6"	"6"	7			286	14	303	296	6	313	294	11	305						
"LA"	2004	"Acadia"	"6"	"7"	7			117	290	409	240	167	411	151	251	402						
"LA"	2004	"Acadia"	"6"	"8"	7			219	329	552	378	155	545	247	291	538						
"LA"	2004	"Acadia"	"6"	"9"	7			88	229	319	214	97	317	121	192	313						
"LA"	2004	"Acadia"	"7"	"1"	7			13	143	156	57	96	153	39	117	156						
"LA"	2004	"Acadia"	"7"	"2"	7			106	228	338	172	164	338	173	157	330						
"LA"	2004	"Acadia"	"7"	"3"	7			123	546	676	205	463	670	200	459	659						
"LA"	2004	"Acadia"	"7"	"4"	7			71	312	384	124	253	381	109	269	378						
"LA"	2004	"Acadia"	"Early Voting"	"0"	7			537	1529	2087	984	963	1961	682	1341	2023						
"LA"	2004	"Allen"	"1"	"1"				147	147	298	185	84	278									
"LA"	2004	"Allen"	"1"	"2"	5			69	55	129	79	39	121	43	57	100						
"LA"	2004	"Allen"	"1"	"3"				93	98	194	102	80	184									
"LA"	2004	"Allen"	"1"	"4"				200	16	225	191	8	205									
"LA"	2004	"Allen"	"1"	"5"	5			72	59	133	93	34	130	47	61	108						
"LA"	2004	"Allen"	"1"	"6"				56	92	151	76	56	138									
"LA"	2004	"Allen"	"1"	"7"				76	63	142	93	37	132									
"LA"	2004	"Allen"	"2"	"04-C"				164	240	415	226	156	388									
"LA"	2004	"Allen"	"2"	"04-O"				215	171	391	228	121	359									
"LA"	2004	"Allen"	"2"	"06A"				52	39	96	59	27	87									
"LA"	2004	"Allen"	"2"	"1"	5			133	157	296	188	89	286	112	132	244						
"LA"	2004	"Allen"	"2"	"2"				140	346	492	261	198	462									
"LA"	2004	"Allen"	"2"	"3"				67	158	227	94	122	223									
"LA"	2004	"Allen"	"2"	"5"				118	15	136	113	4	122									
"LA"	2004	"Allen"	"2"	"6"				83	208	294	134	139	280									
"LA"	2004	"Allen"	"3"	"1"				62	171	238	100	123	228									
"LA"	2004	"Allen"	"3"	"2"				138	356	506	193	281	484									
"LA"	2004	"Allen"	"4"	"1"	5			27	135	162	57	94	152	18	121	139						
"LA"	2004	"Allen"	"4"	"2"	5			56	201	261	107	132	244	46	172	218						
"LA"	2004	"Allen"	"4"	"3"				115	180	305	172	110	287									
"LA"	2004	"Allen"	"5"	"04-C"	5			118	245	367	181	162	351	57	255	312						
"LA"	2004	"Allen"	"5"	"04-O"	5			120	213	343	191	136	334	89	211	300						
"LA"	2004	"Allen"	"5"	"08A"	5			24	26	53	30	22	52	17	34	51						
"LA"	2004	"Allen"	"5"	"1"	5			73	112	190	108	70	182	47	110	157						
"LA"	2004	"Allen"	"5"	"10"	5			117	328	454	202	211	421	71	311	382						
"LA"	2004	"Allen"	"5"	"11"	5			64	96	165	82	73	158	40	96	136						
"LA"	2004	"Allen"	"5"	"12"	5			52	15	70	50	13	67	45	16	61						
"LA"	2004	"Allen"	"5"	"13"	5			0	0	0	0	0	0	0	0	0						
"LA"	2004	"Allen"	"5"	"2"	5			79	191	274	121	142	268	36	201	237						
"LA"	2004	"Allen"	"5"	"3"	5			167	270	449	260	165	431	106	282	388						
"LA"	2004	"Allen"	"5"	"5"	5			45	107	153	68	69	141	25	105	130						
"LA"	2004	"Allen"	"5"	"7"	5			274	17	304	274	9	296	202	62	264						
"LA"	2004	"Allen"	"5"	"8"	5			146	56	207	159	37	201	103	75	178						
"LA"	2004	"Allen"	"5"	"9"	5			203	189	401	246	136	392	148	210	358						
"LA"	2004	"Allen"	"Early Voting"	"0"	5			226	368	603	330	239	576	61	177	238						
"LA"	2004	"Ascension"	"0"	"1"	6			202	961	1178	271	881	1162	129	992	1121						
"LA"	2004	"Ascension"	"0"	"10"	6			181	681	874	226	629	863	115	699	814						
"LA"	2004	"Ascension"	"0"	"11"	6			276	494	781	317	437	764	166	547	713						
"LA"	2004	"Ascension"	"0"	"12"	6			223	694	928	290	616	914	141	733	874						
"LA"	2004	"Ascension"	"0"	"13"	6			150	483	642	218	412	637	121	490	611						
"LA"	2004	"Ascension"	"0"	"14"	6			157	428	589	207	367	583	95	461	556						
"LA"	2004	"Ascension"	"0"	"15"	6			219	506	737	265	456	729	159	537	696						
"LA"	2004	"Ascension"	"0"	"16A"	6			170	741	915	220	678	903	117	760	877						
"LA"	2004	"Ascension"	"0"	"16B"	6			128	534	667	180	480	664	81	553	634						
"LA"	2004	"Ascension"	"0"	"17"	6			179	455	641	224	398	632	131	466	597						
"LA"	2004	"Ascension"	"0"	"18"	6			171	593	772	219	531	761	109	621	730						
"LA"	2004	"Ascension"	"0"	"19A"	6			338	716	1068	404	634	1049	210	749	959						
"LA"	2004	"Ascension"	"0"	"19B"	6			178	512	698	230	445	679	109	549	658						
"LA"	2004	"Ascension"	"0"	"2"	6			202	858	1071	259	783	1049	137	882	1019						
"LA"	2004	"Ascension"	"0"	"20"	6			146	366	520	208	298	511	84	410	494						
"LA"	2004	"Ascension"	"0"	"21"	6			177	385	568	208	348	564	101	435	536						
"LA"	2004	"Ascension"	"0"	"22"	3			155	240	398	195	194	393	183	199	382						
"LA"	2004	"Ascension"	"0"	"23"	3			107	229	340	145	188	337	136	196	332						
"LA"	2004	"Ascension"	"0"	"24"	3			141	272	417	169	235	407	163	234	397						
"LA"	2004	"Ascension"	"0"	"25"	3			223	425	654	287	343	636	270	345	615						
"LA"	2004	"Ascension"	"0"	"26"	3			461	751	1220	569	627	1209	611	574	1185						
"LA"	2004	"Ascension"	"0"	"27"	3			274	683	975	347	607	962	376	569	945						
"LA"	2004	"Ascension"	"0"	"28"	3			188	194	391	212	160	379	178	179	357						
"LA"	2004	"Ascension"	"0"	"3"	6			164	563	731	190	516	715	99	587	686						
"LA"	2004	"Ascension"	"0"	"30"	3			163	228	398	181	202	389	161	212	373						
"LA"	2004	"Ascension"	"0"	"31"	3			220	305	528	236	280	520	223	288	511						
"LA"	2004	"Ascension"	"0"	"32"	3			246	642	898	303	569	878	294	570	864						
"LA"	2004	"Ascension"	"0"	"33"	3			173	518	697	218	460	687	221	446	667						
"LA"	2004	"Ascension"	"0"	"34"	3			294	244	549	311	222	538	305	216	521						
"LA"	2004	"Ascension"	"0"	"35"	3			213	375	599	247	337	591	260	322	582						
"LA"	2004	"Ascension"	"0"	"36"	3			405	204	622	399	175	592	328	222	550						
"LA"	2004	"Ascension"	"0"	"37"	3			608	181	809	620	149	793	519	229	748						
"LA"	2004	"Ascension"	"0"	"39"	3			163	50	216	174	35	211	145	48	193						
"LA"	2004	"Ascension"	"0"	"4"	6			192	486	692	247	421	683	125	520	645						
"LA"	2004	"Ascension"	"0"	"40"	3			253	555	814	304	499	807	287	494	781						
"LA"	2004	"Ascension"	"0"	"41"	3			218	372	592	272	313	586	281	294	575						
"LA"	2004	"Ascension"	"0"	"42"	3			109	140	252	115	132	248	114	127	241						
"LA"	2004	"Ascension"	"0"	"43"	3			101	319	426	118	295	418	124	290	414						
"LA"	2004	"Ascension"	"0"	"44"	3			264	57	325	257	55	319	240	58	298						
"LA"	2004	"Ascension"	"0"	"45"	3			155	38	196	159	31	192	139	46	185						
"LA"	2004	"Ascension"	"0"	"46"	3			147	38	188	151	30	185	134	44	178						
"LA"	2004	"Ascension"	"0"	"47"	3			606	66	691	601	63	681	540	111	651						
"LA"	2004	"Ascension"	"0"	"48"	3			65	59	127	72	55	128	81	45	126						
"LA"	2004	"Ascension"	"0"	"49"	3			101	152	254	136	107	249	153	93	246						
"LA"	2004	"Ascension"	"0"	"5"	6			297	966	1273	414	830	1256	204	1001	1205						
"LA"	2004	"Ascension"	"0"	"50"	3			297	165	469	297	155	458	322	119	441						
"LA"	2004	"Ascension"	"0"	"51"	3			529	61	598	517	45	572	479	78	557						
"LA"	2004	"Ascension"	"0"	"52"	3			109	233	348	151	185	342	191	150	341						
"LA"	2004	"Ascension"	"0"	"53"	3			220	200	430	245	166	422	255	145	400						
"LA"	2004	"Ascension"	"0"	"54"	3			340	261	607	383	209	600	395	189	584						
"LA"	2004	"Ascension"	"0"	"55"	3			311	63	379	299	50	358	282	72	354						
"LA"	2004	"Ascension"	"0"	"56"	3			54	3	57	53	1	55	45	8	53						
"LA"	2004	"Ascension"	"0"	"57"	3			202	41	247	199	41	244	194	44	238						
"LA"	2004	"Ascension"	"0"	"58"	3			170	208	385	185	178	370	176	181	357						
"LA"	2004	"Ascension"	"0"	"6"	6			258	600	866	300	539	849	171	641	812						
"LA"	2004	"Ascension"	"0"	"60"	3			0	3	3	0	3	3	3	0	3						
"LA"	2004	"Ascension"	"0"	"61"	6			19	7	26	19	6	25	14	7	21						
"LA"	2004	"Ascension"	"0"	"7"	6			141	614	767	198	543	752	96	631	727						
"LA"	2004	"Ascension"	"0"	"8"	6			192	772	972	242	717	966	130	803	933						
"LA"	2004	"Ascension"	"0"	"9"	6			269	596	876	317	533	858	180	639	819						
"LA"	2004	"Ascension"	"Early Voting"	"0"	3	6		1038	2066	3137	1253	1741	3030	690	833	1523	238	1195	1433			
"LA"	2004	"Ascension"	"Provisional Votes"	"0"	6	3		3	9	12	5	6	11	0	6	6	5	0	5			
"LA"	2004	"Assumption"	"1"	"1"	3			341	92	442	331	60	405	347	54	401						
"LA"	2004	"Assumption"	"1"	"2"	3			446	297	750	457	247	719	561	166	727						
"LA"	2004	"Assumption"	"2"	"1"	3			51	276	329	109	210	324	206	118	324						
"LA"	2004	"Assumption"	"2"	"2"	3			146	157	305	159	130	294	201	96	297						
"LA"	2004	"Assumption"	"2"	"3"	3			256	228	491	175	176	387	324	144	468						
"LA"	2004	"Assumption"	"3"	"1"	3			158	272	438	188	227	422	233	196	429						
"LA"	2004	"Assumption"	"3"	"2"	3			177	430	624	235	335	589	214	368	582						
"LA"	2004	"Assumption"	"4"	"1"	3			198	134	342	191	124	319	211	112	323						
"LA"	2004	"Assumption"	"4"	"2"	3			450	131	600	428	108	558	432	122	554						
"LA"	2004	"Assumption"	"5"	"1"	3			249	68	324	246	54	309	271	45	316						
"LA"	2004	"Assumption"	"5"	"2"	3			252	357	616	299	257	562	446	150	596						
"LA"	2004	"Assumption"	"5"	"3"	3			89	116	208	114	78	196	145	54	199						
"LA"	2004	"Assumption"	"5"	"4"	3			21	46	68	28	35	64	39	27	66						
"LA"	2004	"Assumption"	"6"	"1"	3			188	140	334	202	113	320	229	100	329						
"LA"	2004	"Assumption"	"6"	"1A"	3			204	165	377	220	123	353	276	82	358						
"LA"	2004	"Assumption"	"6"	"2"	3			396	55	462	366	51	431	391	44	435						
"LA"	2004	"Assumption"	"7"	"1"	3			252	140	393	255	100	361	286	89	375						
"LA"	2004	"Assumption"	"7"	"1A"	3			213	171	388	223	133	365	264	103	367						
"LA"	2004	"Assumption"	"7"	"2"	3			78	156	239	94	132	226	116	117	233						
"LA"	2004	"Assumption"	"8"	"1"	3			316	350	678	356	245	621	396	252	648						
"LA"	2004	"Assumption"	"8"	"1A"	3			248	255	515	291	179	479	323	167	490						
"LA"	2004	"Assumption"	"8"	"2"	3			57	36	100	65	27	93	59	32	91						
"LA"	2004	"Assumption"	"9"	"1"	3			320	291	619	339	219	576	369	231	600						
"LA"	2004	"Assumption"	"9"	"1A"	3			263	353	623	319	244	576	325	272	597						
"LA"	2004	"Assumption"	"Early Voting"	"0"	3			216	250	470	242	196	442	297	163	460						
"LA"	2004	"Assumption"	"Provisional Votes"	"0"	3									1	0	1						
"LA"	2004	"Avoyelles"	"1"	"1"	5			118	409	534	173	314	500	44	431	475						
"LA"	2004	"Avoyelles"	"1"	"2"	5			91	446	541	191	300	501	38	430	468						
"LA"	2004	"Avoyelles"	"10"	"05A"	5			58	177	236	97	129	228	33	165	198						
"LA"	2004	"Avoyelles"	"10"	"05C"	5			78	32	110	72	23	99	42	39	81						
"LA"	2004	"Avoyelles"	"10"	"2"	5			150	465	619	251	337	594	66	470	536						
"LA"	2004	"Avoyelles"	"10"	"3"	5			194	266	467	217	199	433	74	293	367						
"LA"	2004	"Avoyelles"	"10"	"4"	5			410	32	453	352	30	408	204	96	300						
"LA"	2004	"Avoyelles"	"10"	"5"	5			67	22	92	72	13	87	44	28	72						
"LA"	2004	"Avoyelles"	"11"	"02A"	5			71	146	219	88	113	205	28	158	186						
"LA"	2004	"Avoyelles"	"11"	"1"	5			260	163	431	264	132	409	122	218	340						
"LA"	2004	"Avoyelles"	"2"	"01A"	5			46	40	86	54	26	81	19	50	69						
"LA"	2004	"Avoyelles"	"2"	"04A"	5			109	193	302	136	146	288	55	199	254						
"LA"	2004	"Avoyelles"	"2"	"04B"	5			42	64	108	58	43	101	13	76	89						
"LA"	2004	"Avoyelles"	"2"	"04D"	5			66	52	119	67	41	108	21	76	97						
"LA"	2004	"Avoyelles"	"2"	"05A"	5			59	91	153	86	55	145	34	92	126						
"LA"	2004	"Avoyelles"	"2"	"07B"	5			7	5	12	6	8	15	2	9	11						
"LA"	2004	"Avoyelles"	"2"	"1"	5			196	271	474	230	185	430	75	291	366						
"LA"	2004	"Avoyelles"	"2"	"2"	5			265	188	465	291	147	448	148	247	395						
"LA"	2004	"Avoyelles"	"2"	"3"	5			110	153	265	134	104	245	36	192	228						
"LA"	2004	"Avoyelles"	"2"	"4"	5			320	237	565	335	172	514	141	294	435						
"LA"	2004	"Avoyelles"	"2"	"5"	5			186	235	427	222	175	408	81	289	370						
"LA"	2004	"Avoyelles"	"2"	"7"	5			225	52	284	194	32	232	87	88	175						
"LA"	2004	"Avoyelles"	"2"	"8"	5			245	72	323	235	47	290	103	118	221						
"LA"	2004	"Avoyelles"	"3"	"01B"	5			52	24	79	51	16	68	22	36	58						
"LA"	2004	"Avoyelles"	"3"	"02A"	5			73	59	134	71	43	117	33	64	97						
"LA"	2004	"Avoyelles"	"3"	"1"	5			330	226	566	331	191	531	137	308	445						
"LA"	2004	"Avoyelles"	"3"	"3"	5			197	77	280	175	71	258	97	114	211						
"LA"	2004	"Avoyelles"	"4"	"1"	5			136	243	392	178	182	367	72	267	339						
"LA"	2004	"Avoyelles"	"4"	"2"	5			171	310	491	211	245	462	86	345	431						
"LA"	2004	"Avoyelles"	"4"	"3"	5			150	265	418	167	211	384	68	282	350						
"LA"	2004	"Avoyelles"	"4"	"4"	5			84	132	221	105	96	206	28	156	184						
"LA"	2004	"Avoyelles"	"5"	"1"	5			127	250	383	165	174	348	42	281	323						
"LA"	2004	"Avoyelles"	"5"	"2"	5			84	176	261	114	123	240	45	170	215						
"LA"	2004	"Avoyelles"	"6"	"01A"	5			167	173	350	204	123	332	57	229	286						
"LA"	2004	"Avoyelles"	"6"	"2"	5			78	75	156	83	61	147	33	94	127						
"LA"	2004	"Avoyelles"	"7"	"03A"	5			46	80	126	69	48	118	22	77	99						
"LA"	2004	"Avoyelles"	"7"	"1"	5			241	183	437	323	143	478	91	220	311						
"LA"	2004	"Avoyelles"	"7"	"2"	5			207	78	293	189	58	255	99	118	217						
"LA"	2004	"Avoyelles"	"7"	"3"	5			55	48	103	59	33	95	21	57	78						
"LA"	2004	"Avoyelles"	"8"	"03A"	5			137	298	439	181	225	412	65	307	372						
"LA"	2004	"Avoyelles"	"8"	"1"	5			27	83	119	40	61	106	7	92	99						
"LA"	2004	"Avoyelles"	"8"	"2"	5			111	128	243	130	100	233	56	146	202						
"LA"	2004	"Avoyelles"	"8"	"3"	5			47	130	180	64	100	169	21	121	142						
"LA"	2004	"Avoyelles"	"9"	"01C"	5			139	55	201	129	49	181	62	94	156						
"LA"	2004	"Avoyelles"	"9"	"1"	5			138	102	244	143	80	232	62	137	199						
"LA"	2004	"Avoyelles"	"9"	"2"	5			46	62	108	43	56	100	26	63	89						
"LA"	2004	"Avoyelles"	"9"	"3"	5			61	130	199	88	89	185	22	147	169						
"LA"	2004	"Avoyelles"	"9"	"4"	5			129	313	446	200	215	421	46	328	374						
"LA"	2004	"Avoyelles"	"9"	"5"	5			152	140	297	161	110	280	58	180	238						
"LA"	2004	"Avoyelles"	"9"	"6"	5			106	105	215	116	80	203	60	117	177						
"LA"	2004	"Avoyelles"	"Early Voting"	"0"	5			312	546	859	388	423	823	162	633	795						
"LA"	2004	"Beauregard"	"0"	"1"				70	152	223	87	109	198									
"LA"	2004	"Beauregard"	"0"	"10"				92	166	262	106	114	232									
"LA"	2004	"Beauregard"	"0"	"11"				92	308	406	136	220	367									
"LA"	2004	"Beauregard"	"0"	"12"				193	503	705	248	399	653									
"LA"	2004	"Beauregard"	"0"	"12A"				41	165	209	55	133	192									
"LA"	2004	"Beauregard"	"0"	"12B"				67	251	321	93	209	304									
"LA"	2004	"Beauregard"	"0"	"13"				41	145	187	48	126	178									
"LA"	2004	"Beauregard"	"0"	"13A"				27	89	117	35	75	111									
"LA"	2004	"Beauregard"	"0"	"14"				54	218	277	71	186	261									
"LA"	2004	"Beauregard"	"0"	"14A"				52	180	237	82	142	225									
"LA"	2004	"Beauregard"	"0"	"15"				46	173	222	61	148	209									
"LA"	2004	"Beauregard"	"0"	"15A"				19	40	60	23	31	57									
"LA"	2004	"Beauregard"	"0"	"15B"				0	0	0	0	0	0									
"LA"	2004	"Beauregard"	"0"	"16"				83	296	380	107	231	345									
"LA"	2004	"Beauregard"	"0"	"16A"				17	80	97	26	60	87									
"LA"	2004	"Beauregard"	"0"	"16B"				32	137	169	43	103	148									
"LA"	2004	"Beauregard"	"0"	"16C"				18	63	84	20	54	74									
"LA"	2004	"Beauregard"	"0"	"17"				49	294	345	71	243	319									
"LA"	2004	"Beauregard"	"0"	"17A"				6	49	56	11	40	51									
"LA"	2004	"Beauregard"	"0"	"18"				22	94	119	33	80	115									
"LA"	2004	"Beauregard"	"0"	"18A"				8	43	51	13	35	48									
"LA"	2004	"Beauregard"	"0"	"19"				30	117	147	49	82	132									
"LA"	2004	"Beauregard"	"0"	"19A"				18	117	138	35	88	124									
"LA"	2004	"Beauregard"	"0"	"19C"				41	125	167	58	90	151									
"LA"	2004	"Beauregard"	"0"	"2"				26	37	65	26	29	56									
"LA"	2004	"Beauregard"	"0"	"20"				127	377	509	171	290	469									
"LA"	2004	"Beauregard"	"0"	"21"				80	137	217	94	98	196									
"LA"	2004	"Beauregard"	"0"	"22"				65	176	245	91	130	227									
"LA"	2004	"Beauregard"	"0"	"22A"				11	102	114	21	78	100									
"LA"	2004	"Beauregard"	"0"	"25"				262	560	832	281	447	740									
"LA"	2004	"Beauregard"	"0"	"25A"				56	114	171	67	92	161									
"LA"	2004	"Beauregard"	"0"	"25B"				92	114	209	97	94	198									
"LA"	2004	"Beauregard"	"0"	"26"				335	139	483	305	97	414									
"LA"	2004	"Beauregard"	"0"	"27"				82	225	313	91	177	272									
"LA"	2004	"Beauregard"	"0"	"27A"				51	203	258	63	172	238									
"LA"	2004	"Beauregard"	"0"	"27B"				96	308	411	108	255	370									
"LA"	2004	"Beauregard"	"0"	"27C"				11	39	50	18	25	43									
"LA"	2004	"Beauregard"	"0"	"27D"				29	97	127	29	81	111									
"LA"	2004	"Beauregard"	"0"	"28"				227	19	250	201	11	218									
"LA"	2004	"Beauregard"	"0"	"28A"				97	27	126	90	14	108									
"LA"	2004	"Beauregard"	"0"	"3"				41	113	155	51	92	144									
"LA"	2004	"Beauregard"	"0"	"30"				87	307	397	102	257	360									
"LA"	2004	"Beauregard"	"0"	"4"				156	247	410	171	187	365									
"LA"	2004	"Beauregard"	"0"	"5"				97	360	462	120	265	394									
"LA"	2004	"Beauregard"	"0"	"6"				41	216	257	53	175	232									
"LA"	2004	"Beauregard"	"0"	"7"				60	283	344	80	232	314									
"LA"	2004	"Beauregard"	"0"	"8"				22	99	122	29	78	109									
"LA"	2004	"Beauregard"	"0"	"9"				78	282	362	97	221	322									
"LA"	2004	"Beauregard"	"Early Voting"	"0"				319	1082	1411	446	875	1344									
"LA"	2004	"Beauregard"	"Provisional Votes"	"0"				0	2	2	2	0	2									
"LA"	2004	"Bienville"	"1"	"1"				135	150	292	133	123	260									
"LA"	2004	"Bienville"	"1"	"2"				220	255	482	205	224	432									
"LA"	2004	"Bienville"	"1"	"3"				50	62	114	49	55	105									
"LA"	2004	"Bienville"	"2"	"1"				273	22	302	222	21	251									
"LA"	2004	"Bienville"	"2"	"2"				219	127	349	195	111	313									
"LA"	2004	"Bienville"	"2"	"3"				23	72	101	30	59	89									
"LA"	2004	"Bienville"	"3"	"1"				260	65	332	223	53	282									
"LA"	2004	"Bienville"	"3"	"2"				205	92	304	169	84	261									
"LA"	2004	"Bienville"	"3"	"3"				75	94	172	75	76	152									
"LA"	2004	"Bienville"	"3"	"4"				42	31	74	33	32	66									
"LA"	2004	"Bienville"	"3"	"5"				24	33	57	25	26	51									
"LA"	2004	"Bienville"	"4"	"1"				264	205	476	238	184	431									
"LA"	2004	"Bienville"	"4"	"2"				3	54	59	10	44	55									
"LA"	2004	"Bienville"	"4"	"4"				171	303	490	172	255	439									
"LA"	2004	"Bienville"	"5"	"1"				253	149	410	234	134	388									
"LA"	2004	"Bienville"	"5"	"2"				120	225	348	121	195	319									
"LA"	2004	"Bienville"	"5"	"3"				29	119	152	48	94	142									
"LA"	2004	"Bienville"	"5"	"4"				9	114	124	27	83	111									
"LA"	2004	"Bienville"	"6"	"1"				63	253	324	101	193	298									
"LA"	2004	"Bienville"	"6"	"2"				16	152	174	31	127	159									
"LA"	2004	"Bienville"	"6"	"3"				109	118	235	114	178	298									
"LA"	2004	"Bienville"	"6"	"4"				40	143	187	62	109	172									
"LA"	2004	"Bienville"	"7"	"1"				120	84	205	105	70	178									
"LA"	2004	"Bienville"	"7"	"2"				114	73	197	105	67	179									
"LA"	2004	"Bienville"	"7"	"3"				111	101	215	113	82	196									
"LA"	2004	"Bienville"	"7"	"4"				223	212	444	207	187	400									
"LA"	2004	"Bienville"	"Early Voting"	"0"				228	304	538	252	265	523									
"LA"	2004	"Bossier"	"1"	"03A"				255	510	772	256	436	702									
"LA"	2004	"Bossier"	"1"	"04A"				59	102	162	57	80	138									
"LA"	2004	"Bossier"	"1"	"04B"				35	83	119	36	76	112									
"LA"	2004	"Bossier"	"1"	"1"				175	423	602	181	368	555									
"LA"	2004	"Bossier"	"1"	"2"				239	526	811	237	444	683									
"LA"	2004	"Bossier"	"1"	"3"				179	539	725	189	448	642									
