state	year	county	precinct	cd	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv
"AR"	2000	"Benton County"	"34 BELLA VISTA 2"	3	377	663	1062			
"AR"	2000	"Benton County"	"35 BELLA VISTA 3"	3	598	1161	1799			
"AR"	2000	"Benton County"	"36 BELLA VISTA 4"	3	968	1654	2681			
"AR"	2000	"Benton County"	"37 OSAGE A, OSAGE B & OSAGE C"	3	201	494	713			
"AR"	2000	"Benton County"	"38 ROGERS 1A"	3	153	320	491			
"AR"	2000	"Benton County"	"39 ROGERS 1B & ROGERS 1B-2 & ROGERS 1B-3"	3	180	318	508			
"AR"	2000	"Benton County"	"40 ROGERS 1C"	3	132	148	289			
"AR"	2000	"Benton County"	"41 ROGERS 1D"	3	141	162	322			
"AR"	2000	"Benton County"	"42 ROGERS 1E"	3	136	190	336			
"AR"	2000	"Benton County"	"43 ROGERS 2A"	3	431	822	1282			
"AR"	2000	"Benton County"	"44 ROGERS 2B"	3	287	561	868			
"AR"	2000	"Benton County"	"45 ROGERS 2C"	3	141	184	341			
"AR"	2000	"Benton County"	"46 ROGERS 2D"	3	220	394	630			
"AR"	2000	"Benton County"	"47 ROGERS 2E & ROGERS 3F"	3	49	217	271			
"AR"	2000	"Benton County"	"48 ROGERS 3A, ROGERS 3E, ROGERS 3G"	3	322	480	822			
"AR"	2000	"Benton County"	"49 ROGERS 3B"	3	471	970	1481			
"AR"	2000	"Benton County"	"50 ROGERS 3C"	3	357	708	1088			
"AR"	2000	"Benton County"	"51 ROGERS 3D, ROGERS 3D (COLV) & ROGERS 3D(COLV2)"	3	161	683	856			
"AR"	2000	"Benton County"	"53 ROGERS 4C"	3	82	94	187			
"AR"	2000	"Benton County"	"54 ROGERS 4D"	3	103	109	217			
"AR"	2000	"Benton County"	"55 ROGERS 4E"	3	256	444	719			
"AR"	2000	"Benton County"	"56 ROLLER RIDGE & ROLLER RIDGE CITY"	3	70	185	266			
"AR"	2000	"Benton County"	"57 ROUND PRAIRIE"	3	49	147	199			
"AR"	2000	"Benton County"	"58 SILOAM 1, SILOAM 1A, SILOAM 2A, SILOAM 3B & HICO A"	3	285	953	1277			
"AR"	2000	"Benton County"	"59 SILOAM 2"	3	216	618	861			
"AR"	2000	"Benton County"	"60 SILOAM 3"	3	203	526	739			
"AR"	2000	"Benton County"	"61 SILOAM 4"	3	267	510	787			
"AR"	2000	"Benton County"	"62 SULPHUR SPGS & SULPHUR SPGS CITY"	3	131	172	325			
"AR"	2000	"Benton County"	"63 SULPHUR SPRINGS BVV"	3	189	270	473			
"AR"	2000	"Benton County"	"64 WAGER"	3	45	86	134			
"AR"	2000	"Benton County"	"65 WALLACE & WALLACE CITY"	3	288	670	1004			
"AR"	2000	"Benton County"	"66 WALNUT"	3	274	428	729			
"AR"	2000	"Benton County"	"67 WAR EAGLE"	3	161	208	391			
"AR"	2000	"Benton County"	"68 WASHINGTON A"	3	13	65	80			
"AR"	2000	"Benton County"	"69 WASHINGTON B"	3	197	336	555			
"AR"	2000	"Benton County"	"71 WASHINGTON D"	3	164	285	461			
"AR"	2000	"Benton County"	"72 YELL"	3	24	62	88			
"AR"	2000	"Benton County"	"20 ESCULAPIA B"	3	292	419	742			
"AR"	2000	"Benton County"	"52 ROGERS 4A, ROGERS 4B, & ROGERS 4F"	3	432	769	1232			
"AR"	2000	"Benton County"	"70 LOWELL 1, 1B, LOWELL 2, 2B, LOWELL 3, 3A, LOWELL 4, 4A"	3	443	1047	1530			
"AR"	2000	"Benton County"	"1 ANDERSON"	3	68	113	187			
"AR"	2000	"Benton County"	"2 APPLE GLEN"	3	54	127	186			
"AR"	2000	"Benton County"	"3 BALL"	3	34	121	158			
"AR"	2000	"Benton County"	"4 BEATIE"	3	44	84	130			
"AR"	2000	"Benton County"	"5 BENTONVILLE 1"	3	414	857	1299			
"AR"	2000	"Benton County"	"6 BENTONVILLE 2A"	3	382	1079	1497			
"AR"	2000	"Benton County"	"7 BENTONVILLE 2B"	3	395	549	978			
"AR"	2000	"Benton County"	"8 BENTONVILLE 3, B'VILLE 3 (GARL) & B'VILLE 3 (ANDERSON)"	3	321	593	948			
"AR"	2000	"Benton County"	"9 BENTONVILLE 4A & BENTONVILLE 4C"	3	389	808	1234			
"AR"	2000	"Boone County"	"Early & Absentee"	3	1177	1945	3224			
"AR"	2000	"Boone County"	"Batavia"	3	61	217	287			
"AR"	2000	"Boone County"	"Bellefonte"	3	157	430	613			
"AR"	2000	"Boone County"	"Bryan"	3	109	197	325			
"AR"	2000	"Boone County"	"Carrollton"	3	87	156	255			
"AR"	2000	"Boone County"	"Elixir"	3	236	546	829			
"AR"	2000	"Boone County"	"Ewing"	3	52	72	131			
"AR"	2000	"Boone County"	"Gaither"	3	78	168	257			
"AR"	2000	"Boone County"	"Jackson"	3	112	252	377			
"AR"	2000	"Boone County"	"Jefferson"	3	112	270	397			
"AR"	2000	"Boone County"	"Lee"	3	63	189	262			
"AR"	2000	"Boone County"	"Long Creek"	3	60	122	199			
"AR"	2000	"Boone County"	"Olvey"	3	75	135	214			
"AR"	2000	"Boone County"	"Omaha"	3	198	410	654			
"AR"	2000	"Boone County"	"Prairie"	3	80	91	183			
"AR"	2000	"Boone County"	"Sugarloaf"	3	312	421	771			
"AR"	2000	"Boone County"	"Summit"	3	89	152	259			
"AR"	2000	"Boone County"	"Zinc"	3	40	53	103			
"AR"	2000	"Boone County"	"N Harrison"	3	676	1321	2070			
"AR"	2000	"Boone County"	"S Harrison"	3	685	1343	2108			
"AR"	2000	"Boone County"	"Overseas Absentees"	3	0	0	0			
"AR"	2000	"Boone County"	"Blythe"	3	34	79	117			
"AR"	2000	"Bradley County"	"Early & Absentee"	4	195	199	401	190	212	402
"AR"	2000	"Bradley County"	"01 Warren Ward 1"	4	405	132	550	400	174	574
"AR"	2000	"Bradley County"	"02 Warren Ward 2"	4	309	298	623	284	336	620
"AR"	2000	"Bradley County"	"03 Warren Ward 3"	4	419	205	628	384	252	636
"AR"	2000	"Bradley County"	"04 North"	4	164	336	506	166	344	510
"AR"	2000	"Bradley County"	"05 South"	4	79	152	239	88	152	240
"AR"	2000	"Bradley County"	"06 Banks City"	4	30	16	46	26	21	47
"AR"	2000	"Bradley County"	"07 Banks Rural"	4	93	67	161	93	73	166
"AR"	2000	"Bradley County"	"08 Springhill"	4	43	60	106	43	62	105
"AR"	2000	"Bradley County"	"09 Hermitage City"	4	75	67	144	64	78	142
"AR"	2000	"Bradley County"	"10 Hermitage Rural"	4	78	107	186	63	121	184
"AR"	2000	"Bradley County"	"11 Eagle Lake"	4	36	36	72	38	37	75
"AR"	2000	"Bradley County"	"12 Jersey"	4	76	36	114	77	43	120
"AR"	2000	"Bradley County"	"13 Johnsville"	4	87	45	133	87	47	134
"AR"	2000	"Bradley County"	"14 Marion"	4	33	37	70	26	43	69
"AR"	2000	"Bradley County"	"Overseas Absentees"	4	0	0	0	0	0	0
"AR"	2000	"Calhoun County"	"Early & Absentee"	4	131	131	266	144	122	266
"AR"	2000	"Calhoun County"	"001 Thornton Inside"	4	98	84	184	113	79	192
"AR"	2000	"Calhoun County"	"003 Tinsman"	4	44	53	98	51	53	104
"AR"	2000	"Calhoun County"	"004 Harrell"	4	137	90	227	160	84	244
"AR"	2000	"Calhoun County"	"005 Champagnolle"	4	87	102	190	104	94	198
"AR"	2000	"Calhoun County"	"006 Locust Bayou"	4	96	164	273	117	157	274
"AR"	2000	"Calhoun County"	"007 Woodberry"	4	68	121	192	101	96	197
"AR"	2000	"Calhoun County"	"008 Hampton West"	4	82	88	178	99	89	188
"AR"	2000	"Calhoun County"	"009 Hampton East"	4	143	97	244	158	84	242
"AR"	2000	"Calhoun County"	"02E Chambersville"	4	65	92	158	71	91	162
"AR"	2000	"Calhoun County"	"02W Thornton Out"	4	33	67	103	33	70	103
"AR"	2000	"Calhoun County"	"03C Three City"	4	33	39	72	38	34	72
"AR"	2000	"Calhoun County"	"Overseas Absentees"	4	0	0	0	0	0	0
"AR"	2000	"Carroll County"	"Early"	3	548	753	1346			
"AR"	2000	"Carroll County"	"Absentee"	3	139	162	316			
"AR"	2000	"Carroll County"	"001 Berryville Ward 1"	3	188	358	567			
"AR"	2000	"Carroll County"	"002 Berryville Ward 2"	3	168	305	493			
"AR"	2000	"Carroll County"	"003 Northeast Prairie"	3	20	59	80			
"AR"	2000	"Carroll County"	"004 NW & SW Prairie"	3	139	302	463			
"AR"	2000	"Carroll County"	"005 Southeast Prairie"	3	41	83	126			
"AR"	2000	"Carroll County"	"006 Eureka Springs Ward 1"	3	166	92	288			
"AR"	2000	"Carroll County"	"007 Eureka Springs Ward 2"	3	200	63	304			
"AR"	2000	"Carroll County"	"008 Eureka Springs Ward 3"	3	131	152	302			
"AR"	2000	"Carroll County"	"009 Johnson Springs"	3	285	340	669			
"AR"	2000	"Carroll County"	"010 Green Forest Ward 1"	3	98	166	275			
"AR"	2000	"Carroll County"	"011 Green Forest Ward 2"	3	114	208	330			
"AR"	2000	"Carroll County"	"012 Northeast Hickory"	3	46	105	156			
"AR"	2000	"Carroll County"	"013 Northwest Hickory"	3	64	137	209			
"AR"	2000	"Carroll County"	"014 SW & SE Hickory"	3	45	141	198			
"AR"	2000	"Carroll County"	"015 Beaver"	3	104	81	191			
"AR"	2000	"Carroll County"	"016 Cabanal"	3	42	58	102			
"AR"	2000	"Carroll County"	"017 Carrollton"	3	60	142	207			
"AR"	2000	"Carroll County"	"018 Coin"	3	41	79	123			
"AR"	2000	"Carroll County"	"019 Dry Fork"	3	33	58	96			
"AR"	2000	"Carroll County"	"020 Holiday Island"	3	414	528	977			
"AR"	2000	"Carroll County"	"021 Kings River"	3	71	169	252			
"AR"	2000	"Carroll County"	"022 Liberty"	3	34	40	75			
"AR"	2000	"Carroll County"	"023 Long Creek"	3	48	116	171			
"AR"	2000	"Carroll County"	"024 North Yocum"	3	44	117	163			
"AR"	2000	"Carroll County"	"025 Omega"	3	38	115	162			
"AR"	2000	"Carroll County"	"026 Osage"	3	38	77	121			
"AR"	2000	"Carroll County"	"027 Packard Springs"	3	53	86	152			
"AR"	2000	"Carroll County"	"028 Piney"	3	32	42	75			
"AR"	2000	"Carroll County"	"029 Polo"	3	67	248	331			
"AR"	2000	"Carroll County"	"030 South Yocum"	3	39	100	144			
"AR"	2000	"Carroll County"	"031 Winona"	3	45	74	126			
"AR"	2000	"Chicot County"	"Early"	4	269	219	497	238	261	499
"AR"	2000	"Chicot County"	"Absentee"	4	161	76	239	151	86	237
"AR"	2000	"Chicot County"	"Carlton 1"	4	181	57	242	178	71	249
"AR"	2000	"Chicot County"	"Carlton 2"	4	163	20	187	157	33	190
"AR"	2000	"Chicot County"	"Carlton 3"	4	124	163	294	109	189	298
"AR"	2000	"Chicot County"	"Carlton Rural"	4	281	480	774	247	522	769
"AR"	2000	"Chicot County"	"Planters 1"	4	149	78	230	142	91	233
"AR"	2000	"Chicot County"	"Planters 2"	4	156	50	212	168	59	227
"AR"	2000	"Chicot County"	"Planters 3"	4	363	7	372	364	21	385
"AR"	2000	"Chicot County"	"Planters Rural"	4	187	153	345	184	173	357
"AR"	2000	"Chicot County"	"Bowie 1 & Rural"	4	288	107	402	286	119	405
"AR"	2000	"Chicot County"	"Bowie 2"	4	217	63	283	204	84	288
"AR"	2000	"Chicot County"	"Bowie 3"	4	281	91	375	296	99	395
"AR"	2000	"Clark County"	"EARLY & ABSENTEE"	4	776	537	1335	776	518	1294
"AR"	2000	"Clark County"	"ARKADELPHIA GEN"	4	138	149	291	135	158	293
"AR"	2000	"Clark County"	"ALPINE"	4	67	78	154	77	73	150
"AR"	2000	"Clark County"	"AMITY CITY"	4	77	132	216	82	135	217
"AR"	2000	"Clark County"	"AMITY GEN 1, 2 & 3"	4	77	106	186	77	101	178
"AR"	2000	"Clark County"	"BEIRNE"	4	25	26	53	34	20	54
"AR"	2000	"Clark County"	"CENTRAL"	4	111	225	347	124	222	346
"AR"	2000	"Clark County"	"CURTIS 1, 2 & 3"	4	133	114	249	150	98	248
"AR"	2000	"Clark County"	"CADDO VALLEY INSIDE"	4	124	76	208	123	82	205
"AR"	2000	"Clark County"	"CADDOVALLEY OUTSIDE"	4	10	11	23	11	12	23
"AR"	2000	"Clark County"	"DEGRAY 1, 2 & 3"	4	122	135	263	135	126	261
"AR"	2000	"Clark County"	"GURDON GEN"	4	161	142	319	208	111	319
"AR"	2000	"Clark County"	"GUM SPRINGS INSIDE"	4	67	7	75	62	14	76
"AR"	2000	"Clark County"	"GUM SPRINGS OUTSIDE"	4	97	55	156	94	61	155
"AR"	2000	"Clark County"	"GURDON WARD 1"	4	86	58	145	92	53	145
"AR"	2000	"Clark County"	"GURDON WARD 2"	4	91	19	111	88	23	111
"AR"	2000	"Clark County"	"GURDON WARD 3"	4	60	37	98	64	34	98
"AR"	2000	"Clark County"	"GURDON WARD 4"	4	60	29	92	74	17	91
"AR"	2000	"Clark County"	"GURDON WARD 5"	4	74	81	160	79	81	160
"AR"	2000	"Clark County"	"GURDON WARD 6"	4	74	39	114	87	29	116
"AR"	2000	"Clark County"	"HOLLYWOOD"	4	77	70	151	81	70	151
"AR"	2000	"Clark County"	"JOAN"	4	83	44	130	90	42	132
"AR"	2000	"Clark County"	"ARKA JP1"	4	184	470	669	185	460	645
"AR"	2000	"Clark County"	"ARKA JP2"	4	249	204	471	269	202	471
"AR"	2000	"Clark County"	"ARKA JP3"	4	291	172	471	286	182	468
"AR"	2000	"Clark County"	"ARKA JP4"	4	388	99	496	390	106	496
"AR"	2000	"Clark County"	"ARKA JP5"	4	484	426	924	490	430	920
"AR"	2000	"Clark County"	"MANCHESTER"	4	176	36	212	169	46	215
"AR"	2000	"Clark County"	"OKOLONA CITY 1 & OKOLONA CITY 2"	4	53	18	72	52	19	71
"AR"	2000	"Clark County"	"OAKLAND 1, 2 & 3"	4	59	55	116	62	52	114
"AR"	2000	"Clark County"	"OKOLONA GEN 1, 2 & 3"	4	114	44	159	121	37	158
"AR"	2000	"Clark County"	"VADEN"	4	16	18	34	19	16	35
"AR"	2000	"Clark County"	"WHELEN SPRINGS INSIDE"	4	11	18	32	19	14	33
"AR"	2000	"Clark County"	"WHELEN SPRINGS OUTSIDE"	4	46	46	94	56	39	95
"AR"	2000	"Clark County"	"Overseas Absentees"	4	0	0	0	0	0	0
"AR"	2000	"Clay County"	"Early & Absentee"	1	883	409	1300	1017	305	1322
"AR"	2000	"Clay County"	"01 North St. Francis"	1	443	312	773	526	252	778
"AR"	2000	"Clay County"	"02 South St. Francis"	1	332	172	530	367	159	526
"AR"	2000	"Clay County"	"03 E Oak Bluff & Blue Cane"	1	245	149	411	293	127	420
"AR"	2000	"Clay County"	"04 West Oak Bluff"	1	337	199	541	389	162	551
"AR"	2000	"Clay County"	"05 Bennett & Lemmons"	1	95	62	161	110	45	155
"AR"	2000	"Clay County"	"06 Bradshaw & Haywood"	1	89	110	205	114	90	205
"AR"	2000	"Clay County"	"07 Johnson"	1	56	41	99	69	31	100
"AR"	2000	"Clay County"	"08 Knob"	1	38	21	60	44	16	60
"AR"	2000	"Clay County"	"09 Liddell & Chalk Bluff"	1	77	69	151	104	45	149
"AR"	2000	"Clay County"	"10 Payne & Swain"	1	58	51	114	76	39	115
"AR"	2000	"Clay County"	"11 Pollard"	1	118	113	234	160	77	237
"AR"	2000	"Clay County"	"12 Brown & Carpenter"	1	65	58	127	95	30	125
"AR"	2000	"Clay County"	"13 Cache & Wilson"	1	85	51	137	111	27	138
"AR"	2000	"Clay County"	"14 Clark"	1	65	14	81	61	20	81
"AR"	2000	"Clay County"	"15 Nelson"	1	42	20	62	49	16	65
"AR"	2000	"Clay County"	"16 Cleveland & N Kilgore"	1	299	244	553	322	233	555
"AR"	2000	"Clay County"	"17 Gleghorn & S Kilgore"	1	200	159	361	239	123	362
"AR"	2000	"Clay County"	"Overseas Absentees"	1	0	0	0	0	0	0
"AR"	2000	"Cleburne County"	"004 South Cadron"	1	170	174	350	215	121	336
"AR"	2000	"Cleburne County"	"006 California"	1	38	66	110	70	38	108
"AR"	2000	"Cleburne County"	"007 Center Post"	1	57	124	185	84	99	183
"AR"	2000	"Cleburne County"	"008 Clayton"	1	150	186	346	192	149	341
"AR"	2000	"Cleburne County"	"009 Frances"	1	120	119	247	143	104	247
"AR"	2000	"Cleburne County"	"010 Grassey"	1	129	203	344	160	178	338
"AR"	2000	"Cleburne County"	"012 Greers Ferry Giles"	1	163	203	388	196	185	381
"AR"	2000	"Cleburne County"	"013 Giles"	1	89	131	236	101	130	231
"AR"	2000	"Cleburne County"	"014 Healing Springs"	1	124	219	353	166	183	349
"AR"	2000	"Cleburne County"	"015 Heber Springs Ward 1"	1	255	269	546	273	269	542
"AR"	2000	"Cleburne County"	"016 Heber Springs Ward 2"	1	251	273	543	261	279	540
"AR"	2000	"Cleburne County"	"017 Heber Springs Ward 3"	1	223	360	603	257	337	595
"AR"	2000	"Cleburne County"	"018 Heber Springs Ward 4"	1	227	262	510	230	270	500
"AR"	2000	"Cleburne County"	"020 McJester"	1	58	60	122	65	58	123
"AR"	2000	"Cleburne County"	"021 Morgan Outside"	1	93	171	266	105	154	259
"AR"	2000	"Cleburne County"	"022 Mountain"	1	61	137	207	79	125	204
"AR"	2000	"Cleburne County"	"023 East Peter Creek"	1	91	158	260	135	133	268
"AR"	2000	"Cleburne County"	"024 West Peter Creek"	1	171	217	405	188	211	399
"AR"	2000	"Cleburne County"	"027 Piney"	1	167	174	353	185	167	352
"AR"	2000	"Cleburne County"	"028 Poff"	1	16	18	34	19	14	33
"AR"	2000	"Cleburne County"	"029 Saline"	1	110	123	241	124	113	237
"AR"	2000	"Cleburne County"	"031 Sugar Camp"	1	50	98	152	83	71	154
"AR"	2000	"Cleburne County"	"032 Sugar Loaf"	1	85	90	183	95	89	185
"AR"	2000	"Cleburne County"	"033 Valley"	1	53	124	180	63	115	178
"AR"	2000	"Cleburne County"	"034 Wilburn"	1	60	49	119	73	44	117
"AR"	2000	"Cleburne County"	"025 Pickens"	1	53	62	121	68	51	119
"AR"	2000	"Cleburne County"	"026 Pine"	1	34	48	87	41	43	84
"AR"	2000	"Cleburne County"	"019 Heber Outside"	1	343	624	1004	394	604	998
"AR"	2000	"Cleburne County"	"Federal"	1	1	2	3	2	1	3
"AR"	2000	"Cleburne County"	"Absentee"	1	116	154	282	142	132	274
"AR"	2000	"Cleburne County"	"Early"	1	444	700	1171	501	652	1153
"AR"	2000	"Cleburne County"	"002 North Cadron"	1	118	132	256	157	92	249
"AR"	2000	"Cleveland County"	"Early"	4	104	155	261	106	155	261
"AR"	2000	"Cleveland County"	"Absentee"	4	36	28	65	34	30	64
"AR"	2000	"Cleveland County"	"Rison Inside A-K 01A"	4	86	60	151	89	60	149
"AR"	2000	"Cleveland County"	"Rison Inside L-Z 01B"	4	81	73	155	87	70	157
"AR"	2000	"Cleveland County"	"Rison Outside 01C"	4	63	69	134	52	80	132
"AR"	2000	"Cleveland County"	"Kingsland Inside 02A"	4	69	50	123	73	52	125
"AR"	2000	"Cleveland County"	"Kingsland Out 02B"	4	86	135	231	82	147	229
"AR"	2000	"Cleveland County"	"Bowman 03"	4	72	71	144	68	76	144
"AR"	2000	"Cleveland County"	"Harper 04"	4	73	99	180	79	100	179
"AR"	2000	"Cleveland County"	"Hudgin 05"	4	48	64	115	48	66	114
