state	year	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USS_dv	g2000_USS_rv	g2000_USH_dv	g2000_USH_rv	g2000_USP_tv	g2000_USS_tv	g2000_USH_tv
"WY"	2000	"Crook"	"Tower Junction - Camp Beard 11-11"	7	127	6	130	7	129	134	136	136
"WY"	2000	"Crook"	"Elmore - Barton Ranch Voting Booth 12-12"	16	103	20	95	20	98	119	115	118
"WY"	2000	"Crook"	"Hulett Outside - Civic Center 13-13"	5	153	5	153	10	146	158	158	156
"WY"	2000	"Crook"	"Hulett Inside - Civic Center 14-14"	18	161	21	160	25	154	179	181	179
"WY"	2000	"Crook"	"Pine Haven Town Hall 15-15"	31	127	29	131	31	128	158	160	159
"WY"	2000	"Crook"	"Moorcroft Outside -Baptist Church 16-16"	22	186	21	187	30	178	208	208	208
"WY"	2000	"Crook"	"Moorcroft West Side - City Hall 18-1"	52	137	39	149	50	141	189	188	191
"WY"	2000	"Crook"	"Moorcroft East Side - City Hall 18-2"	30	136	26	137	33	136	166	163	169
"WY"	2000	"Crook"	"Rockypoint Comm. Bldg. 20-20(00)"	0	22	0	22	0	22	22	22	22
"WY"	2000	"Crook"	"New Haven Community Bldg. 23-23"	2	38	0	41	0	39	40	41	39
"WY"	2000	"Crook"	"Colony Community Bldg. 24-24"	1	39	2	40	2	41	40	42	43
"WY"	2000	"Crook"	"Oshoto Community Bldg. 26-26"	1	47	4	42	3	42	48	46	45
"WY"	2000	"Fremont"	"Lander Community Center 1-1"	119	430	177	445	228	393	549	622	621
"WY"	2000	"Fremont"	"Lander Community Center 1-2"	118	218	90	242	125	211	336	332	336
"WY"	2000	"Fremont"	"Lander Community Center 1-3"	211	338	154	384	205	339	549	538	544
"WY"	2000	"Fremont"	"Lander Community Center 1-4"	165	304	125	333	178	278	469	458	456
"WY"	2000	"Fremont"	"Lander Community Center 1-5"	295	455	189	526	257	453	750	715	710
"WY"	2000	"Fremont"	"Lander Community Center 1-6"	195	354	133	407	202	337	549	540	539
"WY"	2000	"Fremont"	"Hudson Town Hall 2-1"	77	188	74	182	93	165	265	256	258
"WY"	2000	"Fremont"	"Riverton Fair Office 3-1"	176	570	135	603	185	538	746	738	723
"WY"	2000	"Fremont"	"Riverton Fair Office 3-2"	65	222	49	231	78	203	287	280	281
"WY"	2000	"Fremont"	"Riverton Fair Office 3-3"	165	567	139	588	185	537	732	727	722
"WY"	2000	"Fremont"	"Riverton Fair Office 3-4"	106	346	91	361	121	323	452	452	444
"WY"	2000	"Fremont"	"Riverton Fair Office 3-5"	162	489	112	536	156	482	651	648	638
"WY"	2000	"Fremont"	"Riverton Fair Office 3-6"	209	731	159	784	203	701	940	943	904
"WY"	2000	"Fremont"	"Ft. Washakie School Admin. 4-1"	210	110	168	148	180	128	320	316	308
"WY"	2000	"Fremont"	"Lander Community Center 5-1"	156	422	134	445	179	400	578	579	579
"WY"	2000	"Fremont"	"Lander Community Center 6-1"	196	573	179	598	216	543	769	777	759
"WY"	2000	"Fremont"	"Dubois Headwaters Comm. Center  7-1"	171	895	143	925	187	865	1066	1068	1052
"WY"	2000	"Fremont"	"Arapahoe School 8-1"	199	149	150	183	157	178	348	333	335
"WY"	2000	"Fremont"	"Missouri Valley Fire Hall 9-1"	26	280	28	276	38	256	306	304	294
"WY"	2000	"Fremont"	"Fairgrounds/Main Hall 10-1"	107	453	90	458	113	424	560	548	537
"WY"	2000	"Fremont"	"Jeffrey City Fire Hall 12-1"	7	90	6	94	9	91	97	100	100
"WY"	2000	"Fremont"	"WY Indian High Tech Center 13-1"	403	118	283	211	312	187	521	494	499
"WY"	2000	"Fremont"	"Wind River Rec. Center 14-1"	67	295	62	300	78	290	362	362	368
"WY"	2000	"Fremont"	"Midvale Fire Hall 15-1"	22	125	20	129	28	118	147	149	146
"WY"	2000	"Fremont"	"Kinnear Fire Hall 16-1"	52	219	41	220	56	202	271	261	258
"WY"	2000	"Fremont"	"Fairgrounds/Main Hall 17-1"	83	218	69	229	81	220	301	298	301
"WY"	2000	"Fremont"	"Riverton Fair Office 18-1"	153	692	122	718	174	649	845	840	823
"WY"	2000	"Fremont"	"Crowheart School Gym 19-1"	18	91	14	94	16	94	109	108	110
"WY"	2000	"Fremont"	"Shoshone Senior Citizens Center 20-1"	76	262	66	270	87	241	338	336	328
"WY"	2000	"Fremont"	"Fairgrounds/Main Hall 21-1"	110	270	87	292	106	261	380	379	367
"WY"	2000	"Fremont"	"Lysite Fire Hall 22-1"	4	45	4	44	6	42	49	48	48
"WY"	2000	"Fremont"	"Atlantic City Fire Hall 24-1"	5	41	6	37	11	32	46	43	43
"WY"	2000	"Goshen"	"Prairie Center 1-1"	1	38	1	37	0	39	39	38	39
"WY"	2000	"Goshen"	"Jay Em 2-1"	18	49	17	44	19	47	67	61	66
"WY"	2000	"Goshen"	"Lingle Town Hall 8-1"	68	418	59	409	83	405	486	468	488
"WY"	2000	"Goshen"	"Ft. Laramie Town Hall 9-1"	71	138	47	141	59	147	209	188	206
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-1"	47	58	37	57	50	61	105	94	111
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-2"	114	221	82	228	99	225	335	310	324
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-3"	106	219	76	235	88	244	325	311	332
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-4"	165	345	110	362	145	357	510	472	502
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-5"	74	209	49	209	66	205	283	258	271
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-6"	147	283	92	310	129	286	430	402	415
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-7"	134	273	91	278	118	284	407	369	402
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-8"	65	255	47	258	68	249	320	305	317
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-9"	172	453	122	468	147	461	625	590	608
"WY"	2000	"Goshen"	"Torrington Rendezvous Ctr. 10-10"	103	180	83	201	89	201	283	284	290
"WY"	2000	"Goshen"	"Veteran Legion Post #56 13-1"	33	69	26	77	32	71	102	103	103
"WY"	2000	"Goshen"	"Yoder Community Center 15-1"	33	147	37	139	49	137	180	176	186
"WY"	2000	"Goshen"	"Huntley School 16-1"	36	198	28	201	37	188	234	229	225
"WY"	2000	"Goshen"	"Hawk Springs Comm. Hall 17-1"	21	94	16	90	22	95	115	106	117
"WY"	2000	"Goshen"	"La Grange Memorial Bldg. 18-1"	31	252	16	246	22	247	283	262	269
"WY"	2000	"Goshen"	"Iowa Center Jackson Home 20-1"	0	23	0	24	1	23	23	24	24
"WY"	2000	"Hot Springs"	"1 Hot Springs County Fair Building 1-1"	210	604	130	629	187	527	814	759	714
"WY"	2000	"Hot Springs"	"2 Hot Springs County Fair Building 1-2"	173	464	110	473	139	401	637	583	540
"WY"	2000	"Hot Springs"	"Hot Springs County Museum 2-4"	150	570	109	574	122	510	720	683	632
"WY"	2000	"Hot Springs"	"National Guard Armory 3-3"	11	95	10	93	11	86	106	103	97
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 2-14"	10	63	4	72	8	64	73	76	72
"WY"	2000	"Johnson"	"Buffalo - Catholic Rec Hall 3-1"	58	214	43	197	52	186	272	240	238
"WY"	2000	"Johnson"	"Buffalo - Catholic Rec Hall 3-2"	55	185	23	195	30	184	240	218	214
"WY"	2000	"Johnson"	"Buffalo - Catholic Rec Hall 3-3"	30	136	14	139	27	125	166	153	152
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 3-4"	50	222	27	212	42	192	272	239	234
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 3-5"	24	121	16	115	22	105	145	131	127
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 3-6"	34	185	21	174	22	166	219	195	188
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 3-7"	47	146	18	156	26	138	193	174	164
"WY"	2000	"Johnson"	"Buffalo - Catholic Rec Hall 3-8"	56	182	24	178	37	170	238	202	207
"WY"	2000	"Johnson"	"Buffalo - Catholic Rec Hall 4-7"	70	436	44	428	56	397	506	472	453
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 4-8"	83	436	60	416	81	394	519	476	475
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 5-9"	1	91	1	92	4	87	92	93	91
"WY"	2000	"Johnson"	"Kaycee - Harold Jarrard Park 6-10"	12	127	6	121	10	107	139	127	117
"WY"	2000	"Johnson"	"Kaycee - Harold Jarrard Park 8-11"	15	213	6	205	9	197	228	211	206
"WY"	2000	"Johnson"	"Kaycee - Harold Jarrard Park 9-12"	8	43	6	43	4	45	51	49	49
"WY"	2000	"Johnson"	"Kaycee - Harold Jarrard Park 9-13"	2	23	0	24	0	24	25	24	24
"WY"	2000	"Johnson"	"Johnson County Fairgrounds 10-15"	0	63	3	61	1	62	63	64	63
"WY"	2000	"Laramie"	"Holiday Inn/Cheyenne 1-1"	492	485	402	559	471	489	977	961	960
"WY"	2000	"Laramie"	"Holiday Inn/Cheyenne 1-2"	309	224	256	258	286	227	533	514	513
"WY"	2000	"Laramie"	"Laramie County Library 1-3"	438	470	354	531	419	443	908	885	862
"WY"	2000	"Laramie"	"Storey Gym 1-4"	485	632	364	741	464	607	1117	1105	1071
"WY"	2000	"Laramie"	"Kiwanis Community House/Cheyenne 1-5"	144	248	123	268	145	237	392	391	382
"WY"	2000	"Laramie"	"Kiwanis Community House/Cheyenne 1-6"	98	137	67	172	104	129	235	239	233
"WY"	2000	"Laramie"	"Storey Gym 1-7"	60	74	58	78	67	69	134	136	136
"WY"	2000	"Laramie"	"Storey Gym 1-8"	195	250	139	294	182	241	445	433	423
"WY"	2000	"Laramie"	"Alta Vista Elementary School 1-9"	300	406	256	460	309	384	706	716	693
"WY"	2000	"Laramie"	"Holiday Inn/Cheyenne 1-10"	18	20	15	22	16	20	38	37	36
"WY"	2000	"Laramie"	"County Government Complex #1  1-11(02)"	0	2	0	2	0	2	2	2	2
"WY"	2000	"Laramie"	"Hebard Elementary School 1-12(00)"	316	266	275	307	317	258	582	582	575
"WY"	2000	"Laramie"	"Westgate Club House/Cheyenne 2-1"	336	524	255	597	317	498	860	852	815
"WY"	2000	"Laramie"	"Kiwanis Community House/Cheyenne 2-2"	335	429	228	513	309	428	764	741	737
"WY"	2000	"Laramie"	"Kiwanis Community House/Cheyenne 2-3"	238	572	176	614	235	533	810	790	768
"WY"	2000	"Laramie"	"City Fire Station #6 2-4"	332	718	226	807	341	657	1050	1033	998
"WY"	2000	"Laramie"	"Cheyenne Berean Church 2-5"	317	644	235	706	311	610	961	941	921
"WY"	2000	"Laramie"	"Cheyenne Berean Church 2-6"	324	523	228	606	314	507	847	834	821
"WY"	2000	"Laramie"	"Kiwanis Community House/Cheyenne 2-7"	301	468	212	551	300	438	769	763	738
"WY"	2000	"Laramie"	"Cheyenne Berean Church 2-8"	319	541	215	636	293	537	860	851	830
"WY"	2000	"Laramie"	"Good Shepherd Lutheran Church 2-9"	314	612	220	686	326	554	926	906	880
"WY"	2000	"Laramie"	"North Christian Church 2-10"	295	605	221	673	297	560	900	894	857
"WY"	2000	"Laramie"	"Cheyenne Housing Authority  2-11"	180	415	122	465	174	379	595	587	553
"WY"	2000	"Laramie"	"First Baptist Church 3-1"	463	711	370	787	475	667	1174	1157	1142
"WY"	2000	"Laramie"	"American Legion Post #6 3-2"	384	533	298	603	386	504	917	901	890
"WY"	2000	"Laramie"	"First Congregational Church/Cheyenne 3-3"	388	698	285	782	381	675	1086	1067	1056
"WY"	2000	"Laramie"	"First Congregational Church/Cheyenne 3-4"	412	740	312	818	405	714	1152	1130	1119
"WY"	2000	"Laramie"	"IBEW #415 3-5"	483	868	373	957	513	796	1351	1330	1309
"WY"	2000	"Laramie"	"AMVETS Post #10 3-6"	193	397	135	432	194	366	590	567	560
"WY"	2000	"Laramie"	"AMVETS Post #10 3-7"	245	426	187	468	242	410	671	655	652
"WY"	2000	"Laramie"	"Dildine Elementary School  3-8"	0	0	0	0	0	0	0	0	0
"WY"	2000	"Laramie"	"VFW Post #1881 3-9"	385	706	294	773	417	621	1091	1067	1038
"WY"	2000	"Laramie"	"VFW Post #1881 3-10"	23	47	19	47	21	41	70	66	62
"WY"	2000	"Laramie"	"Willadsen Elementary School 4-1"	17	55	14	56	14	55	72	70	69
"WY"	2000	"Laramie"	"Gilchrist Elementary School 4-2"	191	269	151	315	191	267	460	466	458
"WY"	2000	"Laramie"	"Iron Mountain Country Church 4-3"	374	1096	288	1151	366	1046	1470	1439	1412
"WY"	2000	"Laramie"	"Shrine Club 4-4"	40	112	31	120	37	109	152	151	146
"WY"	2000	"Laramie"	"Shrine Club 4-5"	302	859	224	942	308	815	1161	1166	1123
"WY"	2000	"Laramie"	"Shrine Club 4-6"	7	66	7	67	13	59	73	74	72
"WY"	2000	"Laramie"	"Taco Johns Ice and Event Center 4-7"	0	3	0	3	0	3	3	3	3
"WY"	2000	"Laramie"	"Laramie County Community College 4-8"	407	761	325	831	391	750	1168	1156	1141
"WY"	2000	"Laramie"	"Laramie County Community College 5-1"	345	562	278	618	349	535	907	896	884
"WY"	2000	"Laramie"	"Qwest Building 5-2"	172	418	139	453	186	393	590	592	579
"WY"	2000	"Laramie"	"Laramie County Fire Dist. #2 5-3"	326	841	245	904	358	756	1167	1149	1114
"WY"	2000	"Laramie"	"Cheyenne Hills Church 5-4"	8	22	7	23	12	16	30	30	28
"WY"	2000	"Laramie"	"Archer Research Station 5-5"	361	688	314	747	380	653	1049	1061	1033
"WY"	2000	"Laramie"	"Carpenter Fire Station 6-1"	59	208	58	207	68	188	267	265	256
"WY"	2000	"Laramie"	"Burns Community Center  6-2"	163	593	112	650	176	571	756	762	747
"WY"	2000	"Laramie"	"Commerce Building 6-3"	142	514	91	571	120	525	656	662	645
"WY"	2000	"Laramie"	"Petsch Feedlot Office 6-4"	3	78	4	79	5	76	81	83	81
"WY"	2000	"Laramie"	"Albin Community Center 6-5"	25	157	25	159	29	149	182	184	178
"WY"	2000	"Laramie"	"Shrine Club 6-6(00)"	2	0	2	0	2	0	2	2	2
"WY"	2000	"Laramie"	"Little Bear Grange Hall 6-7(00)"	3	1	3	1	3	1	4	4	4
"WY"	2000	"Laramie"	"Laramie County Community College 7-1"	57	59	48	69	54	62	116	117	116
"WY"	2000	"Laramie"	"Qwest Building 7-2"	31	42	26	46	28	42	73	72	70
"WY"	2000	"Laramie"	"Mary Godfrey Playhouse 7-3"	3	1	1	3	2	2	4	4	4
"WY"	2000	"Laramie"	"Mary Godfrey Playhouse 7-4"	2	1	1	2	1	2	3	3	3
"WY"	2000	"Laramie"	"Laramie County Library 7-5"	0	0	0	0	0	0	0	0	0
"WY"	2000	"Lincoln"	"South Lincoln Training & Events Ctr. 1-1"	144	235	125	257	141	248	379	382	389
"WY"	2000	"Lincoln"	"South Lincoln Training & Events Ctr. 1-2"	124	279	108	289	138	265	403	397	403
"WY"	2000	"Lincoln"	"South Lincoln Training & Events Ctr. 1-3"	107	368	106	369	126	350	475	475	476
"WY"	2000	"Lincoln"	"Diamondville School Admin Bldg 1-4"	60	141	58	147	73	132	201	205	205
"WY"	2000	"Lincoln"	"Diamondville Search & Rescue Bldg 1-5"	63	61	54	72	54	68	124	126	122
"WY"	2000	"Lincoln"	"South Lincoln Training & Events Ctr. 1-6"	22	80	29	76	29	76	102	105	105
"WY"	2000	"Lincoln"	"Opal Town Hall 1-7"	16	75	16	73	17	69	91	89	86
"WY"	2000	"Lincoln"	"LaBarge Town Hall 1-8"	40	243	42	243	50	231	283	285	281
"WY"	2000	"Lincoln"	"Afton Civic Center 2-1"	74	702	67	708	92	676	776	775	768
"WY"	2000	"Lincoln"	"Afton Civic Center  2-2"	23	207	16	211	25	196	230	227	221
"WY"	2000	"Lincoln"	"Alpine Civic Center 2-3"	97	364	88	368	93	350	461	456	443
"WY"	2000	"Lincoln"	"Bedford Water & Sewer Building 2-4"	23	219	18	229	22	218	242	247	240
"WY"	2000	"Lincoln"	"Etna Elementary School 2-5"	105	485	91	500	108	472	590	591	580
"WY"	2000	"Lincoln"	"Afton Civic Center 2-6"	31	368	30	363	36	357	399	393	393
"WY"	2000	"Lincoln"	"Afton Civic Center 2-7"	60	704	63	711	79	678	764	774	757
"WY"	2000	"Lincoln"	"Thayne Town Hall 2-8"	146	590	118	604	142	592	736	722	734
"WY"	2000	"Lincoln"	"Cokeville Town Hall 2-9"	49	294	46	299	56	283	343	345	339
"WY"	2000	"Natrona"	"Roosevelt School 1-1"	304	231	216	297	292	224	535	513	516
"WY"	2000	"Natrona"	"Natrona County Library 1-2"	258	325	226	363	262	306	583	589	568
"WY"	2000	"Natrona"	"Dean Morgan Junior High School 1-3"	319	469	225	544	329	417	788	769	746
