state	year	fips	county_code	precinct_code	county	precinct	cd	ld	sd	g2008_REG_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"VA"	2008	1402	51001	402	"ACCOMACK COUNTY"	"PARKSLEY"	13	27	46	1440	409	503	919	552	336	902	438	467	906
"VA"	2008	1804	51001	804	"ACCOMACK COUNTY"	"QUINBY"	13	27	46	292	62	126	190	101	88	192	67	124	191
"VA"	2008	1502	51001	502	"ACCOMACK COUNTY"	"RUE"	13	27	46	1015	465	137	603	493	95	594	464	132	596
"VA"	2008	1204	51001	204	"ACCOMACK COUNTY"	"SAXIS"	13	27	46	351	55	137	194	95	83	182	93	83	179
"VA"	2008	1205	51001	205	"ACCOMACK COUNTY"	"TANGIER"	13	27	46	449	42	241	288	117	166	286	44	244	288
"VA"	2008	1805	51001	805	"ACCOMACK COUNTY"	"WACHAPREAGUE"	13	27	46	417	122	160	286	176	108	287	133	151	284
"VA"	2008	3104	51003	104	"ALBEMARLE COUNTY"	"AGNOR-HURT"	16	78	27	2603	1096	497	1618	1203	374	1595	1164	434	1600
"VA"	2008	3204	51003	204	"ALBEMARLE COUNTY"	"BELFIELD"	16	79	27	1310	404	411	821	517	285	812	455	356	813
"VA"	2008	3103	51003	103	"ALBEMARLE COUNTY"	"BRANCHLANDS"	16	78	27	1262	476	269	756	532	197	742	512	230	743
"VA"	2008	3604	51003	604	"ALBEMARLE COUNTY"	"BROWNSVILLE"	16	43	26	3083	1224	967	2226	1480	689	2201	1339	865	2208
"VA"	2008	3505	51003	505	"ALBEMARLE COUNTY"	"BURNLEY"	16	79	27	1407	586	427	1034	659	357	1020	627	396	1023
"VA"	2008	3405	51003	405	"ALBEMARLE COUNTY"	"CALE"	16	79	27	4757	1932	930	2881	2099	711	2832	2040	786	2827
"VA"	2008	3305	51003	305	"ALBEMARLE COUNTY"	"COUNTRY GREEN"	16	80	27	2039	806	517	1333	907	394	1317	871	449	1321
"VA"	2008	3601	51003	601	"ALBEMARLE COUNTY"	"CROZET"	16	43	26	3725	1386	1087	2519	1683	770	2491	1569	927	2499
"VA"	2008	3105	51003	105	"ALBEMARLE COUNTY"	"DUNLORA"	16	78	27	2218	858	535	1407	985	399	1398	924	474	1398
"VA"	2008	3603	51003	603	"ALBEMARLE COUNTY"	"EARLYSVILLE"	16	79	27	3016	1057	1093	2172	1296	836	2153	1158	998	2157
"VA"	2008	3304	51003	304	"ALBEMARLE COUNTY"	"EAST IVY"	16	79	27	1987	749	433	1195	855	291	1168	804	365	1169
"VA"	2008	3504	51003	504	"ALBEMARLE COUNTY"	"FREE BRIDGE"	16	78	27	3390	1237	794	2058	1432	581	2036	1342	690	2036
"VA"	2008	3602	51003	602	"ALBEMARLE COUNTY"	"FREE UNION"	16	79	26	1409	506	457	977	606	355	972	542	431	973
"VA"	2008	3203	51003	203	"ALBEMARLE COUNTY"	"GEORGETOWN"	16	78	27	3275	1302	462	1786	1406	329	1753	1372	391	1763
"VA"	2008	3503	51003	503	"ALBEMARLE COUNTY"	"HOLLYMEAD"	16	79	27	4687	1627	1564	3224	2009	1155	3203	1823	1371	3195
"VA"	2008	3301	51003	301	"ALBEMARLE COUNTY"	"IVY"	16	78	27	3895	1594	1056	2684	1888	747	2663	1725	934	2663
"VA"	2008	3201	51003	201	"ALBEMARLE COUNTY"	"JACK JOUETT"	16	78	27	2477	801	602	1425	946	446	1408	852	554	1409
"VA"	2008	3501	51003	501	"ALBEMARLE COUNTY"	"KESWICK"	16	79	27	1415	567	380	957	648	273	926	592	344	937
"VA"	2008	3402	51003	402	"ALBEMARLE COUNTY"	"MONTICELLO"	16	79	27	1508	456	497	966	564	383	956	497	462	959
"VA"	2008	3106	51003	106	"ALBEMARLE COUNTY"	"NORTHSIDE"	16	79	27	2002	692	721	1423	874	521	1406	779	639	1418
"VA"	2008	3403	51003	403	"ALBEMARLE COUNTY"	"PORTERS"	16	80	27	1441	706	310	1028	761	238	1009	712	292	1005
"VA"	2008	3302	51003	302	"ALBEMARLE COUNTY"	"RED HILL"	16	80	27	2620	1093	737	1855	1272	535	1836	1163	666	1830
"VA"	2008	3401	51003	401	"ALBEMARLE COUNTY"	"SCOTTSVILLE"	16	79	27	1522	497	566	1078	625	425	1060	546	520	1066
"VA"	2008	3406	51003	406	"ALBEMARLE COUNTY"	"STONE ROBINSON"	16	79	27	2816	811	1098	1929	1121	771	1915	945	968	1913
"VA"	2008	3502	51003	502	"ALBEMARLE COUNTY"	"STONY POINT"	16	79	27	1479	528	507	1052	641	392	1041	576	467	1043
"VA"	2008	3202	51003	202	"ALBEMARLE COUNTY"	"UNIVERSITY HALL"	16	78	27	2530	955	359	1332	1016	259	1297	977	322	1300
"VA"	2008	3101	51003	101	"ALBEMARLE COUNTY"	"WOODBROOK"	16	79	27	2734	990	854	1871	1221	613	1850	1087	760	1849
"VA"	2008	3605	51003	605	"ALBEMARLE COUNTY"	"YELLOW MOUNTAIN"	16	43	27	653	247	232	482	315	151	474	270	206	477
"VA"	2008	5101	51005	101	"ALLEGHANY COUNTY"	"ARRITT"	20	29	27	1027	307	325	638	462	168	633	521		528
"VA"	2008	5301	51005	301	"ALLEGHANY COUNTY"	"CALLAGHAN"	17	29	27	576	159	229	393	260	122	386	105	260	373
"VA"	2008	5103	51005	103	"ALLEGHANY COUNTY"	"DAMERON"	20	29	27	387	97	169	268	158	88	252	179		179
"VA"	2008		51005	601	"ALLEGHANY COUNTY"	"DISTRICT 1"	20	29	27	1408	503	406	916	716	185	906	743		743
"VA"	2008		51005	701	"ALLEGHANY COUNTY"	"DISTRICT 2"	20	29	27	1298	466	264	738	577	129	714	559		572
"VA"	2008	5202	51005	202	"ALLEGHANY COUNTY"	"DOLLY ANN"	17	29	27	984	308	340	657	506	140	651	202	406	619
"VA"	2008	5302	51005	302	"ALLEGHANY COUNTY"	"GRIFFITH"	17	29	27	1150	368	437	813	587	224	818	241	543	799
"VA"	2008	5201	51005	201	"ALLEGHANY COUNTY"	"HUMPBACK BRIDGE"	17	29	27	630	163	246	414	276	133	412	107	286	401
"VA"	2008	5501	51005	501	"ALLEGHANY COUNTY"	"IRON GATE"	20	29	27	416	150	126	281	211	68	280	210		210
"VA"	2008		51005	402	"ALLEGHANY COUNTY"	"JACKSON HEIGHTS"	20	29	27	695	209	261	478	364	105	478	376		376
"VA"	2008	5401	51005	401	"ALLEGHANY COUNTY"	"LOW MOOR"	20	29	27	894	257	314	581	414	147	565	431		435
"VA"	2008	5502	51005	502	"ALLEGHANY COUNTY"	"PETERS SWITCH"	20	29	27	1057	321	402	744	541	178	726	573		575
"VA"	2008	7501	51007	501	"AMELIA COUNTY"	"NUMBER FIVE"	15	83	11	1679	561	670	1244	685	530	1222	467	683	1151
"VA"	2008	7401	51007	401	"AMELIA COUNTY"	"NUMBER FOUR"	15	83	11	1812	419	805	1248	566	658	1238	368	828	1197
"VA"	2008	7101	51007	101	"AMELIA COUNTY"	"NUMBER ONE"	15	83	11	1548	436	625	1068	539	506	1061	360	654	1015
"VA"	2008	7301	51007	301	"AMELIA COUNTY"	"NUMBER THREE"	15	83	11	1572	340	769	1118	477	616	1106	310	775	1086
"VA"	2008	7201	51007	201	"AMELIA COUNTY"	"NUMBER TWO"	15	83	11	1669	434	697	1141	578	541	1133	378	722	1100
"VA"	2008	9401	51009	401	"AMHERST COUNTY"	"AMELON"	17	42	25	3153	826	1284	2127	1138	884	2068	689	1311	2053
"VA"	2008	9103	51009	103	"AMHERST COUNTY"	"COOLWELL"	17	41	25	743	173	336	512	242	249	493	134	342	484
"VA"	2008	9201	51009	201	"AMHERST COUNTY"	"COURT HOUSE"	17	42	16	2820	800	1067	1886	1086	732	1844	663	1128	1816
"VA"	2008	9302	51009	302	"AMHERST COUNTY"	"ELON"	17	42	25	2555	519	1296	1834	809	924	1775	430	1302	1777
"VA"	2008	9402	51009	402	"AMHERST COUNTY"	"LONCO"	17	41	25	833	221	313	542	301	224	531	192	316	515
"VA"	2008	9501	51009	501	"AMHERST COUNTY"	"MADISON"	17	42	25	3235	944	1242	2207	1244	863	2144	752	1299	2096
"VA"	2008	9301	51009	301	"AMHERST COUNTY"	"MONROE"	17	42	25	1146	306	489	805	451	329	794	239	510	774
"VA"	2008	9102	51009	102	"AMHERST COUNTY"	"NEW GLASGOW"	17	42	16	1661	481	580	1070	611	413	1041	425	592	1031
"VA"	2008	9303	51009	303	"AMHERST COUNTY"	"PLEASANT VIEW"	17	42	25	653	158	300	463	240	205	452	142	298	448
"VA"	2008	9202	51009	202	"AMHERST COUNTY"	"TEMPERANCE"	17	42	16	1087	286	472	766	422	319	753	248	473	735
"VA"	2008	9101	51009	101	"AMHERST COUNTY"	"WRIGHT SHOP"	17	41	16	1414	602	354	960	635	273	922	526	365	904
"VA"	2008	11301	51011	301	"APPOMATTOX COUNTY"	"460"	16	80	16	1154	226	581	817	456	354	818	249	578	827
"VA"	2008	11502	51011	502	"APPOMATTOX COUNTY"	"AGEE"	16	80	16	597	178	206	392	251	135	390	189	201	390
"VA"	2008	11201	51011	201	"APPOMATTOX COUNTY"	"CHAP"	16	80	16	800	236	315	556	341	189	534	213	315	528
"VA"	2008	11401	51011	401	"APPOMATTOX COUNTY"	"COURTHOUSE"	16	80	16	1810	390	758	1163	682	459	1149	424	725	1149
"VA"	2008	11501	51011	501	"APPOMATTOX COUNTY"	"OAKVILLE"	16	80	16	1369	334	644	983	618	357	987	362	634	996
"VA"	2008	11102	51011	102	"APPOMATTOX COUNTY"	"PAMPLIN"	16	80	16	1323	349	556	918	565	329	903	350	556	907
"VA"	2008	11202	51011	202	"APPOMATTOX COUNTY"	"SPOUT SPRING"	16	80	16	1287	228	642	878	484	375	865	261	610	871
"VA"	2008	11302	51011	302	"APPOMATTOX COUNTY"	"STONEWALL"	16	80	16	1039	277	481	767	443	308	756	306	451	758
"VA"	2008	11101	51011	101	"APPOMATTOX COUNTY"	"VERA"	16	80	16	704	153	351	512	302	208	513	175	340	515
"VA"	2008	13022	51013	22	"ARLINGTON COUNTY"	"ABINGDON"	19	65	33	3359	1301	629	1956	1396	519	1944	1225	632	1914
"VA"	2008	13001	51013	1	"ARLINGTON COUNTY"	"ARLINGTON"	19	69	33	2570	1080	319	1420	1131	229	1386	1058	263	1372
"VA"	2008	13025	51013	25	"ARLINGTON COUNTY"	"ARLINGTON FOREST"	19	67	34	2310	888	371	1276	940	289	1251	803	367	1216
"VA"	2008	13043	51013	43	"ARLINGTON COUNTY"	"ARLINGTON MILL"	19	69	34	2156	969	253	1240	999	185	1205	928	217	1168
"VA"	2008	13038	51013	38	"ARLINGTON COUNTY"	"ARLINGTON VIEW"	19	67	33	2931	1215	302	1533	1232	244	1507	1145	288	1474
"VA"	2008	13039	51013	39	"ARLINGTON COUNTY"	"ASHLAWN"	19	67	34	1748	614	321	945	661	254	930	564	321	917
"VA"	2008	13002	51013	2	"ARLINGTON COUNTY"	"ASHTON HEIGHTS"	19	67	34	3249	1051	433	1508	1121	349	1486	984	436	1467
"VA"	2008	13003	51013	3	"ARLINGTON COUNTY"	"AURORA HILLS"	19	68	33	2022	615	440	1068	690	352	1055	596	420	1037
"VA"	2008	13004	51013	4	"ARLINGTON COUNTY"	"BALLSTON"	19	67	34	2037	741	344	1097	806	261	1084	690	347	1065
"VA"	2008	13005	51013	5	"ARLINGTON COUNTY"	"BARCROFT"	19	67	34	2109	835	376	1228	885	303	1208	790	371	1194
"VA"	2008	13045	51013	45	"ARLINGTON COUNTY"	"BUCKINGHAM"	19	67	34	3965	1323	516	1877	1368	417	1838	1198	544	1800
"VA"	2008		51013	46	"ARLINGTON COUNTY"	"CENTRAL"	19	67	34	3980	1319	592	1944	1352	508	1901	1177	639	1854
"VA"	2008	13007	51013	7	"ARLINGTON COUNTY"	"CHERRYDALE"	19	68	34	3036	1042	512	1574	1126	400	1555	977	510	1538
"VA"	2008	13028	51013	28	"ARLINGTON COUNTY"	"CLAREMONT"	19	69	33	3381	1267	489	1772	1333	375	1738	1212	439	1717
"VA"	2008	13014	51013	14	"ARLINGTON COUNTY"	"CLARENDON"	19	67	34	2750	905	449	1373	955	382	1357	828	487	1338
"VA"	2008	13009	51013	9	"ARLINGTON COUNTY"	"COLUMBIA"	19	69	33	2993	1285	364	1667	1302	312	1636	1200	384	1617
"VA"	2008		51013	48	"ARLINGTON COUNTY"	"COURTLANDS"	19	68	34	2654	858	460	1341	912	374	1316	774	475	1287
"VA"	2008	13006	51013	6	"ARLINGTON COUNTY"	"CRYSTAL CITY"	19	68	33	2744	863	466	1358	895	419	1341	810	474	1317
"VA"	2008		51013	50	"ARLINGTON COUNTY"	"CRYSTAL PLAZA"	19	68	33	2799	1015	469	1503	1037	397	1471	913	491	1452
"VA"	2008	13044	51013	44	"ARLINGTON COUNTY"	"DAWSON TERRACE"	19	68	34	2649	936	289	1247	948	246	1222	828	322	1191
"VA"	2008	13029	51013	29	"ARLINGTON COUNTY"	"DOMINION HILLS"	19	67	34	2802	971	500	1490	1081	380	1479	956	473	1456
"VA"	2008	13011	51013	11	"ARLINGTON COUNTY"	"EAST FALLS CHURCH"	19	68	34	2113	706	412	1139	802	307	1133	675	409	1112
"VA"	2008	13012	51013	12	"ARLINGTON COUNTY"	"FAIRLINGTON"	19	65	33	2826	1105	566	1691	1192	458	1680	1036	576	1654
"VA"	2008	13026	51013	26	"ARLINGTON COUNTY"	"FILLMORE"	19	67	33	3789	1443	470	1957	1512	360	1920	1357	453	1887
"VA"	2008		51013	47	"ARLINGTON COUNTY"	"FOUR MILE RUN"	19	69	33	1981	908	284	1202	927	233	1182	868	279	1170
"VA"	2008	13030	51013	30	"ARLINGTON COUNTY"	"GLEBE"	19	69	33	2641	1294	160	1475	1288	138	1444	1212	183	1424
"VA"	2008	13013	51013	13	"ARLINGTON COUNTY"	"GLEN CARLYN"	19	67	34	1967	675	317	1006	726	233	987	651	277	972
"VA"	2008	13008	51013	8	"ARLINGTON COUNTY"	"HUME"	19	68	33	4076	1166	622	1817	1220	517	1769	1087	618	1748
"VA"	2008	13027	51013	27	"ARLINGTON COUNTY"	"JEFFERSON"	19	67	34	3166	1184	484	1685	1239	394	1653	1126	464	1640
"VA"	2008	13031	51013	31	"ARLINGTON COUNTY"	"LEXINGTON"	19	67	34	2891	1018	465	1497	1080	370	1473	966	452	1450
"VA"	2008	13015	51013	15	"ARLINGTON COUNTY"	"LYON PARK"	19	67	34	3353	1137	418	1579	1188	343	1559	1053	420	1528
"VA"	2008	13016	51013	16	"ARLINGTON COUNTY"	"LYON VILLAGE"	19	68	34	3325	1091	470	1582	1143	384	1557	962	520	1530
"VA"	2008	13035	51013	35	"ARLINGTON COUNTY"	"MADISON"	19	68	34	3222	891	742	1645	1051	562	1623	820	721	1596
"VA"	2008	13036	51013	36	"ARLINGTON COUNTY"	"MARSHALL"	19	68	34	3389	1153	590	1757	1239	462	1725	1049	605	1706
"VA"	2008		51013	49	"ARLINGTON COUNTY"	"MONROE"	19	67	34	1673	616	263	894	644	224	879	564	271	859
"VA"	2008	13037	51013	37	"ARLINGTON COUNTY"	"NOTTINGHAM"	19	68	34	2518	897	478	1395	975	392	1377	854	476	1359
"VA"	2008	13032	51013	32	"ARLINGTON COUNTY"	"OAKRIDGE"	19	69	33	4058	1277	661	1961	1341	539	1918	1196	650	1893
"VA"	2008	13017	51013	17	"ARLINGTON COUNTY"	"OVERLEE KNOLLS"	19	67	34	3054	935	523	1472	1016	412	1450	860	519	1422
"VA"	2008	13018	51013	18	"ARLINGTON COUNTY"	"PARK LANE"	19	68	34	4602	1395	509	1934	1426	444	1902	1247	581	1871
"VA"	2008	13033	51013	33	"ARLINGTON COUNTY"	"ROCK SPRING"	19	68	34	2963	904	594	1509	1025	465	1502	868	584	1485
"VA"	2008	13019	51013	19	"ARLINGTON COUNTY"	"ROSSLYN"	19	68	34	4095	1393	494	1913	1388	441	1870	1250	544	1838
"VA"	2008		51013	42	"ARLINGTON COUNTY"	"SHIRLINGTON"	19	65	33	2579	1019	440	1480	1072	363	1458	931	450	1435
"VA"	2008	13042	51013	51	"ARLINGTON COUNTY"	"TAYLOR"	19	67	34	811	355	154	511	373	123	499	326	151	485
"VA"	2008	13020	51013	20	"ARLINGTON COUNTY"	"THRIFTON"	19	68	34	2943	830	610	1453	950	467	1440	766	628	1420
"VA"	2008	13021	51013	21	"ARLINGTON COUNTY"	"VIRGINIA HIGHLANDS"	19	68	33	3776	1173	636	1840	1239	529	1808	1095	624	1774
"VA"	2008	13040	51013	40	"ARLINGTON COUNTY"	"VIRGINIA SQUARE"	19	67	34	3304	988	556	1571	1024	478	1534	869	602	1514
"VA"	2008	13023	51013	23	"ARLINGTON COUNTY"	"WESTOVER"	19	67	34	2219	891	339	1243	943	277	1236	833	346	1220
"VA"	2008	13010	51013	10	"ARLINGTON COUNTY"	"WILSON"	19	68	34	3770	1169	477	1666	1195	404	1629	1061	502	1601
"VA"	2008	13041	51013	41	"ARLINGTON COUNTY"	"WOODBURY"	19	67	34	3531	1005	429	1447	1033	375	1423	904	457	1397
"VA"	2008	13024	51013	24	"ARLINGTON COUNTY"	"WOODLAWN"	19	68	34	3794	1319	493	1836	1378	406	1815	1239	500	1791
"VA"	2008	13034	51013	34	"ARLINGTON COUNTY"	"YORKTOWN"	19	68	34	2622	882	501	1408	986	391	1398	843	484	1380
"VA"	2008	15401	51015	401	"AUGUSTA COUNTY"	"BUFFALO GAP"	17	38	26	1248	236	653	900	367	492	872	213	633	867
"VA"	2008	15405	51015	405	"AUGUSTA COUNTY"	"CEDAR GREEN"	17	38	26	1377	342	616	965	492	438	937	267	651	934
"VA"	2008	15304	51015	304	"AUGUSTA COUNTY"	"CHURCHVILLE FIRE STATION"	17	38	26	1050	173	561	744	300	404	716	160	549	718
"VA"	2008	15402	51015	402	"AUGUSTA COUNTY"	"CHURCHVILLE LIBRARY"	17	38	26	1233	244	670	920	415	466	894	198	667	881
"VA"	2008	15403	51015	403	"AUGUSTA COUNTY"	"CRAIGSVILLE"	17	38	26	1015	190	422	619	255	335	597	173	418	597
"VA"	2008	15201	51015	201	"AUGUSTA COUNTY"	"CRIMORA"	17	43	26	2409	511	1165	1695	716	876	1613	428	1148	1607
"VA"	2008	15404	51015	404	"AUGUSTA COUNTY"	"DEERFIELD"	17	38	26	403	62	200	270	105	151	261	58	198	259
"VA"	2008	15801	51015	801	"AUGUSTA COUNTY"	"DOOMS"	17	43	26	1853	367	990	1365	576	713	1306	303	965	1289
"VA"	2008	15102	51015	102	"AUGUSTA COUNTY"	"EXPO"	17	38	26	1497	343	633	984	466	481	959	270	669	951
"VA"	2008	15802	51015	802	"AUGUSTA COUNTY"	"FISHERSVILLE"	17	43	26	3410	772	1738	2539	1171	1232	2438	655	1729	2432
"VA"	2008	15301	51015	301	"AUGUSTA COUNTY"	"FORT DEFIANCE"	17	43	26	2749	576	1383	1991	903	996	1929	494	1398	1924
"VA"	2008	15501	51015	501	"AUGUSTA COUNTY"	"GREENVILLE"	17	38	26	1801	335	1011	1357	586	704	1306	280	988	1286
"VA"	2008	15101	51015	101	"AUGUSTA COUNTY"	"JOLIVUE"	17	38	26	1494	349	641	999	507	442	964	291	658	962
"VA"	2008	15603	51015	603	"AUGUSTA COUNTY"	"LYNDHURST"	17	43	26	1614	376	825	1215	545	634	1191	298	853	1175
"VA"	2008	15502	51015	502	"AUGUSTA COUNTY"	"MIDDLEBROOK"	17	42	26	1054	216	563	791	326	415	756	165	583	760
"VA"	2008	15303	51015	303	"AUGUSTA COUNTY"	"MOUNT SOLON"	17	38	26	1253	179	719	911	331	529	874	151	709	880
"VA"	2008	15202	51015	202	"AUGUSTA COUNTY"	"NEW HOPE"	17	43	26	1683	338	923	1279	614	605	1238	294	923	1233
"VA"	2008	15302	51015	302	"AUGUSTA COUNTY"	"NORTH RIVER"	17	38	26	862	156	465	628	276	325	611	124	460	598
"VA"	2008	15601	51015	601	"AUGUSTA COUNTY"	"SHERANDO"	17	42	26	1468	311	758	1076	467	566	1040	252	776	1038
"VA"	2008	15503	51015	503	"AUGUSTA COUNTY"	"SPOTTSWOOD"	17	42	26	1062	234	546	790	370	385	768	202	556	769
"VA"	2008	15602	51015	602	"AUGUSTA COUNTY"	"STUARTS DRAFT"	17	38	26	3455	719	1768	2516	1102	1285	2411	640	1727	2410
"VA"	2008	15103	51015	103	"AUGUSTA COUNTY"	"VERONA"	17	43	26	2788	575	1202	1806	842	854	1728	482	1215	1731
"VA"	2008	15203	51015	203	"AUGUSTA COUNTY"	"WEYERS CAVE"	17	43	26	2158	472	1145	1637	709	862	1595	404	1157	1583
"VA"	2008	15504	51015	504	"AUGUSTA COUNTY"	"WHITE HILL"	17	42	26	1895	353	989	1356	569	745	1331	296	1008	1326
"VA"	2008	15803	51015	803	"AUGUSTA COUNTY"	"WILSON"	17	43	26	2154	502	976	1495	753	671	1446	419	983	1426
"VA"	2008	17302	51017	302	"BATH COUNTY"	"BURNSVILLE"	17	29	27	169	40	61	105	49	47	97	21	69	93
"VA"	2008	17301	51017	301	"BATH COUNTY"	"FAIRVIEW"	17	29	27	493	95	226	326	173	142	319	70	240	315
"VA"	2008	17501	51017	501	"BATH COUNTY"	"HEALING SPRINGS"	17	29	27	676	204	252	465	302	142	449	124	306	440
"VA"	2008	17201	51017	201	"BATH COUNTY"	"HOT SPRINGS"	17	29	27	705	238	185	427	320	98	419	141	259	406
"VA"	2008	17401	51017	401	"BATH COUNTY"	"MILLBORO"	17	29	27	702	181	272	462	310	154	466	128	324	458
"VA"	2008	17102	51017	102	"BATH COUNTY"	"MOUNTAIN GROVE"	17	29	27	102	24	51	79	38	39	80	11	64	79
"VA"	2008	17101	51017	101	"BATH COUNTY"	"WARM SPRINGS"	17	29	27	532	158	191	351	215	124	344	108	225	339
"VA"	2008	19703	51019	703	"BEDFORD COUNTY"	"BEDFORD CHRISTIAN CHURCH"	16	36	25	1766	480	782	1281	697	542	1252	514	739	1253
"VA"	2008		51019	302	"BEDFORD COUNTY"	"BEDFORD COUNTY PSA"					348	641	1002	566	411	987	414	570	984
"VA"	2008	19303	51019	303	"BEDFORD COUNTY"	"BETHESDA METHODIST CHURCH"	16	40	25	840	199	428	638	304	322	632	226	401	627
"VA"	2008	19502	51019	502	"BEDFORD COUNTY"	"BIG ISLAND ELEM SCHOOL"	17	36	25	731	186	278	470	280	180	464	137	298	446
"VA"	2008	19204	51019	204	"BEDFORD COUNTY"	"BODY CAMP ELEM SCHOOL"	16	40	25	475	142	192	337	225	105	335	146	182	328
"VA"	2008	19505	51019	505	"BEDFORD COUNTY"	"BOONSBORO ELEMENTARY SCHOOL"	17	36	25	2201	474	1077	1568	810	728	1555	362	1151	1538
"VA"	2008	19506	51019	506	"BEDFORD COUNTY"	"BOONSBORO RURITAN CLUB"	17	36	25	2144	401	1139	1551	677	838	1528	344	1162	1522
"VA"	2008	19103	51019	103	"BEDFORD COUNTY"	"CHAMBLISSBURG FIRST AID BLDG"	16	40	25	932	230	417	651	355	283	641	258	379	637
"VA"	2008	19401	51019	401	"BEDFORD COUNTY"	"FOREST ELEM SCHOOL"	17	36	25	2404	374	1321	1717	700	985	1699	335	1343	1689
"VA"	2008	19304	51019	304	"BEDFORD COUNTY"	"FOREST YOUTH ATHLETIC ASSOC"	17	36	25	1054	179	586	772	347	408	759	139	604	753
"VA"	2008	19701	51019	701	"BEDFORD COUNTY"	"GOODE RESCUE SQUAD"	16	36	25	1905	316	1113	1442	547	858	1415	377	1045	1422
"VA"	2008	19101	51019	101	"BEDFORD COUNTY"	"GOODVIEW ELEM SCHOOL"	16	36	25	3930	872	1733	2638	1412	1170	2606	1065	1523	2590
"VA"	2008	19102	51019	102	"BEDFORD COUNTY"	"HARDY FIRE & RESCUE"	16	36	25	998	237	459	710	395	306	702	284	409	694
"VA"	2008	19305	51019	305	"BEDFORD COUNTY"	"HUDDLESTON ELEM SCHOOL"	16	40	25	829	189	387	580	314	260	575	196	367	563
"VA"	2008	19403	51019	403	"BEDFORD COUNTY"	"KNIGHTS OF COLUMBUS BLDG"	17	40	25	2541	516	1284	1818	810	977	1800	409	1358	1783
"VA"	2008	19702	51019	702	"BEDFORD COUNTY"	"LIBERTY HIGH SCHOOL"	16	36	25	2016	468	926	1407	780	590	1386	495	878	1374
"VA"	2008	19203	51019	203	"BEDFORD COUNTY"	"MONETA ELEM SCHOOL"	16	40	25	3026	710	1294	2032	1060	910	1991	782	1209	1991
"VA"	2008	19601	51019	601	"BEDFORD COUNTY"	"MONTVALE ELEM SCHOOL"	17	36	25	1664	385	756	1158	621	510	1143	329	764	1118
"VA"	2008	19301	51019	301	"BEDFORD COUNTY"	"NEW LONDON ACADEMY"	17	40	25	2946	477	1677	2165	915	1224	2148	377	1717	2121
"VA"	2008	19504	51019	504	"BEDFORD COUNTY"	"ODD FELLOWS HALL"	17	36	25	364	90	189	280	141	130	272	62	196	265
"VA"	2008	19507	51019	507	"BEDFORD COUNTY"	"PLEASANT VIEW"	17	40	25	226	47	97	145	82	62	145	42	100	143
"VA"	2008	19604	51019	604	"BEDFORD COUNTY"	"SAUNDERS GROVE BRETHERN CHURCH"	16	40	25	332	78	167	245	131	107	238	88	155	243
"VA"	2008	19205	51019	205	"BEDFORD COUNTY"	"SAUNDERS VOL FIRE DEPT"	16	40	25	1771	351	862	1221	637	560	1205	429	765	1194
