state	year	fips	county	precinct	ward	cd	ld_name	ld_code	sd	mcd	mcd_code	precinct_code	vtd	g2000_BALL_tv	g2000_USP_rv	g2000_USP_dv	g2000_USP_tv	g2000_USS_rv	g2000_USS_dv	g2000_USS_tv	g2000_USH_rv	g2000_USH_dv	g2000_USH_tv	g2000_STS_rv	g2000_STS_dv	g2000_STS_tv	g2000_STH_rv	g2000_STH_dv	g2000_STH_tv
"MN"	2000	40005	2	"ANDOVER P-1"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	5	20005	1681	931	668	1691	920	629	1702	873	721	1674	884	595	1598	988	603	1591
"MN"	2000	40010	2	"ANDOVER P-3"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	10	20010	1605	879	648	1613	867	593	1619	823	698	1601	839	564	1519	987	512	1499
"MN"	2000	40015	2	"ANDOVER P-6"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	15	20015	2513	1474	957	2523	1438	890	2517	1358	1051	2493	1429	776	2385	1593	769	2362
"MN"	2000	40016	2	"ANDOVER P-8"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	16	20016	1148	681	424	1148	674	403	1149	614	482	1130	639	389	1093	719	351	1070
"MN"	2000	40020	2	"ANDOVER P-7"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	20	20020	1538	959	512	1538	921	510	1550	893	582	1533	914	454	1465	1033	418	1451
"MN"	2000	40021	2	"ANDOVER P-2"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	21	20021	1673	913	669	1691	889	623	1698	860	728	1666	846	608	1593	1023	561	1584
"MN"	2000	40022	2	"ANDOVER P-4"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	22	20022	807	443	327	813	431	307	800	424	333	791	451	263	767	485	263	748
"MN"	2000	40023	2	"ANDOVER P-5"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	23	20023	1197	597	535	1207	600	482	1213	567	562	1197	546	503	1141	666	456	1122
"MN"	2000	40024	2	"ANDOVER P-9"	"0"	6	"50B"	100	50	"ANDOVER CITY"	4	24	20024	1303	698	530	1319	704	486	1317	649	579	1292	646	477	1237	757	460	1217
"MN"	2000	50025	2	"ANOKA P-1"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	25	20025	845	387	399	846	372	394	857	353	433	836	373	432	805	435	361	796
"MN"	2000	50030	2	"ANOKA P-2"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	30	20030	1083	574	440	1089	539	447	1100	533	487	1086	549	494	1043	614	423	1037
"MN"	2000	50035	2	"ANOKA P-3"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	35	20035	1097	531	510	1095	549	453	1107	485	559	1082	511	543	1054	632	428	1060
"MN"	2000	50040	2	"ANOKA P-4"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	40	20040	1026	470	490	1037	463	475	1034	445	536	1013	467	512	979	525	450	975
"MN"	2000	50045	2	"ANOKA P-5"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	45	20045	1040	458	499	1060	463	483	1054	444	533	1043	479	524	1003	565	437	1002
"MN"	2000	50050	2	"ANOKA P-6"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	50	20050	882	386	427	890	361	433	888	374	431	871	369	453	822	430	392	822
"MN"	2000	50055	2	"ANOKA P-7"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	55	20055	1081	477	543	1098	493	506	1084	474	544	1072	490	546	1036	544	484	1028
"MN"	2000	50056	2	"ANOKA P-8"	"0"	6	"49A"	97	49	"ANOKA CITY"	5	56	20056	1073	495	520	1079	481	503	1080	470	555	1069	544	505	1049	550	479	1029
"MN"	2000	150060	2	"BETHEL P-1"	"0"	6	"50A"	99	50	"BETHEL CITY"	15	60	20060	194	98	74	198	85	78	207	77	89	196	72	76	181	97	73	182
"MN"	2000	200065	2	"BLAINE D-1 P-1"	"1"	6	"53A"	105	53	"BLAINE CITY"	20	65	20065	696	329	330	698	329	314	698	323	337	690	331	313	644	339	297	636
"MN"	2000	200070	2	"BLAINE D-1 P-2"	"1"	6	"51A"	101	51	"BLAINE CITY"	20	70	20070	1524	726	721	1537	713	657	1536	686	726	1500	673	746	1419	733	700	1433
"MN"	2000	200075	2	"BLAINE D-1 P-3"	"1"	6	"48B"	96	48	"BLAINE CITY"	20	75	20075	887	319	494	897	320	470	898	304	498	876	268	535	803	218	461	837
"MN"	2000	200080	2	"BLAINE D-1 P-4"	"1"	6	"48B"	96	48	"BLAINE CITY"	20	80	20080	1032	381	582	1045	371	556	1046	357	599	1034	307	644	951	264	573	977
"MN"	2000	200085	2	"BLAINE D-2 P-1"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	85	20085	1342	645	611	1342	646	571	1352	632	631	1349	557	699	1256	708	577	1285
"MN"	2000	200086	2	"BLAINE D-2 P-1A"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	86	20086	967	455	463	972	473	395	973	402	492	954	402	499	901	457	455	912
"MN"	2000	200090	2	"BLAINE D-2 P-2"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	90	20090	780	456	298	784	429	300	780	437	312	755	405	322	727	470	264	734
"MN"	2000	200091	2	"BLAINE D-2 P-2A"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	91	20091	962	487	431	969	501	406	967	475	450	957	483	436	919	499	428	927
"MN"	2000	200095	2	"BLAINE D-2 P-3"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	95	20095	1099	466	570	1105	481	523	1100	454	563	1079	395	616	1011	565	482	1047
"MN"	2000	200100	2	"BLAINE D-2 P-4"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	100	20100	1281	538	660	1290	555	610	1294	521	680	1281	457	739	1196	551	672	1223
"MN"	2000	200105	2	"BLAINE D-3 P-1"	"3"	6	"50B"	100	50	"BLAINE CITY"	20	105	20105	1388	676	630	1395	678	602	1395	659	642	1385	608	565	1269	651	559	1210
"MN"	2000	200110	2	"BLAINE D-3 P-2"	"3"	6	"51A"	101	51	"BLAINE CITY"	20	110	20110	1773	890	788	1776	873	750	1784	855	812	1765	828	863	1691	948	760	1708
"MN"	2000	200111	2	"BLAINE D-3 P-2A"	"3"	6	"51A"	101	51	"BLAINE CITY"	20	111	20111	551	268	248	554	261	231	559	258	256	548	251	276	527	266	263	529
"MN"	2000	200115	2	"BLAINE D-3 P-3"	"3"	6	"51A"	101	51	"BLAINE CITY"	20	115	20115	1623	732	819	1634	713	762	1639	692	846	1622	658	864	1522	769	785	1554
"MN"	2000	200120	2	"BLAINE D-3 P-4"	"3"	6	"51A"	101	51	"BLAINE CITY"	20	120	20120	1102	495	544	1112	497	477	1118	498	537	1117	428	605	1033	491	579	1070
"MN"	2000	200121	2	"BLAINE D-3 P-5"	"3"	6	"51A"	101	51	"BLAINE CITY"	20	121	20121	828	343	440	831	349	397	843	324	433	829	309	475	784	340	449	789
"MN"	2000	200124	2	"BLAINE D-1 P-5"	"1"	6	"51A"	101	51	"BLAINE CITY"	20	124	20124	819	311	463	828	329	425	818	324	440	816	300	481	781	365	415	780
"MN"	2000	250125	2	"BURNS TWP."	"0"	6	"50A"	99	50	"BURNS TOWNSHIP"	25	125	20125	1866	1096	648	1885	1081	614	1880	1010	745	1869	945	632	1753	1122	525	1764
"MN"	2000	200126	2	"BLAINE D-1 P-6"	"1"	6	"51A"	101	51	"BLAINE CITY"	20	126	20126	925	420	463	928	411	420	930	241	351	622	352	527	879	448	439	887
"MN"	2000	200127	2	"BLAINE D-1 P-7"	"1"	6	"51A"	101	51	"BLAINE CITY"	20	127	20127	634	229	368	638	248	333	636	271	422	741	219	375	594	300	301	601
"MN"	2000	200128	2	"BLAINE D-2 P-5"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	128	20128	743	296	408	746	263	402	746	315	491	870	236	457	693	335	367	702
"MN"	2000	200129	2	"BLAINE D-2 P-6"	"2"	6	"51A"	101	51	"BLAINE CITY"	20	129	20129	866	346	452	878	319	453	879	778	709	1555	309	515	824	367	472	839
"MN"	2000	300130	2	"CENTERVILLE P-1"	"0"	6	"51B"	102	51	"CENTERVILLE CITY"	30	130	20130	1579	827	673	1591	825	610	1589	389	581	1024	768	727	1495	909	565	1474
"MN"	2000	350135	2	"CIRCLE PINES P-1"	"0"	6	"53A"	105	53	"CIRCLE PINES CITY"	35	135	20135	1028	390	550	1037	405	522	1046	689	743	1494	380	610	990	411	566	977
"MN"	2000	350140	2	"CIRCLE PINES P-2"	"0"	6	"53A"	105	53	"CIRCLE PINES CITY"	35	140	20140	1514	722	712	1516	683	699	1519	447	780	1315	752	655	1407	767	640	1407
"MN"	2000	400145	2	"COLUMBIA HEIGHTS P-1"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	145	20145	1321	447	747	1346	446	715	1345	345	608	1051	420	840	1260	466	704	1264
"MN"	2000	400150	2	"COLUMBIA HEIGHTS P-2"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	150	20150	1048	328	604	1059	342	567	1078	378	756	1210	318	685	1003	376	546	1002
"MN"	2000	400155	2	"COLUMBIA HEIGHTS P-3"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	155	20155	1242	366	791	1246	342	773	1249	396	614	1088	328	850	1178	428	685	1173
"MN"	2000	400160	2	"COLUMBIA HEIGHTS P-4"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	160	20160	1109	415	619	1120	386	607	1119	443	735	1238	398	639	1037	446	538	1050
"MN"	2000	400165	2	"COLUMBIA HEIGHTS P-5"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	165	20165	1274	433	762	1282	414	757	1283	484	585	1103	408	789	1197	492	660	1197
"MN"	2000	400170	2	"COLUMBIA HEIGHTS P-6"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	170	20170	1121	462	586	1127	452	582	1120	389	487	918	424	661	1085	531	519	1090
"MN"	2000	400180	2	"COLUMBIA HEIGHTS P-7"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	180	20180	1206	408	722	1220	391	702	1206	434	678	1192	383	760	1143	466	629	1158
"MN"	2000	400185	2	"COLUMBIA HEIGHTS P-8"	"0"	6	"52A"	103	52	"COLUMBIA HEIGHTS CITY"	40	185	20185	1180	371	709	1187	387	673	1201	377	709	1182	358	780	1138	422	640	1137
"MN"	2000	450190	2	"COLUMBUS TWP."	"0"	6	"50A"	99	50	"COLUMBUS TOWNSHIP"	45	190	20190	2186	1163	872	2206	1111	867	2196	1076	983	2173	1050	816	2054	1103	783	2066
"MN"	2000	500195	2	"COON RAPIDS W-1 P-1"	"1"	6	"49B"	98	49	"COON RAPIDS CITY"	50	195	20195	1106	511	544	1111	490	521	1106	490	545	1089	487	557	1044	480	560	1040
"MN"	2000	500200	2	"COON RAPIDS W-1 P-2"	"1"	6	"49B"	98	49	"COON RAPIDS CITY"	50	200	20200	1566	722	767	1574	701	722	1580	695	791	1544	663	838	1501	701	786	1487
"MN"	2000	500205	2	"COON RAPIDS W-4 P-3"	"4"	6	"49B"	98	49	"COON RAPIDS CITY"	50	205	20205	1146	498	587	1155	483	553	1158	498	601	1147	505	595	1100	486	609	1095
"MN"	2000	500210	2	"COON RAPIDS W-4 P-4"	"4"	6	"49B"	98	49	"COON RAPIDS CITY"	50	210	20210	866	348	458	871	326	471	874	346	474	868	360	477	837	368	462	830
"MN"	2000	500215	2	"COON RAPIDS W-4 P-5"	"4"	6	"49A"	97	49	"COON RAPIDS CITY"	50	215	20215	1237	602	568	1252	603	547	1250	557	639	1236	554	634	1188	634	555	1189
"MN"	2000	500220	2	"COON RAPIDS W-1 P-3"	"1"	6	"49A"	97	49	"COON RAPIDS CITY"	50	220	20220	2500	1287	1108	2514	1287	1015	2510	1217	1151	2454	1261	1138	2399	1301	1049	2350
"MN"	2000	500221	2	"COON RAPIDS W-1 P-4"	"1"	6	"49A"	97	49	"COON RAPIDS CITY"	50	221	20221	1840	1013	757	1850	979	702	1843	948	813	1815	909	866	1775	1039	729	1768
"MN"	2000	500230	2	"COON RAPIDS W-2 P-1"	"2"	6	"49A"	97	49	"COON RAPIDS CITY"	50	230	20230	1748	822	836	1754	789	811	1767	776	878	1738	794	867	1661	804	838	1642
"MN"	2000	500235	2	"COON RAPIDS W-5 P-2"	"5"	6	"49B"	98	49	"COON RAPIDS CITY"	50	235	20235	961	400	497	973	405	470	968	390	505	953	393	531	924	402	520	922
"MN"	2000	500240	2	"COON RAPIDS W-5 P-3"	"5"	6	"49B"	98	49	"COON RAPIDS CITY"	50	240	20240	839	299	475	852	296	465	843	300	484	844	281	535	816	284	524	808
"MN"	2000	500245	2	"COON RAPIDS W-5 P-4"	"5"	6	"49B"	98	49	"COON RAPIDS CITY"	50	245	20245	1018	428	532	1021	445	489	1015	413	540	1001	410	551	961	411	539	950
"MN"	2000	500250	2	"COON RAPIDS W-2 P-2"	"2"	6	"49A"	97	49	"COON RAPIDS CITY"	50	250	20250	2137	1084	950	2158	1046	935	2134	1046	1022	2110	1106	961	2067	1104	953	2057
"MN"	2000	500255	2	"COON RAPIDS W-2 P-4"	"2"	6	"49B"	98	49	"COON RAPIDS CITY"	50	255	20255	1386	605	706	1402	598	680	1397	583	733	1372	578	756	1334	569	750	1319
"MN"	2000	500260	2	"COON RAPIDS W-2 P-3"	"2"	6	"49B"	98	49	"COON RAPIDS CITY"	50	260	20260	773	346	382	780	349	354	775	336	391	759	294	438	732	325	403	728
"MN"	2000	500265	2	"COON RAPIDS W-4 P-1"	"4"	6	"49B"	98	49	"COON RAPIDS CITY"	50	265	20265	1147	512	565	1159	497	556	1152	500	588	1154	490	615	1105	487	611	1098
"MN"	2000	500270	2	"COON RAPIDS W-3 P-2"	"3"	6	"49B"	98	49	"COON RAPIDS CITY"	50	270	20270	1352	589	686	1359	581	663	1361	596	690	1344	619	674	1293	604	696	1300
"MN"	2000	500275	2	"COON RAPIDS W-3 P-3"	"3"	6	"48B"	96	48	"COON RAPIDS CITY"	50	275	20275	1702	750	845	1714	698	830	1730	718	868	1712	691	893	1584	598	766	1624
"MN"	2000	500280	2	"COON RAPIDS W-3 P-4"	"3"	6	"48B"	96	48	"COON RAPIDS CITY"	50	280	20280	1487	637	759	1492	622	735	1507	630	769	1489	567	818	1385	476	751	1424
"MN"	2000	500285	2	"COON RAPIDS W-3 P-1"	"3"	6	"49B"	98	49	"COON RAPIDS CITY"	50	285	20285	1232	589	563	1229	572	541	1247	563	602	1209	575	595	1170	581	583	1164
"MN"	2000	500290	2	"COON RAPIDS W-5 P-5"	"5"	6	"49B"	98	49	"COON RAPIDS CITY"	50	290	20290	1574	700	782	1587	685	749	1583	676	802	1550	689	803	1492	700	781	1481
"MN"	2000	500292	2	"COON RAPIDS W-5 P-1"	"5"	6	"49B"	98	49	"COON RAPIDS CITY"	50	292	20292	1033	520	450	1037	511	423	1031	503	462	1007	495	473	968	504	465	969
"MN"	2000	510295	2	"EAST BETHEL P-1"	"0"	6	"50A"	99	50	"EAST BETHEL CITY"	51	295	20295	1522	822	592	1551	804	567	1561	702	720	1544	686	602	1454	818	547	1457
"MN"	2000	510300	2	"EAST BETHEL P-2"	"0"	6	"50A"	99	50	"EAST BETHEL CITY"	51	300	20300	1792	906	767	1811	922	708	1820	836	837	1807	762	713	1706	896	682	1701
"MN"	2000	510301	2	"EAST BETHEL P-3"	"0"	6	"50A"	99	50	"EAST BETHEL CITY"	51	301	20301	1524	760	644	1548	757	612	1538	703	711	1532	667	580	1443	792	540	1445
"MN"	2000	550305	2	"FRIDLEY W-1 P-1"	"1"	6	"48B"	96	48	"FRIDLEY CITY"	55	305	20305	1228	546	624	1236	494	607	1226	504	657	1199	465	674	1139	412	617	1185
"MN"	2000	550310	2	"FRIDLEY W-1 P-2"	"1"	6	"48B"	96	48	"FRIDLEY CITY"	55	310	20310	1406	558	757	1413	530	770	1417	573	757	1392	506	824	1330	481	707	1380
"MN"	2000	550315	2	"FRIDLEY W-1 P-3"	"1"	6	"52A"	103	52	"FRIDLEY CITY"	55	315	20315	1197	411	694	1205	402	677	1201	414	694	1180	391	725	1116	424	658	1136
"MN"	2000	550320	2	"FRIDLEY W-1 P-4"	"1"	6	"52A"	103	52	"FRIDLEY CITY"	55	320	20320	1021	405	552	1026	384	539	1031	394	567	1029	365	613	978	443	506	998
"MN"	2000	550330	2	"FRIDLEY W-2 P-1"	"2"	6	"48B"	96	48	"FRIDLEY CITY"	55	330	20330	1031	407	562	1037	404	525	1052	403	561	1038	353	596	949	330	498	987
"MN"	2000	550335	2	"FRIDLEY W-2 P-2"	"2"	6	"48B"	96	48	"FRIDLEY CITY"	55	335	20335	952	382	508	953	358	502	954	388	501	935	324	566	890	278	474	911
"MN"	2000	550340	2	"FRIDLEY W-2 P-3"	"2"	6	"48B"	96	48	"FRIDLEY CITY"	55	340	20340	1408	587	730	1417	549	715	1416	571	751	1382	504	824	1328	411	693	1380
"MN"	2000	550345	2	"FRIDLEY W-2 P-4"	"2"	6	"52A"	103	52	"FRIDLEY CITY"	55	345	20345	1423	615	720	1435	579	715	1432	636	701	1397	603	759	1362	665	650	1367
"MN"	2000	550350	2	"FRIDLEY W-3 P-1"	"3"	6	"48B"	96	48	"FRIDLEY CITY"	55	350	20350	1003	381	539	1010	394	519	1011	371	540	1001	341	572	913	290	480	946
"MN"	2000	550355	2	"FRIDLEY W-3 P-2"	"3"	6	"48B"	96	48	"FRIDLEY CITY"	55	355	20355	1287	554	643	1301	522	622	1303	548	665	1287	514	707	1221	428	577	1255
"MN"	2000	550360	2	"FRIDLEY W-3 P-3"	"3"	6	"52A"	103	52	"FRIDLEY CITY"	55	360	20360	974	348	532	983	349	495	993	366	530	972	357	544	901	342	508	910
"MN"	2000	550365	2	"FRIDLEY W-3 P-4"	"3"	6	"52A"	103	52	"FRIDLEY CITY"	55	365	20365	977	340	572	987	323	537	1002	324	586	964	318	603	921	350	530	929
"MN"	2000	650370	2	"HAM LAKE P-1"	"0"	6	"50B"	100	50	"HAM LAKE CITY"	65	370	20370	835	432	360	840	439	310	851	395	391	836	368	323	800	413	354	767
"MN"	2000	650375	2	"HAM LAKE P-2"	"0"	6	"50B"	100	50	"HAM LAKE CITY"	65	375	20375	1172	698	425	1175	648	439	1179	658	461	1161	674	347	1122	713	381	1094
