state	year	cd	county	town	ward_precinct	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"ME"	2010	2	"ARO"	"AMITY"	"1-1"	9	46	79	48	31	79
"ME"	2010	2	"ARO"	"ASHLAND"	"1-1"	73	127	380	157	224	381
"ME"	2010	2	"ARO"	"BANCROFT"	"1-1"	5	11	27	15	12	27
"ME"	2010	2	"ARO"	"BLAINE"	"1-1"	25	192	318	180	130	310
"ME"	2010	2	"ARO"	"BRIDGEWATER"	"1-1"	25	94	218	97	117	214
"ME"	2010	2	"ARO"	"CARIBOU"	"1-1"	521	1211	2889	1256	1601	2857
"ME"	2010	2	"ARO"	"CARY PLT"	"1-1"	7	51	87	49	32	81
"ME"	2010	2	"ARO"	"CASTLE HILL"	"1-1"	24	80	163	100	61	161
"ME"	2010	2	"ARO"	"CASWELL"	"1-1"	27	40	119	35	86	121
"ME"	2010	2	"ARO"	"CHAPMAN"	"1-1"	30	75	184	86	99	185
"ME"	2010	2	"ARO"	"CONNOR TWP"	"1-1"	37	58	148	57	90	147
"ME"	2010	2	"ARO"	"CRYSTAL"	"1-1"	9	55	122	65	57	122
"ME"	2010	2	"ARO"	"CYR PLT"	"1-1"	5	24	38	17	19	36
"ME"	2010	2	"ARO"	"DYER BROOK"	"1-1"	12	68	121	58	59	117
"ME"	2010	2	"ARO"	"E TWP"		2	11	26	15	10	25
"ME"	2010	2	"ARO"	"EAGLE LAKE"	"1-1"	93	128	339	129	208	337
"ME"	2010	2	"ARO"	"EAST MILLINOCKET ARO TWPS"		0	0	2	1	1	2
"ME"	2010	2	"ARO"	"EASTON"	"1-1"	55	242	522	241	276	517
"ME"	2010	2	"ARO"	"FORT FAIRFIELD"	"1-1"	261	511	1327	532	789	1321
"ME"	2010	2	"ARO"	"FORT KENT"	"1-2,1-3,1-4,1-5,1-6,1-7,1-8, 1-10,1-11"	490	492	1554	448	1110	1558
"ME"	2010	2	"ARO"	"FORT KENT TWPS"		0	1	1	1	0	1
"ME"	2010	2	"ARO"	"FRENCHVILLE"	"1-1"	147	146	427	123	304	427
"ME"	2010	2	"ARO"	"GARFIELD PLT"	"1-1"	0	15	37	17	21	38
"ME"	2010	2	"ARO"	"GLENWOOD PLT"	"1-1"	0	2	3	2	1	3
"ME"	2010	2	"ARO"	"GRAND ISLE"	"1-1"	62	43	172	34	159	193
"ME"	2010	2	"ARO"	"HAMLIN"	"1-1"	21	45	99	30	67	97
"ME"	2010	2	"ARO"	"HAMMOND"	"1-1"	9	18	43	18	27	45
"ME"	2010	2	"ARO"	"HAYNESVILLE"	"1-1"	4	31	51	22	27	49
"ME"	2010	2	"ARO"	"HERSEY"	"1-1"	3	21	32	23	9	32
"ME"	2010	2	"ARO"	"HODGDON"	"1-1"	52	327	521	283	220	503
"ME"	2010	2	"ARO"	"HOULTON"	"1-1"	311	927	2022	859	1145	2004
"ME"	2010	2	"ARO"	"ISLAND FALLS"	"1-1"	57	184	388	181	207	388
"ME"	2010	2	"ARO"	"LIMESTONE"	"1-1"	107	222	630	253	368	621
"ME"	2010	2	"ARO"	"LINNEUS"	"1-1"	36	180	312	166	134	300
"ME"	2010	2	"ARO"	"LITTLETON"	"1-1"	36	208	364	188	166	354
"ME"	2010	2	"ARO"	"LUDLOW"	"1-1"	20	83	155	71	83	154
"ME"	2010	2	"ARO"	"MACWAHOC PLT"	"1-1"	7	11	36	13	23	36
"ME"	2010	2	"ARO"	"MADAWASKA"	"1-1"	690	518	1706	394	1293	1687
"ME"	2010	2	"ARO"	"MADAWASKA LAKE TWP"	"1-1"	14	44	95	43	52	95
"ME"	2010	2	"ARO"	"MAPLETON"	"1-1,1-2,1-3"	133	410	851	424	428	852
"ME"	2010	2	"ARO"	"MARS HILL"	"1-1"	62	353	610	356	244	600
"ME"	2010	2	"ARO"	"MASARDIS"	"1-1"	20	46	103	37	63	100
"ME"	2010	2	"ARO"	"MATTAWAMKEAG TWPS"		6	14	28	12	16	28
"ME"	2010	2	"ARO"	"MEDWAY ARO TWPS"		0	0	4	1	3	4
"ME"	2010	2	"ARO"	"MERRILL"	"1-1"	10	38	93	46	45	91
"ME"	2010	2	"ARO"	"MONTICELLO"	"1-1"	45	160	304	154	149	303
"ME"	2010	2	"ARO"	"MORO PLT"	"1-1"	0	22	25	19	6	25
"ME"	2010	2	"ARO"	"MORO PLT TWPS"		0	0	2	2	0	2
"ME"	2010	2	"ARO"	"NASHVILLE PLT"	"1-1"	0	4	18	9	9	18
"ME"	2010	2	"ARO"	"NEW CANADA"	"1-1"	49	81	204	71	132	203
"ME"	2010	2	"ARO"	"NEW LIMERICK"	"1-1"	27	137	268	119	142	261
"ME"	2010	2	"ARO"	"NEW SWEDEN"	"1-1"	43	90	269	100	162	262
"ME"	2010	2	"ARO"	"OAKFIELD"	"1-1"	33	133	284	137	143	280
"ME"	2010	2	"ARO"	"ORIENT"	"1-1"	10	25	70	25	42	67
"ME"	2010	2	"ARO"	"OXBOW PLT"	"1-1"	2	17	37	23	13	36
"ME"	2010	2	"ARO"	"PERHAM"	"1-1"	18	100	153	91	59	150
"ME"	2010	2	"ARO"	"PORTAGE LAKE"	"1-1"	19	90	186	84	102	186
"ME"	2010	2	"ARO"	"PRESQUE ISLE"	"1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,2-17,2-4,2-5"	581	1344	3203	1419	1747	3166
"ME"	2010	2	"ARO"	"REED PLT"	"1-1"	4	36	55	30	26	56
"ME"	2010	2	"ARO"	"SAINT AGATHA"	"1-1"	160	154	464	123	338	461
"ME"	2010	2	"ARO"	"SAINT FRANCIS"	"1-1"	91	51	200	55	144	199
"ME"	2010	2	"ARO"	"SAINT FRANCIS TWPS"		0	0	0	0	0	0
"ME"	2010	2	"ARO"	"SAINT JOHN PLT"	"1-1"	34	28	116	33	82	115
"ME"	2010	2	"ARO"	"SHERMAN"	"1-1"	41	279	521	259	256	515
"ME"	2010	2	"ARO"	"SMYRNA"	"1-1"	13	50	106	43	61	104
"ME"	2010	2	"ARO"	"STOCKHOLM"	"1-1"	28	41	116	39	78	117
"ME"	2010	2	"ARO"	"T11 R4 WELS"		2	8	17	8	9	17
"ME"	2010	2	"ARO"	"T12 R13"		2	1	3	1	2	3
"ME"	2010	2	"ARO"	"T15 R6 WELS"		0	1	3	2	1	3
"ME"	2010	2	"ARO"	"TD R2 WELS"		1	0	2	0	2	2
"ME"	2010	2	"ARO"	"VAN BUREN (inc. Van Buren Twps)"	"1-1"	220	243	746	186	555	741
"ME"	2010	2	"ARO"	"WADE"	"1-1"	6	52	108	57	50	107
"ME"	2010	2	"ARO"	"WALLAGRASS"	"1-1"	70	51	215	62	152	214
"ME"	2010	2	"ARO"	"WASHBURN"	"1-1"	72	277	583	318	260	578
"ME"	2010	2	"ARO"	"WESTFIELD"	"1-1"	34	108	211	110	96	206
"ME"	2010	2	"ARO"	"WESTMANLAND"	"1-1"	6	19	38	22	15	37
"ME"	2010	2	"ARO"	"WESTON"	"1-1"	14	68	119	67	50	117
"ME"	2010	2	"ARO"	"WINTERVILLE PLT"	"1-1"	37	24	88	30	60	90
"ME"	2010	2	"ARO"	"WOODLAND"	"1-1"	79	217	458	206	240	446
"ME"	2010	1	"CUM"	"BALDWIN"	"1-1"	69	268	629	266	344	610
"ME"	2010	1	"CUM"	"BRIDGTON"	"1-1"	415	874	2263	1136	1079	2216
"ME"	2010	1	"CUM"	"BRUNSWICK"	"1-1,2-1,3-1,4-1,5-1,6-1,7-1"	1256	1576	5554	3527	1946	5473
"ME"	2010	1	"CUM"	"BRUNSWICK"	"CENTRAL ABSENTEE"	1403	1030	3599	2308	1272	3581
"ME"	2010	1	"CUM"	"CAPE ELIZABETH"	"1-1"	862	1347	5344	3080	2203	5284
"ME"	2010	1	"CUM"	"CASCO"	"1-1"	263	668	1636	820	786	1606
"ME"	2010	1	"CUM"	"CHEBEAGUE ISLAND"	"1-1"	68	47	253	187	61	248
"ME"	2010	1	"CUM"	"CUMBERLAND"	"1-1"	549	1484	4095	2029	2027	4057
"ME"	2010	1	"CUM"	"FALMOUTH"	"1-1"	967	2123	6040	2971	2983	5955
"ME"	2010	1	"CUM"	"FREEPORT"	"1-1,2-1,3-1,4-1"	808	1134	4121	2528	1551	4079
"ME"	2010	1	"CUM"	"FRYE ISLAND"	"1-1"	11	20	39	19	20	39
"ME"	2010	1	"CUM"	"GORHAM"	"1-1"	410	931	3111	1559	1490	3049
"ME"	2010	1	"CUM"	"GORHAM"	"2-1"	240	525	1783	935	807	1742
"ME"	2010	1	"CUM"	"GORHAM"	"CENTRAL ABSENTEE"	419	567	1901	980	879	1859
"ME"	2010	1	"CUM"	"GRAY"	"1-1"	557	1538	3605	1704	1852	3556
"ME"	2010	1	"CUM"	"HARPSWELL"	"1-1"	155	290	984	562	403	965
"ME"	2010	1	"CUM"	"HARPSWELL"	"2-1"	126	338	810	418	378	796
"ME"	2010	1	"CUM"	"HARPSWELL"	"3-1"	77	160	479	256	205	461
"ME"	2010	1	"CUM"	"HARPSWELL"	"CENTRAL ABSENTEE"	191	256	655	353	291	644
"ME"	2010	1	"CUM"	"HARRISON"	"1-1"	211	503	1267	600	633	1234
"ME"	2010	1	"CUM"	"LONG ISLAND"	"1-1"	31	36	174	112	58	170
"ME"	2010	1	"CUM"	"NAPLES"	"1-1"	259	746	1706	784	892	1676
"ME"	2010	1	"CUM"	"NEW GLOUCESTER"	"1-1"	363	1195	2597	1247	1318	2565
"ME"	2010	1	"CUM"	"NORTH YARMOUTH"	"1-1"	319	754	2071	1072	979	2051
"ME"	2010	1	"CUM"	"PORTLAND"	"1-1"	677	182	1822	1530	278	1808
"ME"	2010	1	"CUM"	"PORTLAND"	"1-2,1-4"	461	162	1163	934	210	1144
"ME"	2010	1	"CUM"	"PORTLAND"	"1-3"	168	66	498	399	91	490
"ME"	2010	1	"CUM"	"PORTLAND"	"2-1"	790	198	2238	1911	305	2216
"ME"	2010	1	"CUM"	"PORTLAND"	"2-2"	487	175	1490	1213	260	1473
"ME"	2010	1	"CUM"	"PORTLAND"	"3-1"	578	394	2187	1615	552	2167
"ME"	2010	1	"CUM"	"PORTLAND"	"3-2"	529	477	2273	1585	660	2245
"ME"	2010	1	"CUM"	"PORTLAND"	"4-1"	703	576	2688	1885	769	2654
"ME"	2010	1	"CUM"	"PORTLAND"	"4-2"	351	418	1640	1067	547	1614
"ME"	2010	1	"CUM"	"PORTLAND"	"5-1"	438	361	1763	1245	491	1736
"ME"	2010	1	"CUM"	"PORTLAND"	"5-2"	466	883	2773	1580	1152	2732
"ME"	2010	1	"CUM"	"PORTLAND"	"CENTRAL ABSENTEE"	2792	1261	6194	4371	1753	6125
"ME"	2010	1	"CUM"	"POWNAL"	"1-1"	129	344	890	483	388	872
"ME"	2010	1	"CUM"	"RAYMOND"	"1-1"	336	855	2208	1108	1082	2190
"ME"	2010	1	"CUM"	"SCARBOROUGH"	"1-1,1-2,1-3"	1598	3418	9515	4637	4762	9399
"ME"	2010	1	"CUM"	"SEBAGO"	"1-1"	117	338	803	379	404	783
"ME"	2010	1	"CUM"	"SOUTH PORTLAND"	"1-1"	409	334	1642	1179	439	1618
"ME"	2010	1	"CUM"	"SOUTH PORTLAND"	"2-1"	344	309	1489	1021	447	1468
"ME"	2010	1	"CUM"	"SOUTH PORTLAND"	"3-1,4-1"	569	830	3082	1880	1171	3051
"ME"	2010	1	"CUM"	"SOUTH PORTLAND"	"5-1"	359	417	1582	990	574	1564
"ME"	2010	1	"CUM"	"SOUTH PORTLAND"	"CENTRAL ABSENTEE"	1155	865	3512	2215	1272	3487
"ME"	2010	1	"CUM"	"STANDISH"	"1-1"	529	1555	3996	1936	2005	3941
"ME"	2010	1	"CUM"	"WESTBROOK"	"1-1"	162	320	966	578	377	955
"ME"	2010	1	"CUM"	"WESTBROOK"	"2-1"	205	286	970	555	390	945
"ME"	2010	1	"CUM"	"WESTBROOK"	"3-1"	175	287	899	521	353	874
"ME"	2010	1	"CUM"	"WESTBROOK"	"4-1"	182	236	821	515	291	806
"ME"	2010	1	"CUM"	"WESTBROOK"	"5-1"	222	496	1478	834	629	1463
"ME"	2010	1	"CUM"	"WESTBROOK"	"CENTRAL ABSENTEE"	390	469	1468	831	604	1435
"ME"	2010	1	"CUM"	"WINDHAM"	"1-1"	368	1072	2820	1339	1435	2774
"ME"	2010	1	"CUM"	"WINDHAM"	"2-1"	282	823	2149	1103	1013	2116
"ME"	2010	1	"CUM"	"WINDHAM"	"CENTRAL ABSENTEE"	449	860	2149	1023	1082	2105
"ME"	2010	1	"CUM"	"YARMOUTH"	"1-1"	648	1307	4537	2460	2015	4475
"ME"	2010	2	"FRA"	"AVON"	"1-1"	30	90	202	88	106	194
"ME"	2010	2	"FRA"	"CARRABASSETT VALLEY"	"1-1"	64	121	405	145	254	399
"ME"	2010	2	"FRA"	"CARTHAGE"	"1-1"	45	93	219	83	125	208
"ME"	2010	2	"FRA"	"CHESTERVILLE"	"1-1"	88	232	545	202	335	537
"ME"	2010	2	"FRA"	"COPLIN PLT"	"1-1"	7	18	69	32	36	68
"ME"	2010	2	"FRA"	"DALLAS PLT"	"1-1"	21	74	186	67	115	182
"ME"	2010	2	"FRA"	"EUSTIS"	"1-1"	29	162	309	146	157	303
"ME"	2010	2	"FRA"	"EUSTIS FRA TWPS"		0	0	0	0	0	0
"ME"	2010	2	"FRA"	"FARMINGTON"	"1-1"	744	1288	3226	1261	1906	3167
"ME"	2010	2	"FRA"	"INDUSTRY"	"1-1"	76	188	405	185	211	396
"ME"	2010	2	"FRA"	"JAY"	"1-1"	528	897	2192	758	1426	2184
"ME"	2010	2	"FRA"	"KINGFIELD (inc. Freeman Twp)"	"1-1"	59	247	605	251	344	595
"ME"	2010	2	"FRA"	"LANG TWP"	"1-1"				1	1	2
"ME"	2010	2	"FRA"	"MADRID TWP"		9	35	84	30	51	81
"ME"	2010	2	"FRA"	"NEW SHARON"	"1-1"	121	349	718	336	367	703
"ME"	2010	2	"FRA"	"NEW VINEYARD"	"1-1"	55	196	366	189	168	357
"ME"	2010	2	"FRA"	"PHILLIPS"	"1-1"	70	193	447	168	263	431
"ME"	2010	2	"FRA"	"RANGELEY"	"1-1"	89	238	577	258	308	566
"ME"	2010	2	"FRA"	"RANGELEY PLT"	"1-1"	16	71	123	69	51	120
"ME"	2010	2	"FRA"	"SANDY RIVER PLT"	"1-1"	11	24	70	27	42	69
"ME"	2010	2	"FRA"	"STRONG"	"1-1"	72	338	609	299	280	579
"ME"	2010	2	"FRA"	"TEMPLE"	"1-1"	60	99	262	86	162	248
"ME"	2010	2	"FRA"	"WELD"	"1-1"	47	127	253	109	141	250
"ME"	2010	2	"FRA"	"WELD TWPS"		1	4	9	4	5	9
"ME"	2010	2	"FRA"	"WILTON"	"1-1"	323	786	1804	727	1059	1786
"ME"	2010	2	"FRA"	"WILTON TWPS"		6	7	19	6	13	19
"ME"	2010	2	"HAN"	"AMHERST"	"1-1"	10	64	129	76	54	130
"ME"	2010	2	"HAN"	"AURORA"	"1-1"	2	41	61	40	18	58
"ME"	2010	2	"HAN"	"AURORA TWPS"		0	2	2	1	1	2
"ME"	2010	2	"HAN"	"BAR HARBOR"	"1-1"	643	565	2395	713	1650	2363
"ME"	2010	2	"HAN"	"BEDDINGTON TWPS"		0	2	2	2	0	2
"ME"	2010	2	"HAN"	"BLUE HILL"	"1-1"	305	412	1456	530	905	1435
"ME"	2010	2	"HAN"	"BROOKLIN"	"1-1"	102	156	514	177	328	505
"ME"	2010	2	"HAN"	"BROOKSVILLE"	"1-1"	136	170	561	203	345	548
"ME"	2010	2	"HAN"	"BUCKSPORT"	"1-1"	253	687	1946	847	1069	1916
"ME"	2010	2	"HAN"	"CASTINE"	"1-1"	89	168	511	190	310	500
"ME"	2010	2	"HAN"	"CRANBERRY ISLES"	"1-1"	15	16	46	18	28	46
"ME"	2010	2	"HAN"	"CRANBERRY ISLES"	"2-1"	25	8	72	17	54	71
"ME"	2010	2	"HAN"	"DEDHAM"	"1-1"	129	341	880	404	463	867
"ME"	2010	2	"HAN"	"DEER ISLE"	"1-1"	163	293	972	355	595	950
"ME"	2010	2	"HAN"	"EASTBROOK"	"1-1"	24	86	181	90	88	178
"ME"	2010	2	"HAN"	"ELLSWORTH"	"1-1"	223	519	1272	589	660	1249
"ME"	2010	2	"HAN"	"ELLSWORTH"	"2-1"	51	221	469	227	234	461
"ME"	2010	2	"HAN"	"ELLSWORTH"	"3-1"	60	227	506	271	227	498
"ME"	2010	2	"HAN"	"ELLSWORTH"	"4-1"	161	400	1069	486	552	1038
"ME"	2010	2	"HAN"	"FLETCHERS LANDING TWP (T8 SD)"	"T8 SD"	4	27	50	31	19	50
"ME"	2010	2	"HAN"	"FRANKLIN"	"1-1"	76	279	606	310	280	590
"ME"	2010	2	"HAN"	"FRANKLIN TWPS"		0	2	4	4	0	4
"ME"	2010	2	"HAN"	"FRENCHBORO"	"1-1"	7	9	33	15	18	33
"ME"	2010	2	"HAN"	"GOULDSBORO"	"1-1"	144	320	837	374	444	818
"ME"	2010	2	"HAN"	"GREAT POND"	"1-1"	7	15	31	17	14	31
"ME"	2010	2	"HAN"	"GREAT POND TWPS"		1	0	2	2	0	2
"ME"	2010	2	"HAN"	"HANCOCK"	"1-1"	122	435	1026	484	523	1007
"ME"	2010	2	"HAN"	"LAMOINE"	"1-1"	128	353	891	433	445	878
"ME"	2010	2	"HAN"	"MARIAVILLE"	"1-1"	24	110	231	133	92	225
"ME"	2010	2	"HAN"	"MOUNT DESERT"	"1-1"	240	315	1185	429	727	1156
"ME"	2010	2	"HAN"	"ORLAND"	"1-1"	163	375	1098	456	625	1081
"ME"	2010	2	"HAN"	"OSBORN"	"1-1"	2	17	32	23	9	32
"ME"	2010	2	"HAN"	"OTIS"	"1-1"	20	192	346	212	128	340
"ME"	2010	2	"HAN"	"PENOBSCOT"	"1-1"	146	222	652	252	393	645
"ME"	2010	2	"HAN"	"SEDGWICK"	"1-1"	133	195	594	210	370	580
"ME"	2010	2	"HAN"	"SORRENTO"	"1-1"	31	56	170	62	107	169
"ME"	2010	2	"HAN"	"SOUTHWEST HARBOR"	"1-1"	190	300	887	343	535	878
"ME"	2010	2	"HAN"	"STONINGTON"	"1-1"	59	110	464	151	299	450
"ME"	2010	2	"HAN"	"SULLIVAN"	"1-1"	92	197	536	237	287	524
"ME"	2010	2	"HAN"	"SURRY"	"1-1"	139	298	818	379	434	813
"ME"	2010	2	"HAN"	"SWANS ISLAND"	"1-1"	24	86	183	96	79	175
"ME"	2010	2	"HAN"	"T10 SD"		0	1	4	1	3	4
"ME"	2010	2	"HAN"	"T3 ND"		0	2	2	2	0	2
"ME"	2010	2	"HAN"	"T7 SD"		1	0	3	1	2	3
"ME"	2010	2	"HAN"	"TREMONT"	"1-1"	143	217	664	248	404	652
"ME"	2010	2	"HAN"	"TRENTON"	"1-1"	93	240	668	285	375	660
"ME"	2010	2	"HAN"	"VERONA ISLAND"	"1-1"	31	112	269	114	152	266
"ME"	2010	2	"HAN"	"WALTHAM"	"1-1"	7	86	157	97	58	155
"ME"	2010	2	"HAN"	"WINTER HARBOR"	"1-1"	27	107	236	118	115	233
"ME"	2010	1	"KEN"	"ALBION"	"1-1"	109	553	905	383	486	869
"ME"	2010	1	"KEN"	"AUGUSTA"	"1-1"	255	339	1046	617	409	1026
"ME"	2010	1	"KEN"	"AUGUSTA"	"2-1"	285	404	1158	695	457	1152
"ME"	2010	1	"KEN"	"AUGUSTA"	"3-1"	270	568	1267	727	512	1239
"ME"	2010	1	"KEN"	"AUGUSTA"	"4-1"	336	539	1438	821	592	1413
"ME"	2010	1	"KEN"	"AUGUSTA"	"CENTRAL ABSENTEE"	987	918	2600	1573	985	2559
"ME"	2010	1	"KEN"	"BELGRADE"	"1-1"	276	783	1685	847	810	1657
"ME"	2010	2	"KEN"	"BENTON"	"1-1"	183	627	1250	515	699	1214
"ME"	2010	1	"KEN"	"CHELSEA"	"1-1"	248	517	1144	565	548	1113
"ME"	2010	1	"KEN"	"CHINA"	"1-1"	335	955	1967	965	955	1920
"ME"	2010	2	"KEN"	"CLINTON"	"1-1"	168	711	1343	638	705	1343
"ME"	2010	1	"KEN"	"FARMINGDALE"	"1-1"	288	557	1373	727	609	1336
"ME"	2010	2	"KEN"	"FAYETTE"	"1-1"	122	239	603	247	343	590
"ME"	2010	1	"KEN"	"GARDINER"	"1-1,2-1,3-1,4-1"	529	986	2506	1372	1079	2452
"ME"	2010	1	"KEN"	"HALLOWELL"	"1-1,2-1,3-1,4-1,5-1"	410	351	1416	959	445	1404
"ME"	2010	2	"KEN"	"LITCHFIELD"	"1-1"	239	729	1572	754	787	1541
"ME"	2010	1	"KEN"	"MANCHESTER"	"1-1"	269	574	1441	755	658	1414
"ME"	2010	1	"KEN"	"MONMOUTH"	"1-1"	302	857	1909	977	902	1879
"ME"	2010	1	"KEN"	"MOUNT VERNON"	"1-1"	177	350	838	451	374	825
"ME"	2010	2	"KEN"	"OAKLAND"	"1-1"	559	1320	2766	1135	1584	2719
"ME"	2010	1	"KEN"	"PITTSTON"	"1-1"	200	668	1362	700	631	1331
"ME"	2010	1	"KEN"	"RANDOLPH"	"1-1"	165	346	810	444	354	798
"ME"	2010	1	"KEN"	"READFIELD"	"1-1"	304	529	1391	778	587	1371
"ME"	2010	1	"KEN"	"ROME"	"1-1"	98	206	495	258	227	485
"ME"	2010	1	"KEN"	"SIDNEY"	"1-1"	355	1062	2067	1015	994	2009
"ME"	2010	1	"KEN"	"VASSALBORO"	"1-1"	523	951	2047	1079	932	2011
"ME"	2010	1	"KEN"	"VIENNA"	"1-1"	55	99	288	177	111	288
"ME"	2010	2	"KEN"	"WATERVILLE"	"1-1,2-1,3-1,4-1,5-1,6-1,7-1"	1521	2306	5453	1661	3682	5343
"ME"	2010	2	"KEN"	"WAYNE"	"1-1"	144	227	635	253	387	640
"ME"	2010	1	"KEN"	"WEST GARDINER"	"1-1"	253	819	1731	835	860	1698
"ME"	2010	1	"KEN"	"WINDSOR"	"1-1"	194	529	1093	520	555	1076
"ME"	2010	2	"KEN"	"WINSLOW"	"1-1,2-1,3-1,4-1,5-1"	615	1745	3536	1423	2029	3452
"ME"	2010	1	"KEN"	"WINTHROP"	"1-1"	632	1203	3086	1613	1433	3046
"ME"	2010	1	"KNO"	"APPLETON"	"1-1"	117	278	678	397	273	672
"ME"	2010	1	"KNO"	"CAMDEN"	"1-1,1-2"	745	643	2680	1815	816	2631
"ME"	2010	1	"KNO"	"CUSHING"	"1-1"	120	288	668	362	287	649
"ME"	2010	1	"KNO"	"FRIENDSHIP"	"1-1"	96	328	610	288	316	604
"ME"	2010	1	"KNO"	"HOPE"	"1-1"	116	321	812	454	345	800
"ME"	2010	1	"KNO"	"ISLE AU HAUT"	"1-1"	15	8	46	41	5	46
"ME"	2010	1	"KNO"	"MATINICUS ISLE PLT"	"1-1"	7	12	48	34	13	47
"ME"	2010	1	"KNO"	"NORTH HAVEN"	"1-1"	70	55	232	191	45	236
"ME"	2010	1	"KNO"	"OWLS HEAD"	"1-1"	147	313	815	459	344	805
"ME"	2010	1	"KNO"	"ROCKLAND"	"1-1"	698	900	2741	1770	954	2724
"ME"	2010	1	"KNO"	"ROCKPORT"	"1-1"	395	631	1872	1110	746	1856
"ME"	2010	1	"KNO"	"SAINT GEORGE"	"1-1"	335	500	1437	934	482	1416
"ME"	2010	1	"KNO"	"SOUTH THOMASTON"	"1-1"	136	294	739	427	300	728
"ME"	2010	1	"KNO"	"THOMASTON"	"1-1"	290	450	1260	787	468	1255
"ME"	2010	1	"KNO"	"UNION"	"1-1"	185	529	1155	599	542	1141
"ME"	2010	1	"KNO"	"VINALHAVEN"	"1-1"	192	122	584	436	151	587
"ME"	2010	1	"KNO"	"WARREN"	"1-1"	187	793	1584	796	776	1573
"ME"	2010	1	"KNO"	"WASHINGTON"	"1-1"	119	365	740	389	335	728
"ME"	2010	1	"LIN"	"ALNA"	"1-1"	86	148	400	226	171	397
"ME"	2010	1	"LIN"	"BOOTHBAY"	"1-1"	303	672	1790	889	879	1768
"ME"	2010	1	"LIN"	"BOOTHBAY HARBOR"	"1-1"	241	388	1166	658	507	1165
"ME"	2010	1	"LIN"	"BREMEN"	"1-1"	78	161	435	242	186	428
"ME"	2010	1	"LIN"	"BRISTOL"	"1-1"	295	595	1577	888	673	1561
"ME"	2010	1	"LIN"	"DAMARISCOTTA"	"1-1"	236	360	1083	636	431	1067
"ME"	2010	1	"LIN"	"DRESDEN"	"1-1"	164	379	849	436	398	834
"ME"	2010	1	"LIN"	"EDGECOMB"	"1-1"	114	242	655	340	301	641
"ME"	2010	1	"LIN"	"JEFFERSON"	"1-1"	210	611	1270	605	636	1241
"ME"	2010	1	"LIN"	"MONHEGAN PLT"	"1-1"	22	6	55	50	5	55
"ME"	2010	1	"LIN"	"NEWCASTLE"	"1-1"	224	350	1031	622	395	1017
"ME"	2010	1	"LIN"	"NOBLEBORO"	"1-1"	153	403	923	499	413	912
