state	year	fips_pct	fips_cnty	precinct_code	county	precinct	cd	ld	g2006_REG_tv	g2006_BALL_tv	g2006_USS_rv	g2006_USS_dv	g2006_USS_tv	g2006_USH_rv	g2006_USH_dv	g2006_USH_tv
"VA"	2006	3302	51003	302	"ALBEMARLE COUNTY"	"RED HILL"		59	2492	1468	561	886	1460	588	851	1451
"VA"	2006	3304	51003	304	"ALBEMARLE COUNTY"	"EAST IVY"	5	58	1525	717	291	416	712	315	388	704
"VA"	2006	3305	51003	305	"ALBEMARLE COUNTY"	"COUNTRY GREEN"		59	1793	1000	382	604	999	406	565	987
"VA"	2006	3401	51003	401	"ALBEMARLE COUNTY"	"SCOTTSVILLE"	5	58	1371	802	444	350	799	463	324	797
"VA"	2006	3402	51003	402	"ALBEMARLE COUNTY"	"MONTICELLO"	5	58	1472	758	388	359	750	403	342	750
"VA"	2006	3403	51003	403	"ALBEMARLE COUNTY"	"PORTERS"	5	59	1310	709	242	455	702	255	433	693
"VA"	2006	3405	51003	405	"ALBEMARLE COUNTY"	"CALE"	5	58	4011	2091	677	1387	2076	718	1330	2064
"VA"	2006	3406	51003	406	"ALBEMARLE COUNTY"	"STONE ROBINSON"	5	58	2554	1588	898	671	1580	960	593	1568
"VA"	2006	3501	51003	501	"ALBEMARLE COUNTY"	"KESWICK"	5	58	1327	759	307	433	746	319	423	749
"VA"	2006	3502	51003	502	"ALBEMARLE COUNTY"	"STONY POINT"		58	1383	849	391	445	842	400	432	840
"VA"	2006	3503	51003	503	"ALBEMARLE COUNTY"	"HOLLYMEAD"	5	58	4406	2578	1175	1362	2567	1286	1235	2543
"VA"	2006	3504	51003	504	"ALBEMARLE COUNTY"	"FREE BRIDGE"	5	57	2919	1626	623	975	1615	684	908	1612
"VA"	2006	3505	51003	505	"ALBEMARLE COUNTY"	"BURNLEY"	5	58	1348	732	336	384	727	362	352	724
"VA"	2006	3601	51003	601	"ALBEMARLE COUNTY"	"CROZET"	5	25	3363	1996	841	1121	1986	896	1063	1978
"VA"	2006	3602	51003	602	"ALBEMARLE COUNTY"	"FREE UNION"		58	1333	782	358	419	781	370	395	773
"VA"	2006	3603	51003	603	"ALBEMARLE COUNTY"	"EARLYSVILLE"	5	58	2809	1785	873	883	1773	917	831	1769
"VA"	2006	3604	51003	604	"ALBEMARLE COUNTY"	"BROWNSVILLE"		25	2605	1565	669	871	1557	736	806	1554
"VA"	2006	3605	51003	605	"ALBEMARLE COUNTY"	"YELLOW MOUNTAIN"	5	25	668	418	176	233	415	182	226	411
"VA"	2006	5101	51005	101	"ALLEGHANY COUNTY"	"ARRITT"	9	12	1002	464	237	249	335	82	397	479
"VA"	2006	5103	51005	103	"ALLEGHANY COUNTY"	"DAMERON"	9	12	365	198	108	84	140	60	123	183
"VA"	2006	5201	51005	201	"ALLEGHANY COUNTY"	"HUMPBACK BRIDGE"	6	12	613	326	165	167	227	250		250
"VA"	2006	5202	51005	202	"ALLEGHANY COUNTY"	"DOLLY ANN"	6	12	933	495	226	262	353	362		429
"VA"	2006	5301	51005	301	"ALLEGHANY COUNTY"	"CALLAGHAN"	6	12	546	282	163	119	222	212		312
"VA"	2006	5302	51005	302	"ALLEGHANY COUNTY"	"GRIFFITH"	6	12	1105	654	357	290	467	486		539
"VA"	2006	5401	51005	401	"ALLEGHANY COUNTY"	"LOW MOOR"	9	12	868	465	209	255	313	90	363	453
"VA"	2006	5402	51005	402	"ALLEGHANY COUNTY"	"JACKSON HEIGHTS"	9		687	374	190	182	289	80	285	365
"VA"	2006	5501	51005	501	"ALLEGHANY COUNTY"	"IRON GATE"	9	12	431	234	100	131	164	32	194	226
"VA"	2006	5502	51005	502	"ALLEGHANY COUNTY"	"PETERS SWITCH"	9	12	1039	581	269	303	415	129	437	566
"VA"	2006	5601	51005	601	"ALLEGHANY COUNTY"	"DISTRICT 1"	9		1404	779	357	434	498	137	633	770
"VA"	2006	5701	51005	701	"ALLEGHANY COUNTY"	"DISTRICT 2"	9		1263	551	197	342	310	90	445	535
"VA"	2006	7101	51007	101	"AMELIA COUNTY"	"NUMBER ONE"	4	61	1465	717	459	265	539	553		679
"VA"	2006	7201	51007	201	"AMELIA COUNTY"	"NUMBER TWO"	4	61	1542	850	525	322	582	647		798
"VA"	2006	7301	51007	301	"AMELIA COUNTY"	"NUMBER THREE"	4	61	1433	785	571	211	580	615		736
"VA"	2006	7401	51007	401	"AMELIA COUNTY"	"NUMBER FOUR"	4	61	1623	887	639	265	688	722		852
"VA"	2006	7501	51007	501	"AMELIA COUNTY"	"NUMBER FIVE"	4	61	1531	844	474	362	561	605		757
"VA"	2006	9101	51009	101	"AMHERST COUNTY"	"WRIGHT SHOP"	6	23	1294	677	274	383	661	316		606
"VA"	2006	9102	51009	102	"AMHERST COUNTY"	"NEW GLASGOW"	6	24	1502	749	405	322	737	478		696
"VA"	2006	9103	51009	103	"AMHERST COUNTY"	"COOLWELL"	6	23	672	342	224	106	336	258		319
"VA"	2006	9201	51009	201	"AMHERST COUNTY"	"COURT HOUSE"	6	24	2641	1519	812	661	1497	962		1401
"VA"	2006	9202	51009	202	"AMHERST COUNTY"	"TEMPERANCE"	6	24	1001	540	311	212	525	329		508
"VA"	2006	9301	51009	301	"AMHERST COUNTY"	"MONROE"	6	24	1085	618	356	237	605	417		570
"VA"	2006	9302	51009	302	"AMHERST COUNTY"	"ELON"	6	24	2365	1401	950	423	1383	1052		1324
"VA"	2006	9303	51009	303	"AMHERST COUNTY"	"PLEASANT VIEW"	6	24	625	343	206	130	338	225		326
"VA"	2006	9401	51009	401	"AMHERST COUNTY"	"AMELON"	6	24	2931	1593	943	611	1572	1092		1472
"VA"	2006	9402	51009	402	"AMHERST COUNTY"	"LONCO"		23	714	313	193	108	304	208		290
"VA"	2006	9501	51009	501	"AMHERST COUNTY"	"MADISON"	6	24	2937	1585	880	651	1556	1015		1431
"VA"	2006	11101	51011	101	"APPOMATTOX COUNTY"	"VERA"	5	59	673	372	254	123	384	275	102	383
"VA"	2006	11102	51011	102	"APPOMATTOX COUNTY"	"PAMPLIN"	5	59	1261	662	420	254	680	460	197	667
"VA"	2006	11201	51011	201	"APPOMATTOX COUNTY"	"CHAP"	5	59	725	360	233	132	368	245	115	366
"VA"	2006	11202	51011	202	"APPOMATTOX COUNTY"	"SPOUT SPRING"	5	59	1233	662	477	204	686	510	170	686
"VA"	2006	11301	51011	301	"APPOMATTOX COUNTY"	"460"	5	59	1008	576	406	159	572	442	127	573
"VA"	2006	11302	51011	302	"APPOMATTOX COUNTY"	"STONEWALL"	5	59	938	510	295	200	502	323	175	501
"VA"	2006	11401	51011	401	"APPOMATTOX COUNTY"	"COURTHOUSE"	5	59	1749	816	551	262	820	595	224	827
"VA"	2006	11501	51011	501	"APPOMATTOX COUNTY"	"OAKVILLE"	5	59	1302	747	452	273	734	495	240	743
"VA"	2006	11502	51011	502	"APPOMATTOX COUNTY"	"AGEE"	5	59	567	291	168	110	283	173	106	281
"VA"	2006	13001	51013	1	"ARLINGTON COUNTY"	"ARLINGTON"	8	49	2359	976	193	761	303	185	740	958
"VA"	2006	13002	51013	2	"ARLINGTON COUNTY"	"ASHTON HEIGHTS"	8	47	2763	1537	333	1179	292	353	1090	1506
"VA"	2006	13003	51013	3	"ARLINGTON COUNTY"	"AURORA HILLS"	8	48	2313	1262	427	818	367	436	769	1251
"VA"	2006	13004	51013	4	"ARLINGTON COUNTY"	"BALLSTON"	8	47	1878	1115	292	801	292	288	771	1101
"VA"	2006	13005	51013	5	"ARLINGTON COUNTY"	"BARCROFT"		47	2046	1145	297	825	307	299	782	1340
"VA"	2006	13006	51013	6	"ARLINGTON COUNTY"	"CRYSTAL CITY"	8	48	3547	1503	494	989	471	524	922	1447
"VA"	2006	13007	51013	7	"ARLINGTON COUNTY"	"CHERRYDALE"	8	48	2764	1539	366	1148	352	413	1040	1518
"VA"	2006	13008	51013	8	"ARLINGTON COUNTY"	"HUME"	8	48	3693	1861	577	1244	552	613	1168	1838
"VA"	2006	13009	51013	9	"ARLINGTON COUNTY"	"COLUMBIA"	8	49	2779	1339	247	1069	315	242	1028	1313
"VA"	2006	13010	51013	10	"ARLINGTON COUNTY"	"WILSON"	8	48	3236	1240	304	915	305	329	856	1219
"VA"	2006	13011	51013	11	"ARLINGTON COUNTY"	"EAST FALLS CHURCH"	8	48	1961	1168	332	805	320	359	747	1165
"VA"	2006	13012	51013	12	"ARLINGTON COUNTY"	"FAIRLINGTON"	8	45	2610	1524	438	1058	382	467	986	1495
"VA"	2006	13013	51013	13	"ARLINGTON COUNTY"	"GLEN CARLYN"	8	47	1898	906	221	654	243	217	626	882
"VA"	2006	13014	51013	14	"ARLINGTON COUNTY"	"CLARENDON"	8	47	2380	1149	332	801	268	366	726	1134
"VA"	2006	13015	51013	15	"ARLINGTON COUNTY"	"LYON PARK"	8	47	2941	1451	297	1137	268	323	1066	1464
"VA"	2006	13016	51013	16	"ARLINGTON COUNTY"	"LYON VILLAGE"	8	48	2880	1542	369	1143	318	409	1032	1515
"VA"	2006	13017	51013	17	"ARLINGTON COUNTY"	"OVERLEE KNOLLS"	8	47	2689	1626	414	1185	383	448	1082	1576
"VA"	2006	13018	51013	18	"ARLINGTON COUNTY"	"PARK LANE"	8	48	3567	1596	334	1236	288	381	1149	1572
"VA"	2006	13019	51013	19	"ARLINGTON COUNTY"	"ROSSLYN"	8	48	3460	1386	349	1024	314	365	955	1369
"VA"	2006	13020	51013	20	"ARLINGTON COUNTY"	"THRIFTON"	8	48	2795	1749	596	1127	506	645	1031	1716
"VA"	2006	13021	51013	21	"ARLINGTON COUNTY"	"VIRGINIA HIGHLANDS"	8	48	3032	1356	435	889	403	441	854	1372
"VA"	2006	13022	51013	22	"ARLINGTON COUNTY"	"ABINGDON"	8	45	2494	1365	349	999	298	379	900	1332
"VA"	2006	13023	51013	23	"ARLINGTON COUNTY"	"WESTOVER"	8	47	2096	1157	254	872	258	263	822	1167
"VA"	2006	13024	51013	24	"ARLINGTON COUNTY"	"WOODLAWN"	8	48	3648	1895	421	1431	460	435	1348	1833
"VA"	2006	13025	51013	25	"ARLINGTON COUNTY"	"ARLINGTON FOREST"	8	47	2180	1270	317	926	325	335	854	1248
"VA"	2006	13026	51013	26	"ARLINGTON COUNTY"	"FILLMORE"	8	47	3378	1526	320	1172	375	307	1144	1519
"VA"	2006	13027	51013	27	"ARLINGTON COUNTY"	"JEFFERSON"	8	47	2890	1584	373	1181	351	384	1110	1544
"VA"	2006	13028	51013	28	"ARLINGTON COUNTY"	"CLAREMONT"	8	49	3160	1454	343	1073	432	355	1021	1449
"VA"	2006	13029	51013	29	"ARLINGTON COUNTY"	"DOMINION HILLS"	8	47	2687	1648	435	1187	434	433	1119	1585
"VA"	2006	13030	51013	30	"ARLINGTON COUNTY"	"GLEBE"	8	49	2429	977	102	842	320	98	830	977
"VA"	2006	13031	51013	31	"ARLINGTON COUNTY"	"LEXINGTON"	8	47	2747	1652	428	1199	434	435	1134	1606
"VA"	2006	13032	51013	32	"ARLINGTON COUNTY"	"OAKRIDGE"	8	49	3495	1386	444	909	440	450	881	1394
"VA"	2006	13033	51013	33	"ARLINGTON COUNTY"	"ROCK SPRING"	8	48	2775	1819	602	1195	558	615	1116	1787
"VA"	2006	13034	51013	34	"ARLINGTON COUNTY"	"YORKTOWN"	8	48	2473	1540	441	1074	423	467	1001	1538
"VA"	2006	13035	51013	35	"ARLINGTON COUNTY"	"MADISON"	8	48	3103	2006	756	1232	691	811	1118	1998
"VA"	2006	13036	51013	36	"ARLINGTON COUNTY"	"MARSHALL"	8	48	3181	1861	538	1293	471	579	1185	1814
"VA"	2006	13037	51013	37	"ARLINGTON COUNTY"	"NOTTINGHAM"	8	48	2311	1518	425	1070	402	444	1006	1482
"VA"	2006	13038	51013	38	"ARLINGTON COUNTY"	"ARLINGTON VIEW"	8	47	2655	1043	206	820	283	188	805	1052
"VA"	2006	13039	51013	39	"ARLINGTON COUNTY"	"ASHLAWN"	8	47	1669	952	292	637	311	304	567	901
"VA"	2006	13040	51013	40	"ARLINGTON COUNTY"	"VIRGINIA SQUARE"	8	47	2143	1087	272	793	244	283	759	1075
"VA"	2006	13041	51013	41	"ARLINGTON COUNTY"	"WOODBURY"	8	47	2725	1141	246	879	230	285	812	1143
"VA"	2006	13042	51013	42	"ARLINGTON COUNTY"	"SHIRLINGTON"	8		2423	1183	297	860	262	307	795	1148
"VA"	2006	13043	51013	43	"ARLINGTON COUNTY"	"ARLINGTON MILL"	8	49	1889	729	152	555	303	130	559	710
"VA"	2006	13044	51013	44	"ARLINGTON COUNTY"	"DAWSON TERRACE"	8	48	2275	1163	247	906	210	258	854	1172
"VA"	2006	13045	51013	45	"ARLINGTON COUNTY"	"BUCKINGHAM"	8	47	3333	1567	359	1178	343	385	1092	1500
"VA"	2006	13046	51013	46	"ARLINGTON COUNTY"	"OAKLAND"	8	47	4446	2010	562	1414	467	624	1292	1950
"VA"	2006	13047	51013	47	"ARLINGTON COUNTY"	"FOUR MILE RUN"	8		1335	481	90	382	123	83	368	473
"VA"	2006	13048	51013	48	"ARLINGTON COUNTY"	"COURTLANDS"	8		1889	922	217	692	181	255	622	938
"VA"	2006	13049	51013	49	"ARLINGTON COUNTY"	"MONROE"	8		958	476	93	375	91	103	343	502
"VA"	2006	15101	51015	101	"AUGUSTA COUNTY"	"JOLIVUE"	6	20	1389	775	479	278	764	557		735
"VA"	2006	15102	51015	102	"AUGUSTA COUNTY"	"EXPO"	6	20	1306	596	410	170	586	448		559
"VA"	2006	15103	51015	103	"AUGUSTA COUNTY"	"VERONA"	6	25	2585	1344	871	423	1316	1034		1238
"VA"	2006	15201	51015	201	"AUGUSTA COUNTY"	"CRIMORA"	6	25	2160	1143	755	354	1117	822		1031
"VA"	2006	15202	51015	202	"AUGUSTA COUNTY"	"NEW HOPE"	6	25	1616	1019	677	311	1001	759		948
"VA"	2006	15203	51015	203	"AUGUSTA COUNTY"	"WEYERS CAVE"	6	25	2028	1278	932	312	1255	1014		1204
"VA"	2006	15301	51015	301	"AUGUSTA COUNTY"	"FORT DEFIANCE"	6	25	2612	1573	1056	462	1542	1197		1481
"VA"	2006	15302	51015	302	"AUGUSTA COUNTY"	"NORTH RIVER"	6	20	772	463	315	140	458	351		433
"VA"	2006	15303	51015	303	"AUGUSTA COUNTY"	"MOUNT SOLON"	6	20	1160	704	538	143	690	573		653
"VA"	2006	15304	51015	304	"AUGUSTA COUNTY"	"CHURCHVILLE FIRE STATION"	6	20	961	530	389	133	526	432		502
"VA"	2006	15401	51015	401	"AUGUSTA COUNTY"	"BUFFALO GAP"	6	20	1177	663	476	162	645	508		620
"VA"	2006	15402	51015	402	"AUGUSTA COUNTY"	"CHURCHVILLE LIBRARY"	6	20	1166	761	514	229	750	602		722
"VA"	2006	15403	51015	403	"AUGUSTA COUNTY"	"CRAIGSVILLE"	6	20	936	439	301	126	428	325		401
"VA"	2006	15404	51015	404	"AUGUSTA COUNTY"	"DEERFIELD"	6	20	390	185	134	42	177	141		168
"VA"	2006	15405	51015	405	"AUGUSTA COUNTY"	"CEDAR GREEN"	6	20	1226	719	460	239	705	526		652
"VA"	2006	15501	51015	501	"AUGUSTA COUNTY"	"GREENVILLE"	6	20	1707	1078	749	305	1066	831		1000
"VA"	2006	15502	51015	502	"AUGUSTA COUNTY"	"MIDDLEBROOK"	6	24	995	624	415	186	606	477		586
"VA"	2006	15503	51015	503	"AUGUSTA COUNTY"	"SPOTTSWOOD"	6	24	988	583	384	183	572	433		543
"VA"	2006	15504	51015	504	"AUGUSTA COUNTY"	"WHITE HILL"	6	24	1742	977	692	253	960	775		926
"VA"	2006	15601	51015	601	"AUGUSTA COUNTY"	"SHERANDO"	6	24	1339	731	511	197	712	556		671
"VA"	2006	15602	51015	602	"AUGUSTA COUNTY"	"STUARTS DRAFT"	6	20	3279	1906	1286	551	1865	1452		1765
"VA"	2006	15603	51015	603	"AUGUSTA COUNTY"	"LYNDHURST"	6	25	1546	942	638	291	933	721		886
"VA"	2006	15801	51015	801	"AUGUSTA COUNTY"	"DOOMS"	6	25	1745	942	659	266	927	720		862
"VA"	2006	15802	51015	802	"AUGUSTA COUNTY"	"FISHERSVILLE"	6	25	3195	1974	1257	662	1937	1467		1843
"VA"	2006	15803	51015	803	"AUGUSTA COUNTY"	"WILSON"	6	25	1950	1110	708	372	1090	822		1039
"VA"	2006	17101	51017	101	"BATH COUNTY"	"WARM SPRINGS"	6	12	556	252	160	108	273	197		252
"VA"	2006	17102	51017	102	"BATH COUNTY"	"MOUNTAIN GROVE"	6	12	107	61	45	16	62	47		61
"VA"	2006	17201	51017	201	"BATH COUNTY"	"HOT SPRINGS"	6	12	673	314	167	149	321	224		302
"VA"	2006	17301	51017	301	"BATH COUNTY"	"FAIRVIEW"	6	12	480	260	174	97	273	206		262
"VA"	2006	17302	51017	302	"BATH COUNTY"	"BURNSVILLE"	6	12	160	72	50	23	75	58		68
"VA"	2006	17401	51017	401	"BATH COUNTY"	"MILLBORO"	6	12	691	370	216	166	385	284		359
"VA"	2006	17501	51017	501	"BATH COUNTY"	"HEALING SPRINGS"	6	12	640	344	213	139	359	265		335
"VA"	2006	19101	51019	101	"BEDFORD COUNTY"	"GOODVIEW ELEM SCHOOL"	5	19	3842	1945	1249	654	1923	1352	512	1887
"VA"	2006	19102	51019	102	"BEDFORD COUNTY"	"HARDY FIRE & RESCUE"	5	19	963	531	327	198	526	357	162	520
"VA"	2006	19103	51019	103	"BEDFORD COUNTY"	"CHAMBLISSBURG FIRST AID BLDG"	5	22	855	458	282	169	452	295	140	440
"VA"	2006	19202	51019	202	"BEDFORD COUNTY"	"STAUNTON RIVER HIGH SCHOOL"	5	22	1481	772	469	272	754	515	221	753
"VA"	2006	19203	51019	203	"BEDFORD COUNTY"	"MONETA ELEM SCHOOL"	5	22	2756	1498	936	517	1465	991	459	1458
"VA"	2006	19204	51019	204	"BEDFORD COUNTY"	"BODY CAMP ELEM SCHOOL"	5	22	431	227	128	94	226	145	76	222
"VA"	2006	19205	51019	205	"BEDFORD COUNTY"	"SAUNDERS VOL FIRE DEPT"	5	22	1657	1004	637	344	989	708	267	982
"VA"	2006	19301	51019	301	"BEDFORD COUNTY"	"NEW LONDON ACADEMY"	6	22	2549	1553	1149	367	1531	1271		1463
"VA"	2006	19302	51019	302	"BEDFORD COUNTY"	"BEDFORD CO NURSING HOME"	5	19	1378	737	452	253	720	480	224	716
"VA"	2006	19303	51019	303	"BEDFORD COUNTY"	"BETHESDA METHODIST CHURCH"	5	22	820	481	328	143	476	344	122	469
"VA"	2006	19304	51019	304	"BEDFORD COUNTY"	"FOREST YOUTH ATHLETIC ASSOC"	6	19	1024	611	424	178	607	501		589
"VA"	2006	19305	51019	305	"BEDFORD COUNTY"	"HUDDLESTON ELEM SCHOOL"	5	22	786	439	293	132	428	313	108	426
"VA"	2006	19401	51019	401	"BEDFORD COUNTY"	"FOREST ELEM SCHOOL"	6	19	2086	1242	895	322	1228	1011		1191
"VA"	2006	19402	51019	402	"BEDFORD COUNTY"	"THOMAS JEFFERSON ELEM SCHOOL"	6	19	3044	1821	1254	511	1789	1453		1724
"VA"	2006	19403	51019	403	"BEDFORD COUNTY"	"KNIGHTS OF COLUMBUS BLDG"	6	22	2494	1492	1029	442	1480	1180		1418
"VA"	2006	19502	51019	502	"BEDFORD COUNTY"	"BIG ISLAND ELEM SCHOOL"	6	19	709	364	206	140	356	257		341
"VA"	2006	19503	51019	503	"BEDFORD COUNTY"	"SEDALIA CENTER"	6	19	839	490	313	151	478	365		455
"VA"	2006	19504	51019	504	"BEDFORD COUNTY"	"ODD FELLOWS HALL"	6	19	368	246	159	79	241	181		229
"VA"	2006	19505	51019	505	"BEDFORD COUNTY"	"BOONSBORO ELEMENTARY SCHOOL"	6	19	2032	1241	786	418	1225	924		1175
"VA"	2006	19506	51019	506	"BEDFORD COUNTY"	"BOONSBORO RURITAN CLUB"	6	19	1991	1186	813	350	1179	926		1129
"VA"	2006	19507	51019	507	"BEDFORD COUNTY"	"PLEASANT VIEW"	6	22	214	118	77	37	117	88		114
"VA"	2006	19601	51019	601	"BEDFORD COUNTY"	"MONTVALE ELEM SCHOOL"	6	19	1588	846	529	280	828	628		777
"VA"	2006	19602	51019	602	"BEDFORD COUNTY"	"SHADY GROVE BAPTIST CHURCH"	5	19	1700	790	499	268	775	514	238	763
"VA"	2006	19603	51019	603	"BEDFORD COUNTY"	"THAXTON ELEM SCHOOL"	5	19	1556	834	542	268	818	582	218	809
"VA"	2006	19604	51019	604	"BEDFORD COUNTY"	"SAUNDERS GROVE BRETHERN CHURCH"	5	22	292	179	119	56	179	130	45	178
"VA"	2006	19701	51019	701	"BEDFORD COUNTY"	"GOODE RESCUE SQUAD"	5	19	1728	1114	828	269	1109	868	222	1101
"VA"	2006	19702	51019	702	"BEDFORD COUNTY"	"LIBERTY HIGH SCHOOL"	5	19	1933	1101	712	363	1082	775	296	1083
"VA"	2006	19703	51019	703	"BEDFORD COUNTY"	"BEDFORD CHRISTIAN CHURCH"	5	19	1653	888	546	316	873	582	268	859
"VA"	2006	19704	51019	704	"BEDFORD COUNTY"	"SUCK SPRINGS"	5	19	610	336	216	115	334	255		312
"VA"	2006	21101	51021	101	"BLAND COUNTY"	"BASTIAN"	9	6	619	283	172	109	285	99	187	286
"VA"	2006	21102	51021	102	"BLAND COUNTY"	"CERES"	9	6	593	270	204	88	296	98	199	297
"VA"	2006	21201	51021	201	"BLAND COUNTY"	"DAVIS"	9	6	183	88	45	40	90	21	66	87
"VA"	2006	21202	51021	202	"BLAND COUNTY"	"SEDDON"	9	6	1090	559	363	201	568	185	384	569
"VA"	2006	21301	51021	301	"BLAND COUNTY"	"HOLLYBROOK"	9	6	543	256	144	106	254	78	175	253
"VA"	2006	21302	51021	302	"BLAND COUNTY"	"MECHANICSBURG"	9	6	261	148	101	48	150	53	91	144
"VA"	2006	21401	51021	401	"BLAND COUNTY"	"ROCKY GAP"	9	6	1172	463	289	168	462	144	313	457
"VA"	2006	23101	51023	101	"BOTETOURT COUNTY"	"AMSTERDAM"		17	1560	917	555	338	903	667		870
"VA"	2006	23102	51023	102	"BOTETOURT COUNTY"	"ASBURY"	6	19	2547	1615	1113	460	1596	1285		1543
"VA"	2006	23104	51023	104	"BOTETOURT COUNTY"	"TROUTVILLE"	6	19	825	461	289	159	451	361		435
"VA"	2006	23201	51023	201	"BOTETOURT COUNTY"	"BLUE RIDGE"	6	19	2287	1327	861	443	1317	1020		1266
"VA"	2006	23202	51023	202	"BOTETOURT COUNTY"	"RAINBOW FOREST"		17	1984	1188	750	414	1174	928		1133
"VA"	2006	23301	51023	301	"BOTETOURT COUNTY"	"BUCHANAN"	6	19	1637	866	475	360	849	614		799
"VA"	2006	23302	51023	302	"BOTETOURT COUNTY"	"MILL CREEK"	6	19	1042	571	367	192	564	433		541
"VA"	2006	23303	51023	303	"BOTETOURT COUNTY"	"ROARING RUN"	6	19	424	231	140	78	225	171		215
"VA"	2006	23304	51023	304	"BOTETOURT COUNTY"	"SPRINGWOOD"	6	19	881	474	297	162	468	366		458
"VA"	2006	23402	51023	402	"BOTETOURT COUNTY"	"COURTHOUSE"	6	19	1638	880	515	341	872	640		834
"VA"	2006	23403	51023	403	"BOTETOURT COUNTY"	"EAGLE ROCK"	6	19	791	433	271	148	424	328		409
"VA"	2006	23404	51023	404	"BOTETOURT COUNTY"	"GLEN WILTON"	6	19	597	317	186	120	311	240		305
"VA"	2006	23405	51023	405	"BOTETOURT COUNTY"	"ORISKANY"	6	19	69	51	31	17	48	39		47
