state	year	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	cd2	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"AL"	2000	"BALDWIN"	"Little River Rest."	23	41	64	3	0	970	1078				
"AL"	2000	"BALDWIN"	"Lottie Fire Dept."	34	61	95	3	0	1240	1401				
"AL"	2000	"BALDWIN"	"Loxley Ellisville Comm. Ctr."	143	109	259	3	0	278	308				
"AL"	2000	"BALDWIN"	"Loxley Town Hall"	166	611	797	3	0	619	662				
"AL"	2000	"BALDWIN"	"Magnolia Sprgs. Wesleyan"	367	1118	1539	3	0	1161	1269				
"AL"	2000	"BALDWIN"	"Marlow Vol Fire"	258	789	1085	3	0	718	807				
"AL"	2000	"BALDWIN"	"Miflin Comm. Ctr."	216	819	1062	3	0	877	940				
"AL"	2000	"BALDWIN"	"Orange Bch. Comm. Ctr.  #1"	468	1684	2213	3	0	649	695				
"AL"	2000	"BALDWIN"	"Orange Bch. Comm. Ctr.  #2"	0	1	1	3	0	413	476				
"AL"	2000	"BALDWIN"	"Perdido Beach Fire Hse."	91	329	427	3	0	56	72				
"AL"	2000	"BALDWIN"	"Perdido Elem. Sch."	114	283	406	3	0	541	637				
"AL"	2000	"BALDWIN"	"Pine Grove Sch."	215	452	693	3	0	829	940				
"AL"	2000	"BALDWIN"	"Rabun Fire House"	89	213	308	3	0	255	276				
"AL"	2000	"BALDWIN"	"Robertsdale City Hall"	370	1208	1612	3	0	503	542				
"AL"	2000	"BALDWIN"	"Rosinton Elem. Sch."	147	654	824	3	0	385	425				
"AL"	2000	"BALDWIN"	"S. Riverport Ch. Of God #1"	351	1391	1796	3	0	526	602				
"AL"	2000	"BALDWIN"	"S. Riverport Ch. Of God #2"	88	453	562	3	0	444	508				
"AL"	2000	"BALDWIN"	"Seminole Fire Hse."	70	219	303	3	0	437	476				
"AL"	2000	"BALDWIN"	"Silverhill Town Hall"	184	860	1082	3	0	234	273				
"AL"	2000	"BALDWIN"	"Spanish Ft. Fire Dept."	205	862	1082	3	0	186	226				
"AL"	2000	"BALDWIN"	"Spanish Ft. Sch. #1"	72	336	420	3	0	291	327				
"AL"	2000	"BALDWIN"	"Spanish Ft. Sch. #2"	310	1549	1906	3	0	429	474				
"AL"	2000	"BALDWIN"	"Stapelton Comm. Hall"	114	475	600	3	0	457	495				
"AL"	2000	"BALDWIN"	"Stockton Fire House"	43	177	225	3	0	443	502				
"AL"	2000	"BALDWIN"	"Summerdale Comm. Hall"	167	779	989	3	0	415	450				
"AL"	2000	"BALDWIN"	"Tensaw Comm. Ctr."	92	19	111	3	0	252	279				
"AL"	2000	"BALDWIN"	"Vaughn Comm. Ctr."	236	249	493	3	0	151	199				
"AL"	2000	"BALDWIN"	"White Hse. Vol. Fire"	135	466	613	3	0	175	300				
"AL"	2000	"BARBOUR"	"ABSENTEE VOTERS"	243	220	466	3	0	67	136				
"AL"	2000	"BARBOUR"	"BAKERHILL VOLUNTEER FIRE"	184	201	391	3	0	150	240				
"AL"	2000	"BARBOUR"	"BAKERS STORE"	28	60	90	3	0	81	126				
"AL"	2000	"BARBOUR"	"BEVILL CENTER"	183	463	649	3	0	379	481				
"AL"	2000	"BARBOUR"	"BLUE SPRINGS CITY HALL"	87	195	288	3	0	128	188				
"AL"	2000	"BARBOUR"	"CENTURY 21"	78	155	235	3	0	91	178				
"AL"	2000	"BARBOUR"	"CLAYTON COURTHOUSE"	641	395	1053	3	0	149	166				
"AL"	2000	"BARBOUR"	"CLIO CITY HALL"	284	274	565	3	0	612	647				
"AL"	2000	"BARBOUR"	"COGGINS STORE VOTING HOUSE"	25	49	74	3	0	759	863				
"AL"	2000	"BARBOUR"	"COWIKEE VOLUNTEER FIRE"	62	28	90	3	0	391	422				
"AL"	2000	"BARBOUR"	"ELAMVILLE VOLUNTEER FIRE"	35	74	111	3	0	1126	1252				
"AL"	2000	"BARBOUR"	"EUFAULA WATER BOARD"	548	364	921	3	0	1072	1208				
"AL"	2000	"BARBOUR"	"FELLOWSHIP BAPTIST CHURCH"	163	390	560	3	0	936	1025				
"AL"	2000	"BARBOUR"	"GREENS CROSSROADS"	67	58	126	3	0	827	875				
"AL"	2000	"BARBOUR"	"JOHNNY BOYDS STORE"	76	78	157	3	0	375	408				
"AL"	2000	"BARBOUR"	"JUNIOR TURNER STORE"	45	29	77	3	0	237	284				
"AL"	2000	"BARBOUR"	"LOUISVILLE CITY HALL"	285	209	501	3	0	666	787				
"AL"	2000	"BARBOUR"	"MCCOO SCHOOL"	633	341	982	3	0	1153	1226				
"AL"	2000	"BARBOUR"	"MT. ANDREW RECREATION CENTER"	149	28	179	3	0	1191	1313				
"AL"	2000	"BARBOUR"	"NEW ARMORY"	425	594	1025	3	0	726	803				
"AL"	2000	"BARBOUR"	"RICHARDS CABINET SHOP"	51	52	106	3	0	766	844				
"AL"	2000	"BARBOUR"	"SANFORD GYM"	467	592	1069	3	0	350	390				
"AL"	2000	"BARBOUR"	"SPRINGHILL VOLUNTEER FIRE"	237	90	328	3	0	473	504				
"AL"	2000	"BARBOUR"	"SUTTONS RESTAURANT"	73	39	112	3	0	380	416				
"AL"	2000	"BARBOUR"	"WHITE OAK METHODIST CHURCH"	119	118	240	3	0	595	645				
"AL"	2000	"BIBB"	"Absentee"	84	105	190	3	0	565	637				
"AL"	2000	"BIBB"	"Brent North"	277	649	937	3	0	427	462				
"AL"	2000	"BIBB"	"Brent-South"	421	210	637	3	0	378	427				
"AL"	2000	"BIBB"	"Cedar Grove"	133	185	322	3	0	643	715				
"AL"	2000	"BIBB"	"Centreville"	149	504	657	3	0	965	1069				
"AL"	2000	"BIBB"	"Centreville-Cent."	166	51	224	3	0	631	693				
"AL"	2000	"BIBB"	"Eoline"	83	158	250	3	0	475	542				
"AL"	2000	"BIBB"	"Furnace"	178	380	574	3	0	780	849				
"AL"	2000	"BIBB"	"Greenpond"	288	760	1075	3	0	224	251				
"AL"	2000	"BIBB"	"Harrisburg"	188	155	345	3	0	369	402				
"AL"	2000	"BIBB"	"Pondville"	19	158	178	3	0	595	683				
"AL"	2000	"BIBB"	"Randolph"	130	186	319	3	0	859	912				
"AL"	2000	"BIBB"	"Tabernacle"	26	81	109	3	0	1207	1320				
"AL"	2000	"BIBB"	"West Blockton-East"	290	311	616	3	0	682	727				
"AL"	2000	"BIBB"	"West Blockton-West"	278	380	668	3	0	556	833				
"AL"	2000	"BLOUNT"	"010-Mt. High"	246	799	1065	1	0	72	99	7	67	11	82
"AL"	2000	"BLOUNT"	"030-Smoke Rise"	180	748	958	1	0	68	81	7	135	14	150
"AL"	2000	"BLOUNT"	"050-Blount Springs"	49	174	225	1	0	52	59	7	276	191	490
"AL"	2000	"BLOUNT"	"060-Hayden"	388	1044	1466	1	0	505	611	7	78	50	131
"AL"	2000	"BLOUNT"	"090-Sugar Creek"	87	256	361	1	0	118	130	7	113	26	141
"AL"	2000	"BLOUNT"	"100-Nectar"	218	466	695	1	0	24	30	7	5	6	12
"AL"	2000	"BLOUNT"	"110-Blountsville"	499	820	1348	1	0	433	473				
"AL"	2000	"BLOUNT"	"150-Summit"	124	183	309	1	0	541	568				
"AL"	2000	"BLOUNT"	"160-Royal"	107	194	308	1	0	456	494				
"AL"	2000	"BLOUNT"	"170-Brooksville"	134	212	352	1	0	73	79				
"AL"	2000	"BLOUNT"	"180-Snead"	231	615	859	1	0	85	101				
"AL"	2000	"BLOUNT"	"200-Susan Moore"	200	565	773	1	0	296	315				
"AL"	2000	"BLOUNT"	"220-Murphree Valley"	74	228	310	1	0	200	226				
"AL"	2000	"BLOUNT"	"230-St. Mountain"	218	958	1197	1	0	175	185				
"AL"	2000	"BLOUNT"	"260-Holly Springs"	42	181	227	1	0	356	369				
"AL"	2000	"BLOUNT"	"270-Cleveland"	310	515	836	1	0	90	102				
"AL"	2000	"BLOUNT"	"290-Locust Fork"	249	682	947	1	0	104	125				
"AL"	2000	"BLOUNT"	"310-Dallas-Selfville"	253	692	960	1	0	469	556				
"AL"	2000	"BLOUNT"	"330-Remlap"	134	657	798	1	0	76	77				
"AL"	2000	"BLOUNT"	"340-Pine Mountain"	64	263	337	1	0	92	95				
"AL"	2000	"BLOUNT"	"350-Allgood"	68	299	373	1	0	380	426				
"AL"	2000	"BLOUNT"	"360-Oneonta #1"	360	623	999	1	0	60	62				
"AL"	2000	"BLOUNT"	"361-Oneonta #2"	333	606	951	1	0	455	503				
"AL"	2000	"BLOUNT"	"410-Rosa"	194	325	528	1	0	351	367				
"AL"	2000	"BLOUNT"	"420-Rock Springs"	110	285	403	1	0	212	220				
"AL"	2000	"BLOUNT"	"9001-Absentee"	105	277	388	1	0	215	235				
"AL"	2000	"BULLOCK"	"Absentee"	485	174	666								
"AL"	2000	"BULLOCK"	"Akerfoil"	113	59	173								
"AL"	2000	"BULLOCK"	"Armory-1"	181	58	242								
"AL"	2000	"BULLOCK"	"Armory-10"	159	56	219								
"AL"	2000	"BULLOCK"	"Armory-2"	102	45	148	2	134	471	615				
"AL"	2000	"BULLOCK"	"Armory-3"	182	42	225	2	30	97	129				
"AL"	2000	"BULLOCK"	"Armory-4"	97	56	156	2	13	27	40				
"AL"	2000	"BULLOCK"	"Armory-5"	184	48	234	2	21	83	109				
"AL"	2000	"BULLOCK"	"Armory-6"	91	63	157	2	42	282	332				
"AL"	2000	"BULLOCK"	"Armory-7"	130	51	184	2	78	335	417				
"AL"	2000	"BULLOCK"	"Armory-8"	69	44	114	2	61	72	136				
"AL"	2000	"BULLOCK"	"Armory-9"	186	56	250	2	36	196	239				
"AL"	2000	"BULLOCK"	"Corinth"	34	25	59	2	191	18	209				
"AL"	2000	"BULLOCK"	"Cornerstone"	175	49	226	2	133	435	584				
"AL"	2000	"BULLOCK"	"Fitzpatrick"	107	148	260	2	174	657	851				
"AL"	2000	"BULLOCK"	"Gurreyton"	64	5	70	2	104	649	774				
"AL"	2000	"BULLOCK"	"Indian Creek"	85	26	115	2	256	1468	1782				
"AL"	2000	"BULLOCK"	"Inverness"	41	50	91	2	122	551	696				
"AL"	2000	"BULLOCK"	"Midway-1"	171	21	198	2	284	1266	1583				
"AL"	2000	"BULLOCK"	"Midway-2"	183	16	207	2	12	35	47				
"AL"	2000	"BULLOCK"	"Midway-3"	98	7	105	2	123	202	337				
"AL"	2000	"BULLOCK"	"Peachburg"	85	25	110	2	67	240	313				
"AL"	2000	"BULLOCK"	"Perote"	56	69	128	2	160	646	831				
"AL"	2000	"BULLOCK"	"Post Oak"	79	152	236	2	14	31	45				
"AL"	2000	"BULLOCK"	"Sardis"	102	25	129	2	41	93	142				
"AL"	2000	"BULLOCK"	"Thompson"	61	43	105	2	327	154	492				
"AL"	2000	"BULLOCK"	"Three Notch"	75	20	97	2	372	204	586				
"AL"	2000	"BUTLER"	"ABSENTEE VOTERS"	182	160	348	2	54	195	256				
"AL"	2000	"BUTLER"	"BOLLING VOTING HOUSE"	44	66	110	2	39	79	121				
"AL"	2000	"BUTLER"	"CENTER HILL - VOTING HOUSE"	83	29	112	2	54	448	514				
"AL"	2000	"BUTLER"	"CENTRAL VOL. FIRE DEPT."	194	178	379	2	200	564	778				
"AL"	2000	"BUTLER"	"CHAPMAN POST OFFICE"	72	135	209	2	93	371	470				
"AL"	2000	"BUTLER"	"DUNBAR COMMUNITY CENTER #1"	282	97	383	2	180	143	328				
"AL"	2000	"BUTLER"	"DUNBAR COMMUNITY CENTER #2"	272	100	374	2	20	39	62				
"AL"	2000	"BUTLER"	"FOREST HOME - VOTING HOUSE"	77	93	171	2	32	137	172				
"AL"	2000	"BUTLER"	"FRIENDSHIP"	25	99	124	2	34	77	113				
"AL"	2000	"BUTLER"	"GARLAND - VOTING HOUSE"	80	84	166	2	80	290	377				
"AL"	2000	"BUTLER"	"GEORGIANA ARMORY #1"	360	193	555	2	53	191	255				
"AL"	2000	"BUTLER"	"GEORGIANA ARMORY #2"	134	99	233	2	22	61	84				
"AL"	2000	"BUTLER"	"HARRISON - VOTING HOUSE"	45	144	190	2	46	61	108				
"AL"	2000	"BUTLER"	"HEALTH DEPARTMENT #1"	198	475	683	2	77	169	249				
"AL"	2000	"BUTLER"	"HEALTH DEPARTMENT #2"	111	299	412	2	70	26	96				
"AL"	2000	"BUTLER"	"INDUSTRY"	17	105	123	2	46	129	179				
"AL"	2000	"BUTLER"	"MANNINGHAM - VOTING HOUSE"	112	67	182	2	25	24	52				
"AL"	2000	"BUTLER"	"MCKENZIE CITY HALL"	147	196	353	2	120	47	168				
"AL"	2000	"BUTLER"	"MCLAINS - VOTING HOUSE"	100	245	351	2	235	82	323				
"AL"	2000	"BUTLER"	"MIDWAY - VOTING HOUSE"	86	115	203	2	126	78	206				
"AL"	2000	"BUTLER"	"MONTEREY-OLD SCHOOL HOUSE"	18	20	38	2	27	60	93				
"AL"	2000	"BUTLER"	"NEW ARMORY #1"	292	254	548	2	37	95	138				
"AL"	2000	"BUTLER"	"NEW ARMORY #2"	370	261	633	2	45	102	151				
"AL"	2000	"BUTLER"	"PROVIDENCE - VOTING HOUSE"	156	201	358	2	224	177	414				
"AL"	2000	"BUTLER"	"ROCKY CREEK - VOTING HOUSE"	64	176	241	2	32	40	74				
"AL"	2000	"BUTLER"	"SEARCY - VOLUNTEER FIRE DEPT."	38	138	179	2	38	64	105				
"AL"	2000	"BUTLER"	"STEINERS STORE"	47	98	145	2	111	9	120				
"AL"	2000	"CALHOUN"	"1ST UNITED METHODIST-WEAVER #1"	278	453	746	2	65	146	215				
"AL"	2000	"CALHOUN"	"1ST UNITED METHODIST-WEAVER #2"	391	673	1092	2	43	62	107				
"AL"	2000	"CALHOUN"	"ABSENTEE VOTERS"	362	662	1048	2	54	98	157				
"AL"	2000	"CALHOUN"	"ALEXANDRIA-CIVITAN CLUB CNTR"	510	1107	1642	2	12	42	57				
"AL"	2000	"CALHOUN"	"ANNISTON - CARVER CENTER"	536	11	549	2	176	446	641				
"AL"	2000	"CALHOUN"	"ANNISTON - CITY AUDITORIUM"	507	34	542	2	369	119	501				
"AL"	2000	"CALHOUN"	"ANNISTON - FIRST PRESBYTERIAN"	470	508	1006	2	146	46	197				
"AL"	2000	"CALHOUN"	"ANNISTON - MENTAL HEALTH CNTR"	386	920	1341	2	173	56	233				
"AL"	2000	"CALHOUN"	"ANNISTON - THANKFUL BAPTIST"	331	32	364	2	160	139	306				
"AL"	2000	"CALHOUN"	"ANNISTON-F & WILMER FIRE ST."	545	69	619	2	101	75	179				
"AL"	2000	"CALHOUN"	"ANNISTON-GOLDEN SPRINGS COMM 1"	483	988	1508	2	90	16	107				
"AL"	2000	"CALHOUN"	"ANNISTON-GOLDEN SPRINGS COMM 2"	316	594	928	2	40	96	139				
"AL"	2000	"CALHOUN"	"ANNISTON-NATIONAL GUARD ARMORY"	247	154	405	2	97	32	131				
"AL"	2000	"CALHOUN"	"ASBERRY BAPTIST CHURCH"	215	453	687	2	70	85	158				
"AL"	2000	"CALHOUN"	"BETHEL UNITED METHODIST CHURCH"	68	125	201	2	289	741	1058				
"AL"	2000	"CALHOUN"	"BYNUM SCHOOL"	486	979	1497	2	265	631	918				
"AL"	2000	"CALHOUN"	"CALHOUN COUNTY HEALTH DEPT."	365	256	637	2	236	549	801				
"AL"	2000	"CALHOUN"	"CHOCCOLOCCO - QUAD CITIES FIRE"	218	529	761	2	229	567	815				
"AL"	2000	"CALHOUN"	"COOSA VALLEY SADDLE CLUB"	92	220	329	2	34	129	165				
"AL"	2000	"CALHOUN"	"DEARMANVILLE SCHOOL"	131	406	546	2	25	78	106				
"AL"	2000	"CALHOUN"	"EULATON-UNITED METHODIST"	277	486	776	2	13	58	72				
"AL"	2000	"CALHOUN"	"FOUR MILE - METHODIST CHURCH"	106	224	339	2	163	551	732				
"AL"	2000	"CALHOUN"	"FRIENDSHIP BAPTIST CHURCH"	185	423	630	2	265	816	1108				
"AL"	2000	"CALHOUN"	"FRIENDSHIP COMMUNITY CENTER"	244	703	967	2	161	465	639				
"AL"	2000	"CALHOUN"	"GLENWOOD MEADOWS MEETING ROOM"	413	446	883	2	38	82	123				
"AL"	2000	"CALHOUN"	"HOBSON CITY - CITY HALL"	317	13	330	2	8	28	36				
"AL"	2000	"CALHOUN"	"HOLLEYS CROSSROADS BAPTIST"	114	249	373	2	25	36	63				
"AL"	2000	"CALHOUN"	"JACKSONVILLE-FIRST BAPTIST"	432	776	1253	2	52	84	142				
"AL"	2000	"CALHOUN"	"JACKSONVILLE-WESTSIDE BAPTIST"	317	384	727	2	17	66	89				
"AL"	2000	"CALHOUN"	"LEATHERWOOD RD CIVIL DEFENSE"	354	796	1170	2	12	51	65				
"AL"	2000	"CALHOUN"	"LLOYDS CHAPEL BAPTIST CHURCH"	31	45	81	2	63	162	230				
"AL"	2000	"CALHOUN"	"MOORE AVENUE CHURCH OF CHRIST"	561	68	637	2	40	108	157				
"AL"	2000	"CALHOUN"	"NATIONAL GUARD ARMORY"	401	530	966	2	281	409	711				
"AL"	2000	"CALHOUN"	"OHATCHEE FIRE STATION"	413	617	1057	2	50	123	178				
"AL"	2000	"CALHOUN"	"OXFORD - CHEAHA CLUBHOUSE C.C."	179	344	528	2	7	98	105				
"AL"	2000	"CALHOUN"	"OXFORD - OXFORD LAKE PARK C.C."	269	349	631	2	63	145	221				
"AL"	2000	"CALHOUN"	"OXFORD CITY HALL"	235	338	588	2	22	52	74				
"AL"	2000	"CALHOUN"	"OXFORD ELEMENTARY SCHOOL #1"	329	742	1087	2	101	297	407				
"AL"	2000	"CALHOUN"	"OXFORD ELEMENTARY SCHOOL #2"	233	555	804	2	55	182	242				
"AL"	2000	"CALHOUN"	"PIEDMONT COMMUNITY BUILDING"	167	165	334	2	43	98	143				
"AL"	2000	"CALHOUN"	"PIEDMONT FIRE STATION"	242	357	614	2	22	79	104				
"AL"	2000	"CALHOUN"	"PIEDMONT NATIONAL GUARD ARMORY"	274	358	644	2	158	343	521				
"AL"	2000	"CALHOUN"	"PIEDMONT RECREATION BUILDING"	170	180	355	2	46	255	308				
"AL"	2000	"CALHOUN"	"READS MILL - READS STORE"	141	349	497	2	61	257	321				
"AL"	2000	"CALHOUN"	"S.M. MCCURRY RESIDENCE"	88	226	317	2	15	48	67				
"AL"	2000	"CALHOUN"	"SAKS - HIGH SCHOOL #1"	496	908	1434	2	149	163	324				
"AL"	2000	"CALHOUN"	"SAKS - HIGH SCHOOL #2"	476	886	1387	2	20	36	59				
"AL"	2000	"CALHOUN"	"WEBSTERS CHAPEL METHODIST"	210	333	557	2	27	103	134				
"AL"	2000	"CALHOUN"	"WELLBORN HIGH SCHOOL"	435	545	994	2	52	181	241				
"AL"	2000	"CALHOUN"	"WELLINGTON - MT.VIEW BAPTIST"	134	326	469	2	31	83	117				
"AL"	2000	"CALHOUN"	"WHITE PLAINS HIGH SCHOOL"	116	401	531	2	26	97	125				
"AL"	2000	"CALHOUN"	"WIGGINS COMMUNITY CENTER"	485	11	501	2	62	262	333				
"AL"	2000	"CHAMBERS"	"Absentee"	85	192	281	2	27	81	108				
"AL"	2000	"CHAMBERS"	"Buffalo"	114	128	246	2	26	129	159				
"AL"	2000	"CHAMBERS"	"Culebra"	166	30	198	2	84	147	235				
"AL"	2000	"CHAMBERS"	"Cusseta"	79	170	255	2	133	440	579				
"AL"	2000	"CHAMBERS"	"Fairfax"	651	889	1571	2	76	108	186				
"AL"	2000	"CHAMBERS"	"Five Points"	173	66	243	2	64	144	215				
"AL"	2000	"CHAMBERS"	"Fredonia"	108	136	255	2	266	91	364				
"AL"	2000	"CHAMBERS"	"Huguley"	294	402	714	2	77	205	288				
"AL"	2000	"CHAMBERS"	"Lafayette"	655	411	1075	2	31	96	134				
"AL"	2000	"CHAMBERS"	"Lakeview"	47	168	218	2	115	180	297				
"AL"	2000	"CHAMBERS"	"Lanett"	1507	1048	2575	2	12	91	106				
"AL"	2000	"CHAMBERS"	"Langdale"	380	443	836	2	51	79	132				
"AL"	2000	"CHAMBERS"	"Milltown"	65	67	138	2	183	313	507				
"AL"	2000	"CHAMBERS"	"Mount Olive"	55	54	112	2	73	162	237				
"AL"	2000	"CHAMBERS"	"Penton"	37	92	129	2	40	114	156				
"AL"	2000	"CHAMBERS"	"Rescue"	180	253	438	2	39	47	90				
"AL"	2000	"CHAMBERS"	"Ridge Grove"	120	142	267	2	106	267	381				
"AL"	2000	"CHAMBERS"	"River View"	274	240	522	2	135	579	737				
"AL"	2000	"CHAMBERS"	"Shawmut"	251	633	898	2	48	42	90				
"AL"	2000	"CHAMBERS"	"Sparkling Springs"	2	35	37	2	271	79	355				
"AL"	2000	"CHAMBERS"	"Standing Rock"	31	98	133	2	36	125	163				
"AL"	2000	"CHAMBERS"	"Stroud"	105	55	160	2	37	102	143				
"AL"	2000	"CHAMBERS"	"Sturkie"	146	108	257	2	35	58	97				
"AL"	2000	"CHAMBERS"	"Union Hall"	57	96	155	2	241	602	874				
"AL"	2000	"CHAMBERS"	"Waverly"	34	81	121	2	258	564	847				
"AL"	2000	"CHEROKEE"	"Absentee"	120	152	277	2	268	647	945				
"AL"	2000	"CHEROKEE"	"Adrians Store"	76	73	151	2	275	641	954				
"AL"	2000	"CHEROKEE"	"Am. Legion Bldg. #1"	357	458	827	2	363	828	1228				
"AL"	2000	"CHEROKEE"	"Am. Legion Bldg. #2"	565	592	1190	2	54	265	329				
"AL"	2000	"CHEROKEE"	"Blanch Clubhse."	46	85	137	2	54	180	242				
"AL"	2000	"CHEROKEE"	"Broomtown Fire Dept."	41	97	141	2	371	854	1268				
"AL"	2000	"CHEROKEE"	"Cedar Bluff Comm. Ctr."	348	382	747	2	150	595	781				
"AL"	2000	"CHEROKEE"	"Curtis Vaughn Store"	103	56	160	2	25	83	111				
"AL"	2000	"CHEROKEE"	"Daniels Chapel Fellowship Hall"	47	56	103	2	139	511	675				
"AL"	2000	"CHEROKEE"	"Ellisville Clubhouse"	81	53	135	2	43	320	370				
