state	year	county	precinct	vtd	g2006_GOV_rv	g2006_GOV_dv	g2006_ATG_rv	g2006_ATG_dv	g2006_SOS_dv	g2006_SOS_rv	g2006_TRE_rv	g2006_TRE_dv	g2006_USH_dv	g2006_USH_rv
"KS"	2006	"ATCHISON"	"Atchison Precinct 2 West"	"000030"	103	157	105	158	100	145	129	128	140	126
"KS"	2006	"ATCHISON"	"Atchison Precinct 3 East"	"000040"	150	269	166	252	191	213	192	206	231	188
"KS"	2006	"ATCHISON"	"Atchison Precinct 3 West"	"00005A"	159	410	187	398	287	264	250	319	350	213
"KS"	2006	"ATCHISON"	"Atchison Precinct 4"	"00006A"	91	303	111	287	214	155	144	240	273	118
"KS"	2006	"ATCHISON"	"Atchison Precinct 4 Exclave B"	"00006C"							0	0	0	
"KS"	2006	"ATCHISON"	"Atchison Precinct 5 North"	"00007A"	117	331	153	300	222	203	199	245	267	174
"KS"	2006	"ATCHISON"	"Atchison Precinct 5 South"	"00008A"	79	183	88	178	120	130	127	132	156	104
"KS"	2006	"ATCHISON"	"Benton Township"	"000090"	120	259	159	224	111	246	231	141	225	152
"KS"	2006	"ATCHISON"	"Center Township"	"000100"	109	115	125	99	51	164	151	70	105	123
"KS"	2006	"ATCHISON"	"Grasshopper Township"	"000110"	125	115	136	100	58	171	184	58	100	137
"KS"	2006	"ATCHISON"	"Huron Township"	"000120"	20	54	21	50	32	36	34	35	46	26
"KS"	2006	"ATCHISON"	"Kapioma Township"	"000130"	47	69	49	67	31	78	79	38	58	54
"KS"	2006	"ATCHISON"	"Lancaster Township"	"000140"	49	182	81	153	91	124	124	101	149	83
"KS"	2006	"ATCHISON"	"Mount Pleasant Township"	"000150"	90	182	108	170	126	137	139	132	162	114
"KS"	2006	"ATCHISON"	"Shannon Township"	"00016A"	145	307	177	280	196	240	229	212	264	191
"KS"	2006	"ATCHISON"	"Walnut Township"	"00017A"	39	115	52	101	78	66	47	98	96	54
"KS"	2006	"BARBER"	"ADVANCED"	"999998"	93	136	89	135	71	144	131	82	74	148
"KS"	2006	"BARBER"	"Aetna Township"	"000010"	2	2	2	1	2	2	3	0	0	4
"KS"	2006	"BARBER"	"Deerhead Township"	"000020"	1	3	0	4	0	3	3	1	1	3
"KS"	2006	"BARBER"	"Eagle Township"	"000030"	18	4	19	2	1	21	20	1	1	21
"KS"	2006	"BARBER"	"Elm Mills Township"	"000040"	33	23	34	21	7	48	45	11	10	45
"KS"	2006	"BARBER"	"Elwood Township"	"000050"	19	35	19	35	24	29	32	23	19	35
"KS"	2006	"BARBER"	"Hazelton Township"	"000060"	24	43	24	46	29	36	33	30	28	39
"KS"	2006	"BARBER"	"Kiowa East Township"	"000070"	121	105	105	123	46	174	173	53	35	194
"KS"	2006	"BARBER"	"Kiowa West Township"	"000080"	82	69	74	77	41	108	112	33	32	121
"KS"	2006	"BARBER"	"Lake City Township"	"000090"	11	15	11	15	9	18	20	6	8	19
"KS"	2006	"BARBER"	"McAdoo Township"	"000100"	6	2	6	3	1	7	8	0	2	6
"KS"	2006	"BARBER"	"Medicine Lodge Precinct 1"	"000110"	113	128	108	135	64	161	165	70	65	173
"KS"	2006	"BARBER"	"Medicine Lodge Precinct 2"	"00012A"	89	99	81	106	46	139	141	44	42	149
"KS"	2006	"BARBER"	"Medicine Lodge Precinct 3"	"000130"	70	67	70	67	38	96	93	43	39	105
"KS"	2006	"BARBER"	"Medicine Lodge Precinct 4"	"000140"	55	41	51	46	25	66	62	29	28	67
"KS"	2006	"BARBER"	"Medicine Lodge Precinct 5"	"000150"	12	8	10	10	7	13	13	5	5	15
"KS"	2006	"BARBER"	"Mingona Township"	"000160"	7	11	5	13	6	12	14	4	5	12
"KS"	2006	"BARBER"	"Moore Township"	"000170"	1	6	1	6	2	4	4	3	3	4
"KS"	2006	"BARBER"	"Nippawalla Township"	"000180"	7	5	5	5	3	8	10	1	1	10
"KS"	2006	"BARBER"	"PROVISIONAL"	"999999"	20	6	15	10	4	20	20	4	1	24
"KS"	2006	"BARBER"	"Sharon Township"	"000200"	67	32	59	40	26	71	61	34	35	68
"KS"	2006	"BARBER"	"Sun City Township"	"000210"	11	0	10	0	0	11	10	0	0	11
"KS"	2006	"BARBER"	"Turkey Creek Township"	"000220"	0	1	0	1	0	1	1	0	0	1
"KS"	2006	"BARBER"	"Valley Township"	"000230"	27	14	20	19	11	27	26	12	10	31
"KS"	2006	"BARTON"	"ADVANCED"	"999998"	262	495	304	452	254	465	448	297	206	546
"KS"	2006	"BARTON"	"Albion Township"	"000010"	12	10	10	9	3	18	18	3	0	21
"KS"	2006	"BARTON"	"Beaver Township"	"000020"	17	20	16	15	6	27	26	11	7	31
"KS"	2006	"BARTON"	"Buffalo Township"	"000030"	99	75	97	71	23	139	144	29	23	146
"KS"	2006	"BARTON"	"Cheyenne Township"	"000040"	45	36	50	24	14	54	50	31	19	65
"KS"	2006	"BARTON"	"Clarence Township"	"000050"	19	21	15	20	6	31	32	7	6	30
"KS"	2006	"BARTON"	"Cleveland Township"	"000060"	9	8	8	7	2	13	14	3	1	16
"KS"	2006	"BARTON"	"Comanche Township"	"000070"	91	64	93	57	17	131	134	19	15	141
"KS"	2006	"BARTON"	"Eureka Township"	"000080"	15	18	17	14	8	24	24	10	5	30
"KS"	2006	"BARTON"	"Fairview Township"	"000090"	13	28	14	19	6	29	31	7	6	33
"KS"	2006	"BARTON"	"Grant Township"	"000100"	10	17	14	8	6	19	20	7	5	21
"KS"	2006	"BARTON"	"Great Bend City Ward 1 Precinct 1"	"00011A"	95	119	98	109	60	146	159	60	46	164
"KS"	2006	"BARTON"	"Great Bend City Ward 1 Precinct 2"	"000120"	96	178	128	130	54	208	195	74	46	222
"KS"	2006	"BARTON"	"Great Bend City Ward 1 Precinct 3"	"000130"	123	144	142	117	48	208	206	65	45	221
"KS"	2006	"BARTON"	"Great Bend City Ward 2 Precinct 1"	"000140"	184	236	181	212	83	322	314	98	59	364
"KS"	2006	"BARTON"	"Great Bend City Ward 2 Precinct 2"	"000150"	204	270	227	206	91	364	350	113	73	399
"KS"	2006	"BARTON"	"Great Bend City Ward 2 Precinct 3"	"000160"	223	278	255	218	85	400	392	102	70	419
"KS"	2006	"BARTON"	"Great Bend City Ward 3 Precinct 1"	"000170"	130	150	140	115	65	198	201	75	55	224
"KS"	2006	"BARTON"	"Great Bend City Ward 3 Precinct 2"	"000180"	135	184	142	141	75	233	227	81	57	260
"KS"	2006	"BARTON"	"Great Bend City Ward 3 Precinct 3"	"00019A"	146	225	170	179	70	289	274	98	54	322
"KS"	2006	"BARTON"	"Great Bend City Ward 4 Precinct 1"	"000200"	82	106	96	86	39	136	137	48	31	157
"KS"	2006	"BARTON"	"Great Bend City Ward 4 Precinct 2"	"000210"	74	91	77	76	51	101	106	57	36	124
"KS"	2006	"BARTON"	"Great Bend City Ward 4 Precinct 3"	"00022A"	16	37	24	25	22	28	31	21	19	31
"KS"	2006	"BARTON"	"Great Bend Township Part A"	"00023A"	201	214	258	145	66	334	328	78	56	354
"KS"	2006	"BARTON"	"Great Bend Township Part B"	"00023B"	41	34	41	26	15	53	55	17	12	60
"KS"	2006	"BARTON"	"Hoisington Ward 1"	"000240"	52	110	66	85	54	101	105	58	28	129
"KS"	2006	"BARTON"	"Hoisington Ward 2"	"000250"	68	116	96	78	39	135	131	50	27	160
"KS"	2006	"BARTON"	"Hoisington Ward 3"	"000260"	85	102	92	88	33	150	149	38	30	156
"KS"	2006	"BARTON"	"Hoisington Ward 4"	"00027A"	61	104	66	91	47	106	112	52	36	128
"KS"	2006	"BARTON"	"Independent Township"	"000280"	125	160	144	113	50	215	218	57	52	233
"KS"	2006	"BARTON"	"Lakin Township"	"000290"	380	352	383	296	143	549	546	160	125	595
"KS"	2006	"BARTON"	"Liberty Township"	"000300"	52	32	53	27	11	69	69	13	5	78
"KS"	2006	"BARTON"	"Logan Township"	"000310"	26	29	21	31	4	46	44	8	11	41
"KS"	2006	"BARTON"	"North Homestead Township"	"000320"	22	23	28	16	6	38	38	6	5	40
"KS"	2006	"BARTON"	"Pawnee Rock Township"	"000330"	50	61	46	61	32	66	74	38	26	79
"KS"	2006	"BARTON"	"South Bend Township"	"000340"	110	120	123	100	40	176	176	57	41	185
"KS"	2006	"BARTON"	"South Homestead Township"	"000350"	60	59	66	41	21	90	96	22	16	101
"KS"	2006	"BARTON"	"Union Township"	"000360"	20	16	14	19	7	28	32	6	3	36
"KS"	2006	"BARTON"	"Walnut Township Albert"	"000370"	33	46	32	40	14	55	63	16	8	69
"KS"	2006	"BARTON"	"Walnut Township Olmitz"	"000380"	31	44	39	32	24	45	41	29	15	58
"KS"	2006	"BARTON"	"Wheatland Township"	"000390"	8	15	10	11	7	11	14	7	1	20
"KS"	2006	"BOURBON"	"Drywood Township"	"000010"	75	40	85	32	31	76	82	32	38	79
"KS"	2006	"BOURBON"	"Fort Scott Ward 1"	"00002A"	126	219	171	180	162	183	177	172	169	183
"KS"	2006	"BOURBON"	"Fort Scott Ward 2"	"00003A"	130	193	159	172	153	160	165	164	160	163
"KS"	2006	"BOURBON"	"Fort Scott Ward 3"	"000040"	52	59	62	51	45	63	71	43	47	66
"KS"	2006	"BOURBON"	"Fort Scott Ward 4"	"00005A"	139	186	162	169	132	186	177	146	160	165
"KS"	2006	"BOURBON"	"Fort Scott Ward 5"	"000060"	164	166	186	152	116	201	197	133	122	213
"KS"	2006	"BOURBON"	"Fort Scott Ward 6"	"000070"	237	246	282	210	149	325	317	168	178	312
"KS"	2006	"BOURBON"	"Fort Scott Ward 7"	"000080"	198	206	224	188	142	251	249	150	174	230
"KS"	2006	"BOURBON"	"Franklin Township"	"000090"	44	64	52	59	40	61	62	45	52	56
"KS"	2006	"BOURBON"	"Freedom Township"	"000100"	54	71	58	72	46	74	76	54	62	64
"KS"	2006	"BOURBON"	"Marion Township"	"000110"	209	207	249	159	122	262	276	120	158	255
"KS"	2006	"BOURBON"	"Marmaton Township"	"000120"	123	132	162	99	84	169	162	92	95	160
"KS"	2006	"BOURBON"	"Mill Creek Township"	"000130"	72	85	88	72	63	90	87	66	75	85
"KS"	2006	"BOURBON"	"North Scott Township"	"000140"	143	141	169	117	101	172	173	109	113	171
"KS"	2006	"BOURBON"	"Osage Township"	"000150"	60	59	61	59	41	70	75	44	48	67
"KS"	2006	"BOURBON"	"Pawnee Township"	"000160"	48	54	56	50	36	63	58	44	51	56
"KS"	2006	"BOURBON"	"South Scott Township"	"000170"	286	287	338	232	166	385	375	185	233	344
"KS"	2006	"BOURBON"	"Timberhill Township"	"000180"	52	44	53	44	38	58	56	38	38	58
"KS"	2006	"BOURBON"	"Walnut Township"	"000190"	24	15	30	9	8	29	29	10	10	28
"KS"	2006	"BROWN"	"Hamlin Township"	"000010"	35	30	49	19	9	53	54	13	26	41
"KS"	2006	"BROWN"	"Hiawatha City Ward 1"	"000020"	47	104	69	86	37	116	107	47	85	71
"KS"	2006	"BROWN"	"Hiawatha City Ward 2"	"000030"	167	294	208	256	98	356	346	115	215	248
"KS"	2006	"BROWN"	"Hiawatha City Ward 3"	"00004A"	152	249	203	201	96	300	283	120	186	215
"KS"	2006	"BROWN"	"Hiawatha City Ward 4"	"00005A"	25	38	29	34	20	38	39	25	29	30
"KS"	2006	"BROWN"	"Hiawatha Township"	"000060"	107	137	149	92	30	198	189	41	95	139
"KS"	2006	"BROWN"	"Horton Ward 1"	"000070"	85	143	114	116	79	139	144	80	118	107
"KS"	2006	"BROWN"	"Horton Ward 2"	"000080"	81	103	97	83	44	130	122	61	96	82
"KS"	2006	"BROWN"	"Horton Ward 3"	"00009A"	39	65	50	59	33	65	71	33	54	45
"KS"	2006	"BROWN"	"Irving Township"	"000100"	37	43	52	28	9	65	67	13	32	48
"KS"	2006	"BROWN"	"Mission Township"	"000110"	117	146	136	117	57	190	201	53	116	138
"KS"	2006	"BROWN"	"Morrill Township"	"000120"	103	76	132	59	24	154	148	33	66	122
"KS"	2006	"BROWN"	"Padonia Township"	"000130"	37	51	39	46	22	54	53	24	40	44
"KS"	2006	"BROWN"	"Powhattan Township"	"000140"	96	92	98	98	63	132	135	62	106	95
"KS"	2006	"BROWN"	"Reserve Township"	"000150"	17	24	23	19	14	27	28	13	18	24
"KS"	2006	"BROWN"	"Robinson Township"	"000160"	61	105	87	80	40	123	111	52	74	94
"KS"	2006	"BROWN"	"Walnut Township"	"000200"	130	141	156	114	56	211	207	65	114	159
"KS"	2006	"BROWN"	"Washington Township"	"000210"	96	107	125	81	43	156	156	46	63	141
"KS"	2006	"BUTLER"	"Andover Exclave A"	"00001L"							0	0		
"KS"	2006	"BUTLER"	"Andover North"	"00001A"	572	515	541	545	281	760	776	276	293	780
"KS"	2006	"BUTLER"	"Andover South"	"00001B"	861	670	736	804	350	1119	1168	340	405	1110
"KS"	2006	"BUTLER"	"Augusta City Ward 1"	"00002A"	215	209	190	239	143	271	262	157	133	291
"KS"	2006	"BUTLER"	"Augusta City Ward 1 Exclave B"	"00002C"			0	0						
"KS"	2006	"BUTLER"	"Augusta City Ward 2"	"000030"	279	296	296	277	181	376	367	205	186	391
"KS"	2006	"BUTLER"	"Augusta City Ward 3"	"00004A"	334	412	344	406	226	497	487	237	211	520
"KS"	2006	"BUTLER"	"Augusta City Ward 4"	"000050"	411	404	389	432	211	596	583	225	215	601
"KS"	2006	"BUTLER"	"Augusta Township"	"00006A"	217	188	205	205	121	260	273	127	124	277
"KS"	2006	"BUTLER"	"Augusta Township Enclave"	"00006B"							0	0		
"KS"	2006	"BUTLER"	"Benton Township / City"	"000070"	490	334	407	429	199	591	613	197	225	604
"KS"	2006	"BUTLER"	"Bloomington Township"	"000080"	98	75	77	97	55	106	110	61	54	117
"KS"	2006	"BUTLER"	"Bruno Township"	"00009A"	464	317	423	369	186	553	570	195	190	584
"KS"	2006	"BUTLER"	"Bruno Township Enclave A"	"00009B"					0	0				
"KS"	2006	"BUTLER"	"Bruno Township Enclave B"	"00009C"					0	0				
"KS"	2006	"BUTLER"	"Bruno Township Enclave D Part A"	"00009E"					0	0				
"KS"	2006	"BUTLER"	"Chelsea Township/Sycamore/Cassoday"	"000100"	109	99	89	120	39	157	152	53	57	149
"KS"	2006	"BUTLER"	"Clay Township"	"000110"	17	18	15	22	11	18	23	13	12	25
"KS"	2006	"BUTLER"	"Clifford Township"	"000120"	58	24	59	22	14	65	61	19	17	62
"KS"	2006	"BUTLER"	"Douglass Township/City"	"000130"	260	304	232	341	192	359	371	195	181	370
"KS"	2006	"BUTLER"	"El Dorado Township"	"000330"	138	169	115	193	87	202	200	105	109	200
"KS"	2006	"BUTLER"	"El Dorado Ward 1 Precinct 1"	"00014A"	49	114	55	108	70	87	88	70	71	85
"KS"	2006	"BUTLER"	"El Dorado Ward 1 Precinct 2"	"00015A"	478	589	449	624	267	774	759	290	315	729
"KS"	2006	"BUTLER"	"El Dorado Ward 2 Precinct 1"	"00016A"	92	188	109	172	114	150	157	120	111	161
"KS"	2006	"BUTLER"	"El Dorado Ward 2 Precinct 1 Exclave B"	"00016C"							0	0		
"KS"	2006	"BUTLER"	"El Dorado Ward 2 Precinct 2"	"000170"	83	137	87	137	74	134	135	81	75	133
"KS"	2006	"BUTLER"	"El Dorado Ward 2 Precinct 3"	"000180"	108	167	92	186	113	147	149	122	120	150
"KS"	2006	"BUTLER"	"El Dorado Ward 3 Precinct 1"	"000190"	130	208	123	215	124	196	181	145	127	198
"KS"	2006	"BUTLER"	"El Dorado Ward 3 Precinct 2"	"000200"	82	113	66	129	74	114	116	73	75	116
"KS"	2006	"BUTLER"	"El Dorado Ward 3 Precinct 3"	"000210"	82	139	78	144	86	122	121	92	84	132
"KS"	2006	"BUTLER"	"El Dorado Ward 4 Precinct 1"	"000220"	126	156	122	166	102	167	169	111	96	187
"KS"	2006	"BUTLER"	"El Dorado Ward 4 Precinct 2"	"00023A"	159	207	140	232	151	198	207	157	138	220
"KS"	2006	"BUTLER"	"El Dorado Ward 4 Precinct P3"	"00023B"	106	155	97	168	85	168	160	101	102	157
"KS"	2006	"BUTLER"	"Fairmount Township/Elbing"	"000240"	162	63	159	60	33	185	182	32	43	180
"KS"	2006	"BUTLER"	"Fairview Township"	"000250"	117	80	118	86	43	150	143	48	47	151
"KS"	2006	"BUTLER"	"Glencoe Township"	"000260"	35	28	24	38	14	45	44	18	14	46
"KS"	2006	"BUTLER"	"Hickory Township"	"000270"	22	22	20	22	14	27	26	13	10	34
"KS"	2006	"BUTLER"	"Lincoln Township"	"000280"	51	33	45	42	23	54	57	27	26	60
"KS"	2006	"BUTLER"	"Little Walnut Township/Leon"	"000290"	145	157	126	180	100	189	171	123	105	189
"KS"	2006	"BUTLER"	"Logan Township"	"000300"	25	22	25	24	12	32	33	17	17	31
"KS"	2006	"BUTLER"	"Milton Township/Whitewater"	"000310"	301	153	284	178	66	369	359	84	92	359
"KS"	2006	"BUTLER"	"Murdock Township"	"000320"	113	44	101	59	33	115	127	32	28	131
"KS"	2006	"BUTLER"	"PROVISIONAL"	"999999"	172	151	154	167	95	206	205	111	94	223
"KS"	2006	"BUTLER"	"Pleasant Township/Richland"	"000340"	502	389	459	444	244	600	623	257	251	621
"KS"	2006	"BUTLER"	"Plum Grove Township/Potwin"	"000350"	102	104	100	103	61	137	146	53	67	131
"KS"	2006	"BUTLER"	"Prospect Township"	"000360"	157	202	156	206	141	206	210	148	135	221
"KS"	2006	"BUTLER"	"Richland Township H78"	"200020"	142	88	114	118	62	162	166	61	64	166
"KS"	2006	"BUTLER"	"Rock Creek Township"	"000380"	74	60	51	79	38	85	87	40	45	85
"KS"	2006	"BUTLER"	"Rosalia Township"	"000390"	104	87	100	95	47	138	138	52	41	146
"KS"	2006	"BUTLER"	"Rose Hill City"	"200010"	590	487	543	547	270	759	777	283	254	820
"KS"	2006	"BUTLER"	"Spring Township"	"000410"	255	244	227	286	150	321	320	179	168	326
"KS"	2006	"BUTLER"	"Towanda Township/City"	"000430"	537	423	479	487	268	642	665	283	292	655
"KS"	2006	"BUTLER"	"Union Township / Latham"	"000440"	30	25	19	40	26	25	34	23	23	35
"KS"	2006	"BUTLER"	"Walnut Township"	"000450"	113	97	89	122	62	134	140	65	64	142
"KS"	2006	"CHASE"	"ADVANCED"	"999998"	182	139	108	202	95	193	196	98	82	226
"KS"	2006	"CHASE"	"Bazaar Township"	"000010"	28	13	18	21	5	31	34	5	6	34
"KS"	2006	"CHASE"	"Cedar Township"	"000020"	10	6	10	6	5	11	9	7	4	12
"KS"	2006	"CHASE"	"Cottonwood Township"	"000030"	25	13	20	20	14	25	25	14	8	30
"KS"	2006	"CHASE"	"Diamond Township"	"000040"	53	21	44	24	8	62	62	9	8	64
"KS"	2006	"CHASE"	"East Falls Township"	"000050"	86	45	58	74	25	103	104	25	25	109
"KS"	2006	"CHASE"	"East Strong Township"	"000060"	73	80	57	96	28	113	114	33	27	121
"KS"	2006	"CHASE"	"Homestead Township"	"000070"	11	8	10	9	5	14	13	6	3	15
"KS"	2006	"CHASE"	"Matfield Township"	"000080"	21	10	14	15	7	22	21	8	7	23
"KS"	2006	"CHASE"	"PROVISIONAL"	"999999"	6	4	3	5	2	6	6	2	2	7
"KS"	2006	"CHASE"	"Toledo Township"	"000090"	56	50	50	60	17	83	90	15	14	92
"KS"	2006	"CHASE"	"West Falls Township"	"000100"	103	78	74	105	46	131	137	40	42	135
"KS"	2006	"CHASE"	"West Strong Township"	"000110"	28	20	19	27	10	35	33	14	8	40
"KS"	2006	"CHAUTAUQUA"	"ADVANCED"	"999998"	100	57	93	64	41	108	110	46	38	116
"KS"	2006	"CHAUTAUQUA"	"Caneyville Township"	"000010"	24	10	19	17	1	32	33	2	0	34
"KS"	2006	"CHAUTAUQUA"	"Center Township"	"000020"	19	6	18	7	1	23	22	3	0	25
"KS"	2006	"CHAUTAUQUA"	"Chautauqua"	"000030"	31	17	33	16	13	33	35	14	8	40
"KS"	2006	"CHAUTAUQUA"	"Harrison Township"	"000040"	25	6	23	8	4	24	29	2	3	30
"KS"	2006	"CHAUTAUQUA"	"Hendricks Township"	"000050"	14	9	17	7	5	19	18	7	8	16
"KS"	2006	"CHAUTAUQUA"	"Jefferson Township"	"000060"	94	113	101	104	60	134	146	60	51	149
"KS"	2006	"CHAUTAUQUA"	"Lafayette Township"	"000070"	7	6	8	5	5	8	7	4	3	10
"KS"	2006	"CHAUTAUQUA"	"Little Caney Township"	"000080"	42	18	42	19	11	45	44	15	11	47
"KS"	2006	"CHAUTAUQUA"	"North Sedan"	"000090"	120	84	134	67	37	162	157	39	37	164
"KS"	2006	"CHAUTAUQUA"	"PROVISIONAL"	"999999"	4	3	4	4	2	4	3	4	3	5
"KS"	2006	"CHAUTAUQUA"	"Peru"	"000100"	62	30	60	36	25	64	66	31	24	66
"KS"	2006	"CHAUTAUQUA"	"Salt Creek Township"	"000110"	15	4	17	2	3	15	15	2	1	18
"KS"	2006	"CHAUTAUQUA"	"South Sedan"	"000120"	93	68	104	56	31	120	115	38	38	113
"KS"	2006	"CHAUTAUQUA"	"Summit Township"	"000130"	21	9	25	6	3	23	26	3	2	28
"KS"	2006	"CHAUTAUQUA"	"Washington Township"	"000140"	15	10	16	7	5	15	17	5	4	20
"KS"	2006	"CHEROKEE"	"ADVANCED"	"999998"	145	334	177	304	273	192	172	302	309	172
"KS"	2006	"CHEROKEE"	"Baxter Springs Ward 1"	"000010"	97	161	140	123	114	138	144	117	127	134
"KS"	2006	"CHEROKEE"	"Baxter Springs Ward 2"	"000020"	91	127	116	110	104	102	112	108	103	116
"KS"	2006	"CHEROKEE"	"Baxter Springs Ward 3"	"000030"	231	264	305	198	184	291	311	185	197	301
"KS"	2006	"CHEROKEE"	"Baxter Springs Ward 4"	"00004A"	134	152	167	130	132	145	157	140	134	157
"KS"	2006	"CHEROKEE"	"Cherokee Township"	"000050"	36	85	50	70	68	48	57	63	74	45
"KS"	2006	"CHEROKEE"	"Columbus Ward 1"	"000060"	48	85	68	67	50	73	74	61	67	68
"KS"	2006	"CHEROKEE"	"Columbus Ward 2"	"000070"	112	136	144	107	87	155	150	92	110	142
"KS"	2006	"CHEROKEE"	"Columbus Ward 3"	"000080"	96	119	137	84	74	140	140	71	90	130
